8/8/3q1k2/6pp/8/7P/6P1/1R5K w - -,b1f1
1r3rk1/1p2qpb1/5npp/2p1pb2/1NPp4/3P2P1/3NPPBP/1RBQ1RK1 b - -,c5b4
4r1k1/4P1p1/p6p/1p5b/1B2Bq2/8/2Q3P1/2R3K1 w - -,c1f1
r2q1rk1/pp2p3/1n1pQ1p1/5p2/1n5P/2N5/PPP2PP1/2KR1B1R b - -,g8g7
r1b1kbnr/pp4p1/n2p3p/1NpP1p2/2P1pB1q/7N/PP2PPP1/R2QKB1R b KQkq -,h4f6
r1r2qk1/1p3p2/pn2p1p1/2NpP3/3P2P1/3Q4/PP3P2/2R2RK1 b - -,b6c4
r2q1rk1/1b3pp1/pp1b4/4N1P1/2pPp3/4P3/PPQ3P1/1B1R1RK1 w - -,g5g6
3r1rk1/1p4pp/p7/3PR1n1/2P5/3B1qP1/PP5K/3R3Q b - -,f3f2
1r3b2/4p3/k2p3p/PppPpNpP/4P1P1/1P6/R2K1P2/8 w - -,d2c3
r2q1rk1/3n2pp/pp1p2b1/3PP3/P2N2pb/2P4P/3B1P2/RB1QR1K1 w - -,b1g6
q1r3k1/4Rpbp/2r3p1/2B5/2Q5/5N1P/P4PP1/6K1 b - -,c8f8
1R6/1P3p1p/4N3/8/4kp2/8/1r4PP/4K3 b - -,f7e6
6k1/1b4p1/p2q3p/2Q1pp2/Pr5P/3P1PP1/1P2N1K1/2R5 b - -,d6d3
2R5/5pkp/4pb2/2Bb2p1/1P2p1P1/8/5P1P/1r3BK1 b - -,f6e5
1r1r4/1qb1kp2/p1bp1n1p/1p2pPp1/4P3/P1N2B2/1PPQ1BPP/3RR1K1 w - -,g2g4
1rbr2k1/1pn2p1p/p2p1qp1/2p5/Q3PN2/2P3P1/PP3PBP/R4RK1 w - -,a1d1
6k1/6p1/4p3/1Q1bP2P/8/r4p1P/5P1K/8 w - -,b5e8
5R2/4n3/3k4/8/1P3p2/2K5/8/8 b - -,d6e5
r3k2r/1bq1bpp1/p4n2/2p1pP2/Pp2P2p/3BB2P/1PPN1QP1/R4RK1 b kq -,c5c4
r4rk1/2qp3p/p2bp1n1/1pNb1p2/5PPP/1N1BQ3/PPP5/1K1R1R2 b - -,d6f4
1rb1qrk1/2pn1pbp/p2p1np1/4p3/P2PP2P/Q3BP2/1PP1N1P1/3RKBNR w K e6,d4d5
r4rk1/pbp1bppp/1p1q1n2/8/1P1Pp2P/P3P1P1/1BQ1BP2/R3R1K1 w - -,a1c1
3r3k/pp5p/1nb2p2/6r1/Pb1P4/1BN2P2/1P4PP/R2R3K w - -,d1d3
3r1rk1/pp4bp/2p1b3/2P1p1q1/1P1n4/P3Np2/3R1PPP/BR1Q1B1K b - -,d4b3
r1br2k1/1pq1bp1p/p1p1nnp1/2P1p3/1PN1P3/2N5/P3BPPP/1RBQ1RK1 w - -,e2d3
r1b2rk1/pp2q1bp/2np1np1/1Np2p2/2PPp2P/1P2P1P1/PB2NP2/R2QKB1R w KQ -,d1d2
3rr2k/pQp2bpp/5q2/4pPp1/8/2PPR1N1/PP4PP/R6K b - -,d8b8
r3k2r/1p2ppb1/p2p3p/4qPp1/3n4/2NB3P/PPP2PP1/R2QK2R w KQkq -,e1f1
r2r1bk1/1p3q1p/4b1p1/1PB1pp2/p1P1P3/2Q2P2/3NN1PP/2RR2K1 b - -,f8c5
r4rk1/1p4pp/2n1pq2/p1b1n3/2PpR3/5N2/PP1BQPPP/R3N1K1 b - -,d4d3
r2qk1nr/p2pppbp/1pn3p1/2p5/2P5/2NP1PP1/PP1B1PBP/R2QK2R b KQkq -,a8c8
4rbk1/p1pq1r2/1p1p3p/3P1np1/1PP1Np2/PN6/4QPPP/2R1R2K w - -,e4f6
8/8/8/3r4/P5p1/2R3P1/2K2k2/8 w - -,c3a3
2r2rk1/4ppbp/3p2p1/q2P4/1p1B4/1b2QP2/PPP3PP/2KR3R w - -,e3b3
r4rk1/pb3pp1/1p2pn1p/q7/8/2RBPNP1/PP2QPP1/3R2K1 w - -,a2a3
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/5P2/2PP4/PP2B1PP/RNBQK1NR w KQkq -,g1f3
rn1q1rk1/pp2bppp/2p1pn2/3p4/6b1/1P1P1NP1/PBPNPPBP/R2Q1RK1 b - -,b8d7
rnbqkb1r/ppp1pppp/8/8/8/2P2N2/P1PP1PPP/R1BQKB1R b KQkq -,g7g6
rn1qk2r/pbp2ppp/1p1b1p2/8/3P4/3Q1N2/PPP1BPPP/R1B1K2R w KQkq -,e1g1
r2q1rk1/1p1nppbp/n1bp2p1/pN6/2P1PP2/P1N1BB1P/1P4P1/R2Q1RK1 w - -,a1b1
7r/3k1p1P/5R2/8/1p1Pp3/3b1P2/PK6/3R4 b - -,h8h7
6k1/5p2/4p1pb/p2p4/1p1P4/1P1NqQP1/r6P/3R2K1 w - -,f3e3
2r4k/1p5p/3pq1n1/4p1BP/2P1Q3/5P2/1P6/rNKR2R1 w - -,b2b3
r2qkb1r/pp1n1pp1/2p1p2p/8/2PPB3/4B3/PP3PPP/R2Q1RK1 b kq c3,d7f6
r3r1k1/5p1p/p2B4/2pP1P1p/2nbP2R/2Nb2P1/R6P/1N5K w - -,d6c7
3r3r/1p1k1pb1/pqN1p2p/R2pP3/1P3P2/2P1P3/2Q1BKP1/7R b - -,b6c6
r2q1rk1/p6p/3p2p1/1p1Pbp2/6P1/2P4P/PP1NR1Q1/4R1K1 b - -,f5g4
r1bqkb1r/1p3pp1/p1nppn1p/6B1/4P3/2N2N2/PPPQ1PPP/2KR1B1R w kq -,g5h4
8/pp1nRpkp/3P2p1/5rN1/3b1B2/1P6/P5PP/7K w - -,e7d7
6k1/5pp1/4p2p/4Pn2/4Q3/6P1/1P1r1P1q/R2N1K2 b - -,d2f2
2rqr1k1/1b2bp1p/pn2pnpB/1p6/3P1N2/P1NQ4/1P3PPP/1B1R1RK1 w - -,d3h3
r2q1rk1/pp3pbp/2n3p1/4P3/4P3/4BB2/P2Q1PPP/3RK2R b K -,c6e5
8/2pn4/p2r2pp/2kPpp2/1pP5/1P1B1P1P/1P2K1P1/3R4 w - -,h3h4
6k1/5pp1/2n3p1/8/p7/B1q2P1P/2P3P1/3Q3K w - -,d1d6
r5k1/2rp1pp1/p2Qp2p/1p2P3/5P2/P1P2R1P/1P1R2PK/q7 b - -,c7a7
8/p3b2p/1p2k3/3p1np1/1P1P4/P2K1PNP/8/2B5 w - -,g3f5
5k2/7p/3p2p1/2pP1n2/5Pq1/2P5/3N1Q1K/8 w - -,d2e4
r4r1k/1p2q1bp/2ppbnp1/p1n2pN1/2P5/1PN3P1/PBQ1PPBP/3R1RK1 b - -,e6g8
r2qk2r/1p1nbppp/2p1pn2/p2p4/2PPP3/P1NQ1N2/1P1B1PPP/R4RK1 b kq -,d7c5
2r3k1/6b1/R3K1P1/2B1P3/8/8/8/8 w - -,c5d6
6k1/4pp1p/q5p1/r1npP3/n1pN4/2P2PP1/R3Q1KP/R7 w - -,a2a3
3qr1k1/rpp2pp1/p1n1bn1p/3pp3/4P3/1BPP1N1P/PPQ2PP1/R3RNK1 b - -,a7a8
R7/1p3prk/1q1p1Q2/2bPp2p/6p1/P7/1P3P1P/5RK1 w - -,f6f5
8/5bp1/1p1k1p2/p1p3np/P1P1p1B1/1P2P1P1/1B1K1PP1/8 w - -,g4d1
5rk1/1p3pq1/p1b1r1p1/3p4/7Q/2N1p2R/1PP1R1PP/7K w - -,c3d1
5rk1/1r1nbppp/p3p3/1P6/8/1PN3P1/PB1R1P1P/R5K1 b - -,a6b5
r2q3k/pp1n1p2/7p/3R2p1/Q7/1Nr2P2/P4bPP/5RK1 w - -,f1f2
2r1kbnr/1p3p2/1q2p1p1/p2pP2p/b1pP4/PNP3P1/1P1N1P1P/R1BQRBK1 w k -,d1f3
2rq1rk1/1b1nppbp/pp1p1np1/8/2PP1B2/2N2N1P/PPQ1BPP1/3R1RK1 w - -,c2d3
3r4/4kp2/4p3/1n4p1/6P1/3B1K2/3R4/8 w - -,f3e3
1qr2rk1/1b1nb1p1/3pp3/1N3pn1/P2B4/P5QP/4N1B1/R5RK b - -,e6e5
r1q2rk1/p4p1p/1p2p1pb/4P3/2PRN3/5P2/PP3P1B/3Q2K1 b - -,h6g7
r4rk1/p3q2p/2b1ppp1/4p3/Pb2N3/4Q3/1PP2PPP/R1BR2K1 w - -,c1d2
r4rk1/pbq1bp1p/1pn5/2p1p1p1/3pP1P1/1P1P2P1/PBPN1PB1/R2Q1RK1 w - -,c2c3
r1bqk1nr/pppp1pbp/2n3p1/4p3/2PPP3/4B3/PP2NPPP/RN1QKB1R b KQkq -,d7d6
2b2k2/1p3p2/p4n1p/3p1Pp1/3N2P1/4P2P/PP4B1/6K1 w - -,g1f2
3rk2r/pp2qpp1/2p4p/4nQ2/4P3/3p2N1/PP3PPP/2RR2K1 b k -,e8g8
8/5k2/3b2q1/pp1p1n1p/2pP1p2/P1P2P2/1P1Q2PB/5N1K b - -,g6g5
8/5np1/4p2p/4k3/B6P/4K1P1/8/8 b - -,f7d6
r2qk1nr/pp1b1p1p/2n1p1p1/2ppP3/3P2Q1/P1P2N2/2P1BPPP/R1B1K2R b KQkq -,d8a5
6k1/1p2B1b1/2r5/P7/6P1/P3PK1p/8/5R2 b - -,g7f6
r2q1r1k/pb2n1pp/2pp4/3P4/2P1BB2/R5P1/1P5P/3Q1RK1 b - -,c6d5
2r1r1k1/pp1bqp2/1b5p/QP4p1/3Np3/2N1P1P1/PR3PP1/3R2K1 w - -,c3d5
8/2Q5/p5pk/3q1p2/PP6/4P2P/5K2/8 w - -,c7f4
8/8/8/5p2/P3k3/2P1r1p1/1P1R4/5K2 b - -,f5f4
1bR5/pp2kppp/8/3r4/5P2/1P2P3/P5KP/8 w - -,c8b8
4r1k1/p5p1/2p1Prp1/2pp1pB1/1q6/4R2P/P4PP1/4Q1K1 w - -,e1e2
3r1rk1/pp4np/2p1b1p1/q2p2Q1/4N3/3R2PP/PPP2PB1/3R2K1 b - -,f8f5
2rrb3/p3kpp1/1qn1p2p/2N1b3/1Pp4P/P5P1/1B3PB1/1QR1R1K1 b - -,e5f6
2br1rk1/p1b1qppn/1p1p3p/2p1pP2/2B1P1P1/2PPBQ1P/PP1N4/R3R1K1 w - -,c4d5
1r6/7p/p6k/3p3P/2nP1r1N/2PK1P2/P3RP2/6R1 w - -,g1g4
Q7/4Rp1k/2p1b3/7P/3B2P1/6K1/5P2/8 w - -,a8h8
r4k2/1p3p1p/p3b3/2b5/8/4NB2/PPP2P1P/2KR4 b - -,a8b8
8/8/2pk2p1/1p1p1p1p/3P1P1P/r5P1/P1R1KP2/8 b - -,d6c7
r1b1kbnr/pp1p2pp/2p5/4q3/4p3/8/PPPBBPPP/RN1QK2R w KQkq -,e2h5
2r5/bp2kp1p/p3p3/5p2/P4P2/2P3P1/1P1NK2P/3R4 b - -,h7h5
5rk1/5ppp/2p1p3/8/1p2P3/4q2P/1PP2PP1/R6K w - -,f2e3
1rbqk2r/5p2/p1p1p3/2npP3/6p1/3B2N1/PPPQ1PP1/RR4K1 b k -,c5d7
2kr3r/pp1bnpp1/2n1p2p/3pP3/q1pP4/P1P2N2/R1PBBPPP/1Q3RK1 w - -,a2b2
2bqk2r/rpp2ppp/p1np1n2/4p3/2B1P3/2PP1N2/PP3PPP/RN1Q1RK1 w k -,c4b3
1r4r1/4bpk1/3p1p1p/pb3B2/3RPN2/6P1/1PP4P/2K4R w - -,h1d1
rn2k2r/1bq1bppp/p2p1n2/1p2pP2/4P3/1NN1BB2/PPP3PP/R2Q1RK1 b kq -,b8d7
rq2kb1r/1p1b1ppp/p1nppn2/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 b kq -,f8e7
8/8/6k1/5pP1/1pp1bK2/2P4B/8/8 w - -,c3b4
5r2/1R1R1p2/6k1/6p1/7p/2r4P/6P1/6K1 b - -,f7f6
r3rk2/pbbp1ppp/n7/1ppP4/4NP1q/3Q1B2/PP1BN2P/R2K2R1 w - -,d3c3
8/8/4pk1n/p1p3p1/PpP5/1P1KPB1P/8/8 b - -,h6f7
4rr2/pp5k/3p4/2pP1p2/4N1qb/4Q3/PP4B1/R5RK w - -,a1f1
r2q1rk1/pp3pp1/n7/2Qp4/5Bb1/4PN2/PP3PPP/R3K2R w KQ -,c5d4
r3qr1k/pp4bp/6p1/3pp1B1/1R5N/P2P2Pb/1P1Q1P1P/4R1K1 b - -,e8f7
1n6/1Bk4p/2P3p1/R3p3/2r1r3/K5P1/2R4P/8 w - -,a5c5
rbn1r1k1/p4n1p/4p1p1/1NBp1p2/3P3P/4PNP1/P4P2/1RR3K1 w - -,f3g5
r4rk1/1pq1bppp/pn1pbn2/N3p3/4P3/2N1B2P/PPPQBPP1/R4RK1 w - -,f2f4
3r1rk1/3n1ppp/p2bp3/1pp2qN1/5PP1/2PP4/P1PB2QP/4RRK1 b - -,f5d5
6k1/4bp1p/pq4p1/1p6/1np5/5N2/PP1Q1PPP/4R1K1 b - -,b6c7
r1r1q1k1/5pbp/2b1p1p1/2PpP1P1/3P1QNP/1p1B4/5P2/1R3RK1 b - -,c8b8
r1bq1rk1/3nbpp1/p1p1pn1p/1p6/3P3B/2NBPN2/PP3PPP/R2Q1RK1 w - -,d1c2
2r2rk1/p1qbbppp/4p3/np1p4/3P4/2P2NP1/PP1N1PBP/R2QR1K1 w - b6,b2b4
r6r/2p2R2/p3B1k1/2b1p1q1/Pp2P3/6PQ/1PP3P1/R6K w - -,f7h7
4r3/2p5/1p3nk1/p1p3p1/P3P3/2P2PN1/5KP1/3R4 w - -,g3f5
1r1q1rk1/5pbp/p2p1p2/3Pp3/2B2P2/8/PPQ3PP/R4RK1 b - -,d8b6
r1bqr1k1/ppp2ppp/2n1pn2/3p4/2PP1P2/P1QBP3/1P4PP/R1B1K1NR b KQ -,a7a5
2rq1r1k/1p3ppp/p2p4/4n1b1/2b1PN2/2N5/PPP1B1PP/R2Q1R1K w - -,c3d5
2rq1rk1/1p2bppp/3pbn2/p3p1P1/Pn2P3/1NN1BP2/1PPQ3P/1K1R1B1R b - -,f6d7:f6h5:f6e8
r4rk1/1p4pp/2pnb3/q2pNp2/p2P1P2/P2BPPn1/1PQ4P/2RR2K1 w - -,h2g3
rn1q1rk1/p3ppbp/1n1p2p1/2pP2B1/2N1P3/2N5/PP2QPPP/R4RK1 w - -,c4e3
r1b1rbk1/2qn1p1p/p1p2np1/2P1p3/Q3P3/2N1BNPP/P4PB1/2R1R1K1 w - -,a4c4
8/8/6Bp/5n2/4p3/2K3k1/8/8 b - -,e4e3
r5k1/5p2/2N1pn2/3nNrbp/6p1/6P1/pRR2PKP/B7 b - -,f6e4
5r2/1pb3pp/p3kn2/2P5/1PN1pp2/P7/5PPP/3R1NK1 b - -,f8d8
8/5p1k/5p2/2R4p/1r3P1N/6PP/5K2/3b4 b - -,h7h6
r1b2b2/pp3q1k/4p1p1/3pPp1p/2p2Q1P/2P1PP2/PPB1K1P1/1R5R w - -,g2g4
r3rbk1/2p2q2/p3bpp1/1pp1pN2/P3P3/1P1PNQP1/2P2PK1/R6R w - -,f5h6
8/6b1/1ppknrR1/p2p4/P2P4/1P1NP3/4K1B1/8 w - -,g6g3
R7/P5k1/6P1/4PK2/8/8/5P2/r7 w - -,e5e6
2b2r2/1r3pk1/3p1qpp/4nP2/pp1NP2P/6Q1/PPP3B1/3R1RK1 w - -,d4c6
4r1k1/1p5p/p1p3p1/P2r1pq1/1P1P4/1Q2PR1P/2R3P1/6K1 b - -,g5e7
1q1r2k1/pb3pp1/1pn1p2p/4P3/8/2B3Q1/PP2BPPP/3R2K1 w - -,d1d6
r1b2r1k/1ppnq1bp/2np2p1/p3pP2/3P4/1QP1PN1P/PP1NBP1B/2KR3R b - -,g6f5
rn2kbnr/pp2pppp/2p5/3pPb2/6q1/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,d3e2
r5k1/pp3ppp/2r1b3/3p4/3B4/8/PPPR1PPP/4R1K1 b - -,b7b6
rn1qkb1r/ppp2ppp/4pn2/3p1bB1/3P4/P1N2N2/1PP1PPPP/R2QKB1R b KQkq -,b8d7
r2q2k1/5p1p/2n1rp2/pp1p1b2/2pP4/P1P1PB2/3N1PPP/R2QR1K1 w - -,e3e4
4b3/p7/2p1k3/2Pp1p2/3K1Pp1/2P1P2p/P6P/7B w - -,c3c4
2b3k1/1p2bppp/8/3pPp2/1P1N4/8/3B1PPP/6K1 b - -,c8e6
1nk1r1r1/p1pq4/1p1p4/1P6/2PQ2Pp/P2PB2P/7K/1R3R2 w - -,f1f4
rr3bk1/1bqn1p1p/p2p1np1/1p1Pp1B1/P1p1P3/R1P2NNP/1PBQ1PP1/4R1K1 b - -,c7c8
r2qnrk1/p3bppp/1pp1b3/4B3/3PN3/2PBQ3/PP4PP/R4RK1 b - -,f7f6
8/p3b3/6p1/3kp3/P6p/2p2K1P/2P5/5R2 w - -,f1d1
r4rk1/p1q1bppp/np2p3/3bP3/1P6/P3BNP1/5PBP/RQ3RK1 b - b3,a8c8
2nq1rk1/3n1p1p/1p2p3/pP1p1b2/N2P2pB/P3P3/1Q1NBPPP/5RK1 b - -,d8h4
8/6p1/2p1k1p1/B6p/1P6/2n1KP2/6PP/8 b - -,g6g5
r1bqr1k1/2p2pp1/p1n4p/1pbpP1NQ/3p4/1BP4P/PP3PP1/RNB1R1K1 w - -,h5f7
