8/6pk/p7/2pr4/P7/1PR5/5K1P/3bN3 b - -,d5d2
rnb1qr1k/pp2p1b1/2p3pp/3p2N1/2PPpB2/Q5P1/PP2PPBP/R2R2K1 w - -,g5h3
r3k2r/1bqnbppp/p2ppn2/6B1/1p1NPP2/2NB3Q/PPP3PP/2KRR3 w kq -,c3d5
5rk1/p7/1p1bpq2/3b1pp1/3P3P/P2QP3/1P2BKN1/7R w - -,e2f3
rn1r2k1/pbq1bppp/4pn2/1p2N3/P1p1PP2/6P1/1PPNQ1BP/R1B1R2K b - a3,a7a6
2q2rk1/pr1nbppp/4pn2/B7/2p5/1P1N2P1/Q2NPP1P/R2R2K1 w - -,b3c4
8/6k1/2R5/6p1/P3KpP1/1r6/1P6/8 b - -,f4f3
rnb2knr/bpq2ppp/p2pp3/8/4PB2/1NNB2Q1/PPP2PPP/R3K2R b KQ -,e6e5
3qr1k1/1Q3pbp/p2p1np1/2pP4/N2r1B2/5BPb/1P2PP2/R1R3K1 b - -,f6e4
r3k2r/pp2bppp/1qn1pn2/3pN3/2pPPB2/2P5/PPQN1PPP/R3K2R b KQkq -,c6e5
5rn1/1q4bk/ppN1r1pp/2pP1p2/P4P2/2BP4/1P4QP/4R1K1 w - -,e1e6
5rk1/1q1n1p1p/r2Qbp1P/p2p4/2pP2P1/P1N1PP2/2PK4/3R1B1R w - -,d1b1
r1bq1k1r/pp1n1pb1/3p1npp/1B6/3P4/2N2N2/PP2QPPP/R1B1K2R w KQ -,e1g1
r1bqkb1r/pp2pppp/2p5/3nN3/2BP4/8/PPP2PPP/R1BQK2R b KQkq -,g7g6
2rq1rk1/p2nbp2/1p2p2p/1N1b2p1/3N4/6P1/PP2PPBP/1Q1R1RK1 b - -,d5g2
5rk1/1ppq1pp1/r1n2n1p/p1b4b/2Pp3N/1P1P2PP/PBNQ1PB1/R3R1K1 w - -,g1h2
r2r1bk1/3n1pp1/1q2pn1p/1ppp4/p3P1N1/P2P2PP/1PPBQPB1/R4RK1 b - -,c5c4
r7/1p2qb1k/1bp4p/3pPp2/1P1PnB1P/8/1Q2BP1N/6KR b - -,a8g8
1R6/3b4/7k/8/3K3P/8/8/3B4 b - -,h6g6
6k1/pp6/2rpR1P1/8/4Pr2/2P5/1KP5/7R b - -,c6b6
r1b2rk1/pp2bppp/2nqpn2/8/3P4/2NBBN2/PP3PPP/2RQ1RK1 b - -,c6b4
6r1/p3br1p/1p2kp2/4p2R/7B/2P2RP1/PP2K2P/8 w - -,h5f5
1r3rk1/p2nppbp/6p1/2p1q3/4b3/2P5/P1QBBPPP/1R2RNK1 w - -,e2d3
2r1r1k1/1p1q2p1/p3pp1p/1bPp4/1R1P1P2/2P2N2/P5PP/1Q2R1K1 w - -,a2a4
R4n2/5ppk/6p1/1r6/8/4P1P1/5KP1/8 w - -,a8f8
8/3Q2p1/3n2k1/1ppPp1P1/2n1r3/2P4K/6P1/8 w - -,g2g4
r3k2r/5pp1/pqp1pb1p/3p1b2/Q2P4/4P3/PP2BPPP/2RNK2R b Kkq -,e8d7
6k1/2n2pp1/1N1b3p/P1p5/3p4/1P1B3P/5PP1/6K1 b - -,c7e6
2bqkr2/2r1n3/p1pp1ppb/Pp5p/3PPN1P/1B3N2/1PPQ2P1/1K1n2BR w - -,g1h2
2r3k1/1p4r1/pQ1p4/P1PP1pp1/4p3/qN4P1/2P2RKP/8 b - -,f5f4
5r2/pr1k1p1q/4p3/3pP2P/3P4/P4QR1/2pK1PP1/2R5 b - -,f8c8
2b2bk1/p7/4r1pp/2pqpr2/2N1N3/1P1P1PP1/P1PQ2K1/R3R3 b - -,d5d7
r1bq1rk1/1pp2ppp/p1n3n1/2b1p3/8/1BPP1N1P/PP3PP1/RNBQR1K1 w - -,d3d4
4r1k1/5p1p/p5p1/3Pqn2/1p2rN1P/3QP1P1/PPR2K2/4R3 w - -,c2e2
8/1b2kp2/p6p/2p3rP/4pRB1/4K3/PPP5/8 w - -,a2a3
2r4k/1b3pb1/2nP1Np1/pp3Q2/3p3P/PP1P4/4B3/2B1R1K1 b - -,g6f5
rnbqr1k1/1pb2ppp/2p5/p1Pnp3/1P1p4/P2P1NP1/1B2PPBP/RN1Q1RK1 w - -,b1d2
8/1r6/2pR3p/2Bb2Pk/1P3p2/5P1K/6P1/8 b - -,h6g5
