7k/8/6Bp/pp1R4/7P/1r3PP1/6K1/8 w - -,g6e8
2r5/1k6/8/1p6/1PP1R3/3K4/8/8 b - -,b5c4
r3k3/1pqb2p1/pbn1p3/3pp1r1/PP5N/2P3B1/3NQPPP/R4RK1 w q -,a1c1
5R2/6p1/5k2/2K1p2p/7P/3r1PP1/8/8 b - -,f6e6
6k1/4r2p/1b4p1/5pP1/1p3q2/1N2p3/1PP1R3/2KQ4 w - -,d1d5
8/1p3pk1/p5p1/Pr1r3p/8/1P3RK1/2R4P/8 b - -,b5a5
r5k1/6p1/p1r1p3/1pp2pR1/5R1P/1P1P4/P1P5/6K1 w - f6,g1f2
4r3/p2kn1RP/2pp4/5q2/N3P2r/8/PPP5/2KR4 w - -,e4f5
1R6/4k1pp/4p3/4P3/K4P2/8/2r3PP/8 w - -,b8b7
b5k1/6q1/p2pp1r1/8/PprN4/2PQR1P1/1P5P/R5K1 b - -,c4c8
8/8/p2pk3/4p3/KP2r2p/P7/2R3P1/8 w - -,a4a5
1rbq1rk1/p4ppp/2p2n2/3p2B1/1b6/3B1Q2/PPP1NPPP/R4RK1 b - -,c8g4
3r3r/pk4pp/2n5/1p6/2p1PN2/b1P2nBB/P6P/2KR3R w - -,c1c2
r1bq1r2/pp2ppbk/2p1nnpp/4B3/1PN5/3P1NP1/P2QPPBP/1RR3K1 b - -,h6h5
r2q1rk1/ppp2ppp/5n2/1Q6/8/2b3P1/PP2PP1P/R1B2RK1 w - -,b2c3
r2q1r2/1p4bk/2n3pp/1NpBnp2/2P5/3PB1P1/5P1P/1R1Q1RK1 b - -,d8e7
8/1pkn1ppp/p1p1p3/4q3/8/PB5P/1PPQ1PP1/2K5 w - -,c1b1
r2b3r/p7/1pRB3p/3p3k/3P2pP/6P1/P3RPK1/8 b - -,d8f6
8/6p1/4k3/4P3/2N2p1P/3K4/6P1/b7 b - -,a1e5
r1bqkb1r/pppn1ppp/3ppn2/8/2BPP3/2N1B3/PPP2PPP/R2QK1NR b KQkq -,f6e4
2kr3r/1b2bppp/p1q1p3/1p2P3/3BpP2/8/PPP2QPP/R2N1RK1 w - -,c2c3
r1bq1rk1/1pp1npb1/p5pp/n2pp3/4P2P/2PP1N2/PPB1QPP1/R1B1KN1R b KQ -,c8e6
6k1/1p1q2r1/2br1p1b/2Pp4/p2PP3/2R2PPp/Q4K1B/4R3 w - -,c5d6
r2qr1k1/1p1b1pbp/2pp1np1/p1n5/2PNPBP1/2N4P/PPQ2PB1/3RR1K1 b - -,g7f8
1k4r1/pp3p2/7b/3N4/P5qP/4P3/1P3QB1/2R3K1 b - -,g4e4
3r4/1pr1q1kp/p2b2p1/3p1p2/PP1Pn3/NR2PQP1/7P/4BRK1 w - f6,a3b1
