6k1/1RN2p2/5n1p/6p1/8/r5PP/5K2/8 w - -,b7b4
2kr1b1r/pp1n1ppp/q1p1pn2/8/2pPP3/2N2BPP/PP1BQP2/R3R1K1 w - -,a2a4
7r/2B1b1pp/B1p2k2/3ppb2/8/4PP2/PP2K1PP/7R w - -,h1c1
1rbr1nk1/2q1bppp/pp3n2/2p1p3/P3P3/N1P1BP2/1P2BNPP/R2Q1RK1 w - -,d1c2
3rb3/2R2pk1/3N1np1/3PK2p/p4P2/7P/1P4P1/8 b - -,f6d7
5r2/4q2k/1R4pp/5p2/2b1pP2/7P/6PK/4Q3 w - -,e1c1
r4rk1/1p3ppp/p4Q2/2b1p3/P7/6PP/1P2PPB1/R2R2K1 b - -,g7f6
8/8/8/2b1k3/2P1r1p1/6P1/2R5/5K2 b - -,e5d4
3qrrn1/1b1n1pbk/p2p2pp/Pp1Pp3/1Pp1P3/2P3NP/2BBRPPN/1Q3RK1 b - -,g7f6
1rb1nr1k/1p1nqp1p/p2p1bp1/2pPp3/P1P1P1P1/2N1BN1P/1PQ1BP2/R3K1R1 b Q -,f6g7
8/5k2/1p3p1K/p2p1p2/P2P1N2/1P2P1P1/Nb6/5b2 w - -,f4d5
6k1/2q2pp1/1p2p1np/p1p1n3/7P/1P2N3/PBQ3B1/6K1 b - -,g6h4
8/1p1R4/p5k1/P6p/1r6/4K3/7P/8 b - -,g6g5
3r2k1/1p1r1ppb/1qp1p2p/p1b5/P1Q1P3/2P2BP1/1P3P1P/1RB2RK1 w - -,g1g2
1rb1k2r/p3pp1p/3p3b/2pP1p1N/7P/1P2P2B/P4P1P/1RR3K1 b - -,e7e6
6k1/5pp1/4n2p/p1rRp3/4P3/1qP3PP/3Q2K1/4B3 w - -,e1f2
r1bqr1k1/1p1nbpp1/3p2np/pN1Pp3/P1N5/1P5P/1BP2PP1/R2QRBK1 b - -,d7b6
2rq1rk1/1p1bppbp/p2p2p1/7n/2BPP3/2N1BN1P/PP1Q1PP1/R3R1K1 b - -,c8c4
8/1p3kp1/p3p2p/5p1P/2Q5/P2KPPq1/1P4P1/8 w - -,c4c8
r4rk1/1bp1q1pp/1p1ppn2/5p2/1PPPn3/4PN2/2Q1BPPP/B2R1RK1 b - -,e7f7
1r6/5k2/p5p1/8/PKp5/1P1bP2P/6P1/2R5 w - -,b4c5
r4qk1/6pp/3p2n1/1p1P1b2/p7/P5P1/1P1Q2BP/R1N3K1 b - -,a8c8
7k/2p1q1p1/7p/3Qb3/4N2P/1P4P1/5P2/6K1 b - -,h8h7
r1b2rk1/p1pp2bp/3n2p1/1p1P1pN1/5P2/2P3N1/PP4PP/2KR1B1R b - -,f8e8
r5k1/1p4p1/4q2p/p2pP1n1/2nP1R2/3Q3P/P1P3PK/4B3 b - -,a8f8
5k2/7R/p4p2/4p2p/r3n2P/P3PKP1/1B6/8 b - -,e4d2
r1b1r1k1/p2p2pp/2pR1p2/1p2P1B1/1q6/1P6/1PP1QPPP/1K1R4 w - -,d1d4
r4r1k/pp1bpp1p/n2p4/3Pq1p1/4P3/2N2P2/PP1QB1PP/2R2RK1 w - -,f1e1
r4rk1/p4pp1/2p1b2p/q2p4/2pPPQ2/P1P3P1/5PBP/3R1RK1 w - -,f4d6
6rk/qp1bn1bp/3n4/P1NPp3/1QP1Pp2/5B2/1R4PP/1R4K1 w - -,b4b6
r5k1/3b1pb1/p2qp1p1/1p1P4/2r1P3/3QBN2/6PP/1R3R1K w - -,f3g5
r2qnrk1/bp3pp1/p1ppb1np/4p3/1PP5/P2PPNPP/1BQN1PB1/2R2RK1 b - -,d8d7
5bk1/5p1p/4b1p1/3p4/q1p2Q2/2P3PP/3N1PBK/8 w - -,d2f3
8/1R2b2p/2r1kpp1/3p4/3Pp3/4P1BP/1P3PP1/6K1 w - -,b2b4
6k1/1R4pp/1p6/p7/P2r4/6P1/7P/6K1 b - -,d4b4
6k1/2p2r1n/2Np4/2pP2p1/P3R3/3b2P1/1P4BP/6K1 w - -,e4e3
2r3k1/5p2/p2qp1p1/4R2p/5Q2/7P/5PPK/8 w - -,f4f6
2rqnrk1/1b2bppp/pn2p3/1p1pP3/3P4/1Q1B1NP1/PP1N1P1P/R1B1R1K1 b - -,b6c4
r2q1rk1/pp1n1pbp/3p2p1/2pPp3/2PnP3/1PN1B2P/P2QBPP1/R3K2R b KQ -,f7f5
3r1rk1/1p2q1pn/bN1p2np/3P1p2/PP1Bp3/7P/2B2PP1/2RQR1K1 b - b3,e7g5
r3k1nr/ppqnppbp/2pp2p1/8/P2PP3/2N2B1P/1PP2PP1/R1BQ1RK1 b kq a3,g8f6
rn3rk1/p4pp1/1pbq3p/3p4/Q7/2N3P1/PP3PBP/3RR1K1 w - -,a4h4
r2r2k1/p1q1pp1p/n3P1p1/2pP4/1pP5/2bBBP2/P1Q2P1P/2R2R1K b - -,c7e5
3R4/8/8/1p3p2/7P/2k1p3/5rP1/1K6 w - -,d8c8
2rr2k1/1b1nbpp1/pq2pn1p/1pp5/8/1P2NNPP/PB1PPPB1/1QRR2K1 w - -,d2d3
2k4r/pp3p2/2b1p2p/2P1P3/3r1P1R/P6R/2P3P1/2K2B2 b - -,h8d8
2rq1rk1/p2bppbp/3p1np1/np2P3/3P4/2N1B1PP/PP1N1PB1/R2Q1RK1 b - -,f6e8
6k1/5pp1/p3b2p/2p5/1P3R1P/2P2N2/5PPK/3r4 b - -,d1d3
5r1r/3qbppk/pnn1p2p/1pp1P1NQ/2Pp3P/1B1P2R1/PP1B1PP1/4R1K1 b - -,h7g8
1rb2k1r/p4p1p/2n1p1pP/q1npP3/1p3P1Q/2N2N2/PPP3P1/2KR1B1R w - -,c3d5
8/2R2pkp/p5p1/8/8/1P1r2PP/rP2RPK1/8 b - -,d3d6
3q2r1/3r1p1k/p1b2QpP/Pp2p3/1P2P3/1BP5/7K/3RR3 w - -,d1d7
rn1q1rk1/1p2bppp/3p1n2/4p3/p1N1P1b1/2NB1P2/PPP3PP/R1BQ1RK1 b - -,g4e6
5r1k/p5pp/8/6P1/1pq5/1P6/P1P3QP/R6K b - -,c4f4
3rrbk1/3q1ppp/8/2pPP2n/1p3P2/1p5P/PBQ3BK/2R2R2 w - -,a2b3
4r1k1/6pp/2p2p2/1p6/pP1P4/P3r3/2R1n1PP/R3BK2 w - -,c2c6
Q1b3k1/p2q1ppp/1pn5/8/4N3/P3P1P1/5PBP/6K1 w - -,e4d6
8/6Rp/p4k1P/5r2/4b1P1/2P1B3/6PK/8 b - -,f5d5
r2k3r/1p1n3p/2p1Rpp1/p1b5/2B1R3/2QP1q2/PPKB1P1P/8 w - a6,e4f4
3rr3/1b1nq1kp/1pp1pppn/p2pP3/P1PP1P2/1PN1QN2/4B1PP/R2R2K1 w - -,e2d3
5r2/pp2q1k1/7n/2P3bR/2PpPp2/P2P1Pp1/1B1Q2K1/8 b - -,g7g6
3rr1k1/ppp1qppp/2n1b3/3n2P1/3PN3/P2BB3/1PP2P1P/R2QK2R w KQ -,d1f3
4r1k1/1p3pp1/p1p5/2P2P2/1P1nr1pP/P1N5/5RK1/5R2 w - -,c3e4
8/8/1k5p/p3K2P/P4P2/5B2/8/2b5 w - -,f4f5
r1b2rk1/ppp2ppp/4n3/2p2q2/8/2NPB3/PPP1QPPP/R4RK1 w - -,f2f4
r7/4pk2/6p1/p2PR3/1prBn2P/8/P4P2/3R2K1 b - -,e4c3
2rk1r2/1p3ppp/p3p1b1/n3N3/3P2P1/2P4P/P3BP2/R3K2R w KQ -,e1d2
1R6/8/8/1k6/2p5/2Pp4/2r2P2/3K4 b - -,b5a5
3q1rk1/1p1bppbp/p2p1np1/4n3/P2NP3/1BP1B2P/2P1QPP1/R3R1K1 b - -,f6e4
3r4/1kpq3p/1pn3p1/p2p1p2/3P4/P1PBR1P1/2P1QP1P/6K1 w - a6,d3a6
3r1rk1/ppp5/7p/3p2p1/2nP1PP1/2P2q2/P4P1B/R1QR2K1 w - -,c1c2
rn1rn1k1/pp2pp1p/2p2bp1/q2p1b2/2PPP3/PP3NP1/1BQN1PBP/R4RK1 b - e3,d5e4
2q2rk1/1b2bppp/pn2pn2/1p6/1P1N4/P2BP1N1/1B3PPP/3Q1RK1 w - -,e3e4
8/2q2r1k/pp2Q1p1/5p2/2PR1Pp1/8/PP4PP/6K1 w - -,h2h3
r1bqk2r/pppp1ppp/2n5/2bPp3/4n3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,d5c6
6k1/pp1n2bp/1qp1p1p1/3pPr2/3P4/6QP/PPP1N1PK/R1B5 w - -,c2c3
4qrkr/3n1p2/b1p1pRp1/2ppP1P1/2P2Q1P/BP1P4/4N3/5RK1 w - -,e2g3
r1b2b1r/ppQ3pk/3p2np/3Ppq2/4N3/5N2/PP3PPP/R1B1R1K1 b - -,f5d7
2r1r1k1/p4pp1/1qpb2p1/1p1p4/3P2n1/2N1P3/PPQBN1RP/2R4K b - -,g4f6
1q6/5kpp/4p3/2QB1p2/5P2/1P5P/6PK/8 b - -,e6d5
r4bk1/4qn1p/6pP/pP4P1/n3Pp2/PQ1B4/1B3P2/2KR2R1 b - -,a8c8
5k2/8/4p3/4p1p1/1r2PnPp/5P1P/3R3K/3B4 w - -,d2f2
8/8/5p2/2p5/2p1kPRp/2Prb3/1P4K1/5R2 w - -,f4f5
8/1k4R1/r1p1ppp1/P1Pn2p1/2NPK1P1/7P/5P2/8 b - -,b7b8
2q1nrk1/4bb1p/2p1p3/1pPpPpp1/1P1N1P2/3NP1P1/2Q3BP/R5K1 w - -,a1a7
r1bq1rk1/pp2bppp/4p3/2ppP3/3n1P2/1P6/PBPQB1PP/RN3R1K w - -,b2d4
q4rk1/5pbp/3p1np1/1bpPn3/4P3/2N1BPN1/1P4PP/3Q1RK1 w - -,c3b5
8/3b2p1/1p1kp2p/4p3/1PPbP1P1/3KN2P/8/3B4 w - -,d1c2
rn1qk2r/pp3ppp/2pb1n2/3pp3/1PP5/P3Pb1P/1B1P1PP1/RN1QKB1R w KQkq -,d1f3
2q1r1k1/1pp2p2/3p2n1/1p1P1pP1/4rP2/P2Q2BP/1P3RK1/2R5 b - -,c8d7
2R5/5pkp/4pb2/B5p1/8/8/n4PPP/3rN1K1 w - -,g2g3
2k1B3/1p2Bpb1/1p2b1p1/3p3p/3P4/2K3PP/PP3P2/8 w - -,g3g4
8/ppk1n3/4r3/3p2P1/3b4/5B2/PP6/1KBR4 b - -,d4g7
5qk1/5p2/p4PP1/1p1Q2K1/1P5P/P7/8/8 b - -,f8b8
r1bq2k1/pppp1ppp/2n2n2/8/1b2r3/2N2PQ1/PPPB2PP/2KR1BNR b - -,e4e8
8/1pR5/p4k2/5p2/5Pr1/1P3K2/P7/8 b - -,g4g1
1r3rk1/p4ppp/8/2Q5/8/2P3P1/PP1q3P/K3RR2 w - -,e1b1
r1b3k1/1pq1bppp/p3p3/2p1n3/4N3/1P4P1/PBP1QPBP/3R2K1 w - -,e4c5
r1bq1rk1/pp2ppbp/3p1np1/8/2P5/2N3P1/PP1QPPBP/R1B2RK1 b - -,a8b8
5k2/5p1p/1P4p1/1rpN4/1p1bP3/1P3P1K/R5PP/8 w - -,a2a6
3r2k1/4Rp1p/6p1/N2p1b2/3P4/qP3PP1/3Q2BP/6K1 b - -,a3e7
r1bq1rk1/1p2ppbp/2n3p1/p2N4/3NP3/4BP2/PPP3PP/R2QK2R b KQ -,f7f5
2rq1rk1/4bppp/4p3/pb1p2P1/1p2P3/3PBPN1/PP1Q2RP/R5K1 b - -,d8d7
8/ppp2R1p/3n1pk1/3p2p1/3P2P1/P1P5/1P4PP/5RK1 b - -,g6f7
r2q1rk1/pp1nbppp/2bpp3/8/3BPP2/2N1Q3/PPP1B1PP/R4RK1 w - -,e3g3
rn1qk2r/pp3ppp/2pb1p2/8/3Pp3/2NQ4/PPP2PPP/R3K1NR w KQkq -,d3e4
8/5N2/6p1/P2K3p/5PkP/1P2b1P1/8/8 b - -,g4g3
3qkb1r/rb3ppp/1Nnp4/1Bp5/Pp2P3/5P2/1P1Q2PP/R4KNR w k -,b6c4
2k4r/pp2b2p/2p2p2/4qbp1/P7/2N1Q1P1/1P2PPBP/2KR4 w - -,e3a7
r4rk1/pp1nppbp/2p1b1p1/2Pp4/1P1PnB2/2NBPN1P/1P3PP1/R3K2R b KQ -,e6f5
8/1P2R3/8/8/3pp3/4k3/1PP2p2/5K2 b - -,e3d2
1r6/4npk1/bq2p2N/3pP1n1/p1pP3P/brP3P1/R1RQ1PB1/6K1 w - -,d2g5
2r1k2r/p2b1pp1/1pn1p3/3pPn1p/P2P4/2BB1N1P/2PK1PP1/R6R b k -,h5h4
1r2q1k1/N1pbrp1p/Rp4p1/1P2p3/2PnN3/6P1/1Q3PBP/4R1K1 b - -,g8g7
r5k1/pp1q1r1p/6p1/P1PPb3/3p1p2/1Q1PpP2/6PP/1RB2RK1 w - -,c1b2
r4rk1/1p3pbp/p5p1/2B5/2P2q2/QP1p1B2/P1b2PPP/4RRK1 w - -,c5f8
r4rk1/1p3ppp/p1nqpn2/3p4/3P4/2NQPN2/PP3PPP/3RR1K1 b - -,a8c8
3rr1k1/pp3p1p/3P1bp1/q1p5/1nQ5/5N2/PP1RBPPP/5RK1 w - -,c4f4
r1r2Nk1/1b3pp1/p3pn2/1p6/q7/6P1/PP2QP2/1BRRB1K1 b - -,g8f8
8/3k4/4p3/2r1B2r/8/8/KP1R2B1/8 b - -,d7c8
6k1/3q1pp1/4nr1p/p1pBQ3/1PP5/1P4P1/5PKP/4R3 b - -,c5b4
5rk1/1q3ppp/pp3nn1/3P3r/7P/NP2NPP1/P3QK2/3R1R2 b - -,f6d5
3rr1k1/5pbp/p1q1pnp1/2pbB3/2N2P2/1P1B4/P1RPQ1PP/5R1K w - -,c4e3
5bk1/1q3ppp/1p1r1n2/nP1p4/3PpN2/2Q1P1BP/5PP1/2R2NK1 b - -,d6d8
6k1/pb1q4/1p5p/8/1P4p1/P1N1P2P/2Qr1PP1/2R3K1 w - -,c2g6
2r3k1/ppq2pp1/3bpn1p/3r3P/6P1/3N4/PPP1QP2/1KBR3R w - -,h1g1
2B5/6r1/7p/5p1p/3k1K2/5PP1/8/8 b - -,d4d5
b1rr2k1/p3ppbp/1n4p1/q1P1P3/3N4/p2B1P1P/4Q1P1/BRR3K1 w - -,d4b3
rn2kb1r/1bqp1ppp/4pn2/p7/1p2PP2/1N1BB3/PPP1Q1PP/R2N1RK1 b kq -,f6e4
8/2B1k3/p2p1p2/2pPpP2/2P1P3/6P1/P6K/2r5 w - -,g3g4
2r2k2/p4p1p/6pb/4p3/4P2P/3b1P2/PP4P1/1K1R2NR w - -,b1a1
rnb1kb1r/4pppp/p7/q1pPB3/1pP5/1R1B4/P2N1PPP/3Q1RK1 b kq -,b8d7
R7/1r3qkp/3P1pp1/2pQp3/1p2P3/1P5P/5PP1/6K1 w - -,d5c5
8/7p/4k1pP/p4p2/5P2/p3r1P1/2P3R1/K7 b - -,e6d5
1r3nk1/1pq2pb1/1N1p2p1/PnpP2Pp/1r6/R2Q3B/1P2PP2/2B2RK1 w - -,a3a2
r2q1rk1/pb1p1ppp/1p6/2bpP3/2B5/5Q2/PPP2PPP/R1B2RK1 w - -,c4d5
2rr4/5pk1/pp1p1bp1/4p2p/2PnP3/1P2BP1P/P2R2P1/3R1B1K w - -,h1g1
2r3k1/1p4p1/2p1rp2/1P1p1n2/3P1Bp1/4P2P/2R2P2/2R4K w - -,h3g4
8/p2b1r1k/1p1RpB1p/6P1/2P1p1P1/PP2P1K1/8/8 b - -,h6g5
5r2/2p2k1p/p1p1b3/5pP1/2P2N2/1P4P1/5K1P/3R4 w - -,d1e1
8/8/3k4/2pP1p2/4pN2/5PP1/1r2B1K1/8 b - -,c5c4
5r1k/pp4pp/8/8/2Q1p3/5p1P/1PPq2PK/5R2 w - -,f1g1
r2qkb1r/pp1n1ppp/2p1pn2/5b2/2QP4/2N2NP1/PP2PPBP/R1B1K2R b KQkq -,f8e7:d7b6
5k1r/p5b1/8/8/P4PP1/3B2KP/8/8 b - -,g7c3
br1r2k1/n1qnbppp/pp1pp3/8/PPP1PP2/2NBB3/R4QPP/1N1R2K1 b - -,a7c8
1rbk1b1r/3pnQ1p/pq6/2p1Pp2/N4P2/1P6/P1PB3P/2KR2R1 b - -,b6c6
2r1k2r/2qbbp2/p2pp2p/8/2p1P3/PNN5/1PP4P/1K1R1Q1R w k -,b3d2
r1b2rk1/1p3np1/p4q1p/2b1pp2/8/1N4P1/PPQ1PPBP/2RR2K1 w - -,b3c5
2r1r2k/Q3n1pP/5p2/1b3P1P/p1p1p3/2Bq4/PP4B1/2R2RK1 b - -,e7d5
