8/1P2Q2p/7k/3q1p2/5K2/6P1/8/8 b - -,d5d4
1rb1k2r/3p3p/ppn1p1pn/5p2/2P5/1P1NP3/PN2BPPP/R3K2R b KQk -,h6f7
r2qr1k1/ppp2pbp/3pbnp1/8/1n2P3/2N2NPP/PPP2PB1/R1BQR1K1 b - -,h7h6
7r/3q1kb1/2n3pp/1p1p1p2/2pP1B1P/2P1Q1PB/1P3P1K/4R3 w - -,e3e2
r1b2rk1/1p3qb1/p1n1p2p/5p2/2n2Pp1/2NQ2P1/PP2PNBP/R1B2RK1 b - -,c4b6
r4rk1/1pq2ppp/p1p1b3/4n1Q1/3R4/2N1PB2/PP3PPP/5RK1 w - -,f3e2
QR6/1K6/8/4kp2/8/8/8/r7 b - -,a1a8
rnbqk2r/pp3pp1/4p3/2ppn1P1/7P/3P2Q1/PPP5/RNB1KB1R b KQkq -,b8c6
2r1b1k1/6pp/3qp1n1/p2pNp2/Pp1Pn3/3NP1P1/BP3PP1/3Q1RK1 w - -,e5g6
6k1/pp5p/1np3pr/3pP3/3P2q1/3Q2N1/PP3PP1/5RK1 w - -,b2b3
8/8/1pR5/1kbP4/1r3pP1/5P2/P1R1K3/8 b - -,b4a4
r5k1/p5bp/1pp3p1/4p3/8/N1P1P1P1/PP5P/3R1K2 w - -,d1d7
6k1/1N4p1/4p2p/1N6/6P1/4PP2/nb5P/7K w - -,b7d8
rnb1kb1r/pp1p1ppp/2p2n2/q3p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,f1e2
6k1/7p/r3p3/8/3B1PK1/8/7P/8 b - -,g8f7
8/4nk2/5p2/7p/pK6/8/3B3P/8 b - -,f7e6
r1bq1rk1/bpp2ppp/p1n5/2P1p2n/1P2N3/3P1N1P/P3BPP1/R1BQ1RK1 b - -,c6b4
8/p1k2p2/1p1pb2R/1P1p3P/P2P1r2/2P2B2/6K1/8 b - -,e6g4
8/3r2k1/pp3pp1/3p4/P1nNr3/2P3R1/1P4PP/3R2K1 w - -,b2b3
4r1k1/p1q4p/1pb3p1/2p2p2/2Pp4/Q2PnP1R/PP2P3/6RK w - -,b2b4
rnbqk2r/ppp1bppp/3p1n2/8/2NP4/2NB4/PPP2PPP/R1BQK2R b KQkq -,b8c6
8/1R6/p1p5/P1Pp4/2bN1k2/8/7r/2K5 w - -,d4c6
3rr1k1/pR3bqp/2p2pp1/8/P2pN2Q/2P2P2/6PP/4R1K1 b - -,g6g5
2b3k1/p5Pp/1p4p1/8/1P1p1r2/1N5P/P4KP1/3R4 w - -,f2g3
3r4/1p4k1/5qpp/p2n1p2/P1BQ4/8/1P3PPP/3R2K1 b - -,f6d4
8/6p1/8/1n1k1p2/1P1P1P1N/3K2P1/8/8 b - -,b5d4
5rk1/p4ppp/5n2/3r4/3p4/P2B4/1P3PPP/R2R2K1 b - -,f8d8
8/4k3/5p1p/1p1p1PpN/pP1P2PP/P6K/4b3/8 b - -,e2f1
r2r4/pb3pkp/1p4p1/2pBp1q1/4P3/2P3P1/PPQ2P1P/3RR1K1 b - -,b7d5
r1bqk2r/pppnnpbp/3pp1p1/8/3PP3/3BBN1P/PPP2PP1/RN1QK2R w KQkq -,d1d2
8/5pk1/7p/1R4p1/p5P1/P7/1Pr2PKP/8 w - -,g2g3
r1bq1rk1/1p2bppp/1npp4/p1B5/P3P3/1BN2N1P/1PP2PP1/R2QR1K1 b - -,d6c5
rqb2rk1/pp1n1ppp/3b4/3pP3/8/1P1BPN2/PB3PPP/2RQ1RK1 b - -,d6e7
r4br1/pp1k1p1p/2p1bp2/3p1N2/3P3P/3BP3/PP3PP1/2KR3R w - -,h1g1
r2q1rk1/2pn1ppp/p2bp3/1p2N3/3P1P2/1N6/PP2PPbP/R1Q2RK1 w - -,g1g2
5k2/pR4p1/8/4p3/6K1/8/6r1/8 w - -,g4f5
r2r2k1/1p2ppbp/2n1b1p1/p2q4/3P4/PP2BN1P/4BPP1/2RQ1RK1 w - -,e2c4
8/1b2kp1Q/4p3/1P2q3/8/PKN2n2/2P5/8 b - -,f3d4
r1bqk2r/1p3pp1/p2bp2p/2pnN3/3P4/2P5/PP1B1PPP/R2QKB1R w KQkq -,d1a4
rnbqkb1r/pp3ppp/1np1p3/3pP3/3P1P2/3B4/PPP3PP/RNBQK1NR w KQkq -,g1f3
2rqr1k1/1p2ppb1/p1np2pp/8/P1P1P1nB/1PN5/4NPPP/2RQ1RK1 w - -,h2h3
8/4b3/1R6/p4k2/b1K5/8/8/8 b - -,a4d1
r3k2r/1bqnbpp1/pp1ppn2/7p/2PNPP2/2N1B1P1/PP4BP/R2QR1K1 w kq h6,h2h3
2r3k1/p2r1p2/1p1qbRp1/6Qp/2ppP3/P2P1N1P/1PP3P1/5RK1 w - -,e4e5
8/1q2r2p/1p1Q2p1/p3Pp2/P1kp4/8/6PP/2R2K2 b - -,c4b3
r1b2rk1/q2n1pbp/2p3p1/2p2P2/p2pP2Q/3P1N1P/PPPBN3/R4R1K b - -,f8e8
8/4n1k1/8/6KP/6P1/5N2/8/8 b - -,e7d5
1rb3k1/pp6/2p2p1p/6p1/2P1P3/4p3/PP2B1PP/3R2K1 w - -,d1d8
n1q3k1/p5p1/1pn1p2p/3pPP1P/3P1B1N/P7/1P2QPK1/8 b - -,c6d4
3rr1k1/pb1nqppp/1ppbpn2/8/2PPp3/1PN2N2/PBQ1BPPP/3RR1K1 w - -,c3e4
2r5/1p1q2kp/p2p1np1/3Ppn2/PPr5/2N2PPP/1B1Q2K1/R1R5 w - -,c3e4
6k1/4ppbp/4n1p1/pr2P1P1/3Bp2P/2P5/PPKR4/4N3 w - -,d2e2
2bn2k1/p4pp1/1p5p/3pPp2/1PqP4/P5N1/5PPP/2BQ2K1 w - -,c1e3
r4rk1/1b3ppp/pq1p1b2/1p2pP2/4P3/1PNQ4/1PP1N1PP/R4RK1 w - -,g1h1
r2qk2r/1pp2pp1/p1npbn1p/4p3/4P3/P1NPPNP1/1PP3BP/R2Q1RK1 b kq -,c6e7
r2qk2r/pb3ppp/1pn5/2bp4/8/3BBP2/PPPQN1PP/R3K2R b KQkq -,e8g8
2k2r1r/2q5/1nn1p3/1p1pPpbp/p1pP4/P1P1NN2/1P2Q1PP/2B2RRK b - -,g5d8
r6r/4qpk1/4p1p1/2R4p/3P4/2Q5/b4PPP/1B2R1K1 w - -,b1a2
2k5/1p2R2p/p6r/5p2/P1K2P2/6P1/7P/8 w - -,e7f7
8/5p2/5k1p/6p1/p3R1P1/5B1P/1q3PK1/8 w - -,e4a4
2R5/8/5kb1/7p/8/1r5P/3B2PK/8 b - -,b3d3
3rr1k1/1pq1bp1p/n5p1/p3p3/2PpR1P1/1P3P1P/PB4K1/1BQR4 w - -,g4g5
r4rk1/pb3ppp/1p1n1n2/3p4/8/4PN2/PP1NBPPP/R4RK1 w - -,a1c1
r1q5/2pb2k1/1p1p1np1/1N1Pp1bp/PBP1P3/5R1P/6P1/3BQ1K1 w - -,d1c2
2r5/ppb1k1p1/4rq1p/nP1Q4/8/P5PB/4PP1P/2RR2K1 b - -,e6d6
8/3r3k/1p1pR3/2pP2pp/1PPP4/2K5/6PP/8 b - -,c5d4
r5k1/pp1r1pp1/q3p2p/3PR3/7P/1P1R4/P3QPP1/6K1 w - -,e2d2
8/8/8/1K2k3/P3r3/8/4p3/5R2 w - -,f1e1
1r1q1rk1/p1p2ppp/3bpn2/2pp4/5P2/1P1P1QP1/PBP2P1P/RN3RK1 b - -,c7c6
2r1kb1r/1p1bpppp/p2p1n2/q7/3QP3/2N5/PPPBBPPP/R4RK1 b k -,a5c5
5rk1/p1p3p1/1p1p3p/3n4/2r1R3/P1P2KP1/3B3P/5R2 w - -,e4f4
rnbq1rk1/ppp2ppp/3p1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQ -,e1g1
r1b1k2r/1ppp1pp1/p1n2q1p/3Q4/1b2P3/PB6/1PP2PPP/RNB2RK1 b kq -,b4a5
r2qkb1r/pp1n1ppp/2p1pn2/3p1b2/2P5/1PN1PN2/PB1PBPPP/R2QK2R b KQkq -,f8e7
2rr2k1/p1q1bppp/2n1p3/Pbpn4/1pN2P2/1N1PP1P1/1PQ3BP/R1BR2K1 w - -,c2e2
8/5k2/1p2pPn1/pP1p1r2/P1rP3p/1KP2R2/3B3P/R7 w - -,f3f5
r2q1rk1/1b1n1pbp/p2p1np1/Pp1Pp3/4P3/5NP1/1P1N1PBP/R1BQR1K1 w - -,b2b4
