8/8/6p1/P7/P2K1k2/5r2/7p/R7 b - -,f3a3
Q2R4/6p1/5nkp/6p1/2r5/2bq3P/6PB/4R2K b - -,d3f5
2r3k1/pb1n1p2/1p6/PP1pr1pp/2p1n3/4P1P1/4NPBP/R1R1B1K1 b - -,d7c5
r3kbnr/1pp2q2/p3bp2/2p4p/4P1p1/1NN2QBP/PPP2PP1/R4RK1 w kq -,f3e3
6k1/5p1p/4p1pP/p3P1P1/2pPBP2/5Q2/P5K1/2q1b3 b - -,c1d2
rnb2rk1/ppp1qpp1/5n1p/3p4/8/2PBPNP1/PPQN1PP1/2KR3R b - -,c7c5
3r2k1/2p1qp2/2B3pb/8/3pP3/2P3PP/2Q2P2/3R2K1 b - -,h6g7
rn1q1rk1/pp2bppp/2p1bn2/3p4/3P3N/2NQ1PP1/PP2P1BP/R1B2RK1 b - -,d8c8
5r1k/5r1p/p4n2/1p1pQ3/6P1/2P2B2/PP4KP/8 b - -,h8g8
r2q1rk1/pb1n1ppp/1p2pn2/6B1/2BP4/2b2N2/PP3PPP/2RQR1K1 w - -,b2c3
rr3q2/3b2k1/3p1n2/pppnpPp1/8/PPPB1QNP/3N1P1K/2R1R3 b - -,f8h8
r2qk2r/1ppb1pb1/3p1np1/p1nPp2p/2P1P3/2N1B2P/PPQ2PP1/R1N1KB1R w KQkq -,c1b3
r1nqk2r/2p2pb1/3p2p1/p2Pn1Pp/Pp2PN1P/1B2B3/1PPQ4/2K2R1R w kq -,h1g1
3q1rk1/pb4pp/1pr1p3/5pb1/3P4/P1NQ1N2/1P3PPP/R3R1K1 w - -,a1d1
6B1/ppp5/2k3b1/7p/3Bn2P/8/PP3PK1/8 b - -,e4d6
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/3BPN2/PP1N1PPP/R1BQR1K1 b - -,f8e8
r4rk1/1b1nqppp/pp2pn2/2p1N3/PbBP1P2/2N1P3/1P4PP/R2QBRK1 w - c6,d1e2
6r1/pp3p2/1bp1nkp1/4p2p/PPB1P2P/2P1BP2/2K2P2/6R1 w - -,a4a5
2r5/k1q5/3p4/4p3/1P2Bp2/1KPQ4/8/8 b - -,c7b6:c8h8
r4rk1/1b1q2bp/p1npp1p1/1pp5/1PP1pP2/P2P1BP1/4NB1P/1R1QR2K w - -,d3e4
4b3/2b5/4pk2/4N2p/3PPKp1/6P1/4B3/8 w - -,e2d3
2r5/k1q2r2/4p1Q1/1p1p2Pp/pPnP1P1P/P1P5/K3R3/5R2 w - -,g6e6
3q1rk1/Q2n1pp1/4pbbp/p7/P3n3/1P2B2P/N2NBPP1/2R3K1 w - -,c1d1
2r2rk1/ppq1ppbp/5np1/1bn5/2P5/Q5P1/P2NPPBP/BR3RK1 w - -,c4b5
5rk1/1p1qppbp/1nn3p1/r2pPb2/p2P1P1N/1PNBB3/P2Q2PP/R4RK1 b - -,f5d3
5k1R/p2RrN2/4p3/1p2P3/8/1P2q3/P5PK/8 b - -,f8f7
r1bqr1k1/1pp2ppp/1n3b2/p2P4/P2N4/1PN1BP1P/1P1Q2P1/R4RK1 b - -,b6d5
8/8/6p1/2k1pp1p/7P/3K1PP1/2n3N1/8 b - -,c2d4
8/8/1k6/3K4/p7/Pn1B4/8/1N6 w - -,d5c4
r4rk1/pp2pp1p/n2p2p1/8/2Q1P3/PN3P2/1b4PP/5RK1 w - -,a3a4
1r6/2Rnkpbp/r3p3/p2p1p2/N2P4/1P3BP1/P4P1P/3R2K1 b - -,a6d6
rnbqr1k1/pp2bppp/2p2n2/3p4/2PP4/3B1N1P/PP3PP1/RNBQR1K1 b - c3,d5c4
r1b1kb1r/pp3ppp/1qn1pn2/2pp2B1/3P4/1QP1P3/PP1N1PPP/R3KBNR w KQkq -,f2f4
4r1k1/pbp1n1b1/1p1qn1p1/1Pp4p/4P2Q/B2P2P1/1N4BP/2R1R2K w - -,c1d1
r2q1rk1/pp2ppbp/2n2np1/3p4/2PP2b1/1P1B1N2/PB1N1PPP/R2Q1RK1 w - -,h2h3
2b3k1/1p2rppB/2p1pn1p/7q/1PPP4/r3QN1P/5RP1/5RK1 b - -,g8h7
2b1r3/1p3pk1/r1nRp1pp/2B5/2B2P2/8/PP4PP/3R2K1 b - -,a6a8
