8/4kb2/8/6Rr/5K2/P5P1/8/8 b - -,h5h6
3r1r1k/pp3pbb/7p/3B4/qP3Q2/P4N2/5PPP/2R1R1K1 w - -,d5b7
8/kp6/3Q3p/p2p4/3P2Pq/2Pb4/PP1K1P2/R7 b - -,d3c4
r2r2k1/pp3ppp/2p1p3/2n1P3/2P4n/1PN1QPqP/PB1R2P1/R5K1 w - -,a1f1
6k1/2n2p1p/2p3p1/1p2p3/1P2P3/3BbKPP/5P2/8 w - -,f3e3
8/8/5pk1/4b3/7R/4B3/r3PPK1/8 w - -,g2f3
4r3/6k1/6R1/8/4B1p1/5PK1/8/8 b - -,g7f7
8/p1pn1kpp/2pp4/8/4P3/1P1NK3/P1P3PP/8 b - -,f7f6
1kr5/1b2p3/1p3p2/4b2P/p7/1B6/P2Q1PP1/6K1 w - -,b3a4
r3kb1r/1ppqnppp/p2p1n2/3Pp3/4P3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,h7h6
2rr1k2/1R3pp1/p3pb2/2q4p/PQ6/3B1P2/2P3PP/3R3K w - -,b4e4
r2qkbnr/pp1n1ppp/2p1p1b1/8/3P4/3B1NN1/PPP2PPP/R1BQ1RK1 b kq -,g8f6
4R3/8/K7/1P6/6P1/7P/4pk2/r7 w - -,a6b7
r1bqk1nr/pppp1pbp/2n3p1/4P3/8/2P3P1/PP2PPBP/RNBQK1NR b KQkq -,c6e5
3r1bk1/5pp1/2Q4p/q2N4/1p6/6P1/PP2PP1P/3R2K1 b - -,d8d6
3r1nk1/5p2/p2P1Pp1/1pp4r/P3q3/1PN1R3/7P/3R2K1 w - -,e3e4
r2r2k1/5ppp/p3pn2/2b1N3/R7/6P1/1P2PPbP/2B2RK1 w - -,g1g2
1rb2rk1/2q2ppp/p1np1b2/1p1Bp3/4P3/NP2B3/P1P2PPP/R2Q1RK1 b - -,c6e7
8/8/4p3/p3P1p1/6b1/1k4B1/3Kp3/4Rr2 w - -,d2c1
r2q1rk1/ppp2ppp/2np1n2/1Bb1p1B1/4P1b1/2NP1N2/PPP2PPP/R2Q1RK1 w - -,b5c6
r2qr1k1/1b2bppp/ppnppn2/8/2P1P3/N1N1BP2/PP1QB1PP/R4RK1 b - -,d6d5
6r1/1Npk4/1p4rp/2p1p3/P3pp2/2P2P2/1Q4PP/1R4K1 b - -,e4f3
r2q1rk1/pp3ppp/2nb1n2/1B1p4/6b1/1PN1PN1P/PB3PP1/R2Q1RK1 b - -,g4h5
r4rk1/2qnbppp/p2pbB2/1p2p3/4P3/1BN2N2/PPP1QPPP/2KR3R b - -,d7f6
3rr1k1/1p2qpbn/pN1p2pp/P1pPn3/4P3/2N1B3/1P2QPPP/4RR1K w - -,f2f4
r7/pp3p1p/1k1R2p1/8/6P1/4n3/PP5P/2R3K1 b - -,b6b5
3r4/p2qp1k1/1p3p2/6pp/1P1rQ2P/P5P1/2R1PPK1/5R2 w - -,e4c6
r5r1/p3k3/2b1p3/1p2P2P/2p1B3/6R1/PP3PP1/4R1K1 b - -,c6d5
r3nrk1/6b1/p2p2q1/2pPpb2/4NppB/R2B1P1P/1PP5/2Q1R1K1 w - -,h3g4
r1b1r1k1/pp2qppp/3R4/2p5/4N3/6Q1/PPP1BPPP/2K4R b - -,e7e4
r2r2k1/pp1qppbp/2n3p1/8/3PP3/4BN2/P4PPP/1R1Q1RK1 w - -,d4d5
3r2k1/ppp1r1p1/8/4p2P/4P1R1/2P5/PP1N1b2/2KR4 w - -,d2f1
4R3/pr4kp/3q2p1/2pP1b2/5p2/2N2B2/PP2R1PP/2K5 b - -,c5c4
8/8/5pk1/1P6/2R2B2/1Kb5/2P5/r7 b - -,c3e1
r1bk3r/pp4pp/3p4/1NpP1P2/2P3P1/7P/PP2QPK1/4R3 b - -,c8d7
6k1/ppq3p1/2p2nP1/3p4/3Pr3/4PQ2/PPP5/R4NK1 w - -,g1f2
4kb1r/pp3p1p/2b1pPp1/6N1/2B4P/2P5/PP4P1/2K4R w - -,c1c2
r4rk1/pp2ppbp/1qnp1np1/3P4/5P2/6PP/PPP1N1BK/R1BQ1R2 b - -,c6b4
r1b1kbnr/2qp1ppp/p3p3/1p6/4P3/3PBN2/PP3PPP/RN1Q1RK1 w kq b6,b1c3
1bk5/1p3pNr/1Pp1q3/2Pp2p1/3P2P1/P3PQ2/6R1/4BK2 b - -,h7g7
rn2kb1r/1p3ppp/p3b3/3qp3/6P1/1N2B3/PPP2P1P/R2QKBR1 b Qkq -,b8c6
4b3/2p3p1/1p1k1p1p/p1p2B2/4PPPP/P1P1K3/1P6/8 b - -,e8c6
6k1/3R3R/7p/p2n3P/8/2r5/4K3/r7 w - -,d7g7
1n3rk1/p2b2bp/3Rp3/5p2/2r2P2/2B3PP/1P2N1BK/5R2 b - -,g7c3
r1q2rk1/2p2pb1/pp2b1n1/8/4P1Pp/2P4B/PPN1Q2B/1K1R3R b - -,c8e8
2rr2k1/pb1q1pp1/1p2pb1p/1P6/P2pB3/3Q2P1/1B1PPP1P/R3R1K1 b - -,b7e4
rn2k2r/1bq1bppp/p2ppn2/1pp2P2/4P3/2NP2PP/PPP1N1B1/R1BQ1RK1 b kq -,b8c6
r1br2k1/pp3p1p/2pp2p1/4n1b1/3RPN2/P1N3PP/1P2B1P1/5RK1 w - -,f1d1
5rk1/1b1nqpbp/1pp1p1p1/3n4/QP1PN3/3BPN2/1B3PPP/2R3K1 w - -,a4a7
r2q2k1/1bp3pp/p7/2npQp2/8/1P3N2/P4PPP/2B2RK1 b - -,d8d7
8/6pk/6p1/6P1/5P1P/3R4/7K/r7 b - -,a1f1
r2q1rk1/pp3pb1/3p2p1/8/3n2Q1/P1N2B2/1P3PP1/R4RK1 w - -,f3b7
2q2k1r/1p3R2/p3Pb1p/3p1Q2/1P6/P7/7K/8 b - -,f8e8
7k/4pq1p/5p2/2pNbP2/8/P4Q1P/1r4P1/3R3K w - -,d5f4
r2q1rk1/4ppbp/p2pbnp1/1pn5/2P1PP1B/1PN2B2/P2QN1PP/3RK2R w K b6,e4e5
r3r1k1/ppp2ppp/1b6/B2P4/3N4/P4B2/5PPP/3R2K1 w - -,a5c3
r1r3k1/5bbp/3p2p1/1q2pP2/P2pP1P1/7P/PB4BK/1R1Q1R2 b - -,b5a4
8/8/p2r3p/4k1p1/5p2/P1R3PP/2K5/8 b - -,e5e4
8/2r4p/8/1R1pk1p1/8/P3KP2/P5PP/8 b - -,c7c3
2r5/p2k2pp/1p1rpp2/8/1P1n1N1P/8/P1P2PP1/1R3RK1 w - -,f4h5
r2qk2r/pbpnbppp/1p1p4/8/1n1PP3/4NN2/PP2QPPP/RBB1K2R b KQkq -,e8g8
rn1q1rk1/pbp1bppp/3ppn2/1p6/P3P3/3P1NP1/1PP2PBP/RNBQR1K1 b - a3,a7a6
r3q1k1/ppp1p3/4b1pB/4b3/4N2Q/5P2/PP3P1P/2R3K1 w - -,h6f4
6k1/pp4pp/2b5/2PqPp2/3P1P2/P3KP2/4Q3/8 w - -,e2f1
r3k2r/pp3p2/4p2p/1b1pP1pP/3P4/P3B3/2PK1PP1/R6R w kq -,g2g4
r4rk1/pp3pp1/2n1bq1p/1Npp4/1b1P4/4PN2/PP2BPPP/R2Q1RK1 b - -,c5c4
8/8/8/8/8/1pN2pk1/1P5p/7K b - -,f3f2
3rk2r/1p3pp1/1qb1p2p/2b1P3/p2p1P2/Pn1B1NP1/1P2Q1P1/1RB1R2K w k -,f4f5
2r1r1k1/p3qpbp/1n4p1/2p1P3/3p4/1P2QNP1/PB3PKP/2R4R w - -,e3d3
rn3rk1/pbq1ppbp/1p4p1/2p5/3PP3/2PQ1N2/P3BPPP/1RB2RK1 w - -,c1g5
r3r1k1/R2K2Pp/3P4/8/1P6/7P/p7/B7 b - -,e8d8
r1b2rk1/2qnbppp/p2ppn2/1p6/3NP1PP/2N1BP2/PPPQ4/1K1R1B1R b - h3,c8b7
rn2k2r/ppp2ppp/2b1p3/2b5/4PP2/5NP1/PPP4P/R1BK1B1R w kq -,f1d3
4r1k1/4r1pp/1p6/1PbbB2P/p2p1PP1/P2B2K1/8/2R1R3 w - -,g3f2
8/6Rp/8/4k3/7K/1pP5/7P/7r w - -,g7b7
7Q/8/8/5kp1/5r2/4K3/8/8 w - -,h8c8
