3k4/8/1PBp4/2n1p3/2P2p2/8/2PK1P2/8 b - -,d8c8
2rbkr2/pR1R1ppp/1p2p3/1N2n3/8/4B3/PPP2PPP/2K5 b - -,c8c2
rn2k2r/pp2bppp/2p1pnb1/q7/2BP4/2N1B1N1/PPP2PPP/R2QR1K1 b kq -,e8g8
8/pppk1p1B/8/5p2/8/P6b/1PPK1P2/8 w - -,d2e3
8/2K1n3/2P5/2k1p2p/4p2N/7P/P7/8 w - -,c7d7
rnbqkb1r/ppppp2p/6p1/8/3P2n1/2NQ4/PPP1PP2/R1B1KBNR b KQkq -,d7d5
3q1b2/6k1/1p3rp1/p1pPp2p/P3B2P/2RQ2P1/1P3PK1/8 b - -,f8d6
2rqrbk1/1b3ppp/1pn1pn2/p2p4/2PP4/PP1B1N2/1B1NQPPP/2RR2K1 w - a6,d2f1
r4rk1/p4ppp/b1n1p3/1qb5/R1N1P3/6P1/1PQ2PBP/2B2RK1 w - -,c4a3
8/8/6p1/5p1p/3P1P1P/3k1KP1/r4B2/8 b - -,a2a1
r1b2rk1/ppp1qppp/3p1n2/4N3/2P1P3/2NB4/PP1Q1PPP/2KR3R b - -,d6e5
r1b2rk1/1p2ppbp/2np2p1/q2P4/p1P5/6PP/PP1N1PB1/1RBQ1RK1 b - -,c6b4
r5k1/1bq2pbp/6p1/2pp4/1p4P1/1Pn1P2P/P1QRNPB1/2R3K1 b - -,a8a2
2rq1rk1/pb1nbpp1/1p2pn1p/2ppN3/2PP4/1P1BP3/PBQN1PPP/R4RK1 w - -,f2f4
r2q1rk1/ppp2pp1/2bbpn1p/8/3P3B/2PB1N2/PP2QPPP/R4RK1 b - -,d6e7
2r3k1/pb1qp2p/1p1p2p1/3P1r2/2PN2p1/1P4P1/PR1Q1P1P/5RK1 b - -,f5f6
7k/8/p3R3/5p2/2P5/3N1bPP/r7/6K1 w - -,e6e3
1r5k/3q2rp/5P1Q/2p1p3/p2pP2P/P2P4/1P4RK/8 w - -,g2g7
1r1q1rk1/2p2ppp/1b1p4/7n/3PP3/5P2/1PB2P1P/R1BQ1R1K b - -,d8f6
r1b2rk1/p1bn1ppp/2q2n2/1pPppBB1/1P1P4/2N2N2/P1Q2PPP/R4RK1 w - b6,d4e5
r2r2k1/2q4p/4p1p1/1p6/4P1n1/P1bp1RN1/P2B2PP/3RQ1K1 b - -,a8a3
R7/2b1k1p1/p1rn1p1p/4pP2/4P2B/1KPB3P/1P6/8 b - -,d6b7
3Nn3/8/7p/2pPkppP/n1P5/3K1PPB/8/8 w - -,d8f7
4k1r1/1qr1pp1p/3p2pP/p1nP1PP1/2PQ4/1P2R3/P6K/1B2R3 b - -,c5d7
8/6bP/p7/4k2B/4pp2/8/P6P/5K2 w - -,f1f2
2rr2k1/ppq1nppp/1n2p3/4Pb2/P1PP4/4BN2/3QB1PP/R1R3K1 w - -,d4d5
r1bq1rk1/pp2b1pp/1np1Pn2/3p1p2/3N4/1PNQ2P1/P3PPBP/R1B2RK1 w - -,a2a4
