8/8/8/2K5/8/2n4k/1p6/6R1 b - -,h3h2
2rq1rk1/pp3pp1/2nbpn1p/3p4/N2P4/P2BPQ2/1P1B1PPP/R1R3K1 b - -,e6e5
r2qk2r/1p1nbppp/p2pb3/4p3/4P3/1NN1Q1P1/PPP2P1P/2KR1B1R w kq -,f2f4
8/8/2k1p3/5p1p/3Kp3/6PP/5P2/8 w - -,d4e5
1r3bk1/3n1p1p/R2qpnp1/1P6/N2P4/4PN2/1P1BBPPP/5RK1 b - -,d6d5
2rk4/KBr2p2/p3p1p1/2P4p/1R1P3P/2P1P3/6P1/8 w - -,a7a6
r3nbk1/Np4r1/1P1p4/3Pp1qp/4Ppp1/1Q3P2/1P3NPP/R4R1K b - -,e8f6
6k1/1R3pp1/7p/7n/2BKRr2/7P/PP4r1/8 b - -,f4f6
r1br2k1/ppq2ppp/1nnbp3/2p3B1/3P4/1BP2N2/PP2QPPP/RN2R1K1 b - -,c6e7
rq1r2k1/pb2bpp1/1pnpn2p/4p3/2P1P3/PNN1BPP1/1P1QB2P/3R1RK1 b - -,e6c5
7r/1p2r3/pR2pk2/P2p1np1/3P3p/1PPB2P1/5PK1/7R w - -,h1e1
r1br4/p4p1k/5Pp1/2P3Qp/5R2/1p5P/6P1/6K1 b - -,b3b2
6k1/3qbp1p/pr1p2p1/4p3/4B3/8/5PPP/2BQ1RK1 w - -,c1e3
1r3r1k/pQp3qp/6p1/2pNpbbn/2P4P/5BP1/PP3P2/3RK1NR w K -,b7c7
1r2b3/5pk1/pp2nnpp/2pNN3/P1P1P3/1P1B3P/5PP1/4R1K1 w - -,e5f3
rn2kbnr/p3pppp/2p1q3/8/PppP4/4P3/1P2NPPP/R1BQKB1R b KQkq -,g7g5
r1bqk2r/ppp1bpp1/4p2p/3n4/3P3P/4BN2/PPPQ1PP1/R3KB1R b KQkq -,a7a6
4r1k1/5pbp/r2p2p1/1qpPp3/1n6/R2PB1PP/1P1Q1PBK/3R4 w - -,f2f4
2r3k1/p4p1p/1p1p2p1/1PnP4/P4P2/6P1/R2R3P/2rB3K w - -,h1g2
k5r1/p4R2/1p2p3/7R/7P/8/r4PP1/6K1 w - -,g2g3
8/8/P7/7k/5Rpp/7P/r4KP1/8 w - -,f2f1
8/2R3pp/br2k3/4P3/1b3P2/7P/5PP1/6K1 b - -,b4d2
2b2rk1/1pp3pp/pb3p2/2n5/1P6/2P2NB1/P1B2PPP/3R2K1 b - b3,c5e6
2rq1rk1/pb2ppbp/1pnp2p1/2n5/4PP2/1NN1BB2/PPPQ2PP/R4R1K w - -,a1d1
8/2p2ppp/3k4/4N3/4n3/4PP2/2r3PP/4K2R w - -,e5d3
8/7p/5k1P/6p1/1B6/p7/Pb4K1/8 b - -,g5g4
1r3bk1/2n1p2p/1r1p2p1/N1pPPp2/P4P2/1P2B3/1R1R2PP/6K1 w - -,a5c6
2rr2k1/1b1nqpp1/pb5p/1p1p4/1B2NP2/P2BP3/1P2Q1PP/R4R1K b - -,d7c5
3rr1k1/6q1/pp1pp1pp/2b2p2/1nPn1P2/1PN2PP1/P2B2KP/1B1RRQ2 b - -,g6g5
rkb5/1p4Q1/pnn1p3/2qp4/5P2/P1N4N/1PP3P1/2KR1B2 w - -,g7g3
5k2/1n2n2p/3p2p1/1PpPp1P1/4R1P1/4N3/5q1P/6K1 w - -,g1f2
2rqr1k1/p3bppp/bp3n2/2np4/1P6/P1N3P1/1B1NPPBP/R2QR1K1 b - -,c5e6
8/7p/6p1/8/5b2/6kP/8/2B2K2 w - -,c1b2
3r1rk1/1pq2p2/p1b4p/2Pp2p1/3RP1Q1/6P1/PP3PBP/2R4K b - -,d5e4
5rk1/B3pp1p/6p1/2Rbb3/8/6P1/n3PP1P/5BK1 w - -,c5d5
8/ppp3kp/3p2p1/4P3/4pnPP/2N5/PPP1Nr2/2K4R w - -,e2f4
4rrk1/4b1pp/p1qpPn2/1Ppp4/8/1P1P2P1/2PBQ1NP/4RRK1 b - -,a6b5
8/6k1/R6p/p3p1p1/6r1/8/4PK1P/8 w - -,a6a5
r1b1r1k1/pp3pp1/2p2n1p/4b3/4P2q/1BN1BQ1P/PP3PP1/3RR1K1 b - -,g7g5
r2q1rk1/pppnbppp/2np4/4p2b/4P3/1BPP1N1P/PP1N1PP1/R1BQ1RK1 w - -,f1e1
3bb1k1/3q1n1p/2r1p1pP/1N1p2P1/PpnP1B2/5RQB/8/5R1K b - -,d7e7
r1r3k1/1b3ppp/1q2pb2/p2p4/3N4/P1R1P1P1/1P1Q1PBP/R5K1 b - -,c8c3
r2qr1k1/1bp2p1p/pp1p1bpB/3P4/P2pP3/3B3P/1PPQ1PP1/R3K2R w KQ -,e1g1
r2q1rk1/pp1n1pBp/2p1p1p1/5b2/2BP4/2P1PN1P/P4PP1/R2Q1RK1 b - -,g8g7
r1bqk2r/pp2b1pp/1np2n2/3p1p2/2PPp3/1PN3PN/P3PPBP/R1BQ1RK1 w kq -,c4c5
3r2k1/r2q1pp1/p1Rbp3/1p1p2p1/3P4/2QNPP1P/PP4P1/2R3K1 b - -,f7f6
1k6/pp2p1b1/7p/q1pr1p2/6p1/P2BP1P1/1PQ2PP1/5RK1 w - -,d3f5
rnbq1rk1/ppppp1bp/5np1/5p2/5P2/1PN2NP1/P1PPP2P/R1BQKB1R w KQ -,f1g2
r1bqk2r/pp2bppp/2npp3/4P3/2BP4/2n2N2/PP3PPP/R1BQ1RK1 w kq -,b2c3
rnbqk1nr/1p1pppbp/p5p1/2pP4/2P1P3/8/PPQ2PPP/RNB1KBNR b KQkq -,e7e5
6r1/p6p/1pk1p3/2n5/3R1B2/P7/2P3PP/6K1 w - -,c2c4
1r6/6p1/4kp2/7p/1PK5/6P1/7P/1R6 w - -,b4b5
7r/p6q/1p1p1bkr/1Pp1p1pp/Q1P1PpP1/P2P1P1P/5BK1/5R1R w - -,a4d1
6k1/pp4pp/1qnrpp2/8/4QP2/1NP4P/PP4P1/5R1K b - -,b6a6
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/1PN1PN2/PB3PPP/R2QKB1R b KQ d3,c5d4
r3r1k1/1bpn1pb1/pp3qpp/4p3/P1B1Pn2/2P2N1P/1PQ2PPB/R3RNK1 w - -,f3d2
r1br2k1/1p3pbp/pP2p1p1/4n3/2B1P3/2P1B3/P3NPPP/1R3RK1 w - -,f1d1
rn1qkb1r/p4ppp/1p2pn2/3pP3/3P4/5NP1/PPQ2P1P/RNB2K1R b kq -,f6e4
8/5kp1/4n3/1pp5/5PP1/4P3/4KP2/8 w - -,e2d3
1k1r1n1r/pp1bb1pp/1qn1pp2/3pP3/3P1P1P/3BBNKN/PP1Q2P1/R6R w - -,a2a3
8/8/6p1/3n3p/4kP1P/6P1/5K2/6N1 w - -,f2e2
R7/3r1pk1/4p2p/p2nP1p1/1b1P4/1P3NPP/P1R2K2/8 w - -,f3d2
7r/p1p1k3/1p1p4/3Pbpp1/1R4b1/3B4/P1P1NKP1/8 w - f6,a2a4
r3r1k1/2pb1ppp/p1p5/4P3/1b1NN2q/1P3Q2/PBP2PPP/R5K1 w - -,g2g3
rn1q1rk1/pb2bppp/1p2p3/8/1P2P3/P1Q2N2/5PPP/R1B1KB1R w KQ -,c1b2
4r1k1/1b4pp/1p1p4/2pPnP1q/p1P1QR1B/P3P3/1P6/2R3K1 b - -,b7c8
b2rr1k1/p3bppp/1p2pnq1/2P5/2P5/PP5Q/4BPPP/2BRRNK1 b - -,e7c5
8/6p1/3n1p1p/4pP1P/1k2P1P1/2p5/1p6/2KR4 w - -,c1c2
1r6/k1p4p/p7/3bN3/2p3P1/R3K2P/1P6/8 b - -,b8b2
r1bq1r2/4ppbk/pP1p2pp/1npPP3/5P2/2NBB2P/PP1Q2P1/R4RK1 b - -,b5c3
2rqk2r/pp4pp/1nb1Q3/8/P1P5/4pP2/4N1PP/R1B2RK1 b k -,d8e7
3qrnk1/rb3p1n/p4bpB/1p1pN2p/2pPP3/P1N2Q2/1P3PPP/1B1R1RK1 b - -,f6e5
4r3/3r1k1p/2NP1pp1/1RB1p3/8/7P/8/6K1 b - -,f7e6
3q1nk1/r6p/1pp1r1pQ/pb1pPp2/3P3P/2R1P1N1/PP3PB1/4R1K1 b - h3,d8e7
r1b1k2r/1p1nqpbp/p2p1np1/2pP4/P3P3/2N3N1/1P2BPPP/R1BQK2R w KQkq -,e1g1
1r1q1rk1/p2n1ppp/bp2p3/P2p4/1Q1Pn3/5NP1/1P2PP1P/RNR2BK1 w - -,b1c3
5rk1/p4p2/q3p1p1/1p1nb2p/3P1P2/1P2B1P1/P3Q2P/2R3K1 w - -,d4e5
r1bq1rk1/2nnppbp/pp1p2p1/2pP4/P1P1P3/2N2NPP/1P3PB1/R1BQR1K1 b - -,a8b8
8/7p/5k2/5p2/p1n2B2/2P5/6PP/1K6 b - -,f6e6
5b2/1R2r1kp/p2pB1p1/Bb1P4/1P2p3/6P1/5P1P/6K1 w - -,b7b8
r1q4k/pb3r2/2p2bQ1/2Pp1p2/8/6P1/PP3P1P/R3R1K1 w - -,g6f7
1rr3k1/1p1bppbp/p1np2p1/3n3q/2P5/1P2N1P1/PB1QPPBP/R2R2K1 w - -,e3d5
6k1/p4p1p/3p4/4b1p1/2P2rP1/1N5P/P1R1p1K1/8 w - -,c2e2
2q3rk/1p1bn1bp/3n4/P2Pp3/1QP1Pp2/1N3B2/1R4PP/1R4K1 b - -,c8b8
r1b2rk1/p2q1pbp/1pn1p1p1/1N1pP3/P4P2/6P1/1P2P1BP/R1BQ1R1K b - a3,c8a6
r4rk1/4q2p/pn4p1/1ppn4/4N3/6QP/P1B2PP1/3R1RK1 b - -,d5f4
5rk1/1b1nr2p/p6q/2pp2p1/4np2/1P2PN2/PQB1NPPP/3R1RK1 w - -,e3f4
6R1/5p2/4k3/2P4P/6P1/8/4Kp2/5r2 b - -,f1c1
4r1k1/1q4bp/p2p2p1/2nP4/1rR2PP1/2N2P2/1PQ5/2BR2K1 w - -,c3e4
1kr5/1p1r1pp1/p3pn1p/4nP2/2p1P1P1/P2B3P/1PP1N3/1K1R1R2 w - -,f5e6
8/1p1k2n1/3r1p1p/pP2pB1P/P1R3P1/2P5/2K5/8 b - -,g7f5
2r2rk1/1b2bppp/pq1p4/1p2pP2/4P3/1PNQ2N1/1PP3PP/3R1R1K b - -,f8d8
3r1b1k/ppq1r2p/2p2p2/4p2N/4P3/1B2B2R/PPP3PP/5R1K b - -,f8g7
1q1r2k1/4bppp/2n1p1n1/3bP3/4N3/4QN2/5PPP/BB2R1K1 w - -,h2h4
r1bq1rk1/4bppp/2p1pn2/p2p4/4P3/1PNB4/P1P1QPPP/R1B1R1K1 w - -,c1b2
8/8/8/3R3p/6p1/6r1/8/3k1K2 b - -,d1c2
1r1rn1k1/1bq1bpp1/1p1pp2p/p7/PBPNPP2/1P4PP/6BK/2RRQ3 w - -,d4b5
5k2/5p2/6pp/4P3/r4PP1/1R2K2P/8/8 w - -,b3b8
r3k2r/p1p2pbp/1p2n1p1/3bp3/8/1P3NP1/PBP2PBP/R3R1K1 w kq -,b2e5
2r1k2r/qb1p1ppp/1bn1p3/1p6/3pPP2/PN1P2P1/1BP2QBP/R2K3R w k -,h2h4
r5k1/4bppp/Bp2pn2/1P1b4/3N1B2/P3PP2/6PP/3R2K1 b - -,e7a3
8/1p3kp1/p6p/4r2P/PP1p2P1/2rB1P2/2PK4/2R5 w - -,a4a5
3rk2r/pp3ppp/2n1b3/2B5/8/P3QNP1/1P2B1P1/2R2K1q w k -,f1f2
5k2/p3bpp1/1p2p2p/4P3/r1PP1P2/Pr6/1BR1K1PP/R7 b - -,f8e8
6k1/6n1/1q2prp1/3pR1N1/2pP3P/2P3PK/8/4Q3 b - -,b6d6
r3kbnr/pp3ppp/2n5/4p3/Q2q4/8/PP1BPPPP/1R2KBNR w Kkq -,a4d4
2rr3k/1p2b2p/p4qp1/P2RNp2/1P2p3/2P5/5PPP/2RQ2K1 w - -,e5d7
5R2/p1k1P3/1p4bp/8/2pP1rP1/P4Q2/6K1/8 b - -,f4f3
r1bqk2r/p1pn1pbp/1p2pnp1/3p4/2PP4/BPN2NP1/P3PPBP/R2QK2R b KQkq -,c8b7
3k2Q1/2r1b1B1/p1p3P1/3p4/4pP2/4n3/1P3qBP/3R3K b - -,d8d7
5kr1/bppbnnr1/p3p1pp/3pPP2/1P1P1P2/P1NB1N1P/2P1KB2/6RR b - -,g6f5
r6k/6pp/1p6/p2P1b2/1Q3p1q/4rP1P/PP4P1/3RR1K1 w - a6,b4d2
6Q1/p3q2p/1r3kpb/2pp1r2/2B5/1P1RP1P1/P4P1P/2R3K1 w - -,c4d5
r2q1rk1/pppnppbp/2np2p1/8/3PP3/2N1BbPP/PPP2PB1/R2Q1RK1 w - -,g2f3
r3k2r/ppn3bp/2n2pp1/1B2pb2/Qq5P/2N1BN2/PPP2PP1/3RK2R b Kkq -,c7b5
rnb2rk1/1pq2pbp/p2p1np1/2P1p3/2P1P3/2N2N1P/PP2BPP1/R1BQ1RK1 b - -,d6c5
3rqb1k/6pp/3B1pn1/3Qp2N/p3P3/P4P2/1P1R2PP/5K2 w - -,d5b7
r1b1kb1r/1pqB1ppp/p2pp3/4P3/3P4/2P2N2/P1Q2PPP/R1B1K2R b KQkq -,c8d7
3r2k1/1p2qpp1/2p2np1/p1b1p3/2P5/PP2P1PP/1B2QPB1/R5K1 w - -,b2c3
8/8/2bkpp1p/2N3p1/1pPK1P2/P5P1/7P/8 w - -,a3b4
r5k1/pp2rppb/5n2/2qp3p/3N4/1PPnPP1P/P2QNKP1/R4B1R w - -,f2g1
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2B1P3/P7/1PPP1PPP/RNBQK1NR w KQkq -,d2d3
3r2k1/p2n1p2/1p2p1pp/2q5/8/P2BPP2/1P2QP1P/3R3K w - -,d3c4
