8/2r3kp/q4pp1/3Q4/p1PR4/7P/6P1/7K w - -,d5b5
8/8/5pp1/1pk2n1p/7P/1B1K4/8/8 b - -,f5h4
5kr1/bpp1nn2/4pB1p/pP1pPp1b/P2P1P2/3B1N1P/2P1NK2/7R w - -,c2c3
q7/1p1k1r2/2p5/3p4/6Q1/2P5/P1P3P1/3K4 b - -,d7c7
2k1r1r1/ppp2pq1/2n4p/3b4/1bppNB2/P4NP1/1PP1RP1P/R2Q2K1 b - -,b4a5
8/8/1k6/4Pp2/1K3Pp1/6P1/8/8 w - -,b4c4
8/6kp/5p2/R7/2B1P3/p3K3/8/r7 b - -,h7h5
r3k2r/1p1nbppp/1np1p3/p6b/P2P4/1B2PPP1/NP4NP/R1B2RK1 b kq -,e6e5
4kb2/p4p2/1p6/2p1p1p1/2PP2P1/2PK4/P6B/8 w - -,h2e5
3n4/5kp1/2R2b1p/8/6K1/4BP2/8/8 w - -,c6a6
6k1/8/3N3p/p3r1pP/Np1b4/1P4p1/P5P1/5R1K b - -,d4f2
r3r1k1/1p1b1ppp/pq6/2pPnP2/P3P3/8/N2NQ1PP/2R2R1K w - -,a2c3
8/7p/7r/8/4R2p/3k1P1P/6PK/8 w - -,h2g1
8/6pk/7p/4q3/pB6/4p1RP/5PPK/8 w - -,f2e3
r2b4/r1p3k1/1p1p2p1/1P1Ppq1p/P3Q2P/R3BPP1/6K1/R7 w - -,e3d2
1r1q1r1k/6bp/p1npb3/1p1Npp2/8/2P1N1P1/PP3PBP/R2Q1RK1 w - -,d1e2
r6k/3n4/4pq1p/pr2p1pP/1bNpP1P1/3P1PQ1/1PR3B1/2R3K1 w - -,g3f2
5rk1/p4ppp/5b2/q1r5/1pB2P2/4P3/PPR2P1P/3Q1RK1 w - -,e3e4
8/6k1/4pp2/8/5q1p/1Q5P/4K3/8 b - -,g7g6
8/1p3k2/2p2P2/4P2p/3P1K2/7B/PP6/3r4 w - -,f4g5
2b1N3/1p3k1p/r7/p2pp3/2P5/6PK/PP2RP2/5R2 w - -,h3g2
8/2rbppk1/3p1b2/pp1P3r/3N1R1p/PBP4P/1P4P1/5R1K w - -,d4c2
r3k3/ppp1bp2/2p1b2r/6pp/3N4/7P/PPP2PPB/R2R2K1 w - -,h2c7
r1bq1rk1/pp3pp1/2pb1n1p/3pn3/2P4B/2NBPN2/PP3PPP/R2Q1RK1 w - -,f3e5
rnbqk2r/p1p2pp1/1p1ppn1p/8/2PP3B/2P2N2/P3PPPP/R2QKB1R w KQkq -,f3d2
8/7r/KP2k3/4p3/P7/3NP1pp/1R4bP/8 w - -,h2g3
8/6p1/p3k2p/4pp2/2P5/4K1PP/P7/8 w - -,e3d3
2b1n1k1/N3pp1p/n2p2p1/p2P4/P3P3/1P3P2/1b2B1PP/5R1K b - -,c8b7
4r3/ppp2pk1/3b2pp/3Rp3/2P1P1N1/7P/PP3P2/6K1 b - -,b7b6
rnbk3r/1p3ppp/p3pn2/2b5/2B5/4PN2/PP1N1PPP/R1B2RK1 b - -,d8e7
2rqk2r/1p2bp2/p3p3/3pP3/N6p/P3P3/1P2QPP1/2R2RK1 b k -,b7b5
1r6/p3pp1p/2p3p1/R7/4PP2/6Pk/PP1K1P2/8 b - -,b8b2
2r2rk1/3n1p1p/b4bp1/R2p4/3NP3/4BP2/1P4PP/5RK1 w - -,a5a6
r1b2rk1/ppp1nppp/2np4/b3P2q/8/BQPB1N2/P2N1PPP/R2R2K1 w - -,e5d6
3r4/7p/6p1/8/2P2PkP/4K1P1/4N3/8 w - -,c4c5
rn1qk2r/pb1pbppp/1p2pn2/2p5/2PP1B2/5NP1/PP2PPBP/RN1Q1RK1 b kq -,d8c8
3b4/pk1r1p1p/4p3/2p1Np2/P7/1P2P1P1/2R1KP1P/8 b - -,d7c7
r2qk2r/ppp2ppp/1nn1p3/1B2P2b/3P4/2N2P2/PP2NbPP/R2QK2R w KQkq -,e1f2
6k1/1p6/p4p2/3n4/3N4/P1r3P1/6KP/1R6 b - -,b7b6
rb1qr1k1/pb1p1pP1/2pP2p1/8/2p2p2/2P3P1/PP3Q1P/RNB2RK1 b - -,b8d6
5nk1/pr3pp1/4p2p/2R1n3/P1B4P/1P4P1/3N1P2/6K1 b - -,f8d7
rnbqk1nr/pp2ppbp/2p3p1/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq d3,g8f6
r1bqk1nr/ppp2ppp/2np4/2b5/2BpP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,c2c3
3r4/p7/8/1p2R3/2pP3K/P1P2kP1/1P6/8 w - -,e5f5
6rr/pp2bkpN/2n5/2P1p3/8/2P1P2R/PP1NK3/6R1 w - -,g1h1
b4r1k/8/1Q3npp/1P3n2/3p1q2/5P2/5BPP/R2N1BK1 w - -,d1b2
2r4k/1p2rp2/p3b2p/3p2p1/1R1B4/3B1P2/6PP/5RK1 b - -,h8g8
8/8/8/8/1R3k2/4r1pp/8/6K1 b - -,f4f3
8/8/3kR1p1/P1p3P1/6n1/8/3K4/8 b - -,d6e6
r1bq1r1k/1pp1n1pp/p2bpn2/4Bp2/2BP4/P1N1PN2/1P3PPP/2RQ1RK1 b - -,e7g6
4r3/pp3pk1/2pb3p/3p1P2/3P3P/P1N1Pq2/1PQ2Pr1/1K3RR1 b - -,g2g1
8/1p6/8/2kb4/p5R1/P1K4r/1P6/8 w - -,c3d2
1rb2rk1/5pqp/pp2p1p1/2p5/P2nN3/3P3R/BPPQ2PP/5R1K b - -,f7f5
8/p5pp/1p1knp2/3p4/Pp1P2P1/2PNKP2/6P1/8 w - -,c3b4
4r3/8/8/5P2/6P1/5K2/2k5/8 b - -,c2d3
3r2k1/pp2q1pp/8/1PPbNp2/1P1P1P2/2Q3P1/7P/3R2K1 b - -,e7e8
3r1k2/pp4b1/4pnpp/2p5/4P3/6PB/Pr3P1P/R3RNK1 b - -,f8e7
3r1rk1/pp4bp/2p1b3/2P1p1q1/1P1n1p2/P3N3/3R1PPP/BR1Q1B1K w - -,e3c4
8/1p2kpp1/p1p5/2Pn1P1p/1P2K3/7B/2n2B2/8 b - -,d5b4
2rr2k1/pbqn1ppp/1p1bpn2/2ppN3/2PP1P2/1P1BP3/PBQN2PP/3R1RK1 w - -,d2f3
5rk1/r4ppp/N7/3P4/2B2n2/2K5/1P4PP/R7 w - -,g2g3
5k2/7p/bq2R1p1/p7/1p3Pn1/5n2/PPP2QBP/6K1 w - -,g2f3
r4rk1/pbq2ppp/1pn1pn2/2p5/2BP4/P1P1PN2/1B2QPPP/R4RK1 w - -,f1d1
