R7/8/3Bp3/1p1pPk2/3n2p1/Pr6/5K2/8 w - -,a8g8
r2q1rk1/2bnnppp/ppp1p3/2PpPb2/3P3N/PPN5/4BPPP/R1BQ1RK1 w - -,b3b4
3r4/5kp1/1pB2p2/pK1P2p1/P2b4/6P1/1P2R2P/8 w - -,b5a6
2b1r2k/1p2r3/pR2p1p1/P1Pp3p/3P1P1P/2P1RNK1/8/8 b - -,h8g7
4r3/8/5pp1/p6p/P3bPkP/1PR3P1/1N3K2/8 b - -,g6g5
1r4k1/1rn1ppbp/3p2p1/q1nP4/1N2P3/4QNP1/3B1PKP/1RR5 w - -,b4c6
r1bq1r1k/2p4p/p1n1pb1P/1p1p1Pp1/3P4/2N1PN2/PPPQBP2/2KR3R b - -,e6f5
r1br2k1/ppp1qppp/2p5/4P3/8/1n3N1P/PPP1QPP1/R4RK1 w - -,a2b3
1r1qr1k1/p1p3bp/3p2p1/5p2/2P1B3/4PN2/PP1Q2PP/2K1R2R b - -,e8e4
8/6k1/4R2p/3pN1p1/6P1/r5P1/b4K1P/8 w - -,h2h4
2rqr3/p3npbk/bp1p2pp/2p1p2n/2P1P3/P2PNNPP/1P1B1PB1/RQ2R1K1 w - -,b1d1
r1b3k1/p1q2ppn/2pb3p/1p1p1P1B/3P1B2/1P1Q4/P1P1N1PP/5R1K b - -,h7f6
1rb2rk1/4bppp/p2p4/N1n5/3pPPP1/Q2P4/5N1P/R5K1 b - -,c8d7
5rk1/7p/4q1p1/5p2/3Q4/Rb2PB1P/5PP1/6K1 b - -,b3c4
2r3k1/1pr3p1/p1nbp2p/3p1p1B/3P1P1q/P1N1P2P/1P2Q1P1/2R2RK1 b - -,g8h7
8/8/8/P3k2p/5pp1/1RP5/3K2bP/8 w - -,b3b5
2q1nrk1/1r4bp/pp1p2p1/2pPp1B1/P1P1N3/R4PP1/1P1Q2bP/2R3K1 w - -,g1g2
q4rk1/p1B3b1/7p/2Np1np1/1Pb1p3/8/P4PPP/R2QR1K1 b - -,a8c6
r2q1rk1/pp2bppp/2n1pn2/2p5/3pP3/2PP1QNP/PPB2PP1/R1B1K2R w KQ -,e1g1
1n4k1/5q2/p1pbp1p1/3p1pP1/1P1P1P2/P1BBP3/4K3/7Q b - -,f7b7
2r3k1/1p3rpp/p7/P1Np1p2/1P1Pn2q/2p1P2P/2Q1RPP1/R5K1 b - -,c8c6
8/8/3K4/3b4/4k3/2B5/8/2n5 w - -,c3h8
6r1/pp2p1rk/1qp3Rb/3pPp2/3P1P2/7P/PPP1N1Q1/6RK w - -,g6g7
6k1/1p3p2/1P2pqp1/2Pp3p/1r1P3P/3BQ1P1/5PK1/8 b - -,g8f8
4rbk1/p4ppp/2p3q1/3n4/3P4/3N1QB1/PP3PPP/2R3K1 b - -,g6e4
2r1r1k1/1pqnbppp/p5P1/5P2/4N3/1PP1QB2/1P5P/2KR3R b - -,f7g6
r1r5/p5k1/2b2npp/1p1pNp2/2pP2P1/4P2P/PP3P2/1BR1R1K1 b - g3,f6e4
2r3k1/6pp/pnr2p2/8/2p5/P3P3/5PPP/B1RR1K2 w - -,c1c2
8/1k6/6p1/1PP5/8/2n1NK2/5P2/8 w - -,b5b6
r2q1rk1/bbp2ppp/p2p1nn1/1p2p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 w - -,d2f1
r1bq1rk1/1p2ppbp/3p2pn/p3n3/2PN4/1P2P1P1/PB1QNPBP/R4RK1 b - -,e5d7
2rqnrk1/pp1bp1bp/2np2p1/2p2P2/5P2/2NPBNPP/PPPQ2B1/R4RK1 b - -,d7f5
1r1qnr2/3b2k1/2np1p2/2p1pPP1/7P/1pPP2N1/1P1Q1RB1/5RK1 w - -,g3h5
r1bqrnk1/1p3pbp/2pp1np1/p7/P2BP1P1/2N3NP/1PP2PB1/R2Q1RK1 b - -,f8e6
1r6/p4r2/Rb1p2k1/1PpNp2p/2P3p1/3P4/R4PPP/5K2 w - -,f1e2
8/1pk5/p1pr1rp1/P1KpNp1p/1P3P1P/1B2P3/2R5/8 b - -,f6f8
2r2rk1/1q2p1bp/2pp1n2/p4N2/2P1pP2/1P2B3/P5PP/1R2QRK1 b - -,f6e8
r1b1kbnr/1pp2ppp/p1p2q2/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq d3,e5d4
2bqr1k1/1p3pbp/2p3p1/8/r2p1B2/3P2P1/P2QPPBP/2R1R2K b - -,c8e6
1k6/1p3Npp/p4n2/8/2R5/1P5P/1r1r1PP1/5RK1 w - -,b3b4
8/1b4r1/pP2k3/P1ppp3/7P/N1PnB3/7K/5R2 b - -,d5d4
r2q1rk1/pp2bppp/2n1p3/2Pp4/3Pn3/2N1B3/PP2bPPP/R2QNRK1 w - -,c3e2
r1bqk2r/pp2bppp/2n1pn2/2P5/2B5/2N1PN2/PP3PPP/R1BQ1RK1 b kq -,d8d1
8/5Rp1/4Pk1p/3p1p2/r7/4K3/2P3PP/8 b - -,f6g6
4r2k/pb1qbrnp/np1p1pp1/2pPp3/1PP1P1PP/P1NBBN2/2Q1KPR1/1R6 b - -,b7c8
r4rk1/2p2qp1/1p1p4/p2Pp3/2P2bbp/PP1B1P2/2Q3PP/1R2RNK1 b - -,g4d7
5k2/R4p2/8/1p3KP1/1P5p/2Pr3P/8/8 w - -,a7c7
2kr4/1p3pb1/p3p1p1/3p4/5PQ1/1B6/PPPK2Pq/8 w - -,g4f3
r2r2k1/pp3ppp/2pqpn2/4N3/3P4/2P5/PP2QPPP/R4RK1 w - -,a1d1
3qkb1r/rb1n1ppp/p3pn2/1pp5/P2P1B2/5NP1/1PQ1PPBP/RN3RK1 b k a3,d8a8
8/2R5/1P1p2pk/3Pp3/5r2/1p6/1P6/2K5 w - -,c1d2
3r4/1p1q1k1p/5np1/pPp1rp1n/P1Pp3Q/3PPB2/1B3P1P/R5RK w - -,h4g5
8/2r3q1/7k/p3N2p/1p2P3/4P1Q1/bP3R1K/8 w - -,g3f4
7r/3k1p2/ppb1p1p1/2q1P3/P2p1PPP/1B1P2K1/2P2Q2/3R4 b - -,d7c7
8/8/3k4/P6P/2K1pp2/5n2/1P3B2/8 b - -,e4e3
3n1r1r/4bp1p/2k1pN2/pp1pP1P1/q1pP2PP/P1P3B1/2P1Q3/R4RK1 w - -,g3f4
2r2rk1/1b1q1p1p/p1p1pbp1/1p6/3P4/2N1P3/PPQ2PPP/1BRR2K1 w - -,c3e4
3qb3/6k1/4ppn1/p1p1p3/2P1P3/1P1N2Q1/P4P2/1B4K1 b - -,d8d4
r1r3k1/pp3pbp/4p1p1/3q4/3P4/BQP3P1/P4P1P/R3R1K1 w - -,b3d5
r1b1k2r/p1b1nppp/2p1p3/4N3/4p3/1NP1B3/PP3PPP/R3K2R w KQkq -,e5c4
rnb2rk1/1pqpbppp/p3pn2/8/2PN4/1PN3P1/P2BPPBP/R2Q1RK1 b - -,b8c6
rn1q1rk1/pb4pp/1p2p3/2pn1p2/2BP4/P3PP2/1P1Q2PP/R1B1K1NR w KQ c6,c4d5
r3r1k1/1p3pp1/1p6/pP1q3p/Pb1P1B2/6P1/3Q1P1P/R4RK1 w - -,d2d3
8/2Q3pk/4pq1p/5p2/3P4/3rPP1P/4R1PK/8 b - -,d3d1
rn1qkb1r/pp3ppp/2p1pn2/3p4/4P3/2N2QPP/PPPP1P2/R1B1KB1R w KQkq -,f1g2
8/1BK2pk1/P7/7p/5P2/3R2P1/5b2/r7 b - -,a1a4
r1B5/qp2ppkp/3r1bp1/pQRP4/P1R5/1P3PP1/5P1P/6K1 b - -,d6b6
