5k2/4b2p/5p2/pBn2P2/P2P3P/5K2/8/8 b - -,c5b7
1nk4r/Bp1brppp/p2Rp3/8/6P1/2P4P/P1P2PB1/R5K1 w - -,a7c5
1r6/4qpk1/pN2b1pb/P1r1p2p/Bp1pP3/1P1P4/R1R2PPP/3Q2K1 b - -,c5c3
3rk2r/2pqbppp/p1n5/1pnpP2b/1P6/2P1NN2/P1B2PPP/R1BQR1K1 b k b3,c5e6
3n4/1ppbk3/p2p2pp/2PPp3/1P2P1PP/P1N1N1K1/8/8 w - -,e3c4
8/1kp4p/ppn1Q3/2p5/2P5/4R3/3q1rPP/3rR2K b - -,f2g2
8/1p6/8/P2Bp1k1/4P3/3qn1P1/Q5K1/8 w - -,g2f2
r1bq1rk1/ppp3bp/2np1np1/4pp2/2P5/2NPPNP1/PP3PBP/1RBQ1RK1 b - -,a7a5
4q1k1/p2b2b1/1p2p1p1/2p1P1P1/P3P1QP/1PB1K3/4B3/8 b - -,e8f7
6k1/1p3p2/6rp/3q4/p2P4/P3B2P/1P3QP1/7K w - -,e3f4
r1bq1rk1/pp3pbp/3p2n1/2pNpP1Q/5P2/3P4/PPP2RBP/R1B3K1 b - -,d8h4
3b1r2/1p3pkp/p2pq1p1/2r1n3/2P1PN2/1PQ5/P3BRPP/5R1K b - -,e6d7
4r2k/4P1pp/p7/1pqNQ3/2P5/1P5P/P5P1/7K w - b6,e5f5
3r1rk1/pp2p1bp/5np1/q2P4/2pBPP2/2P2B2/P2Q1P2/2R1K2R b K -,e7e6
8/p7/1p1k4/1P3p2/P1PK2p1/8/8/8 w - -,a4a5
r1r5/1b1Q2kp/p5pN/Ppnp4/4p3/2P1P1P1/1PB2PP1/R1R3K1 b - -,c5d7
8/8/3k2N1/2n5/6RP/6P1/r3n1K1/8 w - -,g2f3
r1bqr1k1/p3ppbp/1p4p1/2nPN3/2B3n1/Q1N5/PP1P1PPP/R1B1R1K1 w - -,d2d4
8/2p2k2/3p1b2/1P1PpK2/4P3/8/8/4B3 w - -,e1f2
r2r1qk1/5p2/p2pb1nQ/2p2P1p/P1P1P3/1p4RP/1P4P1/R4BK1 w - -,h6h5
4r1k1/1p3p2/p1p3bp/4r2n/1P1qPN2/1Q4PP/P5BK/4RR2 b - -,h5f4
r5k1/5pp1/1n2p2p/3bN2n/p2P4/3B2B1/1P3PPP/2R3K1 w - -,c1c3
r2qr1k1/ppp2ppp/8/3pPb2/4N3/P2BQ3/1PP3PP/2KR3R b - -,e8e5
rnbq1rk1/ppppbppp/5n2/8/2PP4/2N5/PP3PPP/R1BQKBNR w KQ -,g1f3
5Q2/p7/b1p3p1/7P/3Q4/6rk/P4K2/8 b - -,g6g5
r4rk1/pbqp2pp/4p3/1pn5/8/2n2NP1/P2NQPBP/1RB1K2R w K -,e2e3
2r2rk1/2p1n2p/bp1q1b2/3p1pp1/1N1Pn3/P3PNP1/1BQ2PBP/R2R2K1 b - -,a6b5
r4bk1/2r2pp1/pqn1p2p/1ppnP3/4N3/1PP2QBP/P4PPN/R3R1K1 b - -,c5c4
r1br2k1/1ppq2bp/pn4p1/4p3/3nP1P1/2N1BP2/PP5Q/2KR1BNR b - -,g8f7
2b2rk1/1p3ppp/1pn2q2/4N3/r4P2/2P1P3/P2Q1PBP/R4RK1 b - -,c6e5
r5k1/4ppbp/2Qp2p1/1b1P4/1q3P2/1P2P1P1/r1R2NBP/1R4K1 w - -,c6c7
r1b2rk1/1pp1qp2/p2b2np/3Pp1p1/P1N1Pn2/2N1B1PP/1P3P1K/R2QRB2 w - -,c4d6
4r1k1/pp4pp/2n2np1/b1pN4/2Pp1PP1/P2P3P/1P3BB1/R4K2 b - -,f6d5
2r5/4kppp/1n2p3/p1NbP3/5P2/1P1B2P1/1K5P/2R5 b - -,h7h6
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w - -,f1e1:d2d4:b1c3:d2d3
r3k2r/1b3ppp/pp2p3/2b1q3/P1B1P1n1/1PN3P1/1BQ2P1P/R4RK1 b kq -,e5h5
2r2r1k/1p1n1ppp/p2p1q1b/P2Pp3/4P3/3B4/1P1N1PPP/R2Q1RK1 w - -,d2c4
r2qnrk1/1p3ppp/p2p1b2/3Pn3/2P2B2/1N1Q4/PP2B1PP/1R3RK1 w - -,d3g3
2rq1rk1/pp1bppb1/3p1np1/4n2p/3NP3/1BN1BP1P/PPPQ2P1/2KRR3 b - -,d8a5
r2q1rk1/pppn1pbp/3pNnp1/4p3/1PP5/4P3/PB1PBPPP/RN1Q1RK1 b - -,f7e6
r1bq1rk1/pp1pbppp/2n1pn2/8/2P1P3/2N5/PPN1BPPP/R1BQK2R b KQ -,b7b6
8/1pr4p/p4kp1/8/2P2P2/1P1R2PP/P3K3/8 b - -,f6f5
rn3rk1/1pqb1pbp/3p2p1/2pP3n/p3P3/2N1B3/PP1NBPPP/R2QK2R b KQ -,a4a3
r1bqk1nr/ppp2pb1/2np3p/6p1/2BPPp2/2P2N2/PP4PP/RNBQ1RK1 w kq -,g2g3
8/8/Q3k1p1/7p/4qP1P/3p2P1/5K2/8 b - -,e6e7
2kr3r/pp1q1p2/2np1b1p/4pP2/3P2p1/8/PPN1QPPP/R1BR2K1 w - -,d4e5
r5k1/1p1b1ppn/2p4p/p2p2q1/P2P1Q2/1BN4P/1PP2PP1/4R1K1 w - -,f4g5
rn1q1rk1/1b2bppp/p2p1n2/4p3/Pp2P3/1NN1BP2/1PP1B1PP/R2Q1R1K w - -,c3d5
r2qk2r/2pn4/pp2P3/4bpp1/2NP4/2P1P3/PP5P/R3BQK1 b kq -,e5h2
5r1k/6p1/p1r4p/2n1n1P1/4p2P/2PbB2B/PR6/3R2K1 b - -,e5f3
r1b1r1k1/1p1n1pb1/2pp2p1/p1n4p/2PNP1Bq/2N1B2P/PPQ2PP1/3RR1K1 w - h6,g4d7
