8/8/6B1/4k1p1/1p6/1n4Kp/5P2/8 b - -,b3d2
r4rk1/pp1nqpp1/2pb3p/4p3/R6Q/1P1P1BP1/1B2PP1P/5RK1 w - -,h4h5
8/1p3k2/5P1p/3r4/3N4/7P/1p4K1/3R4 w - -,d1b1
4bk2/5p1p/3Np1p1/8/nP6/2R2B2/P4PPP/6K1 b - -,a4c3
6k1/5pbp/2P3p1/1R3p2/KP6/3rnPP1/7P/7R b - -,e3c4
8/pp4n1/3N2k1/3Pp3/6K1/1P6/P7/8 b - -,g7h5
r2b1rk1/5ppp/2qN4/pp1npP2/1P6/2PQB2P/P4PP1/R3R1K1 w - -,e3c5
r1br2k1/pp2qpp1/2n1p2p/8/1bBPN3/5N2/PP2QPPP/2R2RK1 w - -,f1d1
2r1rnk1/4q1pp/1pp1p3/p7/3PR3/3B1P2/PPQ3PP/3R3K b - -,e7d6
r1b1k2r/2qpbppp/p3pn2/1p6/3BP1P1/2N2P2/PPPQ3P/2KR1B1R b kq -,c8b7:b5b4
4r1k1/p4rbp/1ppq1n2/3pp3/Q1P5/4B1PB/PP3P1P/3RR1K1 w - -,c4d5
r1bq1rk1/1pp2pbp/3p1np1/p1nPp1B1/2P1P2P/2N2P2/PP1QB1P1/R3K1NR b KQ h3,c8d7
1r2r1k1/6pp/p2p1p2/2p1N2P/2P5/4P1P1/P4P2/1R1R2K1 b - -,d6e5
2r5/p1r2p2/R2Rb1k1/2p2p1p/P1p1P3/2B2PP1/1P3K1P/8 w - -,d6e6
8/Pk3pp1/4pb2/1B2n2p/N3P3/1P2BP2/r5PP/6K1 w - -,g1f1
r1bq1rk1/pp3pbp/2n1p1p1/3pP3/4n3/2PQ1NP1/PP1N1PBP/R1B1R1K1 b - -,e4c5
8/7p/8/2p2p2/2P3k1/1P2K1P1/7P/8 w - -,b3b4
4r1k1/p3q1np/2prp1p1/1p2R1P1/1PBPR3/PQ2PP2/5KP1/8 w - b6,c4d3
8/1P1R1p2/6k1/Pr4p1/7p/3Kn3/6P1/8 w - -,d7d6
8/5k2/3R4/P3pp2/4p3/1PN3p1/5r2/2K5 b - -,g3g2
8/8/p3p3/3pP1kp/nPpP1b2/2P2K1P/8/1N2N3 b - -,f4c1
6k1/p2nbp1p/5np1/3p1bB1/N2P2P1/4P3/P3BP1P/1r2NK1R b - g3,e7b4
3r1r1k/pp2npp1/5q2/8/2p2p2/3B1P2/PPQ3KP/R6R w - -,d3e4
br1q1rk1/3nbpp1/pp1p3p/4pPn1/2P1P1PP/N1N1BBQ1/PP1R4/5RK1 b - h3,g5f3
r1b1kb1r/1pp1nppp/p4q2/2p1p3/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq -,c1e3
3rk1nr/p2nq1b1/2p3pp/1p2pb2/3P2P1/1BP2QNP/PP3P2/R1B2RK1 b - -,f5e6
4nBk1/r7/2P5/1p1N2pp/3Pp3/4PpP1/5P1P/2R4K b - -,g8f8
1k1r4/pp2q2p/6p1/n2Pp3/P1p2p2/2P5/1PB1QPPP/3R2K1 w - -,e2e4
r2qk2r/pp2bp2/2n1pn2/3p1p1p/3P1B2/2P3N1/PP1NQPPP/R3K2R w KQkq -,f4e5
5rk1/p5pp/1p6/4ppq1/1bP5/1P2P3/PB3PPP/1Q1r1BK1 w - -,b1d1
3r4/ppp2pkp/4b1p1/2N5/r4P2/2P3P1/P1P2R1P/R5K1 b - -,a4c4
2r5/pp4kp/1n4p1/3q4/8/1QP4R/P1R5/1K6 w - -,b3b4
8/R4pk1/6p1/8/6PP/6K1/2r2P2/8 b - -,c2c3
3r1n1r/pp3kp1/4p1pp/1b1pP3/1P1B3P/5N2/3N1PP1/2R2RK1 b - -,b5f1
r1b1k2r/8/p1NBpnnp/3p2p1/2p5/P1P3P1/R1P2PBP/4K2R w K -,c6e5
1r4k1/7p/4p3/p1p5/P2pPr2/1P4R1/3K2P1/2R5 b - -,g8h8
2r2rk1/p4p1p/bp2pp2/3p4/1P2P3/P1N5/1KP2PPP/3R3R b - -,d5e4
4rrk1/1bq2pbp/p1np1np1/2pNp3/PpP1P3/1P1P1N2/2B2PPP/R1BQR1K1 b - -,f6d5
rnbqk1nr/pp3pbp/3p2p1/2pPp3/2P1P3/3B4/PP3PPP/RNBQK1NR w KQkq -,b1c3:g1e2
r3r1k1/1bqn1pbp/pp1ppnp1/8/4PP2/2PBBN1P/PP1NQ1P1/4RRK1 w - -,d3b1
