6k1/R7/1P2p3/P3K2p/1r3pP1/8/6P1/8 b - -,h5g4
2q5/8/KR6/2p5/2P5/1Pk5/8/8 w - -,a6a7
3r2k1/2q2p2/1p4p1/p4pRp/2P4P/PP4P1/2Q2P2/5K2 w - -,c2f5
7r/1p6/5p1p/3p1kp1/p1pP1p1P/PnP2P2/1P2rPK1/1R1RB3 w - -,g2f1
R1r3k1/2rqpp2/3p1bp1/7p/3P4/1R2PNPP/Q4PK1/8 b - -,g8g7
r5r1/q3bk1n/3p1p1B/p1pPp2P/4N1P1/2P3Q1/PP5K/R5R1 b - -,f6f5
r1b2rk1/1pq2pbp/n1pp1np1/4p3/P3P3/3P1NP1/1BPN1PBP/R2Q1RK1 w - -,d2c4
5k2/7r/3p1r1q/p3pp2/1pP2P2/1P6/P3RQB1/5RK1 w - -,f2e3
r3r1k1/pp2bpp1/2p1bn1p/3q4/3N3Q/P1BB4/1PP2PPP/2KRR3 b - -,f6h5
8/1k6/p7/1p3P2/1P4pp/2PR4/7P/1r4K1 w - -,g1g2
r1b2rk1/p3qpp1/5n1p/3p4/2pP3B/4P3/P1B2PPP/R2Q1RK1 w - -,a1b1
r2qk2r/4bpp1/2Qpb3/p3p2p/2P1P2P/1P4P1/P4PB1/R1B1K2R b KQkq -,e8f8
r1bqk1nr/1ppn1p2/p2p1bpp/3Pp3/4P1PP/2N1BP2/PPPQ4/2KR1BNR w kq -,h4h5
r1bqk2r/pppp1ppp/5n2/4p3/2P1P3/P1N5/1PP2PPP/R1BQK2R b KQkq -,d7d6
4n1k1/r4r1p/4Npp1/3pP3/1p1P4/5RPP/1P3R1K/8 w - -,e5f6
r1b1kb1r/pp3ppp/2p2n2/4p1B1/2B1P3/P1N5/1PP2PPP/R3K2R b KQ -,b7b5
r1n2rk1/pp1n2pp/4q1b1/P2pPp2/3b1PP1/4N3/1P2B2P/R1BQ1RK1 w - -,d1d4
3rk2r/1pqnbb2/p1p1p1p1/4PpPp/2PP1P1P/4BBN1/P1Q5/1R3RK1 b k -,e8g8
2r1r1k1/p2p1pp1/1pn4p/3B4/8/P5P1/1P1RPP1P/3R2K1 b - -,c6e5
7r/1pqb2p1/4p1Qp/p3k3/P2p2P1/3B4/1P3P1P/6K1 w - -,g6e4
8/Q5k1/p2P1qr1/Pp6/1Pp3P1/2Pb1P2/6K1/2B5 b - -,f6f7:g7g8
2k5/pp3pp1/4p2p/2P3bP/4r3/3RB1P1/PPK2P2/8 b - -,c8c7
r2q1rk1/pb2bppp/1pn1pn2/3p4/2PP4/1PNB1N2/PB3PPP/R2Q1RK1 w - -,d1e2:a1c1
2k4r/2p2ppp/8/pp4B1/4P3/N1Pr1qP1/P4P1P/R3Q1K1 b - -,h7h6
1R2b3/4k1pp/8/1p3p2/1P1Pp3/4P1PP/5PK1/3r1B2 w - -,f1b5
5Bk1/7p/2p1pRp1/ppP1P3/Pb6/7P/2r3PK/8 w - -,f8h6
b1r2k2/r4p1p/4pPp1/1p1pP3/1PnP2PN/8/7P/R3RB1K b - -,a7a4
4r1k1/2Q2ppp/p7/1p5q/8/P3B3/1PP2PK1/R2r4 w - -,a1d1
8/5p2/6p1/r5Pk/5P1P/5RK1/8/8 w - -,f3b3
r1br2k1/ppp2pbp/n4np1/4p3/2P1P3/2N1BN1P/PP3PP1/R3KB1R w KQ -,a2a3
8/8/1Rk5/5p2/4p1p1/1P1nB1r1/3K4/8 b - -,c6c7
r1b1rnk1/ppq2pp1/2pN3p/6N1/3P4/1Q2P3/PP3PPP/2R2RK1 b - -,h6g5
r1b1kb1r/1pqp1ppp/p1n1pn2/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 b kq -,f8e7:a8b8:f8c5:d7d6:c6d4:h7h6:h7h5
r1bq1rk1/p3bppp/1p2pn2/nP1p4/8/2PBPN2/PB1NQPPP/R4RK1 b - -,c8b7
