8/1P6/2k2p2/1n1p4/5P1p/3K3P/8/4N3 b - -,c6b7
1R6/5p2/3pk2p/6r1/8/4P1K1/5P2/8 w - -,g3f4
7R/1p3P1n/p3N2k/4K2p/1P6/8/8/7r b - -,h1e1
3rk2r/1pq1bpp1/p1b4p/3np3/6P1/1NNQBP1P/PPP5/2KR3R w k -,c3d5
q1r1r1k1/1b3pb1/pp1ppnp1/2n4p/2PNP3/1PN1Q1PP/PB3PBK/3RR3 b - -,f6h7
1r3k2/5Pbp/r2p2p1/2p5/n3n3/5N2/PP3PPP/1RBNR1K1 b - -,d6d5
r5k1/pp1bppb1/3p1npB/q6p/2rNP2P/2N2P2/PPPQ2P1/1K1R3R w - -,d4b3
4r2k/1p4p1/1P5p/8/7P/4QK2/6P1/8 b - -,e8e3
8/5k2/4p1pp/2pnB3/5P2/P7/1PPK4/8 b - -,f7e7
8/5p1p/8/1k1pN1P1/p3P2P/1p6/1K1b4/8 w - -,e4d5
8/8/1p3r2/p3k3/P7/2K2pP1/8/3R4 b - -,f3f2
8/7p/4K1pk/1p2P3/3Q4/7P/8/1q6 b - -,b1b3
8/7p/p1N1p3/P1P5/3KP3/5k1n/8/8 w - -,c6e5
7r/2k2p2/rp2p1p1/3p4/3P2PP/2P5/1R1K1P2/7R b - -,c7d7
8/1Q5p/5ppk/4p3/2P5/5P1K/5bR1/5q2 w - -,b7d5
8/8/3p3k/3Pb1pp/Q3Pq2/2p4P/5BP1/5K2 w - -,a4c4
rn1q1rk1/pp3pp1/3b1n1p/2pp1b2/3P4/2N2PP1/PP1NP1BP/R1BQ1RK1 w - -,e2e4
r3kb1r/1bq2ppp/p1p2n2/1p2pP2/4P3/2NBBQ2/PPP3PP/R3K2R b KQkq -,f8e7
8/Pkp4p/2Nb4/3P1pp1/2R5/r5P1/1K3P2/8 w - -,g3g4
6rk/1p3p1p/p2p4/4b1q1/4P1b1/1P1NPBP1/P2Q1K2/6R1 b - -,g4f3
8/5Rp1/8/4p1p1/1pkn4/8/1K6/8 b - -,e5e4
2r2rk1/pp1b1nbp/2n1ppp1/qB1p4/3P1BP1/2N2N1P/PPPQ1P2/2KR2R1 w - -,c1b1
3k4/4b3/p2pB3/4p1p1/1pP1P3/7P/PPK3P1/8 w - -,c2b3
r1qr3k/pb1nb1pp/1pn2p2/1Bp1p3/4P2N/2P1N1P1/PP2QP1P/R1BR2K1 b - -,a7a6
8/5p2/1N4pp/2k5/2P3P1/3nK2P/8/8 b - -,d3b2
4r3/5k2/2p2p2/1p3np1/p2P1b2/PbB4P/1P3PB1/3RNK2 w - -,d1a1
4nk2/p2Q3p/1p1p2p1/2pP1P2/2P2q2/P1P1N2P/5K2/8 w - -,f2e2
r4rk1/ppq2ppp/2pbp3/3n4/1P1P4/3Q1B1P/P1P2PP1/1RB2RK1 w - -,a2a3
2r2rk1/1p3pp1/p1p2q1p/8/P1Qp4/4P1P1/1P3PKP/2RR4 w - -,c4d4
8/1p2kn2/p2p1np1/P1pP1p1p/2Pb1P2/1PN3PP/2BB2K1/8 w - -,g2f3
8/8/2K5/1PQ5/8/2q5/1k6/8 b - -,c3f3
2bnk2r/1pp1n1b1/p5pp/2N1pp2/2P5/4B1P1/PPN1PPBP/3R2K1 b k -,b7b6
3r2k1/pp1rnppp/2p5/2Rb2P1/3P3P/P2BB1R1/1P3P2/5K2 b - -,d5e6
r2q1rk1/pp2bpp1/2N1bn1p/3p4/3P1B2/1pN3P1/P3PPBP/R2Q1RK1 b - -,b7c6
6r1/pp3R2/2p4k/3p3p/3Pb2P/1P4K1/P7/8 w - -,g3f4
r4rk1/pb5p/1p1qp3/3p2p1/2pP4/2P1Pp1P/PP1NQ1P1/3R1RK1 w - -,d2f3
r2qkb1r/3b1ppp/p1n1pn2/1p6/P2p4/1B2PN2/1P2QPPP/RNBR2K1 w kq -,e3d4
1k1r1b1r/p1pq4/1np5/1N3pp1/PP1p4/4P1P1/3BQPB1/R5K1 w - -,b5d4
3r4/4kp2/3pp2p/pp2b1p1/P1r1P1P1/2P1RKP1/1P1N1P2/3R4 b - -,e7f6
8/5p1b/1p3k1p/2b1p2P/P1P1P1Q1/6P1/1KB5/r7 b - -,c5d4
r4k2/1R4R1/1p5p/1P2p3/p7/1r6/5P2/5K2 w - -,g7h7
1r3rk1/pb2ppbp/5np1/q3p3/N1p5/1P4P1/PBP2PBP/R1Q2RK1 w - -,c1e1
8/3b1kn1/1p3pp1/pP1p4/P1pP1PP1/q1B1QP2/2B5/6K1 w - -,g1f1
r2q1rk1/1pp2pb1/3pb1pn/p2Np2p/1nP1P2P/P2P2P1/1P2NPB1/1RBQK2R b K -,b4d5
8/8/P4R2/3kp3/8/6P1/r4P2/5K2 w - -,g3g4
r2q1rk1/p2bn1pp/1pnbpp2/3p4/2pPP3/1NP2NP1/PP2QPBP/R1B2RK1 w - -,b3d2
r4rk1/p1nnp1bp/1p1q1pp1/3p4/P2P1P2/1PPN4/3NQ1PP/R1B2RK1 b - -,f8e8
1rb1rbk1/2qn1ppp/ppnpp3/6P1/P3PP2/1NN1BR2/1PP3BP/R2Q2K1 w - -,d1d2
2r1r1k1/1p3pb1/2b3p1/2n4p/p1PpPq2/P2B1NNP/2Q2PP1/1R2R1K1 w - -,g3e2
8/p3N3/8/P6p/1P2k1p1/8/3b2KP/8 w - -,e7c6
3rk2r/1p2bpp1/p1bppn2/8/3BP3/P1NR2P1/1PP2PB1/R5K1 b k -,h8h5
8/5k2/1r3p2/3P1K2/4NPP1/8/8/8 b - -,b6a6
r3r3/p5bk/7p/n2N4/6n1/4PN2/PP4PB/3R1RK1 b - -,a8c8
r1bq1rk1/pp3nbp/3p2p1/4pp2/2P1PP2/2N1B3/PP1QB1PP/R4RK1 w - -,e4f5
8/1p1b1q1k/p3p2p/QP1pP3/P1r2N2/6P1/5P1P/4R1K1 w - -,b5a6
3q1rk1/5p2/3pb1pQ/p6p/1p1R3P/1P4P1/P3PPB1/6K1 b - -,d8e7
2Q5/5k1p/p4pp1/P2Np3/3qn3/1p5P/1P3PP1/6K1 w - -,c8d7
r4r1k/2pn2b1/3p3p/3PppP1/pPq5/P3BP2/2B3QR/3R2K1 w - -,g1h1
r1bq1rk1/1p1n1pbp/4pnp1/pB1pN1B1/P2PP3/2N2Q2/1P3PPP/R3K2R b KQ -,h7h6
2r2bk1/1bq3pp/p3p3/1p1pn3/3N4/P1N5/1PPQB1PP/4R2K w - -,d4e6
r2r2k1/p1q2pb1/2pBn1p1/4p1Pp/4N2P/5P2/PPP2Q2/2KR3R b - -,c7a5
r2qk2r/p3np1p/b2pp3/1pp1n1p1/2P1PP2/1P1P2P1/P2QN1BP/R2NK2R b KQkq f3,g5f4
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NP1N1P/PPP1BPP1/R1BQ1RK1 w - -,c1d2
r1b1k1nr/pp1p1pbp/1q2p1p1/1N6/2BpP3/2P5/PP3PPP/R1BQ1RK1 b kq -,a7a6
r1bq1rk1/1p2bppp/p3pn2/2n5/2N2B2/2NBP3/PP3PPP/R2Q1RK1 w - -,d3c2
r1b2rk1/pp3pp1/4pb1p/q3N3/PnBP4/2N5/1P2QPPP/R2R2K1 w - -,a1a3
r2q1rk1/2p3p1/2nppn1p/p7/PpPpP3/4PNN1/1P1Q2PP/R4RK1 w - -,e3d4
8/3nk1p1/1p2pp2/pP1pP2p/P1bP1P1P/b2NK1P1/3B4/1R6 b - -,d7f8
r6k/pRR3rp/6pb/2N1p1n1/8/5BP1/P1Q2PK1/4q3 w - -,c2e2
1Q5k/6q1/6Pb/2p2B2/3p4/p2P4/5P2/5K2 b - -,g7f8
r5k1/1p3ppp/p2p1b2/3P4/3pq3/3B4/PPP2PPP/2KR4 w - -,d3e4
r5rk/p1p3b1/1p1pPn1p/1P1Pp1pq/P1P2p2/3B1P1P/5BP1/R2QR1K1 w - -,a4a5
6k1/6bp/pp2p1p1/5p2/2K2P2/2p3P1/2P1P2P/4N3 w - -,e1d3
q4bk1/5pp1/pp2rn1p/3b4/1PB5/PQ2BP1P/3N1KP1/2R5 w - -,e3d4
6k1/6pp/Q2bq3/2pb4/3p1p2/1P3P2/PB1N2PP/5K2 b - -,h7h5
3q4/1p6/4p1k1/PBQpPb2/5Pp1/2K3P1/8/8 w - -,c3b4
rnQ4r/pp2kp1p/1q3bp1/3P2B1/6nP/1N3N2/P3BPP1/5RK1 w - -,c8h8
8/pp6/2p1k2N/3pP1p1/4n1PP/P1P3K1/1P6/8 w - -,g3h3
r4k2/5p2/n6p/6p1/1P2P3/b1p3B1/2N2PPP/3R1K2 b - -,f8e8
6k1/2R5/8/6Pp/2p2P1P/3r2K1/8/8 w - -,g3f2
