8/8/8/1P2n1p1/3k2P1/1K6/4B3/8 b - -,d4c5
1r1q1Bk1/5p2/p1npb1p1/1pp4p/2P1P3/1PQ3P1/P2N1PBP/1R3nK1 b - -,d8f8
8/1p4k1/p1p1rpbp/2Pp4/1P3RPP/4P3/1P1K2B1/8 b - -,e6e5
8/6r1/1p1p1k2/p3p3/1PP1Pr1P/5p1Q/5P2/7K w - -,b4a5
rnbqk2r/pp2nppp/8/2bp4/8/2P1B3/PP2QPPP/RN2KBNR b KQkq -,c5d6
1nkr1bnr/pppq4/5p2/1P2p1pp/2NP2b1/1Q3NP1/PB2PPBP/R3K2R b KQ -,g4h3
4b1k1/4q1p1/Q6p/3pp2P/6P1/2P5/P5KB/8 w - -,a6c8
8/7p/N2k2p1/2P5/P5P1/4n3/7P/7K b - -,d6c6
1r4k1/5p2/4p1pb/p2pP1qp/P1pN4/2P4P/1P2RPP1/4Q1K1 w - -,d4b5
r1b1k2r/ppppqppp/2n1pn2/8/2PP4/2N2NP1/PP1QPP1P/R3KB1R b KQkq -,d7d5
5B2/1p6/p1bPk3/7p/6pK/1P6/1P6/8 b - -,c6e8
1k1r1r2/pp1bn2p/1b1N1p2/4p3/8/2P2N2/PP2B1PP/R3K2R w KQ -,d6c4
r3k2r/ppp2ppp/2n1pn2/3p4/5P1q/1P1PPQ2/PBP1B1P1/RN1K4 w kq -,b1c3
1kr4r/1pqbbp2/p3p3/3pP3/PP1BnPP1/2N1Q2p/2P1B2P/R4RK1 w - -,c3e4
2r5/p3p1k1/5p2/3P1Q2/4q1pP/6P1/P4R1K/8 b - -,e4f5
2k4r/Bppq1ppp/5n2/n3r3/1Q2P3/2P2BP1/P3PP1P/1R3RK1 w - -,a7d4
r2qk2r/pp1n1ppp/2p1pn2/7b/PbBP2PN/2N1P2P/1P3P2/R1BQ1RK1 b kq g3,g7g5
4rrk1/p5pp/1qp1ppb1/2npP3/6P1/1NN4P/PPPQRP2/R5K1 b - -,f6e5
2r1r1k1/5pb1/p2Bp1pp/1qPp4/1P6/4P2P/Q4PP1/1RR3K1 w - -,c1c2
r1b2rk1/1pp3pp/3p4/1Pq5/2P2pP1/2QP1B1P/4P3/1K1R3R b - -,c8e6
r4rk1/3q2bp/2p1ppp1/np1b4/pN1P1P2/P1P2B2/1PQ3PP/2B1RRK1 b - -,f8e8
8/6p1/B1P2k1p/4p3/4K2P/2n5/6P1/8 w - -,e4f3
2r3k1/pQ3pp1/5r1p/8/8/4qP2/PP4PP/1K1R3R b - -,f6c6
8/8/K2k4/4b1R1/8/8/8/1r6 w - -,g5h5
5rk1/rp2ppbp/b2p2p1/8/4P3/2N2n2/1PPB1PPP/R1R3K1 w - -,g2f3
r2q1rk1/5p1p/pp2p1p1/3p1b2/Q6P/1P6/Pb1R1PP1/3NR1K1 w - -,d1b2
r1k1r3/pp1n1p1p/2p3p1/4P1BN/5P2/b1P4P/P1P3B1/2K1R2R w - -,c1d2
3r1k2/3qp2p/3p1pp1/p1pPP3/1rR2P1P/1P2Q1P1/P3R3/6K1 w - -,h4h5
2r3k1/p4pp1/2p1b2p/q2n4/3P4/2N2P1P/P4BP1/2RQ2K1 w - -,c3e4
1rb1qrk1/4bppp/p1Nppn2/8/N3PP2/3PB2Q/6PP/R1R4K b - -,b8b3
2rq1rk1/1p2b1p1/p2p3p/3Npb2/2P1Q3/1P6/P4PPP/R1B2RK1 w - -,e4e2
r2qr1k1/bp3ppp/p4n2/3pn3/1P1N2B1/P1N1P3/1B3PPP/R2Q1RK1 b - -,f6g4
r1bqkbnr/1pp1pppp/p7/n7/P1pP4/2N1PN2/1P3PPP/R1BQKB1R b KQkq -,g8f6
r4rk1/ppn3pp/3Rqp2/1Pp1P3/P1n1P3/2P1BN2/5PPP/3QR1K1 b - -,c4d6
8/2p5/1p3k1p/p3B1p1/P3b3/1P4P1/2P1BP2/3K4 b - -,f6e5
8/2N1b3/6k1/4p1pp/1p1pP3/1P4K1/2P5/8 w - -,c7d5
8/7p/8/5kP1/1rp4P/5KP1/1P1R4/8 w - -,f3g2:d2d5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/2P5/1P1P1N2/PB2PPPP/RN1QKB1R w KQkq -,g2g3
2r2rk1/p2n1pb1/q1p3pp/Np2pb2/1P1Pn2N/4B1P1/P3PPBP/2RRQ1K1 b - -,e5d4
4N1k1/6pp/p4R2/4r3/p1P5/7P/1PP3P1/6K1 w - -,f6a6
k4r1r/pp1q4/4p2p/PRPpPpp1/3Pn3/4P3/4Q1PP/4BRK1 b - -,f5f4
8/3r4/4K3/1q3p2/R4Q2/5P2/6k1/8 b - -,b5c6
2r1r1k1/2qb1pb1/1p1pnnpp/p7/P2B1NP1/2N4P/1PPQ1PB1/R3R1K1 w - -,f4e6
3r2k1/2n1ppbp/2qp2p1/1p2P3/r4P2/PNPQB2P/1P4P1/3R1RK1 w - -,e5d6
r1r5/1p1k1p2/p1pPp1p1/3pP3/1PPPbPPp/4K2P/R3B3/6R1 w - -,a2a3
8/5kpp/3p4/5p2/3r3P/pP1N4/n1K2PP1/4R3 w - -,g2g3
r1b1kb1r/pp1n1pp1/2p1pq1p/8/2pP4/2N2NP1/PP2PPBP/R2Q1RK1 b kq -,g7g6:f8b4
8/2r2pkp/2N1p1p1/PPpn4/8/R6P/5PP1/6K1 b - -,c5c4
