8/8/4R3/3p4/4nkP1/3K4/4B3/4r3 w - -,e6e8
7k/p7/1p1p3p/1PpBbq2/2Pr3r/4Q2P/P3RPP1/4R1K1 w - -,e3a3
r3k2r/pp2qppp/1np1b3/3p3n/3P4/2NBP3/PPQ2PPP/1K1R2NR w kq -,f2f4:g1e2
1r6/3kp2R/3p4/1ppPp3/r1P1P3/5PP1/6K1/1R6 w - -,c4b5
rnb1kb1r/pp1ppppp/5n2/1Np5/3P1B2/4P3/PqP2PPP/R2QKBNR b KQkq -,b8a6
r1bq1rk1/pp2ppbp/2np1np1/2p5/2B1P3/P1P2N2/1PQP1PPP/RNB2RK1 b - -,c8g4
r1br2k1/p1q1ppbp/2p2np1/1p6/2pNPP2/2NPB2P/PPP3P1/R2Q1RK1 w - -,e4e5
8/8/8/7p/8/5ppk/3n4/3N3K b - -,d2e4
3q4/3n1p1k/p2b3p/2pP2p1/1pP5/1P2QNPP/P4PK1/2B5 w - -,e3e4
8/4n3/8/1pPk4/1P1B2K1/2P5/8/8 w - -,g4g5
1R6/3qrkp1/1p1n1pp1/b1p1p3/2P1P2N/6PP/5PBK/3Q4 w - -,g2f3
r1bq1rk1/pppn1pp1/3ppn1p/8/2PP3B/P1Q2P2/1P2P1PP/R3KBNR b KQ -,e6e5
r3k2r/1q1pbp1p/p3p3/1p1bP1p1/8/3BBPQ1/PPP3PP/R4R1K b kq -,h7h5
8/5p2/R1p1k1n1/2K5/3Br3/7P/8/8 b - -,g6e7
rnbq1rk1/pp2ppb1/3p3p/2p3p1/2PPP3/2N2NP1/PP2BPP1/R2QK2R w KQ c6,d4d5
1Bb3k1/7p/1np2pp1/1p1p4/1P1P4/PK2rP1P/3p2P1/N2R4 w - -,b3c2
r4r1k/1p2p1bp/pn2B1p1/2B1n3/2P5/2N3P1/PP2PP1P/R4RK1 b - -,e5c4
r6r/1p1bq1kp/p1pnnpp1/4p3/1P2P3/1BPNNP2/P5PP/R2Q1RK1 b - -,h8d8
1r1q1rk1/2p1bppp/p3pn2/2N5/2pP4/2Q1B1PP/P4PK1/R2R4 b - -,e7c5
8/2N2k2/p7/1p3p1P/6p1/4P1K1/PP1r2B1/8 w - -,b2b4
