8/5n2/8/6k1/6BP/5K2/6N1/8 b - h3,g5f6
rnbq1rk1/1p1pbppp/p3pn2/8/2PN4/4P3/PP2BPPP/RNBQ1RK1 w - -,b1c3
2r5/q3ppkp/p2p1np1/1p2n3/3NP3/1Pr1RPNP/P1PQ2P1/2R4K b - -,c3e3
4n3/4Pk2/3p2pp/3pbp2/P7/1N3P2/2P2P1P/4R1K1 b - a3,f5f4
r1b1k2r/p1pnqppp/1p1ppn2/8/2PP4/P1Q2NP1/1P2PPBP/R1B1K2R b KQkq -,c8b7
rn1qkbnr/ppp3pp/4bp2/3pp3/1P3P2/P3P3/1BPP2PP/RN1QKBNR b KQkq f3,b8d7
5r2/pr1k1p2/4p3/3pP2P/3Pq3/P1p3R1/5PP1/2QRK3 w - -,c1e3
r2q1rk1/pb2bppp/1p2pn2/3pN3/3PnP2/PP1B4/1BPNQ1PP/R4RK1 b - -,a8c8
6k1/p5pp/n4p2/1p6/1P6/P2r1P1P/4RBP1/6K1 b - -,d3a3
r1bqr1k1/3n2bp/p2p2p1/2pP1p2/Np2BB2/5N2/PPQ2PPP/R3R1K1 b - -,f5e4
5rk1/pp1b3p/3p4/2pP1QpP/8/2P5/P4P2/4RNK1 b - -,f8f5
3r1rk1/ppq1bpp1/4b2p/2p1Pn2/4pB2/6QP/PPP1B1PN/4RRK1 w - -,g3f2
2b2r1k/ppp3qp/2nr2p1/2N2p2/1P2pP2/P1Q1P1P1/3P3P/R2R1BK1 w - -,g1f2
8/4pk2/4R3/r4PKp/7P/8/8/8 w - -,e6h6:e6e2
2r5/p4qkp/6p1/4pr2/1p6/1N6/PPP3QR/1K2R3 w - -,g2d2
3qr1k1/3bppbp/3p1np1/8/1P2P1PP/P1Q1BN2/B1P5/1K1R3R b - -,f6e4
5rk1/1p5p/p1p3p1/P2r1pq1/QP1P4/4PR1P/2R3P1/6K1 b - -,f8e8
3Rr1k1/5pbp/p5p1/2p5/1p3P2/P5PP/1P4BK/1R6 b - -,e8d8
5Q2/2n3Rp/3pp3/2R1kq2/1p6/5r2/PP5P/K7 b - -,d6c5
8/5k2/R3npp1/3Np2p/4P2P/1r2KP2/6P1/8 w - -,e3f2
8/4k1p1/1p1r1pP1/p7/3pPQ2/Pq6/1P2P3/K2R4 w - -,d1d3
1rr3k1/3n1ppp/2q5/3pP3/pQ3P1P/4B3/PPPR2P1/1K5R w - -,b4a3
r2qk2r/pb1n1ppp/2pbp3/1p6/3Pn3/3BPN2/PPQ2PPP/R1B1K2R w KQkq -,d3e4
6k1/1br1qppp/p2bp3/1p6/3Pp3/1P2P1P1/PB2NP1P/Q1R4K b - -,e7f6
8/8/6nk/5p2/R6p/p4r2/P5K1/8 b - -,f3g3
r1br2k1/pp3pp1/2p4p/2qN4/8/3BP3/PPQ2PPP/4RR1K b - -,c5c2
3rr1k1/pp3pb1/2p4p/7p/3nPPb1/B2P4/PP3NB1/2R1R2K b - -,d4e2
r1bq1rk1/pp3ppp/2n1p3/3p4/2P5/2nQ2P1/PPN1PPBP/R3K2R w KQ -,d3c3
r3r1k1/pN3pp1/2p2n1p/2P2b2/R7/1P2B1P1/R4PBP/2b3K1 b - -,c1e3
3r3k/8/8/3P1p1p/4P3/5P2/4b1PP/R6K b - -,f5e4
8/1pk3p1/1npb1p1p/p7/P2Nr3/1P6/2P3P1/1K1RR3 b - -,e4e1
r3k2r/p3bppp/1qp1pn2/3p1b2/Q2P4/1N4P1/PP2PPBP/R1B2RK1 b kq -,f5c2
4r1k1/5p1p/b5p1/2R1p3/3pP3/Pr1P2P1/7P/R4BK1 w - -,a3a4
1rb2rk1/2pn1ppp/p3p3/1pP1N3/3PB3/5P2/qP1RQ1PP/2KR4 w - -,e5c6
r2qr1k1/1bnnppbp/3p2p1/pp1P4/2P5/1P3N1P/P2N1PPB/1R1QRBK1 w - a6,d2e4
1r2q1k1/5ppp/5n2/ppp5/8/P1N5/3Q1PPP/1R4K1 w - -,d2d6
1k1r1b1r/1bqn1p2/6pp/1p1Pp3/2p1P3/4B3/1PBNQPPP/1K1R3R w - -,b2b3
3r4/3k1p2/7p/4p3/4PbPP/2R1N3/P2p4/3K4 b - -,d8b8
r1bq1rk1/2p1npbp/p5p1/1p1P2B1/1n1P4/2N2N2/PPB2PPP/R2Q1RK1 b - -,f7f6
5k2/3nnp2/6p1/B5P1/2p2P2/8/2P3K1/8 b - -,e7c6
4r1k1/1R3pp1/p2p1np1/8/3qP3/3B2B1/2P2N1P/r4Q1K w - -,b7b1
r1b1r1k1/1pqn1pbp/2pB2p1/p3p3/P3P3/2N3PP/1PPQ1PB1/R3R1K1 b - -,c7b6
r1b2rk1/pp1n1ppp/2pbp3/q2p4/2PPn2B/PQN1PN2/1P3PPP/2R1KB1R w K -,c4c5
2brr1k1/1q3nbp/p2pppp1/1p2n3/4P2P/P1BR1N2/BPPQNPP1/3R2K1 w - -,f3e5
r4rkb/1p3p1p/pq1p1Pp1/2pPn3/8/2PPB2P/1P3QB1/3R1RK1 b - -,b6c7
rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,b5d7:a2a4
r1b3k1/pp1n1qp1/4p3/3NP3/5P1Q/8/PP4PP/R3R1K1 w - -,h4d8
8/p2R2kp/4p1p1/8/1r2P2P/n4P2/P5P1/K6R b - -,g7f6
7k/ppp5/8/2PPb1pP/1P1nBr2/7K/P7/4Q3 w - -,e1e3
8/7k/5p1p/2Nnp1p1/8/5PP1/5K1P/8 w - -,c5d3
r1b1r1k1/1p1nqpbp/p2p1np1/2pP4/P3P3/2NB2NP/1P3PP1/R1BQ1RK1 w - -,c1e3
rq3rk1/pb2bppp/1pn1pn2/1Np5/2P5/4PNP1/PB1PQPBP/R4RK1 w - -,d2d4
r4rk1/pbq1bpp1/1pn1p2p/2pn4/2N5/2PP1NP1/PP2QPBP/R1B1R1K1 w - -,f3e5
r1b1kbr1/pp1ppp1p/2n5/q3P3/4Q2p/2N2N2/PPP1P1PP/R3KB1R b KQq -,h4h3
r6k/p2b2rp/n2p1n1q/1ppP1p2/2P1pP2/P1N3PP/1P2B1QN/1R4RK w - b6,h2f1
2b2rk1/5rpp/1q2p3/p1npP2P/1p1R1P2/1P2Q3/P1P3B1/1KN1R3 b - -,c5b7
r1b2rk1/2p1p1bp/p1pq1np1/3pN1B1/3P3P/2N5/PPP1Q1P1/2KR3R w - -,g2g4
r5k1/p1pp2bp/2p3p1/2Pr1n2/2R5/1P1N4/P1KB1PPP/5R2 w - -,d2c3
5rk1/1q1nbppp/1p1ppn2/1Qp5/3P4/2P1PN1P/rP1N1PPB/R5K1 w - -,a1a2
8/5r2/2p1R1K1/pp1k1P2/P7/1P6/2P5/8 b - -,f7f8
1r2r1k1/5pp1/pb1p2np/1p5n/2pPP3/P1P1BPNq/BP1Q1R1P/6RK b - -,b6d8
