8/3RK3/2k1p3/5b2/8/1R6/2r5/8 w - -,b3b8
4k3/7p/2p3b1/pp1p4/3Q4/P1P2BP1/1P3PPK/4q3 b - -,e1c1
8/6pk/8/6p1/8/p1q3PP/3R1P1K/4R3 w - -,e1d1
r1bq1rk1/1pp2pbp/p2p1np1/1N6/2nN4/6P1/PPQ1PPBP/R1BR2K1 w - -,c2c4
2qr2k1/1p3pp1/rpp1pn1p/5b2/2PP1B2/PQ3PP1/1P5P/2RR1BK1 w - -,d4d5
2kr3r/1pp1b1pn/p1p2pb1/6Pp/2NqP2P/3PB3/PPP1QP2/RN3RK1 b - -,d4d7
r5k1/5pp1/p2p3p/P1pP4/1rBbPq2/1P1Q4/5PPP/4RRK1 b - -,b4b7
r1bq1rk1/1p2bppp/p1nppn2/8/2BNP3/2N1B3/PPP1QPPP/2KR2R1 b - -,c6d4:d8c7
1n1q4/p4kp1/bpB1p2p/1Np1P3/P6P/6P1/1PP1QP2/6K1 b - -,b8c6
6k1/4q3/2n2Qp1/3pp3/8/5p2/R7/1r3NK1 w - -,a2a8
r4rk1/p1ppqpbp/b1p3p1/3nP3/2P5/1P4P1/PB2QPBP/RN2K2R b KQ -,a8e8:d5b6:f8e8:f7f6
r4r1k/pp1qb1pp/3p4/3Nn3/3B4/7P/PP3PP1/R2Q1RK1 w - -,f1e1
6k1/pp1b2pp/4p3/3p4/1P1P4/2N2rP1/P6P/2R3K1 b - -,f3f8
8/b6p/3k1pp1/1pp5/1p2P3/2P1BN2/P3KPPP/8 w - -,c3b4
r1b2rk1/1pq1bppp/pn1pp3/4P3/5P2/2NP1N2/PP1BQ1PP/2R2R1K b - -,c7d8
6k1/5b2/4q2p/8/5p1P/4p3/4QPPK/8 b - -,e3f2
r2b2k1/3q1ppp/r2p4/p1p1p3/R1P1Pn2/1PBPN2P/2Q2PPK/R7 b - -,a6a7
5k2/2b5/8/p3p2R/1pPpP3/1P1P3b/7N/1r4NK b - -,h3d7
8/2K5/1P6/2n1N3/8/6k1/8/8 w - -,c7c6
5rk1/1R3pp1/4b2p/p3p3/P7/2n5/2P1B1PP/4R1K1 b - -,c3a4
2kr3r/1ppq2b1/p2p3p/3N1b2/5B1P/5P2/PPnQ2B1/1K1R3R w - -,d5b6
4k2r/p5pp/1p2pp2/1n6/1B6/3R1P2/PP3P1P/6K1 b - -,b5c7
1r4k1/5p1p/1q1P2p1/1pp1b2n/4N3/6PP/1P4BK/R1Q2R2 b - -,f7f5
2b2rk1/2q1p2p/2p3n1/p2p2b1/1r6/P1N5/1PPQB1PP/1R3R1K w - -,f1f8
2R5/8/3k4/3p4/1P2pK2/1r4P1/8/8 b - -,b3b4
8/2k4p/2p2pp1/2N5/4PP1P/1P2K3/P1n5/8 w - -,e3f2
3rr1k1/pp1bqppp/1bn2n2/3p4/1P6/PN2PN2/1B2BPPP/R2Q1RK1 w - -,b3d4
r4rk1/p2b2pp/8/1npPB3/2p1p1pP/4PqP1/P1Q1NP2/2R2RK1 b - -,f8f5
8/1p3p2/P4kp1/2n4p/3N3P/4PP2/5K2/8 b - -,b7a6
2r5/4kpp1/1pp1n3/1p1nr2P/2p5/5P2/PP1B4/2KR1B1R w - -,h5h6
8/5p2/8/4R1k1/7r/6K1/8/8 b - -,g5f6
r1b1k2r/1p3p2/p1nqpn1p/3p4/3P1P2/2NBP2P/PP6/2RQK1NR b Kkq -,h8g8
8/p5Bp/3k2p1/1bpP2p1/8/5P1P/P5P1/6K1 b - -,d6d5
8/8/2n2kp1/bN1p3p/5P2/4PKP1/8/1B6 w - -,b1d3
r3r3/1n3pkp/1q3np1/p2p4/1ppP2P1/P1B1PPN1/RP1Q3P/4R1K1 w - -,g4g5
r5k1/5pbp/3p2p1/4p3/1PPpP3/p2P2PP/R2Q1PK1/1q1B4 b - -,g7h6
8/3k1p1p/5Pp1/4P3/2RP4/r6P/6K1/8 w - -,c4b4
8/3n4/1k2pp2/6pN/2K4p/P3P2P/6P1/8 w - -,h5g7
3r1bk1/1p5p/4bpp1/4p3/8/2P2PK1/1B2R1PP/1N6 b - -,g8f7
2r2bk1/p4p1p/RrN1pnp1/3p4/1p1P4/3BP1P1/1P3P1P/R5K1 w - -,c6e5
3r4/4kp2/pq2n3/1p4b1/4p3/P1P1pR1Q/1P1R1P1P/3K1B2 w - -,f3e3
r4rk1/2qnbppp/p1n1b3/1pp1p3/4N3/2PP1N1P/PPB1QPP1/R1B1R1K1 w - -,e4g5
1r4k1/p2n1rp1/4p2p/2p1P3/1PP1Np2/P1B4P/8/3R2K1 b - b3,c5b4
r4rk1/1nqbbppp/3p4/pp1Pp3/nP2P3/R1P1BN1P/2BN1PP1/Q3R1K1 w - -,c2a4
r1bqkbnr/pppp2pp/2n5/4pp2/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq f6,d2d4:d2d3
r1r3k1/pp2ppbp/3p1np1/2qP4/P7/1QN3PP/1P2PPK1/R1B2R2 b - -,b7b6
8/3k1p2/3P4/5pp1/2K5/4r1P1/R7/8 b - -,d7d6
rn1qkb1r/pp2pppb/2p2n1p/7P/3P4/3B1NN1/PPP2PP1/R1BQK2R b KQkq -,h7d3
r3rbk1/5ppp/p1qppn2/1P6/3P4/1QP4P/1P1NRPPB/4R1K1 b - -,a6b5
8/8/8/8/1p4kP/2p3P1/1n1BK3/8 w - -,d2e1
8/6Q1/8/6k1/3K4/6qP/8/8 b - -,g5f4
5nk1/3b2pp/p2Npp2/1p5P/8/1P4P1/P1P2PB1/6K1 w - -,c2c4
4r2k/1p1b2b1/p6n/3Pn3/1PP5/3r3P/P5BK/B3RR2 b - -,d3d2
2rq1rk1/p3bpp1/1p2pnp1/8/3P1B2/1B4Q1/PP3PPP/R4RK1 w - -,f4e5
8/1p6/5k2/R4p2/7P/8/P1B3b1/4Kr2 w - -,e1e2
r1b1k2r/pp2qpb1/2pp1np1/4n3/2PNPP1p/1PN1B1PP/P5B1/R2Q1RK1 b kq f3,h4g3
rnb2rk1/ppqn1ppp/4p3/2P5/P3P3/1QP1BP2/6PP/R3KBNR w KQ -,b3a3
4rrk1/2pq2bp/1p1p2p1/p1nPpp2/2P1P3/1P2B1PB/P1Q2P1P/4RR1K b - -,d7f7
1r6/1r1kb3/p1b1p1p1/2ppPp1p/5P1P/N1P3P1/PPR1R3/1NK5 w - -,c2d2
1k6/5Rp1/2B5/1pP3P1/pP1K4/1r6/8/8 b - -,a4a3
8/8/5pk1/R7/5p1p/6r1/8/5K2 w - -,a5a8
8/2R2k2/4p3/3pPr1p/3P1P1K/6P1/8/8 b - -,f7e8
rnbq1rk1/1p2bppp/p2p1n2/2pPp3/P3P3/2N2N1P/1PP1BPP1/R1BQK2R b KQ a3,b8d7
4r2k/1B1R3p/p7/P5p1/8/2Pp4/2b3PP/6K1 w - -,b7a6
r2q1rk1/pp2bpp1/2n1bB1p/3pN3/2pP4/1PN3P1/P3PPBP/R2Q1RK1 b - -,e7f6
r3r2k/pbqn3p/6pN/1pp1ppB1/3bP3/2P3P1/PP1Q1P1P/R2R1NK1 w - -,c3d4
1r3rk1/pbqn1ppp/1p1bp3/2p3B1/3PB3/2P2N2/PP2QPPP/R3R1K1 w - -,e4b7
1nrq1r1k/5pp1/b3p2p/p1PpP3/1p1P1P2/P3Q3/3B2PP/RR2N1K1 b - -,b4a3
5r2/pp2n2k/1b2Q1pp/4n3/8/1PPBp2P/1P3pPK/R7 w - -,e6e7
3r1rk1/3nbppp/1q6/8/Rp1Nb3/4PN1P/1P1B2P1/4QRK1 b - -,d8a8
3rr1k1/p2qbppp/1p6/3p4/3B4/2R1PPPb/PP2Q1BP/3R2K1 w - -,g2h3
1r2r3/5p1k/3p2p1/1pb1n3/4BB2/1p5P/P4P2/2RR2K1 w - -,a2b3
