kb5R/pp3b1p/1P6/P2K4/5p2/5P2/8/8 w - -,d5e4
3R1r2/pq3p1k/1p2pQp1/4Bn1p/1P6/2P2P2/P5PP/7K b - -,f8d8
r3r1k1/1pq1bppp/2pp1nb1/p1n1p3/4P2N/2PP2NP/PPB2PP1/R1BQR1K1 w - -,h4f5
r7/5Rkp/2np4/1pp1p3/4P2P/1BPn2P1/3N4/6K1 b - -,g7h8
r3qrk1/1ppb1pbp/3p2p1/p1nPp1Bn/2P1P3/2N2PP1/PPBQ3P/R3K1NR w KQ a6,e1c1
rnbq1rk1/ppp3bp/3p1np1/4pp2/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b - -,b8c6
8/p2b2k1/8/7n/3p3P/P5P1/2r5/1N3RK1 w - -,f1e1
1q3rk1/pp1bppbp/3p1np1/8/2rNP1P1/2N1BP2/PPPQ3P/1K1R3R w - -,d4e2
r1b1kb1r/ppq2ppp/2n1pn2/1B6/2PN4/8/PP3PPP/RNBQ1RK1 w kq -,d4c6
1rbqr1k1/1pnnbppp/p2p4/2pPp3/P1P1P1P1/2NBBN1P/1PQ2P2/R3K2R w KQ -,a1b1
2rr3k/4q1bp/p1bpp3/1p4p1/2P1P1N1/1PN1B1Q1/1P4PP/4R2K w - -,e3b6
8/1p6/5k2/R7/4B2P/5p2/P3K1b1/5r2 w - -,e2d2
2rn2k1/r4pb1/5npp/pR2N3/2N1q3/B1P4P/5PP1/1R1Q2K1 b - -,f6e8
r2q1rk1/pp1b1p1p/2npp1pQ/2p5/2PnP3/2NP2P1/PP2NPBP/1R3RK1 b - -,a7a6
8/8/8/8/7p/2K2k1P/8/8 w - -,c3d3
rnbq1rk1/pp5p/2pbp1p1/3p1p1n/2PP4/2NBPPP1/PPQ1N2P/R1B1K2R w KQ -,c1d2
2kr4/pp1r4/2pbnpp1/3pp3/8/1P2PP1P/PB2N1P1/R2R2K1 w - -,a1c1
8/6p1/1Q3p2/p2pbPP1/P2k3P/4nB2/2r5/7K b - -,d4d3
2r3k1/3b3p/3Pq1p1/1p1nP3/3Q1BPb/2P4P/1P2B3/5RK1 w - -,f4h6
r3k3/pppb2b1/4p1p1/3p4/2n5/2P5/PP2NPPP/2BRK2R b Kq -,e8c8
r3k2r/pp3pp1/4p1p1/3pP3/2n2PPb/4n1N1/PP4KP/1RB2B1R w kq -,g2f3
8/2p3pk/7p/3P4/p1p1r3/P5P1/2R3KP/8 b - -,h7g6
r3k2r/pp2bppp/2p1q3/7n/3QpBb1/2N3P1/PPP2PBP/R3R1K1 w kq -,e1e4
