8/8/k3K2r/1R6/PP6/8/8/8 w - -,e6f7
6r1/5p1k/4b1p1/5q1p/3Q4/7P/5PP1/B1R3K1 b - -,g6g5
r6k/pp1n4/4p2p/3pP3/3P4/1N3q1P/PPB3RK/R7 b - -,a8g8
3r2k1/pb5p/6p1/b1p2p2/2P5/8/Pp4PP/1B3RK1 b - -,d8d2
5k2/p6R/1p2p2p/4P3/r4Pp1/4K3/P6P/8 b - -,a4a2
4rk2/p4p2/3p2p1/3Ppb1p/2P4P/1N3P2/PK4P1/4R3 b - -,e5e4
rnbq1rk1/pp2bppp/4p3/1N1n4/8/6P1/PP2PPBP/RNBQ1RK1 b - -,d8b6
2rq1rk1/pb1nbppp/1pn1p3/2ppP3/1P6/P1PP1NP1/3N1PBP/R1BQR1K1 w - -,d3d4
r1bqk2r/pppp1ppp/2n2n2/6B1/2PN4/2P5/P3PPPP/R2QKB1R b KQkq -,c6e5
rnbq1rk1/pp3pbp/3p2p1/3np3/5P2/2PBB3/PP2N1PP/RN1QK2R w KQ -,d1d2
2r2rk1/1p2ppbp/4b1p1/pP6/4n3/4BN1P/1P2BPP1/2RR2K1 w - -,f3d4
5rk1/p6p/4pPpB/4P3/3K4/1pr2P2/8/7R b - -,f8c8
r1r3k1/1p3pp1/1p2p2p/2np1b2/8/P1bP2PP/1P2PPB1/2BRR1K1 w - -,b2c3
2r3k1/p5b1/1p5p/3p2p1/P2P3n/2PN1r1P/1P1BR3/R5K1 w - -,e2e3
r5k1/1p4b1/1p2b3/3np3/4NpP1/5P2/PPrB4/R3RBK1 w - -,a1c1
r6k/2q2pp1/1prpb2p/4p3/pPP1P3/P1R1QPP1/6KP/2RB4 w - -,e3d3
4kb1r/pp3ppp/b3p3/2qpP3/3N4/1QP3P1/5P1P/R3K2R w Kk -,a1a6
8/5p2/7k/2P3Rp/2r4P/5P1K/8/8 b - -,f7f6
r4r1k/1bp1q1pp/pn6/1p6/1P1Ppb2/PBN5/1BR2PPP/3QR1K1 b - -,e4e3
3rr1k1/p1qnbpp1/2pp3p/4p3/1N1PP1n1/P1N1B3/2PQ1PPP/R2R2K1 w - -,d4d5
r1bqkb1r/pp1pnppp/4p3/2p5/3nP3/5N2/PPPP1PPP/RNBQRBK1 b kq -,e7c6
8/1p2kp2/2b1p3/4n1p1/1PP3P1/4K1P1/3NB1r1/3R4 b - -,e5g4
r1b1nrk1/ppqn1ppp/2p1p3/3pP3/3P4/1P1BP3/PBPN2PP/R2QK2R w KQ -,e1g1
2r3k1/1bqn1pbp/pp3np1/3p1P2/P7/1NN2B2/1PP2QPP/2B1R2K w - -,f5g6
2r1k1nr/1p1b1p2/p3p2b/3pP1Bp/3n4/P2B1N1P/1q1N1PP1/R2Q1RK1 w k -,f3d4
r1b1k2r/1pp2p1p/p3pb2/5P2/3q4/2N5/PPP2P1P/R2QKB1R w KQkq -,f1d3
3rr1k1/1bqn1p1p/pp1p1bp1/3Pn3/PP1B1NP1/R5NP/2P3B1/Q3R1K1 w - -,a3e3
8/p3k1pp/2P5/1b2P3/1R6/PBKp3P/4p1P1/8 b - -,e2e1q
rq2r1k1/pb2bppp/1pn1pn2/1Np5/2PP4/4PNP1/PB2QPBP/R4RK1 w - -,f1d1
2Q1nbk1/6pp/6q1/1B2P3/8/3p4/PP4PP/5R1K b - -,d3d2
r1b2rk1/ppn3pp/2p2p2/3p2q1/PP1P1bN1/2PB3P/5PP1/R2QRNK1 w - -,d1f3
8/p1k2ppp/3np3/2p5/2P2PP1/2PPK3/P6P/5B2 w - -,d3d4
