R7/8/1k6/8/p7/1pK5/2r5/8 w - -,c3d3
r4r1k/1pq1bppp/p2pbn2/4n3/3NPB2/2N3Q1/PPP1B1PP/3R1RK1 w - -,f4e3
r1bqk2r/pp1nppb1/2p2np1/7p/7P/1P3QN1/PBPP1PP1/R3KBNR w KQkq h6,g1h3
5r2/1b4k1/pp4pp/3N4/1P3P2/2N3P1/7P/4K3 b - -,f8e8
2kr1b1r/pp2p2p/1np1Nq2/2N3p1/8/5Q2/PP3PPP/2R2RK1 w - -,f3a3
4b1k1/5pp1/p5p1/2qPb1N1/2P4Q/1P5P/2B2PP1/6K1 w - -,h4e4
8/p1r5/7p/1Rp2p2/P2kb3/8/1R3KPP/8 w - -,b2d2
3r1rk1/pp4p1/4pq1p/3p4/3nbP2/2P3P1/PP1Q3P/3NRRK1 w - -,d2d4
r2r2k1/pp3pb1/2n1q1pp/3pP3/5B1P/2N2Q2/PP3PP1/3RR1K1 b - -,d5d4
2r1r1k1/1b3pb1/pp4pp/2npP3/3B1P1N/2P5/P5PP/1B2RR1K b - -,c5e4
1nr1k3/3p2pp/p1rPp3/1bp1Pp2/N1B2P2/PP2KP2/1R5P/2R5 b - -,e8f7
8/8/8/1R4p1/1p2rk2/8/5K2/8 w - -,b5b8
5k2/5pp1/p3p1p1/1p1b4/2rP4/P1P1KP2/3B2PP/R7 b - -,f8e7
8/2p2kpp/1p1p4/1P1Pn2P/1P2Pr2/2r2P1R/4B1K1/1R6 w - -,h3h1
2r1rnk1/pb3qbp/1pn1pp2/2p3p1/P1PpP2P/3P1P1N/1P3BPN/R2QRBK1 b - -,g5h4
r1bqk2r/1ppp2bp/2n2np1/p3pp2/2P5/P1N1P1P1/1P1PNPBP/R1BQK2R w KQkq -,d2d4
6k1/2pr1pp1/7p/p3r3/N2b4/BP1P2PP/P3PP2/2R2K2 w - -,a3b2
r1bq1rk1/p2n1ppp/1pp1pn2/3p4/2PPP3/5NP1/PPQN1PBP/R4RK1 b - e3,c8b7:f6e4
r3r1k1/pp3pbp/2pp2p1/8/3PPpb1/2P2N2/PPB2PPK/3RR3 w - -,d1d3
5rk1/pp4rp/1q2p1P1/3pPpQ1/3P4/P5R1/1P3PP1/2R3K1 b - -,g7g6
rnbq1rk1/ppp1bppp/4pn2/3p2B1/3PP3/2NQ1P2/PPP3PP/2KR1BNR b - -,b7b6
r1bqk1nr/ppp2ppp/2nb4/3p4/3P4/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,c8g4:g8e7
r3k2r/1bqnbppp/p1n5/4pp2/N3B3/1N2BQ2/1PP3PP/R4RK1 w kq -,f3f5
3r1qk1/p4pp1/1p5p/4r2P/4P2Q/P5R1/5PP1/4R1K1 b - -,d8e8
4rrk1/pp4p1/2pn1n1p/3pN3/3P2P1/1PP1RN1P/P4P2/R5K1 w - -,f3d2
2b4r/2R1bppp/1B1pp3/3N2P1/k1P1P3/5P2/7P/6K1 w - -,d5e7
r3r1k1/1pqnbppp/2p2n2/p3p2b/2P1N3/PP3NP1/1BQ1PPBP/3RR1K1 w - -,e4f6
5b1k/8/4Q3/2p1B3/P4p1P/2Pq1P2/6K1/8 b - -,h8h7
2kr1br1/1bqn1p2/4p2p/1p1pP1pN/2pP2P1/2P5/1PN1QPP1/1BKR3R w - -,e2f3
8/3k1pp1/8/4bPp1/2pqP3/1p5P/1P4B1/2KQ4 b - -,e5f4
r1bqn1n1/ppp2rbk/3p2pp/2PPp3/1PN1Pp2/2N5/PBQ1BPPP/2RR2K1 b - -,h6h5
r1r5/1p1b1k2/1p2Qp2/6p1/7p/P1P1P3/5PPP/2R1KB1R b K -,f7e6
r4knr/pp4pp/1b3Q2/3pp3/1P6/P7/1BP2PPP/R3KB1R b KQ -,g8f6
k3r3/1p5p/p2q2p1/3rp3/PP2R3/7P/1Q2R1PK/8 w - -,b4b5
rn1qkb1r/ppp2ppp/1n1pp1b1/4P1B1/2PP2P1/3B1N1P/PP3P2/RN1QK2R b KQkq -,f8e7
