2r5/3k1p2/1R3bpP/2PK4/1p6/8/P7/8 w - -,b6f6
1r6/r4pk1/4P1p1/1ppN3p/2Pb2qP/1P3QP1/4R1K1/4R3 b - -,f7e6
8/p7/3k4/8/P3p1P1/2p1K1P1/8/8 b - -,d6e5
r2r2k1/1bqnbpp1/3pp2p/p1p5/2N1P2P/1PP2NP1/P1Q2PB1/3RR1K1 b - -,b7a6
1r2r3/6kp/b1pn1pp1/3pp3/Pp3P2/1P1PPB2/N1P3PP/R3R1K1 w - -,g2g4
r2q3k/1p1n3p/2bp4/p2Npp2/2P2P2/1P2B1r1/P3Q1B1/2RR2K1 w - -,e3f2
1r3bk1/3R3p/2r3p1/2P1pp2/1p6/1b2BPP1/4NK1P/2R5 w - -,f3f4
5r2/7k/8/6RP/2r3P1/7K/8/8 w - -,g5a5
4rrk1/pR3p2/6p1/n1Bp1q2/P7/1QP5/5PPP/2R3K1 w - -,b3b5
8/p1R2p2/6p1/1P2k3/r7/6PK/8/8 w - -,c7f7
5k2/5p2/3N1p2/2pb3p/1r3P2/6P1/7P/2R3K1 w - -,c1c5
6k1/pp5p/3Rp1p1/8/q7/P1b2BP1/1B2PP1P/6K1 w - -,b2c3
8/8/1R6/P1k1p3/8/2K5/8/4r3 b - -,e1a1
2q2rk1/2Pnbppp/rp2pn2/1N1p4/pp1P1B2/P3PN1P/5PP1/R2QK2R w KQ -,a1c1
rnbq1rk1/pp4bp/2p2ppn/3p4/3P1B1P/2N5/PPP2PP1/R2QKBNR w KQ -,d1d2
r2qrbk1/1p3pp1/2pp1np1/2n5/p1PQ2P1/1PN1P2P/PB3PB1/R2R2K1 w - -,b3b4
rn1k1b1r/ppp3pp/4pn2/4p1B1/4P3/8/PPPN1PPP/R3K1NR b KQ -,f8d6
1r2k1nr/3bppbp/3p2p1/p6q/Np1NP2P/PP2Q1P1/2P2PB1/R4RK1 w k a6,a3b4
r3k2r/ppp2pp1/2n3b1/2b1p2p/4p1Pq/2P3NP/PPBP1PK1/R1BQ1R2 w kq h6,c2e4
