8/2k5/2p5/3p3P/4r1P1/3Q1K2/4B3/q7 b - -,a1f6
5R2/8/8/2p1Bb1K/2kp1P2/6r1/8/8 b - -,f5e4
R3bkr1/5p2/2p1nq1p/1p1p2p1/1PnP4/3B1NBP/5PP1/Q5K1 w - -,d3c4
2b5/1p6/1B4k1/7p/p3KP2/P4B2/8/8 w - -,e4e5
2rq1rk1/1p3p2/p4nnp/2p5/3p2b1/PB1P1N2/NPPQ1PPB/R5K1 b - -,g4f3
8/2p1k3/2P5/p1nPp1p1/4P3/P1N1K1P1/6b1/3B4 w - -,d1g4
8/4p3/R4b2/4pk2/p1r2r1p/P1B4P/1P2RP2/1K6 w - -,a6a5
8/5pk1/2p2q2/8/1p1p2p1/5nP1/R3QP2/6K1 w - -,g1f1
r1bq1rk1/1p2npbp/p2pp1p1/2p5/3nPP2/2NP1NP1/PPPB2BP/1R1Q1RK1 w - -,c3e2
r1bq1rk1/p2ppnbp/2n5/1p1B1pBQ/3P3P/2N5/PPP2P2/R3K1NR w KQ -,g1f3
5rk1/5p2/4pp1p/2P5/1b2q3/1N1R2P1/5P1P/2Q3K1 w - -,d3d4
3r2k1/5pp1/1p1P1n2/2P2Pq1/1P2p1p1/1P2Q1RP/3rBRK1/8 b - -,g4h3
r3k2r/6b1/ppqpp1pp/2p2n2/1PP3P1/4BN2/P2QPP1P/2R2RK1 b kq -,f5e7
8/1p2r2p/2r1pk2/P3Rp2/1pP2P2/1P5R/5KPP/8 w - -,e5b5
r4rk1/pp2ppbp/5np1/q1p1nb2/5B2/2N3P1/PPP1PPBP/R1QR2K1 w - -,f4e5
rn3rk1/ppp1ppbp/6p1/4PbN1/2PP4/7P/PP4P1/R1B1KB1R b KQ -,b8c6
2r5/8/1pp1Rp1P/p7/P2p1P2/1P4K1/3k4/8 b - -,d4d3
r1bq1rk1/p2nppbp/1p3np1/8/2Pp4/2N1PN2/PB2BPPP/R2Q1RK1 w - -,e3d4
r4rk1/1q2bp2/p1bp2pp/1p1Bp3/P3P3/1P3N1P/2P1QPP1/3RR1K1 w - -,a4b5
1n1r1rk1/1pq2ppp/p3b3/2p1p3/P3P3/4BPP1/1PP1Q1BP/R2R2K1 w - -,e2e1
2r3k1/1p1b2pp/p2np3/3p1p2/PP1P4/3BPPPP/3B1K2/R7 w - -,f2e2
2Q5/8/8/p3k3/1P6/P1K2p2/4q2P/8 b - -,e2e3
r1bq1rk1/pp2ppbp/1nn3p1/3pP3/3P1P2/2N1BN2/PP4PP/R2QKB1R w KQ -,b2b3
2kr2nr/1b1q2b1/1p1p2p1/4pp2/4PP1p/2NP2PP/1P1QN1B1/R3K2R w KQ -,c3a4
8/4b3/1B3p2/1p1p1k2/3P2p1/3KP1P1/7P/8 w - -,b6a7
4n3/4kr1R/p1q1p1Q1/1p1p1p2/3P4/6P1/PP5P/4R1K1 b - -,f7h7
4n3/3r2kp/2p1qpp1/2N5/1p2P3/3PQR1P/1P1R2PK/r7 b - -,e6e5
8/1p3pk1/6p1/5b1p/1P3R1P/2K3P1/B1PR1P1r/6r1 b - -,b7b6
2r3k1/p4pp1/1p5p/8/3pP2P/6P1/P4P1K/3R4 b - -,c8c2
r1bq1rk1/pp2ppbp/2n2np1/2Pp4/5B2/2P1PN1P/PP1N1PP1/R2QKB1R b KQ -,f6h5
4r3/7k/4rn2/Np2n1qp/1PpB1p2/2P2Bb1/4Q1P1/R2R3K w - -,h1g1
3r3r/1kpp1pbp/bnp1q1p1/p3P3/1BP1NP2/1P2Q3/P5PP/R3KB1R b KQ -,d7d6
r2r2k1/1p1n1pp1/2pb1n2/q2pP1p1/p1P3P1/1P1BP2P/PBQN1P2/2RR2K1 b - -,d6e5
2r2rk1/pb3p2/4qn1p/B5p1/2p5/2N2PP1/PPQ1P2P/R2R2K1 b - -,f8e8
r1b1r1k1/3q1pbp/1p4p1/p2pP1B1/Pn1P4/1PNn1RPP/3QN1B1/R5K1 w - -,f3d3
r1q2rk1/1n1b1p1p/p2p2p1/1ppPp3/4Pn2/1PP1NN1P/P1BQ1PPK/R3R3 w - -,f3g1
r4rk1/pp1qbppp/2n1pn2/3p3b/3P1B2/1QPB1N2/PP1N1PPP/2R1R1K1 b - -,c6a5
2bq1r2/8/p4bkp/2N2pp1/3P4/6P1/BP4P1/3RQ2K b - -,f8e8
8/7p/p1r3pk/1p6/1P3p1P/P2RR3/2P5/3K4 b - -,f4e3
r4rk1/p1bp1ppp/1p2pn2/8/2P1N2q/P5P1/1PQBBPK1/R4R2 b - -,h4e4
1rq1r1k1/3bbp2/3p2pp/1pp2R2/6Q1/1PNB4/1BP2PPP/3R2K1 w - -,c3d5
rq2nrk1/n4pbp/p1bp2p1/1pP5/8/2NBQN1P/PP3PP1/1RBR2K1 w - -,d3e4
4rnk1/q1r4p/3RpBpQ/4P3/1pp2P2/8/1b4PP/1B1R3K b - -,c4c3
2rqr1k1/5pp1/p1n1pn1p/1p6/3P4/PB1QBP1P/1P3P2/2R1R1K1 b - -,c6e5
8/1r1rk2p/pp1ppp2/8/1PPRPP1P/PK6/8/3R4 w - -,d1g1
r1r3k1/1p1nbppp/p1p1pn2/2Pp1b2/1P1P1B2/1N2PN1P/1P3PP1/R3KB1R w KQ -,f1e2
8/8/7n/7P/8/4k2K/8/4n3 b - -,e3f2
rnb1k2r/pp2ppbp/6p1/2p5/4PB2/2P2N2/PP3PPP/R2K1B1R w kq c6,f4e3
2r2rk1/pbq1bppp/1pnpp3/8/3PQB2/2PB1N1P/PP3PP1/R3R1K1 b - -,g7g6
