8/5k2/4b2p/3Q2p1/1P6/2P3Bq/P6P/2K5 w - -,d5f3
r1b2r1k/1p4pp/5q2/2pBp3/2Pn3P/P3Q3/1B3P2/1K2R2R w - -,e3e5
r1b1k2r/pp5p/1np3p1/2b1NP2/5P2/N2p2nP/PP4B1/R1BRK3 b kq -,c8f5
2qr1rk1/4ppbp/2p1n1p1/p1Pn4/Pp1PR3/3B1N1P/1P3PP1/R1B1Q1K1 w - -,d3c4
2r2q2/2r3nk/4p2p/1p1pPp1P/pP1P1Pp1/2P3P1/1n2N1K1/R3B1QR b - -,f8f7
3rk2r/5ppp/Q3pn2/2P4q/Pp2b3/1n2BN2/1P2BPPP/R4RK1 b k -,b3a1
r1q2rk1/ppp1ppbp/3p1np1/3P4/2P1P3/1QN1BPPb/PP4BP/R4RK1 b - -,h3g2
2Q3k1/3n1pp1/4p1qp/p2P4/4R3/P4PP1/7P/6K1 b - -,d7f8
8/K1q5/1R6/2p5/2P5/1Pk5/8/8 w - -,a7a6
rnbqkbnr/1p1p1p1p/p3p1p1/8/3NP3/3B4/PPP2PPP/RNBQ1RK1 b kq -,f8g7
r4b1k/1p6/p1bp3p/P1pB1p2/1nN5/4B3/1P3PPP/2RR2K1 b - -,b4d5
1r2rbk1/5pp1/1Nqp3p/Bpp5/4nP2/3Q2P1/1P2P1RP/R5K1 w - -,b6d5
2rqrnk1/pp2bppp/2p1bn2/3p4/3P3B/2NBPP2/PPQ1N1PP/3R1RK1 b - -,b7b5:a7a6
8/kp3qb1/p7/4p3/3n4/2N1P1Q1/PPP5/1K3B2 w - -,f1g2
2rr2k1/pp1q1ppp/1b6/3p4/3n4/2RPB1P1/PP3PBP/3Q1RK1 b - -,c8c6
r1bq1rk1/3nbppp/pp2p3/2p1P3/P2p1N2/1P1P1N2/1B1P1PPP/R2QR1K1 w - -,b3b4
r3kb1r/pp3ppp/1qn1pn2/2pp4/3P1Bb1/2PBPN2/PPQN1PPP/R3K2R b KQkq -,c5c4
4b3/p7/6p1/1p1k1p1p/1P3P1P/P2K2P1/4N3/8 w - -,e2c3
8/pq3pkp/1p1Qpbp1/8/2P1N3/1P3PP1/P6P/5K2 b - -,f6e7
4r1k1/1pb2pp1/q4n1p/p1P5/1P2p3/2P1N2P/P1Q2PP1/1B1R2K1 w - -,c2b3
8/1p6/5r2/2P5/1B6/P3k3/6K1/8 w - -,g2g3
6k1/p3n1p1/BppqN2p/5b2/2PP4/P4P2/1P2RP1P/4R1K1 b - -,e7g6
6k1/pbr2pp1/1p2p2p/2b5/2P1pPN1/1P2P1P1/PB5P/3R2K1 w - -,d1d8
8/6p1/7p/7P/5PK1/3r2P1/R2b1k2/8 w - -,g4h4
3r2k1/pp1r2p1/1qp1bpn1/8/3PP3/1P2QR1P/P2RNP2/5NK1 b - -,b6c7
3r2k1/pp3pp1/2p4p/3r4/3PpPR1/1P2P3/P4P1P/2R4K w - -,g4g1
1r2r1k1/2p3pp/4qn2/1pbpn3/8/1BP2P2/1P1NQ1PP/R1B2R1K b - -,c7c6
r4rk1/pb1qb1pp/1p6/2p1pP1N/3pN1P1/1P1P1R2/1PPQ3P/5RK1 b - -,b7e4
r1b1k2r/pp3pBp/4p3/n1P5/n3P3/P4P2/6PP/R3KBNR b KQkq -,h8g8
rn2k1nr/pbpp1ppp/1p2p3/7q/2PPP3/2P2PP1/P6P/R1BQKBNR w KQkq -,g1h3
3r4/pp3kpp/8/8/3pR3/1P1Q2P1/5PPK/2q5 b - -,c1c3
1rnqkb1r/pp1b1ppp/3p1n2/3Pp3/4P3/1QN1BN2/PP2BPPP/R3K2R w KQk -,h2h3
1n1q2k1/rB3pbp/p4np1/1p2p3/8/1PN1P3/PBN2PPP/R4RK1 w - -,f1d1
8/1p6/3p2p1/p3k3/2P1p1P1/1PN3R1/P2K4/7r w - -,g3e3
2R5/8/4p3/8/7P/2k3P1/1p1r1PK1/8 b - -,c3d3
2kr3r/pbq3pp/1p1bp3/1Pp1p3/2P1p3/2N1Q1P1/PB2PP1P/R2R2K1 b - -,d6e7
8/p1kb4/8/p7/5p2/2P3rp/PP2BK1R/8 b - -,c7d6
2r4k/1p5p/p1brpN1P/4P1p1/P7/1P4P1/5P2/2R3K1 w - -,e5d6
6k1/3r1pp1/1R2b2p/1p2p3/2p1P2P/2P3P1/1P3PB1/6K1 b - -,d7d1
r2q1rk1/1bpn2pp/pp1bp3/3p1p2/1PPPn3/P1NBPN2/3BQPPP/2RR2K1 b - b3,c7c6
1r1qk2r/1ppb1ppp/p2bpn2/n3N3/P2PP3/1p4P1/3N1PBP/R1BQ1RK1 b k -,d6b4
r1bq1rk1/pp1nbpnp/2pp2p1/4p3/P1BPP3/2N1BN2/1PPQ1PPP/R3R1K1 w - -,h2h3
2brr1k1/pp3p2/2p3pp/8/2PbN3/1R1P2PP/P4PB1/4RK2 b - -,e8e5
2r5/pp4p1/2b5/4kpP1/8/2P3KB/PP2R3/8 b - -,c6e4
2kr3r/pp1n1pp1/2pqpn1p/3p3P/3P2PB/3PPP2/PP2N3/R2Q1K1R w - -,d1a4
2n5/4p2k/p2p1p1p/1p1P1P1K/1P1BPP2/P7/8/8 b - -,h7g7
2r1k2r/1bq1bppp/p1nppn2/1p6/3NP1PP/2N1BP2/PPPQ4/1K1R1B1R w k -,h4h5
rnbqk2r/pp2npbp/3pp1p1/2pP4/2P1P3/2NB4/PP2NPPP/R1BQK2R b KQkq -,b8d7
1r1q1bk1/1r3pp1/p2pb2p/2p5/P1n1PB2/2P2N1P/2B2PP1/2RQR1K1 b - -,b7b2
r1bqk2r/ppp1bpp1/2n4p/3np3/8/P1NP1NP1/1P2PP1P/R1BQKB1R w KQkq -,f1g2
r7/4ppkp/p1p3p1/1p6/1q6/2N5/1P3PPP/R1BR2K1 w - -,g2g3
8/1p6/p1pk1p2/1P2n3/P7/5p2/3q1PP1/Q4BK1 b - -,c6c5
r3r1k1/2p1qppp/1p1p4/p1nP4/1n1QPP1P/2N5/PP2B1P1/1K1R3R w - -,e2b5
4r2r/1bpq1pk1/p2p1b1p/2pn1P2/4N3/2PB3P/PP1N2P1/1K1QR2R b - -,h8g8
8/8/2p1kp2/2Pp1Np1/p2P2P1/P2b1P2/5KP1/8 w - -,f5g3
8/kp6/p7/2p1p1R1/2PpP1K1/3P2P1/q2r4/5Q2 b - -,d2f2
2rrbk2/1p2bp1p/p1nppnp1/6B1/PqP1PQ2/1PN2PP1/4N1BP/1R1R3K b - -,f6g8
5r1k/7p/pr1p1p2/2nqpP2/B1p5/2P3RP/RP2QP1K/8 b - -,c5d3
r1q2rk1/1pn1bppp/1B1pbn2/pB2p3/4P3/1NN2P2/PPPQ2PP/1K1R3R w - -,b6c7
rn2k1nr/pp2ppbp/1qpp2p1/8/2PPP3/4BB2/P2N1PPP/R2Q1RK1 w kq -,a1b1
2r5/R1N1Pkp1/2Nn2n1/5p2/1P6/8/5PK1/8 b - -,g6e7
8/5pk1/3bnqp1/3B3p/2Q4P/6P1/3B1PK1/8 w - -,d2c3
5rk1/ppr4p/1n1Nb1p1/3p4/2PR1p2/1P5P/P3BPP1/2R3K1 w - -,d6b5
r1b1rbk1/pp3pp1/2np1q1p/2p1p3/4P3/2PPNNP1/PP2QPBP/R4RK1 b - -,f6d8
8/p4pk1/1p6/7p/2r4P/6K1/P2R1P2/8 b - -,c4a4
4k3/p3p3/bp2r3/2p1P1BP/6K1/1r6/4RR2/8 w - -,e2a2
1k1r3r/1p3ppp/1pp1p3/3nPb2/1P6/2N3P1/P3PPBP/R1R3K1 w - -,c3d5
4k3/1p2bppp/p7/3R2P1/4r3/1P2PN2/P4PP1/5K2 b - -,e4e6
r2q1rk1/2np2pp/p1p1pb2/1p6/PPPPQ3/3B2P1/1B3P1P/R2R2K1 b - -,g7g6
r3k2r/pp1qbp2/2n2pp1/7p/2QP3P/2N2N2/PP3PP1/4RK1R w kq h6,d4d5
r1b2n1r/p2nk1b1/2p3Bp/3p4/qp1P1B1P/4PP1N/PPP3Q1/2K3RR w - -,g2g3
8/p3r2p/1p1k4/8/4R3/2P1K1P1/PP5P/8 b - -,e7f7
r1bq1rk1/1p1n1ppp/p2p4/3Pp3/4P3/6P1/PP1QNPBP/R3K2R b KQ -,d7c5
rnb1k2r/ppq1npQp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1B1KBNR b KQkq -,h8g8
r2qr2k/4bpp1/4n2p/3p4/2n5/4PNB1/2Q1NPPP/1R3RK1 w - -,c2f5
r6k/B4pbp/3p4/5N1p/1nP1r3/1P4P1/3R1PK1/7R w - -,f5d6
