5k2/pRr3p1/2P4p/3nN3/8/7P/5KP1/8 w - -,e5g6
rn3rk1/pbppqpp1/1p2pn1p/8/2PP4/2N1PN2/PPQ1BPPP/R4RK1 b - -,d7d6
1rbq1rk1/p2nppbp/3p1np1/2pP4/2B5/1PN4P/PB2NPP1/R2Q1RK1 w - -,d1c2
8/p1n2p1p/2k1p1p1/1pp1P3/4PP2/P3K1P1/1P2B2P/8 w - -,g3g4
kq4r1/1p1bn2p/p3p1p1/3pPp2/3N1P1P/2r1Q3/PPP1N1P1/1K1R4 w - -,e3c3
8/8/5k1b/p1p4P/3r1P2/1P2RKP1/8/8 w - -,e3c3
r1bq1rk1/ppp1ppbp/2n2np1/8/4p3/2NP1NP1/PPP2PBP/R1BQ1RK1 w - -,c3e4
r2r2k1/3n1p1p/p1p1p1pq/2P5/Np1P4/1P3Q1P/P4PP1/3RR1K1 b - -,a8c8
3r4/8/p1pr1p2/4p3/1P2Pkp1/P2P3R/4KP2/6R1 w - -,h3h5
rnbq1rk1/2p1ppbp/pp4p1/1P1n4/3P4/4PN2/PB3PPP/RN1QKB1R w KQ -,e3e4
rnbq1rk1/pp3pp1/2pb1n1p/3Pp3/8/2NP1NP1/PPP2PBP/R1BQ1RK1 b - -,c6d5
6r1/1p1k3p/p4p2/2p1p1p1/3rR3/3P1PP1/PPP3KP/4R3 b - -,h7h5
5rk1/3nq1pp/rp1bp3/3p1p2/P2Pn3/4PN2/1BQN1PPP/R1R3K1 w - -,f3e5
8/5p1p/2k1pPp1/4P3/p1p3P1/P3K2P/8/8 w - -,e3d4
r3r1k1/pp3bp1/3B3p/1N1n1p2/2PR4/4p3/PP3PPP/4K2R b K c3,a7a6
r3k2r/1bqnbppp/pp1p1n2/4pP2/2PNP3/2NB4/PP2Q1PP/R1B2R1K w kq -,d4f3:d4c2
r2q1rk1/ppp1nppp/5n2/3p1b2/3P4/P1NBPNP1/1P3PP1/R2QK2R w KQ -,f3e5
rn3rk1/pb1qbppp/1p6/2pp4/P2Pn3/2N2NP1/1P2PPBP/R1BQ1RK1 b - -,b8c6
r1b2rk1/3nppbp/pq1p1np1/2pP4/4P3/2NB1N2/PPQ2PPP/R1B2RK1 b - -,f6g4
r4rk1/3qnbbp/2pp2p1/p3pp2/4PP2/1P1P2P1/P1N3BP/1RBQ1RK1 w - a6,c2a3
5r2/3n4/1p1Pkr1p/pPpR4/P1N1ppP1/8/5P1P/3R1K2 b - -,f8g8
r2qk2r/1b1nbppp/p2ppn2/2p5/P3P3/2PP1N2/2B2PPP/RNBQR1K1 w kq -,b1d2
4b1k1/p4ppp/Q1rq1n2/8/2Pp4/6P1/PP3PBP/R5K1 w - -,g2c6
6k1/5p1p/3bp1p1/6P1/r1P4P/N4R2/2K5/8 w - -,a3b5
r2qk2r/pp2npbp/2npb1p1/2pNp3/2P5/3P2P1/PP2PPBP/R1BQNRK1 b kq -,e8g8
6k1/5ppp/p7/1p1pR1P1/3N4/8/P1Pb3P/1K2r3 w - -,e5e1
r2qk2r/ppp1p1bp/3pbnp1/6B1/2PPp3/2N5/PPQ2PPP/2KR1B1R w kq -,c3e4
8/R5pk/5p2/6p1/8/7P/4rPP1/6K1 w - -,g2g3
r2q1rk1/pb2bppp/1pn1p3/2p5/4n3/1P1P1NP1/PBP2PBP/R2QR1K1 w - -,e1e4
r2qr1k1/bpp2ppp/2n5/p2npbB1/P1N5/2PP1N2/1PQ1BPPP/R4RK1 b - -,f7f6
r2qk1r1/pp1bnp1p/2p5/4QN2/2B1P3/P7/1P3P1P/3RK2R w Kq -,f5d6
r4rk1/pp3pp1/1b1q3p/3p3Q/3N1P2/1NPn3P/PP4P1/R4R1K w - -,d4f5
1r4k1/2q1bpp1/1pp1b1np/r3p3/PRP1P3/2N3BP/2Q2PP1/1R3BK1 w - -,b4b3
r1b2rk1/1pp1q1p1/2nb3p/p2Bpp2/2P5/P3PN2/1PQB1PPP/R3K2R b KQ -,g8h8
6k1/3qbp1p/1p2p1p1/n2p4/Pp1P4/1P2P1P1/4NPBP/2Q3K1 w - -,c1c2
rr1q2k1/1pN2ppb/4p2p/2NpP3/1Q1P4/P3R3/5PPP/R5K1 b - -,d8c7
3r2k1/2q2ppn/p1Pp2np/2p1pN2/4PP2/1P4PP/P1Q4K/3R1R2 w - -,c2c4
3r2k1/4qppp/2Rp1n2/4p3/8/3Q2P1/r3PP1P/3R2K1 b - -,a2a8
8/5r2/7P/8/3kb2K/R5B1/8/8 w - -,a3a5
r6r/4kpp1/p1bp1n2/q1p1pP2/2P1P2p/2N1Q3/PPBR2PP/3R3K b - -,a8d8
r1b1r1k1/p3qp2/5npp/1p1pN3/2pPP3/P4P1P/1PQ3P1/1BR2RK1 b - -,c8e6
2r5/4pk1p/1pqp1pp1/4n3/1RrNP3/2P2P1P/P2Q2PK/2R5 b - -,c6c5
r1bqrb1k/1pp3pp/p1p2p2/2n1pN1P/2N1P1Q1/3P4/PPP2PP1/R1B2RK1 b - -,c5e6
8/6k1/3Q1n1p/2rP2p1/6P1/1p3P2/1K6/8 b - -,c5d5
8/r1k3pp/p1Bp1b2/K2P3P/1P2p3/2P4Q/3q1r2/R7 b - -,c7b8
8/p7/8/5p1p/3kp2P/6P1/P3K3/8 w - -,e2d2
