8/6kp/6p1/4p1P1/4N2P/1n6/5K2/8 w - -,e4f6
r1q2rk1/pppb1pb1/2np1npp/4p3/2P5/1PNPPNPP/PB3PBK/R2Q1R2 b - -,f6h5
2r2bnk/2q2p1p/1nNp1Pp1/p2Pp1B1/1p2P1Q1/1P2R2B/P4P1P/6K1 w - -,g4h4
3r2k1/1p2qpp1/2p2np1/B3p3/2P5/bP2P1PP/4QPB1/R5K1 b - -,d8d7
8/6p1/1p1kp3/pBb5/2P1p1PP/1P6/P4PK1/8 b - -,d6e5
rnb1k2r/pp1pppbp/5np1/q1p5/2PP4/5NP1/PP1NPPBP/R1BQK2R b KQkq -,c5d4
4k3/4P2R/p7/8/1K6/r6p/8/8 b - -,a3e3
8/1p3p2/2pkp1p1/p6p/P1B1p3/1P2P1P1/3R1PK1/1r6 b - -,d6c5
r2q1rk1/1p1nppb1/p2p1np1/2pP3p/2P1P1PP/2N5/PP2QP1N/R1B1K2R w KQ h6,f2f4
r4rk1/1b1qbppp/3ppn2/p7/1p1BPP2/1N1P1QN1/PP4PP/1KR4R w - -,d4f6
4r3/pr1bpkb1/2pp4/5p1p/R2P1P2/1P2B2P/P2RNKP1/8 b - -,e8a8
2r2rk1/pbp2pp1/1p2pn2/4R3/3P3P/6Q1/P1PN1PP1/R5K1 b - -,f8d8
8/6pk/8/6pp/7P/6P1/4K3/8 w - -,e2f3
8/p1k1p2p/1pb1P1p1/4K3/1P3P1P/3B4/P7/8 b - b3,a7a5
r5k1/r4qpp/p1p2n2/1pPp1R2/PP1P4/1QN5/6PP/4R1K1 w - -,h2h3
3r1k1r/5pp1/1p2nbp1/1B1p4/3P4/4BP2/PP4PP/1KR4R w - -,c1c6
rn2kbnr/pp3ppp/4p3/3q4/3P4/5N2/PP3PPP/RNBQK2R b KQkq -,f8b4
r3qrk1/pp3p1p/2n2Qp1/2NR4/2P3b1/1P4P1/P4RBP/6K1 w - -,c5b7
8/6kp/p7/1p4p1/1P4P1/P4R2/r4P1P/6K1 w - -,f3c3
5rk1/pb2r1pp/1q3b2/3pp1B1/2p3Q1/2PB3P/PP3PP1/3RR1K1 w - -,g5e3
r2qbrk1/4bppp/p3pn2/1p1pn3/3P1P2/2NBP3/PP2Q1PP/2RRB1K1 w - -,f4e5
8/R7/1p6/1P2pp2/4k3/6P1/8/1r2BK2 b - -,b1b5
3r4/8/8/1k2N1p1/1n6/1Pp3P1/2p2K1P/R7 w - -,e5c4
rnbq1rk1/p3ppbp/1pp2np1/3p4/2PP4/2N1PN1P/PP2BPP1/R1BQK2R w KQ -,e1g1
8/3R4/4pk2/8/3K1PP1/3P4/8/6r1 w - -,g4g5
3r2k1/p3Rp1p/q3p1p1/P7/4B3/7P/5PP1/4Q1K1 w - -,g2g3
8/8/2p1n3/3k1p2/7p/4K1P1/4N3/8 w - -,g3h4
r1b2rk1/ppq3b1/2p2n2/2P1p1BB/5p2/1PN3PP/P4P2/2RQ1RK1 w - -,g5f6
8/1p6/p3Bk2/5P2/4n1p1/6r1/P3K3/6R1 w - -,g1c1
2r5/5RP1/5B2/3k1r2/pp6/7K/1P6/8 b - -,f5f6
6k1/p1pq2pp/brp2p2/N2p4/P2P1n2/5P2/1PQ2BPP/4R1K1 w - -,e1d1
2r1kb2/5p2/2p1p2p/p3P1p1/2P3P1/P2R1KB1/5P1P/8 w - -,f3e4
8/4n3/8/5p1p/5B2/8/6kP/4K3 b - -,e7g6
6k1/8/2r3p1/3Npp2/4P2P/5P2/2bB2P1/4K3 b - -,g8f7
rnbqk1r1/pp1nbpp1/4p2p/2ppP2Q/3P3P/2N1B3/PPP2PP1/R3KBNR w KQq c6,e1c1
8/5pkp/1pB3p1/1Pn3P1/2R5/4P2P/5PK1/3r4 b - -,d1d2
8/2b5/8/P2k4/1P5P/2PK4/8/8 b - -,c7f4
8/4nkpQ/p3bp2/1p1p4/3P1N2/1P2N2P/P4PP1/4q1K1 w - -,g1h2
r4rk1/1p2qpnp/pn4p1/1p1p4/P2P4/2NQP3/3N1PPP/1R2R1K1 w - -,a4b5
r2q1rk1/1b1n1ppp/p1p1p3/1p1pP3/2P2P2/2N3P1/PP1QP1BP/R2R2K1 w - -,c4d5
r4rk1/pppb1qb1/4p2p/2n2p2/2B2PP1/2N1P3/PPQN4/2KR3R w - -,d1g1
rnb1k2r/pp2ppbp/q1p2np1/8/3P1B2/2N2NP1/PPPQ1PBP/R3K2R b KQkq -,e8g8
r2q1rk1/2np2pp/1pp1pb2/4Np2/1PPP4/6P1/1B1QPPKP/2RR4 b - -,b6b5
2N5/7p/P1npk1p1/2p5/1p6/1P5P/5PPK/8 w - -,a6a7
8/p7/1p3k2/P1pK3R/2Pp4/1P1Pr3/8/8 b - -,f6g6
2rq1rk1/p3bppp/1pp1p3/4B3/2bPB3/2P3P1/P1Q1PP1P/R2R2K1 b - -,h7h6
4r1k1/p5p1/1pn5/1P2pr2/2PpR2P/3P2K1/3B1P2/4R3 b - -,c6d8
5k2/p2npp1p/6p1/8/4BP2/1rPKP3/6PP/2R5 b - -,b3b2
2rr2k1/1b1n1ppp/1p1qpn2/p1pp4/3P4/P1PBPNP1/1P1N1PP1/1QR1R1K1 w - -,e3e4
r2qk1nr/pb1nbppp/3pp3/2p5/4P3/3P1NP1/P1PN1PBP/R1BQ1RK1 b kq -,a8b8
r2qkbnr/3bpppp/p2p4/1p6/2PQP3/5N2/PP3PPP/RNB1K2R w KQkq b6,b1c3:c4b5
r3k2r/pbqn1pp1/1ppbp2p/8/3PQ3/3B1N2/PPPB1PPP/2KR3R w kq -,e4e2:c1b1
R7/5pp1/p2rp1kp/3n4/8/RP4PP/5P2/4K3 b - -,d5b4
8/2p3k1/3p2pp/N1nPp3/b3P3/2PB2P1/5K1P/8 w - -,f2e3
8/8/5p2/p4k2/P7/1P1K3P/7r/6R1 w - -,g1g3
3r1bk1/5ppp/p5n1/3b2P1/5P2/2R1B2R/P3Q1P1/1q4K1 w - -,c3c1
r1bqk2r/ppp2pp1/3bpn1p/8/3PN3/3B1N2/PPP2PPP/R2Q1RK1 b kq -,c8d7
1k1r3r/1bq1bppp/p2pp3/1pn1n1PP/1P1NP3/2N1BP2/P1PQB3/1KR4R b - -,c5d7
r5k1/p2q2b1/bp2pp1p/2p1PP2/2N2R1n/1Q1PB3/PP5P/R5K1 b - -,d7d5
r1b2rk1/2qnppbp/p1p3p1/1pP4n/4P3/2N1BNPP/PPQ1BP2/R4K1R b - -,f8d8
1rb2rk1/2qn1p1p/p1pbp1p1/P2p4/5P1B/2NB1Q2/RPP3PP/4R2K b - -,d6f4
8/8/8/8/7p/7k/8/5K2 w - -,f1g1
r1bq1rk1/ppp2pb1/2np1npp/4p3/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 b - -,c8e6
r3n3/p3Npk1/1p2b2p/6p1/3R2PP/6P1/PP6/2R3K1 w - -,e7f5
1b6/3k1p2/6p1/1p1P3p/5P1P/5KP1/2R5/8 w - -,c2b2
r3r1k1/1ppb1pp1/5n1p/pNp1nP1q/2P5/P3P1PP/1PQ3B1/R1B2RK1 b - -,d7b5
r5k1/7p/P5p1/p1BPp3/4P3/6r1/P7/1K1R4 b - -,g3c3
8/4kp2/1R4pp/1p2r3/p5PP/P4K2/1P3P2/8 b - -,e5c5
4q1k1/p5b1/3Bppn1/1pN5/2pP2P1/P1P1KB2/1Pb4Q/8 b - -,c2b1
3r4/pR6/1b2p3/1P6/Pk4b1/1B6/KB6/8 w - -,b7g7
r2r2k1/ppq2ppp/4pn2/2b5/5P2/2P5/PPN1Q1PP/R1B2R1K b - -,h7h5
3k4/8/4P2p/R3Kp2/5P2/4r3/8/8 w - -,e5f6
r1r2nk1/4bppp/1q2p3/pb1p4/3P1BQ1/2P1R2P/RPBN1PP1/6K1 b - -,b5d7
r1bqk2r/1p2bppp/p1n1pn2/2pp4/2PP1B2/P1NBPN2/1P3PPP/R2QK2R b KQkq -,e8g8
r4rk1/pb1nq1pp/1p1B4/3p1Q2/3p4/1P3NP1/P3PPBP/R4RK1 b - -,e7d6
r2q1rk1/pb1nbppp/4pn2/2p5/PpBP4/1N2PN2/1P1BQPPP/R4RK1 b - -,c5d4
r1b1r1k1/pp2qpp1/3p1n1p/3P4/4pP2/P3P3/1P1QN1PP/R3KB1R b KQ -,b7b5
2b4r/pp1p1pkp/2nNp3/1B3p2/n7/P4P2/1PP3PP/3RK2R b K -,a4b6
4rrk1/pp1q2bp/3pb1p1/2pnn3/2P1B3/P1N1P1PP/1P1BQP2/1R2K2R w K -,c4d5
r2q1rk1/pb1nbppp/2p1pn2/1p6/3P1B2/1QN2NP1/PP2PPBP/3RR1K1 b - -,d8b6
rnbqkb1r/p1pn1ppp/1p6/3pP3/3P4/5P2/PP4PP/RNBQKBNR w KQkq -,b1c3
r2qk2r/pQ1n1ppp/4pn2/2b5/2B5/4PP2/PP3P1P/RNB1K2R w KQkq -,b7b3
8/5pk1/6rp/5K2/4N3/R7/8/8 w - -,f5f4
q2rrbk1/1b1n1p1n/p5p1/1pp3P1/2P1PP2/2N1BB2/PP1RN1Q1/4R1K1 b - -,d7b6
rr4k1/3n2p1/1P1pq2p/1R2p3/N2pP3/3P3P/2Q2PP1/R5K1 b - -,d7b6
r1b2rk1/p3pnbp/2p3p1/3qP3/N2p1B2/5N1P/PP3PP1/R2QR1K1 b - -,c8h3
r2q1rk1/pb2bpp1/1p3n1p/2pp4/3P4/2N1PNP1/PPQ1BPP1/2R2RK1 w - c6,d4c5
5r2/6bk/2p3p1/p3pq1p/1PP1n3/1P1Q1N1P/3R1PP1/6K1 b - -,e4d2
r1qb1rk1/1p3p2/pN3p1p/2n5/2B5/4P3/PPQ2PPP/R2R2K1 b - -,d8b6
2r1r1k1/2n4p/2Rn2p1/3P1p2/5P2/q3PQNP/6P1/3R2K1 w - -,e3e4
6k1/p2r4/1p1PN2p/3Rbp2/8/1P5P/5P2/6K1 b - -,e5d6
8/8/1R6/5k2/8/6P1/P2r3P/6K1 b - -,d2a2
4r1k1/4r1pp/ppb4q/2p1Np2/P1Pn1P2/R2P2PP/7K/3Q1RN1 w - -,a3a2
3r1b1r/ppk4p/2nnbpp1/P3p3/7P/2P2N2/1PBN1PP1/R1B1R1K1 w - -,b2b4
3rr1k1/2p3p1/1p1b1pNp/pPn4P/P3P1P1/4BP2/3R4/3R3K w - -,e3c5
r4rk1/pb1n3p/1pn1pp2/1Nqp4/3p1P2/3Q1NP1/PPP4P/2K1RB1R w - -,f3d4
6k1/6p1/4P2p/R1B2rnP/8/p7/4K3/8 w - -,a5a8
rnbr2k1/pp3p1p/6p1/2P1p3/3p2n1/2N2N2/PPP1PPPP/2KR1BR1 b - -,b8c6
2r1kb1r/pQ1bqppp/1p2p3/3nN3/3B2P1/3B4/PPP2P1P/3R1RK1 w k -,d3b5
rn1qkb1r/ppp2ppp/8/3pP3/6b1/2P2N2/PPP1Q1PP/R1B1KB1R b KQkq -,b8d7
5rk1/pp1qb1pp/4p3/3pP3/8/4B3/PPR1QPPP/6K1 b - -,a7a6
3rr1k1/p2q1pbp/bpn1p1p1/2p5/P3RB2/1QPP3P/1P3PP1/RB2N1K1 b - -,g8h8
4rrk1/p5p1/3p1qnp/2pPpp2/1pP5/1P1PQ1PP/P2N1P1K/1R3R2 b - -,g6e7
r3r1nk/1R4pn/3p3p/2pPpP2/P1P3P1/5P1B/5N1K/4R3 b - -,h7g5
q4rk1/3nbppp/p1b1p3/3p4/Pp1P1B2/6P1/1P1NPPBP/2RQ2K1 w - -,d2f3
4b3/8/6p1/p3k2p/P6P/1B1K1Pb1/6N1/8 b - -,e8d7
8/p5p1/Pp1bk3/1P2p1Pp/4PpK1/2B2P2/8/8 w - -,g4h5
1r6/pr1k2p1/R2Pp2p/1P6/2R2P2/6P1/7P/6K1 b - -,g7g5
r5k1/pp3rbp/n1p1qpp1/N7/Q7/2P1B3/PP3PPP/3R1RK1 b - -,c6c5
r3rbk1/1p1R4/p1p1b2p/4p3/4N1pP/4B1P1/PPP2PB1/R5K1 b - -,e6d7
5rk1/6b1/3p2pp/1N3p2/P2p1n2/6P1/4PPKP/1R6 w - -,g3f4
8/8/8/1p2k3/6Pp/2P1K2P/8/8 w - -,e3f3
rq4k1/4bppp/1n1p4/pBnPp3/P3P3/1pr1B1P1/3N1P1P/R2QR1K1 w - -,d2b1
3n2k1/4qp1p/4p1pP/2p1P3/1p1rPQ2/1P6/P4PP1/R5K1 b - -,g6g5
2rq1rk1/1pp2ppp/pnb2n2/2b5/P4B2/1QN2NPB/1P2PP1P/R3R1K1 b - -,b6d7
6nk/1pp2b2/p4p2/4pPp1/2PpP1P1/3P2N1/1P1N4/3K4 w - -,g3h1
r3k2r/pbqn1ppp/1ppbp3/8/2PPB3/5N2/PPQ2PPP/R1B2RK1 w kq -,c1e3
1r6/p2k4/2r2bp1/1nBpp2p/1P5R/3P2P1/3N1P1P/1R5K w - -,h4h3
8/6k1/4K3/1Pp2p1R/5P1P/6P1/8/3r4 b - -,d1b1
r1b2rk1/ppq1pp1p/1npP2p1/8/3QPPn1/2N2N2/PP4PP/2KR1B1R b - -,c7d6
r1r3k1/5pb1/4q1pp/4p3/1BN1Pn2/P4P2/4QP1P/2R3RK w - -,e2e3
q4rk1/3b2bn/3N2p1/2pPn3/8/4BPPp/1P1QBN1P/5RK1 b - -,e5f3
