8/pp6/3q4/1k1r1p2/1PR5/2QP4/4K3/8 b - -,f5f4
r2qrbk1/pb1n1pp1/1pNp3p/3P4/5B2/2N2Q2/PP3PPP/3R1RK1 b - -,d8f6
2rq1rk1/1b1nbpp1/pp1ppn1p/2p5/P3P3/2PP1NPP/1P1NQPB1/R1B1R1K1 w - -,f3h4:f3h2
rnbq1rk1/ppp1ppbp/5np1/3p4/3P1P2/4PN2/PPP1B1PP/RNBQ1RK1 b - d3,c7c5
3br1k1/1p1q1ppp/2n1p3/1Q1p4/3P4/2P1P1BP/4BPP1/1R4K1 b - -,e8e7
r1bq1rk1/pp3pbp/1nnp2p1/4p3/2PP4/2N2N1P/PP2BPP1/R1BQ1RK1 w - e6,c1g5
r2q1rk1/p6p/1p1N2pb/3Pp1n1/1BP2p2/Q5PP/P4PK1/1R3R2 w - -,h3h4
3rkb1r/p4ppp/bqp2n2/4p1B1/3PP3/1NN2P2/PP3KPP/R2Q3R b k -,e5d4
r4rk1/pQ4pp/7q/4n3/2p1Bbb1/2PP1N2/P5PP/1R2RNK1 b - -,e5f3
2q1rbk1/1R3pp1/3p2r1/1QpNn2p/p1P1P3/5P1P/P2R1BPK/8 b - -,e8d8
4n3/2p3kp/1p1p2p1/p2Pp1P1/P3P2P/1PR1P3/1rB2K2/8 b - -,g7f7
2b2n2/8/p2k2pp/Kp6/4BP1P/P3N1P1/1P6/8 w - -,a5b4
rnbqk2r/pp3ppp/3bpn2/2pp4/8/1P2P1P1/PBPP1PBP/RN1QK1NR w KQkq c6,g1e2
2rq1rk1/1b4pp/p2p4/1p1PppB1/1P6/1P3P2/2P1B1PP/R2Q1RK1 b - -,d8g5
r1bq1rk1/1p2b1pp/p1n1pP2/2np4/5B2/P1NB1N2/1PP2PPP/R2QR1K1 b - -,e7f6
r1q1r1k1/3n1pp1/1pp1p1p1/3P4/p2P4/PPB1P3/2Q2PPP/RR4K1 b - -,c6d5
8/6pp/3k2b1/2p1p3/2PpP1P1/1P2r2P/2BR2K1/8 b - -,d6e7
r2r2bk/pp1q2pn/2pP1p2/2P1nNp1/1P2P3/5BN1/P2Q2PP/R4R1K w - -,d2c3
r2q1rk1/p2nbppp/1p6/3p4/3P1B2/P4N2/1P2QPPP/R4RK1 w - -,a1c1
1r2k2r/pp1bnpbp/1q1pp1p1/8/P2pPP2/3P2PP/1PPBN1B1/R1Q2RK1 b k -,b8c8
8/p3r1k1/3q1p2/6p1/P1B3P1/1P1Q1K1P/8/8 b - -,d6f4
3r2k1/1p3ppp/p5n1/b2Pp3/N2nP3/4B1PB/5PKP/2R5 b - -,d4b5
r4r1k/pp4p1/2p4p/8/3P2n1/1BNQ3b/PP5P/4R1K1 b - -,g4f2
r1b2r1k/1q4pp/pp5n/4N2Q/P1B1pP2/6bP/1PN3P1/R5BK w - -,g1d4
2nq1r2/1r5k/1p1p1np1/pP1Pp1b1/N1N1P2p/7P/P4BP1/R2QR1K1 w - -,c4d2
8/4kBp1/8/2n2P2/1p1P4/1P2K3/8/8 b - -,c5b7
4b3/1r1nN2k/4p2p/p2pP3/2pP2BP/R1P3R1/2P2rP1/2K5 b - -,d7e5
rnbqkbnr/1p3ppp/p2p4/2pPp3/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq -,a2a4
r5k1/1b1nrppp/pq2p3/3n2Q1/1p6/1N1B1P1P/PPP1N1PK/3RR3 b - -,h7h6
6k1/Q3np1p/3q2p1/1P6/3p2P1/3NnP2/P6P/2R3K1 b - -,d6f6
1rb1kb1r/p2q1ppp/2n5/1ppnp3/8/2PP1NP1/PPQN1P1P/R1B1KB1R b KQk -,f8e7
r1b2rk1/ppp1nppp/1b3q2/3pP3/2BB1P2/2P5/PP4PP/RN1Q1RK1 b - -,f6g6
r1bqkbnr/pppp1p1p/2n5/6p1/4Pp2/2N2N2/PPPP2PP/R1BQKB1R w KQkq g6,h2h3
4r1k1/1pr1bpp1/p2p2n1/3P2B1/P7/1P3B1P/2P2R2/5R1K w - -,f1c1
1r4k1/r3qnpp/p7/P2B4/1R6/1Q6/5PPP/1R4K1 b - -,e7b4
rn1q1rk1/1bp2ppp/1p3n2/p2pP3/1b1P4/3B1N2/PP1N1PPP/R1BQ1RK1 b - -,f6d7
r1b3nr/pp4pp/2pk1p2/8/2B1P3/2N5/PPP3PP/R3K2R w KQ -,e1c1
8/1R6/p7/r1PK3p/8/7k/8/8 w - -,d5d6
2r3k1/pp1r1ppp/4pn2/8/P2nP3/2N1BP2/1P2K1PP/1R3R2 w - -,e2f2
2rqnrk1/pp1b2pp/2p1p3/3pNp2/2PPn3/1P1Q2P1/PB2PPBP/2RR2K1 w - -,f2f3
r1bq1rk1/5pbn/pn1p2p1/1p1Pp3/4P1Pp/1PN1BP1P/P2QN3/2KR1BR1 w - -,c1b2
1n3k2/1R2rp1p/3p2p1/pP6/3NP3/P4PPP/8/5K2 w - -,b7b8
r1b2rk1/pp2bppp/2n2n2/2q1p1B1/2Q5/2N2NP1/PP2PPBP/R4RK1 w - -,c4c5
r1bqr1k1/1pp1npp1/p2p1n1p/2b1p3/2N1P3/1BPP1N1P/PP3PP1/R1BQR1K1 b - -,e7g6
2r5/1p2nkpQ/p3pq2/1b1p4/3P4/P1P5/4NPPP/1B3RK1 w - -,b1d3
R7/2r1bpp1/3p2b1/3Pp3/PP2P1P1/3KNr1k/4N3/6R1 b - -,h3h4
8/1p6/p4k2/6p1/P4nKp/1PP2P1P/8/8 b - -,f4g6
8/1p3k1p/p2p2p1/3N1p2/PP2PP2/5P2/3r2BP/6K1 b - -,d2d1
8/ppp2p2/3n2p1/3p1k2/3P3P/2P1PK2/PP1N2P1/8 b - -,f5e6
4k1R1/p1n4p/1p1p4/2pP4/P3rP2/1PB4b/7K/8 b - -,e8d7
2r2rk1/1q2ppbp/pp1p1np1/2nN4/2PNP3/1P3PP1/PB2Q1KP/3RR3 b - -,f8e8
r2qrbk1/1b1n1ppp/p2p1n2/1ppPp3/P3P1P1/1PP2N1P/2B2P2/R1BQRNK1 b - g3,g7g6
1r3rkq/p2bp2p/3p2p1/8/2p1P1P1/8/P2BK2Q/3R3R b - -,d7g4
4bk2/2p3pp/p2r4/PpNp4/8/2P5/1P3PPP/4R1K1 b - -,f8f7
5rk1/3br1p1/p4q1p/PpPpR3/1P6/4R1Q1/4NPPP/6K1 b - -,e7e5
r1b1r1k1/1pq1bpp1/3p3p/p1nPp3/P1P5/1P3N1P/2B2PP1/R1BQR1K1 b - -,f7f5
4k3/8/6Np/1p2P3/4KR2/8/6rP/8 w - -,e4f5
1q4k1/1b1nbpp1/pp2p2p/3p4/3Pn3/PP1Q2P1/NB2PPBP/2r1N1K1 w - -,a2c1
3r2k1/p5pp/8/qPQbPp2/Ppp2P2/3rP3/2R3PP/4BRK1 b - -,c4c3
8/2q2pnk/2p2np1/p1Pp3p/Q2P1N1P/5BP1/P4P2/6K1 w - -,f4d3
k7/1p2r1p1/p4n2/3p1B1b/5R2/P1N5/1PPK4/8 b - -,a8b8
8/p4p2/8/2pk4/R6P/1P3K2/P6r/8 b - -,f7f5
8/7p/p2b4/1p3k2/3Pp3/2P1B2P/PP4K1/8 w - -,b2b3
K1k5/8/2PP4/4B3/2n3p1/8/6P1/8 w - -,d6d7
6k1/7p/2R3p1/1p2Kp2/r2Pn3/3NP1P1/5P1P/8 b - -,a4a3
r1b1k2r/pp1pnppp/1bp2q2/4p3/4P3/1BNPB3/PPP1QPPP/R3K2R b KQkq -,d7d6
r1bqk2r/pp1pbppp/4p3/2p1n3/4P3/1nNP2N1/PPP2PPP/R1BQ1RK1 w kq -,a2b3
rn3knr/p2q2pp/1p2p3/3pPpQ1/3p1N2/P7/1PP2PPP/R1B1K2R w KQ -,e1g1
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/6P1/PP1NPPBP/R1BQK1NR b KQkq -,e8g8
4kn1r/1pq1b1p1/p1p2n2/2P1p1B1/NP6/5pP1/P1Q1B2P/3R2K1 w k -,e2f3
6k1/p5bp/3pN3/1Np2P2/2p3n1/3r1R2/PP4K1/8 b - -,g7b2
b7/4ppk1/2q3pn/1p2b3/6P1/P6Q/3R1N2/5BK1 b - -,e5d6
