8/R4pk1/P3b1p1/7p/5R1P/r4PK1/8/8 b - -,e6d5
5bk1/p4pp1/3p3p/P2Pp3/P2qP3/N2b3P/B1pB1PP1/2Q3K1 w - -,a3c2
r1bqk2r/ppp1bppp/2n5/3np3/8/2N2N2/PPPPBPPP/R1BQ1RK1 w kq -,e2b5
8/3rRpk1/r1pP2p1/p1p3P1/8/2P5/P4PK1/3R4 b - -,a6a7
r3k2r/1p1nppbp/q1pp2pn/p7/2PP1P2/PPN1P3/5PBP/1RBQ1RK1 b kq -,h6f5
2k2b1r/3rnp1p/P7/5p1N/2pq2p1/6P1/1PP1QPBP/R4RK1 b - -,c8b8
8/7p/4p1k1/8/2pK2p1/2P1P3/5R1P/2r5 w - -,d4c4
rn2k2r/1p2ppbp/2p2np1/1p3b2/2BP1B2/2N1PN2/PP3PPP/R3K2R w KQkq -,c4b3
4N2k/3n2pp/pp2p1n1/3q2P1/1P6/P5BQ/7P/2b3K1 w - -,g3f2
1r3rk1/3q1ppp/2npb3/pp1Np1b1/4P3/2PQN3/PP2BPPP/R2R2K1 b - -,g8h8
2r2rk1/1q1nbppp/ppbppn2/2p5/P3PP2/1P1P1NPP/1BPNQ1B1/R4RK1 w - -,d2c4
8/2r3p1/5p2/4p1p1/R2k2P1/5K1P/8/8 b - -,d4d3
1r2r1k1/1p3pb1/p2p3p/P1pP2p1/2n1P3/2Bq1PP1/1P4BP/R1Q2RK1 w - -,c3g7
1R6/2p5/3k4/4p3/p4rp1/P1N1Kb2/1P3P2/8 b - -,c7c5
r3k2r/p1pqnpp1/1pn1p3/3pP1Bp/P2P1N1P/2P2Q2/2P2PP1/R3K2R b KQkq -,g7g6
4k3/7p/3p4/3P1pK1/2R5/4P2P/1rp5/8 b - -,b2b3
1qr2rk1/1p1nnppp/p3p3/P1pp4/2PP2b1/QP2PN1P/3NBPP1/R2R2K1 b - -,g4h5
r1b1rbk1/p1q2pn1/1npp2pp/4p3/3PP3/1PNQ2P1/1BPNBP1P/R3R1K1 w - -,d4e5
4r3/5kp1/p1p1p3/2B1r3/1P2KN2/P7/8/8 w - -,e4e5
2rqr1k1/3bpp1p/3p2p1/pp1P4/8/PB2RP2/1PPQ2PP/2KR4 b - -,d8b6
r1bq1rk1/1pp1n1bp/3p2p1/p2Ppp1n/1PP1P3/B1N2N2/P3BPPP/R2QR1K1 w - f6,b4a5
3qnbk1/2p2p2/pB1p4/1p1PnQPp/4N3/PP5B/2P4P/4R1K1 b - -,c7b6
6k1/2r2pp1/2n2b1p/p2Q2q1/P3B3/6PP/5P2/3RR1K1 w - -,d1c1
r3r3/ppqn1pbk/2pBp1pp/3n4/8/Q4B1N/PPP2PPP/R2R2K1 b - -,g7b2
4r1k1/6p1/2bp3p/2p5/2P1BP2/2r1R2P/4R1P1/7K b - -,c3e3
r1b1r1k1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 w - -,a1c1
r2q1rk1/p4pbp/2bp1npB/1pp2P2/7Q/2NP1N2/PPP3PP/R4RK1 b - -,b5b4
6k1/5p2/p3b2p/7R/3p4/4bQ2/4q1PP/5R1K b - -,e2f3
3r3r/1p2bkpp/pn3p2/4p3/8/1PP2N2/PB3PPP/R2R2K1 w - -,g1f1
8/5rbk/1P4p1/2BNp3/2K1P2p/5p1P/R3nNq1/3Q4 b - -,e2d4
3k4/1p2rp2/p4Nn1/8/8/2P3P1/PP4K1/3R4 b - -,d8c8
8/2k4p/1P1p2p1/1b1P1pP1/3K1P1P/5B2/8/8 b - -,c7b6
r1bqk2r/p1ppnppp/2p5/2b5/4P3/2PB4/PP3PPP/RNBQK2R w KQkq -,d1h5
8/5p2/p1p4r/1p1k1p2/3PbP2/PPP1K3/5R1P/6R1 b - -,a6a5
r2r3k/p5pp/8/2p4n/4P3/3bRNP1/P4PB1/2R3K1 b - -,c5c4
8/3k3p/5p2/2n2P2/4PBPP/P1K5/1n6/8 w - -,g4g5
r1b1k1r1/1p6/2p3p1/p1n2p1p/2PR1P1P/2N2BP1/PPK5/7R b q -,g8g7
6k1/pb4bp/1pnpp1p1/8/2P2r2/Q2R1PBq/PP3P2/4R1K1 w - -,g3f4
8/4R3/2p1B1pk/2p1p3/2PnP2P/6r1/8/6K1 w - -,g1f2
r1bqrbk1/pp3ppp/n1pp1n2/8/4PP2/2N2B2/PPP1N1PP/R1BQ1R1K b - -,a6c7
r3k2r/pp2ppbp/2n1bnp1/q7/3P4/P1N1BN2/1P2BPPP/R2Q1RK1 b kq -,e8g8
8/5p2/p1p1kb2/1pB2p1p/2pP1P1P/2P3P1/PP1K4/8 b - -,f6d8
3r2k1/1b3p1p/1q4p1/1p1P4/1Prb4/2N3P1/3Q1PBP/2R1R1K1 w - -,g2f1
1rq1r1k1/b1pb1ppp/3p1n2/3P4/1p1N4/1P4PP/PB3PB1/R2Q1RK1 w - -,g1h2
rnbqk2r/ppppnpbp/4p1p1/8/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,d7d5
5rk1/5pbp/Q3p1p1/5b2/1rn2B2/6P1/P3qPBP/2RN1RK1 w - -,a2a3
2br1r1k/1p4pp/p3pq2/8/3NB3/P5P1/1P3PP1/R2Q1RK1 b - -,d8d4
3r2k1/pp3pb1/4p1pp/8/P3P3/2p5/1P2NPPP/1R4K1 w - -,b2c3
8/6k1/1p3n1p/p1pPp3/P3P1PK/1P2N3/8/8 w - -,e3f5
8/1pk4B/1pn5/3p4/PK1P4/8/8/8 w - -,b4c3
1Q3b2/p2Bk3/1p3rp1/3p1p1p/3P1P1P/1P4P1/P4P2/6K1 b - -,e7d7
1rb2k1r/p4p2/3qpP1p/1p2Rp2/2pP4/2P2Q2/PPB3PP/5RK1 b - -,c8b7
r4rk1/p2n1ppp/1qp1bb2/3p4/5B2/1PPB1Q1P/P3NPP1/3R1RK1 b - -,c6c5
r4r2/pb1qppkp/1pn3p1/2p5/2P5/3P1NP1/P1Q1PPBP/1R3RK1 w - -,c2c3
r2qr1k1/pb1nbppp/1p1ppn2/8/3PP3/5N1P/PPB2PP1/R1BQRNK1 b - -,d7f8
r2qk2r/1p3ppp/p1nbpnb1/3p4/3P1N2/2PBBP2/PP2N1PP/R2QK2R b KQkq -,d8c7
2k1r2r/1p1bbppp/pB1ppn2/8/2q1P2P/1NN2P2/PPPQ2P1/1K1R3R w - -,d2f2
1r1q1rk1/4ppbp/pp1p1np1/n1pP4/2P2P2/1PN3P1/P2BQPBP/1R3RK1 b - -,d8d7
2kr2r1/pp3p1p/2p1np2/8/4P3/5PP1/PP1NNb1P/R3K2R w KQ -,e1f2
8/3bkn2/1p3p2/p1p3p1/P1P1p1P1/1PB1P1K1/4B1P1/8 b - -,f7d6
r4r2/1p5k/1q1Pp2p/p6Q/P1B1p3/1P5P/1B3b2/3R3K w - -,c4e6
3qRbk1/1p1n1pp1/p2p1np1/2pP4/P1P2BP1/1PN2N1P/2Q2P2/6K1 b - -,d8e8
2b1rrk1/1p6/pq1p3p/1NpPb1p1/P1P1Pp2/1n5P/1PQ1BBP1/1R3RK1 b - -,a6b5
2b2n2/7p/2k3p1/1p6/1P1BP3/2N1K1P1/7P/8 b - -,f8e6
1kq2r2/1pr2p2/Q1P2p2/3PpP1B/1R5p/P3b3/K1R3PP/8 b - -,b7b6
8/3b2kp/4p3/Rq2np2/8/1P6/3Q1PP1/1B4K1 b - -,b5b3
2kr3r/nppq2p1/3b3p/P2Q4/3P1p2/2P2N1P/3N1PP1/R4RK1 b - -,g7g5
R7/5pk1/p7/1p3KP1/4r2P/1P6/P7/8 b - -,e4h4
2n5/4k1p1/2P5/3K3p/4N2P/6P1/8/8 b - h3,c8b6
3r1rk1/1p3ppp/8/3RP3/2n2PP1/p2p2bP/P2B2B1/3R2K1 b - -,g7g5
