8/1p6/1p1p4/2k3K1/3R2P1/P1P2r2/8/8 w - -,d4f4
8/p7/Pp1b4/1Pp3p1/2P2pk1/8/4KB2/8 b - -,g4f5
r1q1r2k/pp1nBpbp/6p1/2PN3n/3P4/1Q6/PP4PP/2KR1B1R w - -,e7d6
1r6/p6p/2p1N1bk/4q3/2Q3pP/P3p3/1P1pB3/K2R4 w - -,e6d4
3b3k/3r1p1p/4p2q/1N1p1p2/P2P2r1/4P1P1/1R2Q1KP/3R4 w - -,d1f1
r2r4/pp1qpp1k/6pb/3n3p/3P3P/3Q1PB1/PPBnNPK1/R4R2 b - -,d2f1
1rbq1rk1/p3ppbp/2np1np1/1p6/2p1PPP1/2NP1N1P/PPP3B1/R1BQ1RK1 w - b6,c1e3
1nr4r/4q1k1/4np2/p2Q2p1/P5Pp/1p1NP2P/1b6/R3BBK1 w - -,d3b2
6k1/1p5p/3p1pp1/bP1Pp3/3nP3/3BB3/P4PPP/6K1 w - -,f2f4
1r2k2r/b1q2p1p/p1p1b1p1/3pPp2/N4P2/PPB2Q2/2P3PP/R3K2R w KQk -,f3d3
r4rk1/p2n1pb1/4p1pp/1p2P3/2PBQ3/5N2/q4PPP/2R2RK1 b - -,b5c4
8/1p1k1p1B/2b1p3/4P3/5P1K/8/2P5/8 b - -,d7e7
8/r4k2/2p1p3/P2pP3/2n1PP2/7K/5R2/4B3 b - -,f7g6
1r4k1/5pbp/p2rp1p1/P1p5/R1P5/B3P1P1/3P1P1P/5RK1 b - -,d6d2
r1b1kbnr/pp4p1/2n1pq1p/3p4/3P4/3B1N2/PP2NPPP/R1BQK2R w KQkq -,e1g1
2rq4/1p4k1/p1p3pp/P2p3n/1P1P2p1/3BPr2/6K1/2Q1R2R w - -,d3e2
r1b1k1nr/pp1n1p2/4p2p/2ppP1q1/1b1P4/2N2P2/PPP2BP1/R2QKBNR w KQkq -,g1h3
r1bqr1k1/p1n2pbp/1pn3p1/2p1p3/P3N3/2PP1NP1/1P3PBP/R1BQR1K1 w - -,a4a5
r5k1/1p1Q1ppp/1p6/6q1/4r3/8/PP3PPP/R4RK1 b - -,g5e7
8/8/3k4/6pp/2P1K3/6rP/R5P1/8 b - -,d6c5
r2qbrk1/1pp3pp/2n1p3/p2p1p2/1PPP4/P2BPN2/3Q1PPP/R4RK1 w - -,c4d5
r1bqrbk1/5pp1/p2p1n1p/1ppPpN2/2n1P3/2P2N1P/PPB2PP1/R1BQR1K1 w - -,g2g4
4r1k1/3q4/p2n1pp1/1p1P4/2p1pPPQ/2P1B3/PP6/3R3K b - -,g8g7
r2k3r/ppq2pb1/3pb1np/2p5/BPPpPN2/3P4/P2Q2PP/R4RNK b - -,g6f4
r1br2k1/1p1n1ppp/pq2p3/3pP3/3Q1P2/P1N5/1PP1B1PP/1K1R3R b - -,b6d4
8/pp4p1/5p1p/1P5P/P4PP1/2k2B2/3n1K2/8 w - -,f3b7
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPP4/1N3NP1/PP2PPBP/R1BQ1RK1 w - -,c4c5
r1bqr1k1/1p3ppp/1npb1n2/p2p4/3P1N2/PPN1P1P1/3R1PBP/2BQ1RK1 w - -,f4h5
r1r1q1k1/1p3p2/pnn1p1pQ/3pP2p/3P4/1N1B3P/PP3PP1/2R2RK1 w - -,g2g4
7Q/8/8/2P3p1/1K4k1/7p/6q1/8 w - -,h8d4
7k/1qp3p1/3p3p/Qp2p3/5r2/1P1R4/1KP5/8 w - -,d3c3
3q2rk/p2rn3/1p5p/1Q1p1p2/P1pP1Pb1/2P2BP1/4RKNP/4R3 w - -,e2e6
r1b1kb1r/1pqn1pp1/p2pp1P1/7p/3NP1nP/2N1BQ1B/PPP2P2/R3K2R b KQkq -,d7e5
8/8/8/5kp1/p6p/P4K1P/8/8 b - -,f5e5
4r3/pp1Q3k/5qpp/2p5/2P1r1p1/1P6/P3PBRP/4bK2 b - -,e8e7
8/7K/2p1k3/1pPp4/1P1n2P1/3N4/8/8 w - -,h7g6
6k1/5ppp/8/1b1pP3/nq1B4/3R2PP/2r2P2/Q4BK1 w - -,d3a3
2r3k1/1pq2pp1/p2p3p/1P1Rp3/P3P3/2R2QP1/5P1P/6K1 b - -,c7c3
r1B2bk1/3n1p1p/pp1p2p1/6N1/1P6/6P1/4rP1P/1RBR2K1 b - -,a8c8
5r2/2qn1pkp/2bp1np1/4p3/rQ2P3/1N1B3P/1P3PP1/1R1NR1K1 w - -,b4c3
3rqk2/R7/3p1p1b/1p1PpBp1/nPp1P2p/5Q1P/5BP1/7K w - -,f5g4
r3r1k1/2p2ppp/p3b3/1p2q3/1P6/1P3Q2/1P3PPP/R1B2RK1 w - -,c1f4
r2q1rk1/pp1nppbp/3p2p1/2p5/P3P1n1/NP3N2/1BPPQPPP/R3K2R w KQ -,b2g7
2b2r2/4N2p/p1R3pk/8/4P3/2N1K2P/P5P1/8 b - -,c8d7
r2qkb1r/p1pn1ppp/b3pn2/P2p4/3P4/2P2NP1/3NPPBP/R1BQ1RK1 b kq -,c7c5
