8/8/8/2P1k3/Bp3n2/4K3/6p1/8 w - -,e3f2
r1k4r/1p1nb2p/p7/2pQ4/2P5/P7/1P3PPP/R1B3K1 w - -,c1f4
8/8/1pk5/2r5/3K4/8/8/6R1 b - -,c6b7
3r2k1/1p3pbp/p1p1p1p1/3r4/PP1P1B2/4PP2/2R1KP1P/2R5 b - -,g7f8
8/1pq2rkp/3p2p1/pPnPpr2/8/6RP/1PP1QP2/3N1RK1 b - -,f5f4
2b2r2/6k1/p1pp1rp1/4p1qp/1PP5/P3NP2/2R1Q1PP/4R2K b - -,f6f4
2b1r1k1/2n1p3/4P1p1/2p5/4P3/1PB3P1/1R6/3R2K1 w - -,b2h2
r1b2rk1/pp3p1p/2n2bp1/q3p3/4Q3/2PB1N2/PP3PPP/R1BR2K1 w - -,c1g5
1n1rb2k/6pp/5p2/2RB3Q/1qpP4/4N1P1/4PP1P/6K1 w - -,h5g4
8/4k3/3r1p2/p4B2/8/1PK5/P1P5/8 b - -,d6c6
rn1qkb1r/pp3ppp/2p2pb1/8/2pP4/2NBP3/PP3PPP/R2QK1NR w KQkq -,d3c4
5r1k/p1p2bpp/2qp1b2/2p2P2/2P2B2/1P4N1/P2Q2PP/4R1K1 b - -,f8e8
r2qnrk1/1ppbbp2/n2p3p/p2Pp1pP/2P1P1P1/2N1BP2/PPQ1BN2/R1R3K1 b - -,e8g7
4k2Q/R2n4/r3q1p1/5p1p/3B1P2/p1P4P/6P1/6K1 b - -,e8f7
r1b1r1k1/pp1n1pbp/6p1/8/2P1P3/B4P2/P3N1PP/1R1K1B1R b - -,f7f5
2B3k1/5p1p/p5pb/4p3/1p2P3/1P1n4/5PPP/1N4K1 b - -,d3c5
r2bqrk1/3n4/b1p1pn1p/p1Pp1pp1/P2P4/2NN1PP1/1BQ1P1BP/R2R2K1 b - -,d8c7
8/3k4/6R1/6p1/7P/6n1/4K3/r7 w - -,e2f3
r2q1rk1/pp1bppbp/2n3p1/3N4/3P4/6PP/PP2PPB1/R1BQ1RK1 b - -,c6d4
r1bq1rk1/p4pbp/2p2np1/8/4p3/2N3P1/PP3PBP/R1BQR1K1 w - -,d1d8
2r2rk1/ppp2ppp/3npn2/3q4/1P1P4/3BPN2/P1Q2PPP/R4RK1 w - -,c2a4
8/1B6/PK4pk/1Qp5/2Pb4/7P/1q6/8 b - -,b2h2
8/p3qpkp/1pB3p1/1P1Qp3/3b4/6PP/P4PK1/8 b - -,g7f8
r1bq1rk1/p3bppp/1pn1pn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQR1K1 w - -,d4c5:b2b3
rn4k1/p2p1ppp/b3pn2/2q5/4PP2/2P5/P1QN2PP/1R1R3K b - -,f6g4
1rr3k1/p2b1ppp/3pp3/1p4PP/2qNPP2/3Q4/PPP5/1K1R3R b - -,e6e5
r5k1/3Nbppp/2p1p3/1b1p4/1P1P1B2/2P4P/r4PP1/2R1R1K1 b - -,a2b2
