5kb1/8/3P1p2/2n4R/p4P2/4K3/8/8 b - -,c5b7
r1b2rk1/4qpb1/p1pp1npp/2p1p3/4P3/2PP1N1P/PP2QPP1/R1BR1NK1 w - -,f1g3
8/8/3p4/2p1k3/1p6/1PnBK3/8/8 w - -,d3f1
6k1/1R6/5K2/5P1P/1p6/8/8/1r6 b - -,b4b3
8/4r2p/6p1/2k5/5P2/1Bb1NKPP/8/8 b - -,c3e1
8/2R2kpp/8/p3B3/4P3/r7/6PP/6K1 b - -,f7e6
r4rk1/1q1bbppp/p1Nppn2/1p4B1/4P3/1BN3Q1/PPP2PPP/3RR1K1 b - -,d7c6
1q4k1/4br1p/3pQ1p1/4r1P1/p3P1R1/P1P1B3/5P1K/8 w - -,e6c4
8/5pk1/b3p1p1/Bq2P2p/7P/1p2QPP1/1P2N3/4K3 b - -,b5a5
r1b1r3/ppkn3p/2p2ppn/4p3/2B1P3/2N2P2/PPPRN1PP/2K4R w - -,h1d1
r2r2k1/4bppp/3ppn2/p1q5/3NP2B/2P5/1P2QPPP/RR4K1 b - -,d8c8
6k1/1R6/8/4K3/5B2/8/8/5r2 b - -,f1f2
7k/pp4rP/3P4/5p2/5K1p/3R2n1/PP6/8 b - -,g7d7
rnbq1rk1/ppp1npbp/6p1/3p4/2PPp3/4P1P1/PP1N1PBP/RNBQ1RK1 b - c3,c7c6
8/7k/p2rqp2/1p2r2p/1P1RpQ1P/8/4RP1K/8 w - -,d4d6
1nr3r1/5q1k/ppn3pp/3pPp2/P2N4/2PB1Q1P/1P3BR1/R6K b - -,c6e5
6k1/3rb2p/p3p1b1/1p2pp2/8/P1B3N1/1P5P/4KBR1 b - -,e5e4
r3qr1k/pbp1b1pp/1p1ppn2/5p2/2PP4/3BPN1P/PPQ2PPB/2KRR3 w - -,d4d5
r3k1nr/pp2p3/3qPpp1/3p1b1p/3P4/2N1Q3/PP2NPPP/3R1RK1 w kq -,e2f4
r2n1r1k/p2N1pp1/1p5p/5q2/8/P7/1P2QPPP/3RR1K1 b - -,f8g8
r7/5p2/4pkp1/p1N4p/Rn1P3P/6P1/4KP2/8 w - -,e2e3
