4R3/5pk1/p5p1/2p2r2/P1P3KP/8/2P5/8 b - -,f5f1
5k2/1p1rqpp1/p1p1p2p/P2rP3/1QRP3P/4K1P1/1P3P2/2R5 w - -,b4e7
r1bq1rk1/pp1nppb1/3p2pp/2pP3n/2P1P2B/2N2N2/PP1QBPPP/R3K2R b KQ -,g6g5
5r2/pp1rppbk/2q1n1pp/2p1P3/P1N5/2P1QN2/1P3PPP/R3R1K1 w - -,e3e4
r1b4r/pp1nkp1p/3bpq2/1B3p2/5P2/2P1P1Q1/P2NN1PP/1R2K2R b K f3,d7c5
r1r3k1/4bpp1/pq2pnp1/3pB3/1P1P3P/PN5R/5PP1/3Q1RK1 b - -,e7d6
8/1p6/pB6/P6p/4k2P/P1R2b2/r7/4K3 w - -,b6d8
5qk1/1pn4p/p2p2p1/2pP4/P1P2r2/2P4P/3QBPK1/4R3 w - -,e2d3
4br1k/1p6/1q6/4B2P/r1pP2n1/1p3N2/5RK1/1Q5R b - -,g4e5
r3r1k1/p4pb1/2np4/q4RPp/Pp1P3P/1PnQ2NN/7K/R5B1 b - -,d6d5
2kr2nr/ppp2p1p/2n3b1/1N3q2/3P1Bp1/2P5/PP4PP/R2QKB1R w KQ -,d1d2
b6r/4k2p/2p1B1p1/1pb2P2/2p1P3/2Nn2P1/1P4KP/2BR4 b - -,d3c1
8/5r1p/p1k5/8/2R5/8/P4P1P/5K2 b - -,c6d5
8/5k2/2R1p2p/r1p5/2P2PK1/6P1/8/8 w - -,f4f5
8/1b2kp2/4p1p1/4P2p/p1pb3P/P1R5/5PP1/5K2 w - -,c3c2
2r4k/2rb2qP/p3p3/p2p2N1/P3p1P1/1PP1Q2R/2R4P/7K b - -,c8f8
8/2k5/2b1p1pp/p1PpPp2/PNn2P2/6P1/5K1P/R7 w - -,b4d3
r7/5ppp/2nk4/3p4/P4P2/6P1/5KP1/1R1B4 b - -,a8a7
4br1n/2rq3k/2p1p1pp/1pPpPp2/pP1P1P1B/P3P1R1/4B1QP/6RK w - -,g3h3
8/2p3k1/3p2pp/1P1nb3/pP4P1/P2B1K2/7P/2B5 b - -,d5c3
1R6/6pk/7p/2PpP3/p2P4/2q1BP2/3N1K2/8 w - -,e5e6
1rb1r1n1/p1q2pk1/4pp1p/b1pP4/1pp1P2P/P1N1N1PB/1P2QP2/3RR1K1 w - -,d5d6
r1bq1rk1/pp2ppbp/n2p1np1/8/2PP4/1PN2N2/P3BPPP/R1BQ1RK1 b - -,c8f5
r5k1/4Rpbp/p3p1p1/1p6/3P4/1b1NP3/4BPPP/6K1 b - -,b3c4
r4rk1/1p2bppp/p1n1b3/2q1p1P1/2BpP2P/2P2P2/PP1N2Q1/R1B1K2R w KQ -,c4e6
r1b2rk1/pp3pbp/n1p2np1/2q1N3/2P1P3/2N3P1/PPQ2PBP/R1B2RK1 w - -,c1f4
8/r7/nk4p1/R4p1p/5P1P/5K2/R4P2/8 w - -,a5a6
3r2k1/p2pqp1p/7r/2P3bn/1P2Pp2/2NQ2P1/4N2P/3R1R1K w - -,g3f4
r2q1rk1/p1pnbppp/1p1pp3/8/2PPP3/6P1/PP3PNP/R1BQ1RK1 w - -,c1e3
8/4b3/pn1kB2p/B1p1p1pP/P3Pp2/1P3P1K/6P1/8 w - -,e6c4
8/3k4/7p/3PB3/2P5/8/p1r1RK2/8 b - -,c2c4
r2q1rk1/1pp1bppp/p1n1p3/5b2/Q3NB2/3P1N2/PPP2PPP/R3R1K1 w - -,a4c4
8/3k1p2/4bP2/Q2p2P1/3q4/8/8/2B1K3 b - -,d4e4
r1b1r1k1/1pq2p1p/2pp2p1/p1n1b3/P1P1P3/1PNB1P2/2Q2BPP/1R2R2K w - -,c2d2
8/8/8/1P6/3k4/2q3P1/3p4/3Q1K2 w - -,d1g4
1r3rk1/p1q1p1b1/2pp3p/3bPpp1/3P4/1PQ2N1P/P2B1PP1/R3R1K1 w - -,h3h4
3rr1k1/pp3p2/1np2p1p/2q2P2/1b6/2N2B1P/PP3PP1/2QR1RK1 b - -,g8g7
8/7p/3p4/6k1/PRK5/1P4P1/3r4/8 w - -,a4a5
rn2kb1r/pp3ppp/1qp1pn2/3p1b2/2P2B2/1Q1P1NP1/PP2PPBP/RN2K2R w KQkq -,b1c3
6k1/p4p2/1p2ppp1/3p4/2rP1P2/P3bNP1/1P4KP/3R4 b - -,c4c2
8/2k4p/1pbp2p1/p3p3/2P1Pr2/2PK1B2/1R3PPP/8 w - -,d3e3
1rb1k2r/2q1bp1p/p3p3/1p1pP1p1/2nN1P2/P1PB2P1/1PQ2B1P/R3K2R b KQk -,h7h5
2r2rk1/1bqnbppp/pp1p1n2/4pPB1/2P5/P1N1P3/1PN1B1PP/2RQ1RK1 w - -,c2b4
r2qk1nr/1b1n1pb1/p3p1pp/1pp5/4P1PP/P1N1BB2/1PPQ1P2/R3K1NR w KQkq -,e1c1
r2qk2r/1p2bppp/p1ppbn2/4p3/P1P1P3/2NQBP2/1PP1N1PP/R3K2R b KQkq -,d8a5
6r1/1p1qbkpQ/1np1bpp1/1p6/4BB2/3P2P1/PP3P1P/2R1R1K1 b - -,f6f5
r1b1k2r/pp3ppp/4pn2/q1b5/2P2B2/P1N2n2/1P3PPP/R2QKB1R w KQkq -,d1f3
2r3k1/5p2/4p1bp/1Q4pq/3P4/b2pPPB1/3R1KPP/8 w - -,b5a6
5r1k/ppQ3p1/4b1np/2P4B/5p2/4P3/P2q1PPP/5RK1 w - -,e3e4
3r2k1/5p2/pbQ1p1p1/7p/Pq2P3/1p2N1P1/1P1n1PBP/2R3K1 w - h6,c1d1
2r5/3k2p1/2p5/p1PpnPp1/8/1P3B2/P2R2K1/8 w - -,f3d5
8/1p1k4/p1pp1np1/3Pp1N1/1PP1Pr1p/5R1P/P5P1/6K1 w - -,g5e6
8/p7/3k3p/2p2P2/1pp3R1/2P4P/Pr4PK/8 w - -,g4c4
r1b1k2r/bp3p2/p3p3/2qpP3/3N2p1/2PB2pP/1Q4P1/1N1R1K1R b kq -,b7b5
r1b2r2/pp2ppbk/2p3pp/P7/4P3/2P1BB2/1P3PPP/R2KR3 w - -,e3c5
3r1k2/2b1rbpp/1p3p2/p1p1pP2/8/1PBP4/1PPNR1PP/4R1K1 w - -,e1a1
2r1r1k1/3q1ppp/p1nbp3/1p1p4/1P1P1BP1/P1PQRN1P/5P2/4R2K w - -,f3e5
5rk1/p1p2pp1/7p/3r1b2/8/1P3PBB/P5PP/2R3K1 w - -,h3f5
1r1q1rk1/p1pp2pp/n3p3/1PPnN3/5p2/B2BPP2/P2Q2PP/5RK1 w - -,e3e4
5k2/6p1/1p5p/2p4P/6P1/1P2KP2/3N4/2n5 b - -,f8e7
r1bqr1k1/pp3ppp/n1p5/2b5/2PN1B2/P1Q5/1P2BPPP/2KR3R b - -,c5d4
r1r5/pp1kbp2/4p3/3pPn2/3B1Ppp/2P5/PP1N2PP/4RRK1 w - -,d2b3
r4rk1/p1p2ppp/1qppb3/N3n3/2P1P3/8/PP1QBPPP/R4RK1 b - -,a8b8
8/5R2/pkp3p1/1p6/2P1PNP1/2b2P2/K1P5/3r4 b - -,b5c4
r2q1rk1/5pbp/2npbnp1/p1p5/PpP1P3/5NP1/RP1N1PBP/2BQR1K1 b - -,f6g4
5n2/2q3bk/6pp/1p5r/1Pb5/P2B3P/5QP1/3R1R1K w - -,d1c1
5r1k/1b3p1p/N2R4/1p2pP2/3bP3/P6B/P6P/1K6 w - -,h3g2
r4rk1/pp1q1ppp/2pP1n2/2n5/2B2Pb1/2N5/PPPQ2PP/R1K4R w - -,b2b4
5rk1/2q2ppp/2p2P2/2bpP2r/3n4/1B4Q1/P2B2PP/4RR1K b - -,g7g6
3qrnk1/5rbp/1p1p2p1/pPpNpp2/2P2P2/3PP1P1/PB4KP/1R1Q1R2 w - -,d1d2
8/p3Qnk1/1p2bp1p/4p3/4P2p/2P2PN1/q4BP1/6K1 w - -,g3h5
8/5pp1/6k1/3R3p/2P4P/1r4P1/5PK1/8 w - -,d5g5
8/1pp3pk/2n2p1p/1p1q4/6PN/PP2Q2P/2r2P2/4R1K1 w - -,h4f3
r3qrk1/1ppb1pbn/n2p2pp/p2Pp3/2P1P2B/PPN5/3NBPPP/1R1QK2R b K -,f7f5
r1bqk2r/pp1n1ppp/2p1p3/3p4/1bPPn3/5NP1/PPQNPPBP/R1B1K2R w KQkq -,e1g1
5rk1/1b3ppp/1P1q1n2/2pp4/8/1N4P1/2Q1PPBP/1R4K1 b - -,f6d7
8/2k5/2pN2pp/2K1p3/p4r2/2P2P2/6PP/8 w - -,d6c4
