8/6p1/7p/7P/3b1PK1/1r2k1P1/R7/8 w - -,a2g2
8/2nk3p/1p6/3KP1P1/p1P5/8/8/2B5 w - -,d5e4
2kr3r/ppp3p1/4pp2/3n3p/2nP4/2P5/P1P1NPPP/1RB2RK1 b - -,d8d6
3k4/4n1p1/1p2b2p/p2p4/3P2P1/P1NBP1K1/1P6/8 b - -,g7g5
r1b1k1r1/1pqnpn1p/p2p2p1/2pPp3/2B2P1P/2N2N2/PPPQ2P1/2KRR3 w q -,f4e5
r4rk1/p1qn1pp1/3bp2p/1p6/2pPQ2B/2P2N2/PP3PPP/R3R1K1 b - -,a7a5
4k3/7R/4Nb2/3P1p2/5P2/4r1K1/8/8 w - -,g3f2
2r1brk1/ppp4p/2n2qpb/3p4/1P1Pnp2/PQ3NP1/1B2PPBP/R2R1NK1 b - -,e8f7
5r2/1npk4/R4p1p/4p3/8/5NP1/1PP2PKP/8 b - -,b7d6
4rbk1/pp4pp/2nrp3/8/6Q1/1PB4P/P4PP1/4R1K1 b - -,a7a6
r4rk1/p3n1p1/Q1p4p/1PP5/3q4/3BN3/4K1PP/1R6 w - -,b1c1
2bqr1k1/r2n1pbp/1pB3p1/p1ppP3/5P2/PP2P3/1BQN2PP/2R1R1K1 w - -,c2d3
5r2/3kbp2/2p3r1/p1p1P3/2PpRR1p/1P1N2p1/P2P2PP/6K1 w - -,h2h3
8/p5p1/1p2k2p/2p4P/2P1r3/1P1R2P1/P2K4/8 b - -,e4g4
8/pp2kb2/2pprr2/5ppp/1PP1B2P/3NP1P1/P1R2P2/3R2K1 b - -,e6e4
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/2N1PN1P/PP3PP1/R1BQKB1R b KQkq -,e7e6
8/2pk4/3p1p2/p3rNb1/6P1/1PRK4/8/8 w - -,c3c2
6k1/5pp1/pq5p/1p6/3RP3/1P3PPB/P6P/3K4 w - -,d4d2
3r2k1/1b3pp1/1p2p2p/pP6/P2P4/2R1nP2/1B4PP/1Q1q1B1K w - -,b1d1
r1bq1rk1/1p1n1pbp/2pp1np1/p3p3/2PPP3/P1N3P1/1P2NPBP/1RBQK2R w K e6,e1g1
r2q1rk1/pp1n1ppp/2p1pn2/8/PbBPP1b1/2N2N2/1P2QPPP/R1B2RK1 w - -,h2h3:e4e5
r1kr4/3N3p/p2Q1P1b/1b6/8/8/PPP4P/1K6 w - -,d6d5
8/5K2/1r2B3/8/5k2/7P/8/8 b - -,f4g5
r3k2r/1p2bppp/p1b2n2/q3B3/4P3/2N3Q1/PPP1B1PP/3R1R1K b kq -,h7h5
rn1qk2r/1p2bppp/p2pbn2/8/4PB2/1NN4P/PPP3P1/R2QKB1R b KQkq -,b8c6:e8g8
8/4k2p/6p1/2b1P3/2R2P2/4BK2/r6P/8 b - -,c5e3
2rq1rk1/p3bppp/2b1p3/1p1nN3/3P4/1P4P1/PB3PBP/2RQ1RK1 b - -,c6a8
2r2rk1/pb4pp/3p1p2/4n3/3N4/2N5/PP3PPP/R3R1K1 w - -,a1d1
r2q1rk1/pp2ppbp/2nn2p1/2p5/3PP1b1/2P2NP1/PBN2PBP/1R1QR1K1 b - -,d8a5
r2qr1k1/pbp2pp1/1p1p1n1p/8/1nP1P3/1PN1B1PP/P1Q2PB1/R4RK1 w - -,c2d2
r1b2rk1/1pp1q1pp/2n1p3/p1n1Pp2/2P5/P4N2/1PBNQPPP/R3K2R w KQ f6,e5f6
5k2/p7/2n1P3/5PP1/8/1PnK4/8/8 b - -,c3d5
3q2k1/8/1p4p1/p1p2b1p/2PrN3/P2BR1P1/2Q2P2/6K1 w - -,f2f3
8/6k1/6Bn/3N3P/5K2/8/8/8 w - -,f4g5
8/5k2/8/8/8/5K2/2p2B1r/2R5 b - -,f7e6
3rr3/pkp2p2/bnp5/8/1qP2Q2/8/P1KN1PPP/3R1B1R b - -,b4a4
r3r3/ppp2kpp/2nb4/6N1/4q3/6P1/PP3PBP/R4RK1 b - -,f7g6
3r4/p1q1bpk1/4p1p1/4P2r/3PNQ1p/3R4/P4PP1/3R2K1 w - -,e4f6
rqr3k1/3bbppp/pn1p1n2/1p1Pp3/4P3/PPN1B1PP/2QN1PB1/R1R3K1 w - -,c2d3
1r2rbk1/4qp2/2n2npp/1pp1p3/2b1P2N/2P1BQNP/1PB2PP1/R3R1K1 b - -,c4e6
2bqr1k1/1p1nppbp/1npp2p1/8/1PP5/r1NPBNP1/3QPPBP/1RR3K1 b - -,d8c7
r3kb1r/pp3ppp/2n1pn2/3q4/3N4/2P1B2P/PP2bPP1/RN1Q1RK1 w kq -,d1e2
8/5b1k/p1p2B2/P6p/1P5P/8/5KP1/8 b - -,h7g6
6k1/6p1/7p/p3NQ2/Pp6/1P5P/n5PK/2q5 w - -,f5f7
r4rk1/1bq1bp1p/p2pn1pQ/1p1NPN2/8/3B4/PPPB2PP/4RR1K b - -,b7d5
8/8/1RP1p2p/3bBp1P/2kP1P2/6p1/5r2/4K3 b - -,c4d3
4rbk1/2q2pp1/pp3n1p/3r3n/4p1PP/1P2R3/PB2QP2/1B2R1K1 b - -,h5f4
