8/5p2/1k1p4/2p1p2p/K1P1P2P/5P2/8/8 w - -,a4b3
r2q1rk1/ppp3p1/2nb1npp/3p4/3p3P/2NQ1P2/PPP1PBP1/2KR1B1R w - -,f2d4
r2q1rk1/pp1nbppp/2p1p3/6B1/2PPQ3/5N2/PP3PPP/R4RK1 w - -,g5f4
rn2kb1r/ppq2ppp/2p1pnb1/3p4/2PP3N/1Q4P1/PP1NPP1P/R1B1KB1R w KQkq -,h4g6
8/1pR5/3n1P2/2p5/3k4/7r/3KB3/8 b - -,d6e4
3rnrbk/ppn3bp/2pp2p1/q4p2/N1P2B2/1P2QNP1/P3PPBP/2RR2K1 w - -,e3e7
1rbq1rk1/2p2pbp/pnnpp1p1/2P5/3P4/2N2NP1/PB2PPBP/1R1Q1RK1 b - -,b6c4
8/1pq3k1/2p1r1pb/p4n2/1P6/PBP3P1/5PKP/3R1R2 w - -,b3e6
r1b2r2/pp2ppkp/1n1p2p1/3Pn3/3N4/2N5/PP2PPPP/R3KB1R b KQ -,c8d7
r2qkbnr/1p2pppp/p1B5/2pNPb2/8/2PP4/P3QPPP/RNB1K2R b KQkq -,b7c6
r1bqrbk1/pp1n1pp1/5n1p/2pN2B1/3pP3/1N3P2/PPPQB1PP/2KR3R w - -,d5f6
3qr1k1/pp3p2/7B/3r4/2p2P2/2Q3P1/4b1BP/2R3K1 b - -,d8b6
4rrk1/1p1b2B1/p3p1p1/3p4/5Pq1/3P4/PP2N1P1/R3QRK1 b - -,g8g7
2r1r1k1/1p2bppp/p1bp1n2/q3pP2/4P3/PBN2Q2/1PP2BPP/3R1R1K b - -,b7b5
8/1p1r1k2/pR3n2/5Pr1/8/P7/1P6/1K3R2 b - -,f6e4
1n3rk1/2qrbp1p/4p1p1/2p1PP2/NpP5/1P3R2/1B3QPP/4R1K1 b - -,e6f5
r1bqk2r/pp2bppp/2nppn2/8/2PNP3/2N5/PP2BPPP/R1BQK2R w KQkq -,c1e3:e1g1
1b3nr1/4k1p1/2R1p3/pr3pRp/Np1P3P/1P2PP1K/PB6/8 b - -,f8d7
r4r1k/5p2/7N/3p2pP/p4n2/3P2R1/PP3PP1/1K1R4 b - -,h8g7
r2nkb1r/pp2pppp/4B3/8/8/5N2/PPP2PPP/R1B1K2R b KQkq -,d8e6
r1b2rk1/3pq2p/p2Nnpp1/8/R7/3Q1N2/P1B2PPP/4R1K1 b - -,a6a5
4qrk1/2bb3r/1p3p2/1RpNnP2/2PpP2P/8/6B1/1RBQ2K1 b - -,c7d8
1r1r4/1pR4p/pN1n2pk/P2P1p2/4P3/4P1PP/4B3/2R3K1 b - -,d8e8
rnbqkb1r/pp1ppp1p/5np1/8/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,f8g7:d7d5
rnbq1rk1/pp1pppbp/5np1/2pP4/4P3/2N2NP1/PPP2P1P/R1BQKB1R b KQ -,b7b5
2q3k1/p4pp1/bp5p/3Bp1n1/8/1PN1P2P/P4PP1/3Q2K1 w - -,c3e4
5rk1/1prn1ppp/p3pnb1/8/8/1NN1PP1P/PP4P1/2R1RBK1 w - -,c3e4
r3kb1r/pp1q1ppp/2n1p2n/2ppP3/8/5N2/PPPP1PPP/RNBQR1K1 w kq -,d2d3
4b3/p3p1qk/1rp1Bb2/2Rp3p/PP1P1Pp1/2Q3P1/5B1P/6K1 b - -,g7g6
8/5pk1/1b2p1p1/4q3/P6p/7P/3Q1PP1/5BK1 w - -,f1e2
4r1k1/2q2p1p/1r6/p1p3p1/1pPpP3/1P1Q1Pb1/P1B4P/1R2R1K1 w - -,h2g3
