8/3k3p/6p1/1K6/P1N5/3n4/6PP/8 b - -,d3f4
r3k2r/1bqnbpp1/p1n1p2p/1p1pP3/2pP4/P1P1BN2/1PBNQPPP/R3R1K1 b kq -,d7b6
3r2k1/1pb3pp/p4p2/2P2P2/1Pn2B2/3R3P/6P1/3R1K2 b - -,d8d3
1rbr2k1/p1q2ppp/2p1p3/8/3P1b2/3B3P/PPN1QPP1/1R1R2K1 w - -,c2e1
1r5r/1pk2Bpp/p1pQ4/q5b1/4PB2/8/PPP3PP/2KR1R2 b - -,c7b6
rn2k2r/pp2bppp/2p1pn2/q7/2BP4/2N2Q1P/PPP2PP1/R1B2RK1 w kq -,c1f4
6k1/2b2p2/2P1p2p/6p1/1nB1Q2P/5PP1/1q3BK1/8 b - h3,c7b6
r1b2rk1/pp3pp1/1q1p1n1p/4p3/2PNPP2/P2B4/6PP/R1BQ1RK1 w - -,c4c5
r1b2rk1/4bppp/p1qppn2/1p6/4P3/1BN1BPQ1/PPP3PP/R4RK1 w - -,a1d1
3rr1k1/2q2ppp/1p2pn2/p7/1nPN4/1P2QP2/P1BR2PP/3R2K1 b - -,c7c5
r2b1rk1/1p4q1/p1n5/3Npb1p/2N1Q1pP/P5P1/1P4P1/2R2BKR w - -,e4e1
r2qkb1r/1b1p1ppp/p3pn2/1pp3B1/4P3/1PNP4/1PP1NPPP/R2Q1RK1 b kq -,f8e7:h7h6
rnbqk2r/pp3ppp/3p4/2pPp1bn/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQkq -,g5e3
8/3k4/1p6/1N6/1K1P3r/1B6/8/8 w - -,b3d5
1r5r/p2kn1b1/2pp3p/4p1pP/1P2N3/4P3/P2BKPP1/R6R b - b3,e7d5
8/prB1pk1p/1p3p2/n5p1/6P1/4K3/P4P1P/2R5 b - -,e7e5
2r1qrk1/pb2bppp/1n2p3/2ppP3/1nP3NP/1P3NP1/PBQ2PB1/3RR1K1 w - -,c2b1
r6k/5p1N/5P2/3p4/6b1/3Bq1P1/7P/5Q1K w - -,h7g5
r2q1rk1/ppn2bbp/2n2p2/2Pp1p2/BP1Pp3/P1N1B1N1/3Q2PP/R4RK1 b - -,f7g6
8/4b3/6bk/P2Q3p/8/3p2P1/7P/6K1 w - -,a5a6
r1bq2k1/pp1r1pbp/2n1pnp1/1N2B3/3P4/P2B1N2/1P3PPP/R2Q1RK1 w - -,d1e2
r3kb1r/p2p1ppp/1qn1pn2/1p6/3N4/1P4P1/PBP1PPKP/RN1Q1R2 w kq -,d1d3
1r2k2r/1bq1bppp/p2ppn2/1p6/3BPP2/2NB2Q1/PPP3PP/4RRK1 b k -,b5b4
rn1r1bk1/pb3ppp/2p2n2/1p2p3/8/P1N3PP/1PP1NPB1/R1B2RK1 w - -,c3b5
2r2r1k/3b2bp/p2p1n2/N2P3n/1Q1B1p2/1BN5/PP3pqP/K2R1R2 b - -,f6g4
4rk2/1p3pp1/2p2n2/5p2/1PP4P/5BP1/5PK1/3R4 w - -,b4b5
2rq1rk1/3n1pp1/p1n1pbp1/1p1p4/N2P1B2/PQ2P2P/1P2BPP1/2R2RK1 w - b6,a4c5
2r3k1/p3bpp1/1p2pn1p/1b2N3/5PP1/1P2B3/P3PKBP/3R4 b - -,c8c2
2rq1r2/1p3pk1/p2p2p1/2nPp2N/4n2Q/3B3P/PPP3P1/R4R1K b - -,g6h5
6rk/p2bqr1p/2pbpp1B/2pp3Q/5P2/3P4/PPP1N1PP/4RRK1 w - -,e2g3
