8/8/1Kp5/2P5/2k3r1/8/3R4/8 w - -,d2d6
r1b2rk1/1p3ppp/p1n5/q2p4/Pb6/3B4/1PPB1PPP/RN1Q1RK1 b - -,d5d4
8/2Q2p1k/1p2rbp1/p2p3p/P2P2q1/B3P1P1/5P1P/2R2K2 b - -,f6g7
rn2k2r/pp3ppp/4pn2/1q6/3P4/P3B3/1P1N1PPP/R2QK2R w KQkq -,d1b3
2r5/kp1B1p1p/p2Qp1p1/3nP3/3p1P2/7P/PPP2qP1/1KR5 b - -,c8c7
8/1p6/2n2pk1/2Pp2p1/r2Pp1P1/6K1/3RNP2/8 b - -,a4b4
r2r2k1/5ppp/3pb3/NP2p1P1/1P2P2P/q4P2/2P4R/2KRQ3 w - -,c1b1
5k2/5p1p/p3p1p1/r5P1/7P/5PK1/PR6/8 b - -,a5a4
2Q5/6k1/7p/5Q2/5PPK/P6P/8/2r5 b - -,c1c8
r3k2r/pp1q2p1/2n1b3/N2ppp2/5P1p/4P1P1/PPPQ2BP/R4RK1 w kq -,a5c6
3N4/1R6/3kpn1p/3p4/P2n1p1P/6P1/5P2/6K1 w - -,a4a5
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,e8g8:f6e4
8/7p/6p1/1k1pN3/2p1pn2/8/5P1P/3B1K2 b - -,b5b4
rnbqk2r/ppp1ppbp/6p1/8/4P3/2P2N2/P2PBPPP/R1BQK2R b KQkq -,c7c5
8/8/8/p5R1/Pp3kPp/1P6/7r/2K5 w - -,g5a5
r1bqkb1r/1p2nppp/p1n1p3/2ppP3/8/1P3NP1/PBPP1PBP/RN1QK2R b KQkq -,b7b5
3rr3/1p5p/p3k3/8/P1P2P2/8/7P/B5RK b - -,e6f5
rrq3k1/5p2/3bpQ1P/4P1p1/3P4/p3P3/R5PK/8 b - -,c8f8
R7/5pk1/5p2/1P1p3B/2n5/4b2P/6P1/7K w - -,a8b8
r1b2rk1/1pq1bppp/p4n2/2Pp2N1/1P1nP3/2N5/P1QBB1PP/R4RK1 w - -,c2d3
8/8/8/1k6/p1b1K3/8/2p5/2Br3R w - -,h1h5
8/3pk2p/R3b1p1/Pp2K1P1/1P2R2P/1r6/8/8 b - -,e6c4
r4rk1/pbq4p/1p3bp1/2ppp3/3PB1QP/2P1P1R1/PP4P1/R1B2NK1 b - -,d5e4
R7/1p3kp1/3r4/2nPpPpK/2P3N1/3n4/6B1/8 w - -,h5g5
2kr3r/1bqnpp1p/p2p1npQ/1ppP4/4P3/P1N2PP1/1PP1N1BP/R4RK1 b - -,c8b8
R7/8/P4k1p/3p1P2/r7/6K1/5P1P/8 w - -,a6a7
r3kb1r/pp1n1p2/2p1p1p1/7p/4PB1P/2P2P2/PPK2P2/3R1B1R w kq -,f4g3
5R2/8/1p2k3/8/7P/r4b2/4K3/8 w - -,f8f3
5rk1/p2qn2p/4bppb/N7/1P1pPP2/P1r5/1Q4BP/1R3RNK b - -,f8c8
7k/p2r3p/4Nqp1/3n4/2p2P2/8/PP3Q1P/2K1R3 w - -,f2c5
r1b2rk1/pp2ppbp/n5pn/1N1q4/8/2P2N2/PP2BPPP/R1BQ1RK1 b - -,f8d8
8/7p/1N2kpp1/1n2p3/5PP1/4PK1P/8/8 b - -,b5d6
r7/4b3/1B3k2/P3p3/1P3p1p/2PK1P2/8/5R2 b - -,f6f5
6R1/2r2p2/1R3kpB/4p3/3n4/PBq2P1P/6PK/8 b - -,c7c6
8/3Q2pk/1p2Np1p/2p5/6n1/6P1/4q1KP/8 w - -,g2h3
r1bqk2r/3pppbp/p1p2np1/2p5/4P3/2PPBN2/PP3PPP/RN1Q1RK1 b kq -,a8b8
8/1p1k1ppp/4p3/3pP3/1p2P3/b7/Kp1B1PPP/1Rr5 b - -,b4b3
6R1/8/8/P7/4r3/1K3kp1/8/8 b - -,g3g2
r2q1r1k/1p5p/p2p2pN/3PnpQ1/6PP/8/PPP2R2/5R1K b - g3,d8g5
3rr1k1/1p5p/p1p1qpp1/2P5/P1N1PP2/1PQ3P1/7P/4R1K1 b - f3,e8e7
8/6pk/5p1p/ppB5/8/Prp3PP/2R3K1/8 w - -,g2f3
r2r4/p2q1pkp/6p1/2pb4/8/6P1/PP1Q1PBP/R2R2K1 b - -,d5g2
8/1bk3p1/p2r4/3p3p/1P2p3/2N3P1/1PP1B1nP/2K2R2 b - -,d5d4
6k1/pN2p2p/6p1/3Pb3/2n5/3R2P1/1PP4P/3KB1r1 w - -,d3f3
4r1k1/1b4pp/p3p3/P3Rp2/1PR2P2/2P5/r4BPP/6K1 b - -,b7d5
