8/4p3/7R/P3bk1p/r7/5p1K/5P1P/4B3 b - -,a4a1
rnbr2k1/pp2bppp/5n2/7q/3N4/2N1BpP1/PP2P1BP/R3QRK1 w - -,e2f3
4r1r1/2pn3k/2p4p/2PpPq2/5PRQ/1PN1BP1p/2b4K/6R1 w - -,c3e2
2r2r1k/4pp1p/6pb/pp1PP3/2p1QP1P/q1P2B2/P1R2PK1/7R b - -,f7f6
r4rk1/pp3ppp/4p3/8/P1Npb3/8/RPn1BKPP/2B4R b - -,a8d8
8/5ppk/7p/3p4/P1nK3P/5NP1/8/8 b - -,f7f6
r2qkbnr/ppn1pp2/2p3p1/4P2p/2BP3P/2N1B3/PP3PP1/R2QK2R b KQkq -,b7b5
2r3k1/3n1pp1/4pn1p/8/1q2PQ2/3BBNPP/5P2/6K1 w - -,g1g2
6k1/3n4/3Pp2p/1p1q1p2/1Q6/5PP1/3N2KP/8 w - -,d2b3
1r2k2r/1p3pb1/p1qp1pp1/P1n5/3BP1bp/2N4P/1PPQ1PB1/R4RK1 w k -,h3g4
r2q1rk1/pb2bppp/1pn1pn2/3pN3/2PP4/2N2B2/PP3PPP/R1BQR1K1 b - -,c6a5
8/6k1/4p2p/3p1P2/b1qn1P2/2N4P/3Q2BK/8 w - -,f5e6
r5k1/ppp1qppp/2n5/5b2/1b4n1/2N2N2/PB1PB1PP/R1Q2K1R b - -,a8e8
8/4k1K1/R6P/6r1/6p1/8/8/8 w - -,a6g6
2rq1rk1/p2bppbp/3p1np1/1N6/4P1P1/1PN1BP2/P1PQ3P/1K1R3R b - -,d8a5
8/8/7p/5p2/4kP2/2K5/7P/8 w - -,c3d2
3kq1r1/6rp/2p1pb2/1pPp1pp1/pP1P1P2/P2QPNP1/5KRP/6R1 w - -,d3e2
4rbk1/3R2pp/8/8/8/4B1PP/5PK1/8 b - -,f8e7
r1b3kN/pp1nb1pp/4p3/2p1Pn2/2N5/6P1/PP3PBP/R1BR2K1 w - -,c4d6
r2q1rk1/1p3ppp/4pb2/2n5/3NB3/P3Q1P1/1RP2P1P/R5K1 w - -,b2b4
rnbqkb1r/ppp3pp/4pn2/3p1p2/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq c3,c7c6:f8d6
r1q1k2r/pp2ppbp/2p1bnp1/3pN3/2PP1P2/6P1/P1P1P1BP/1RBQ1RK1 w kq -,c1a3
5k2/6pp/1pp2p2/p3pP2/P1Pq3P/1Q3P2/2R3P1/3r1BK1 w - -,c2f2
r3k2r/pp2n1pp/4p1q1/4P3/Q2n4/P7/3B1PPP/R1R3K1 b kq -,d4c6
3r1bk1/8/1NRp2p1/P2Ppp2/8/5n2/1PB5/1K6 b - -,f3d4
r2r2k1/pp3p2/2p1bp1p/8/3P3R/8/1PB2PPP/3R2K1 b - -,g8g7
rnbqk1nr/ppppppbp/6p1/8/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq -,c7c6:d7d6:d7d5
3k4/pR4Bp/2p1n3/8/8/2P3K1/r5PP/8 b - -,e6c5
r2qnr2/1p1nppkp/2p3p1/p2p4/2P5/PP1PPN1P/4BPP1/R2Q1RK1 b - c3,e7e6
r4rk1/p3bppp/1qn2n2/2p5/2Np4/1N1P4/PP3PPP/R1BQ1RK1 b - -,b6a6
b1q2k2/2n1Rr1p/p1p2Np1/3p4/2PQ4/P4N2/1P3PPP/6K1 w - -,e7f7
4r1k1/1p3p1p/p2p2p1/2pP4/P7/R1b4P/3n1PP1/1R3BK1 w - -,b1b7
r2b2k1/q5p1/2pNp1Pp/p1PnP3/2R1QP2/1P6/P2B4/1K6 w - -,f4f5
2r1kb1r/Qp1bp2p/5pp1/3q4/2pPp3/2P1P3/PP2NPPP/R3KB1R b KQk -,e7e5
2r1kb1r/1p2pppp/p2p1n2/8/3BP1b1/2N2P2/PPP3PP/R3KB1R b KQk -,e7e5
r5kr/pb3pp1/5q2/1PP1pP1p/1B2P1nP/6N1/P3QbP1/R3R2K w - -,e2f2
5k2/8/1pK5/5p2/2P1P2r/2N5/8/8 w - f6,c4c5
r3k3/pp3p1Q/4p3/3p1p2/3P2r1/2P2qP1/PP1K1P2/5R1R b q -,e8c8
rn3rk1/pb1pbpp1/7p/qp1P4/2pQN1PP/2N5/PP2PP2/R3KB1R w KQ -,g4g5
6k1/5p2/6pp/8/p2Q1N1P/P4qP1/2r2P1K/8 w - -,f4h3
r4rn1/1ppbq1bk/p2p1n1p/3P1p2/2PBpP2/8/PP1QBNPP/2RN1RK1 w - -,d1e3
8/p3kn2/2p5/r7/2R1PK2/1P1N4/P7/8 w - -,a2a4
1q4k1/3n1p2/p2P2pp/2p2b2/2BN4/P1N5/1P1Q1PPP/6K1 b - -,c5d4
2r3k1/1p2ppbp/6p1/1r6/1Bn1N3/P1P5/4R1PP/2KR4 b - -,g7h6
5rk1/2R2p1p/6p1/2p5/8/1P3R1P/5PPK/r7 w - -,c7c5
r4r1k/3bqn1p/n1pp2p1/4pp2/1PP1P3/2N2P2/1Q1NB1PP/1R2R1K1 w - -,b1a1
8/4Pk1p/1p6/1P2P3/2pp2P1/8/7K/2B5 b - -,c4c3
3r4/8/p2Bppk1/PnP2n2/8/5P1R/3N1K1P/8 b - -,b5d6
2kr3r/ppp1qp1p/3b1npB/3p4/2nP3N/1N1Q1PPb/PPPKB2P/R6R w - -,d2c1
2q1r1n1/1p2p1k1/p4pp1/3P4/2PQ2b1/2N2R2/P4P2/R5K1 w - -,f3e3
3k4/7p/B1P5/2Pp1b2/7b/P7/6K1/6q1 w - -,g2g1
3q2rk/ppbb1Bp1/2p1np1p/2P4N/1P3P2/2Q4P/P2B2P1/4R1K1 b - -,g8f8
r5k1/2prqpp1/p1n1bn1p/1pb1pN2/4P3/1BP3NP/PP2QPP1/R1B2RK1 b - -,e7f8
r1bqn1k1/ppp2ppp/5b2/3p4/3P1B2/2PB4/PP3PPP/RN2Q1K1 b - -,g7g6
r1bq1rk1/1p2bppp/p3p3/3pP3/2nPB3/2N2N2/PP1B1PPP/2RQ1RK1 b - -,d5e4
r3k2r/3qbp2/p1b1p3/1p1pP2p/3P2pP/1PN3B1/P1Q2PP1/3R1RK1 w kq -,c3e2
4r2k/4Q1pp/6q1/3pn3/8/2P5/P4R1P/R4K2 b - -,g6d3
3r4/8/p1rpk1p1/1p5p/1P2K3/2P1N1b1/1P4P1/R4R2 b - -,g3e5
2n1rbk1/1q1b1p1p/prNp2p1/2pP2B1/4P1P1/2N5/1P1Q1PB1/R3R1K1 b - -,b6b2
8/7p/8/8/5pk1/1r6/5BK1/R7 w - -,a1a7
8/r1b2kp1/3p4/2pP3p/5B1P/PR4P1/6K1/8 b - -,f7e7
6kr/pQ3pbp/2p3p1/3q1pB1/3P4/5P2/PPP4P/2KRr3 w - -,b7b8
r3k2r/1p1qbpp1/p1n1p2p/4P3/2QP2PP/4BN2/P3KP2/2R3R1 b kq h3,a8d8
2r2rk1/pp1b1ppp/q1n1pn2/2b5/2Np4/PP1Q1NP1/1B2PPBP/R4RK1 b - -,f8d8
2r2rk1/pbn3pp/2p1pq2/2Pp4/1P2pN2/P3P3/2QN1PPP/2KR3R b - -,b7a6
r2q1rk1/1p2b1pp/1p3p2/pP1b4/3p4/P2P2P1/1B2PPBP/R2Q1RK1 w - -,d1a4
r1bbk2r/1p4p1/p6p/3p4/1P1n2P1/P7/2PB1P1P/R2BK1R1 w Qkq -,c2c3
r1b1r1k1/ppq2pb1/2p1p1pp/4N2n/2PPn3/1P2B1P1/P1Q2PBP/2RR2K1 w - -,g2e4
8/8/3kb3/4R3/p1rB2P1/P1P5/3K4/8 w - -,g4g5
3q3r/3k4/p2pb1p1/2p1p3/PpNnPpP1/1P1P1P2/1KP2RBr/4R1Q1 w - -,e1d1
8/8/8/7N/4n1p1/8/4k3/2K5 w - -,c1c2
r1bqkb1r/pp1n1p2/2n1p1pp/2ppP3/3P3P/2PB1N2/PP1NQPP1/R1B1K2R b KQkq -,c5d4
1n3rk1/r3bpp1/pq2pnp1/3p4/Pp1P4/4PPP1/1PQBB2P/2RN1RK1 w - -,d1f2
r1bq1rk1/pp2b1pp/2ppNn2/5pB1/2PPp2P/2N1P3/PP2BPP1/R2QK2R b KQ -,c8e6
8/8/8/4pkpp/pR1r4/P3K2P/1P3P2/8 b - -,g5g4
2r2rk1/4bppp/p2pp3/q3P3/1p2bP2/4B1Q1/PPP1N1PP/R1R4K w - -,c2c3
5k2/5P1p/1r1rp1pP/pp1pK1P1/2pP4/2P1R3/PP6/4R3 b - -,d6d7
2r2nk1/pbrq2bp/1pn1p1p1/3pPpB1/1P1P3P/PN1BQ1P1/5PN1/R1R3K1 b - -,c6b8
r4rk1/pbqpbppp/2n1pn2/2P5/P7/BQP2NP1/3NPPBP/R4RK1 b - -,a8b8
1r1q1rk1/3bppbp/p1np1np1/1P6/3NP3/2N1BPP1/PP1Q2BP/R4RK1 b - -,c6d4
2r5/3k2p1/p4p2/2prpn1p/Pp2R2P/1P1P1PP1/1BP2K2/2R5 b - -,c8c6:d7c6
r1b1k2r/pp1n1ppp/2p5/q3p3/2BP4/P3P1B1/1P1Q1PPP/R3K2R b KQkq -,a5d2
6k1/2q2p2/p3p1p1/1p2P1Pp/3QP2P/P7/KP6/8 b - -,c7c2
r4rk1/ppp3pp/2nb2q1/3p1p1b/3Pn3/2PB1NPP/PPQ2P1N/R1B1R1K1 b - -,e4f2
rn1br1k1/q2b1pp1/pp2pn1p/3pN3/PP1P1B2/1QRNPP1P/6P1/1BR3K1 b - -,a6a5
6q1/pQ4pk/P6p/8/3P3P/4P1P1/5PK1/8 w - -,d4d5
1r1q1r1k/1pp4p/p1n2ppn/3p4/3P4/1QP2N1P/PP1NRPP1/R5K1 b - -,d8d7
2rq1rk1/p2bpp1p/3p2pQ/1p2n3/3NP3/1PN2P2/P1P3PP/1K1R3R w - -,c3e2
rnbq1rk1/pp3ppp/3bpn2/2pp4/3P4/3BP1B1/PPPN1PPP/R2QK1NR w KQ c6,c2c3
r7/4kp2/5R2/5p2/7P/8/5PPK/8 w - -,f6f5
2r2rk1/1p2bppp/1qn1p3/p2pP3/P2P4/2Bb3P/1PN1QPP1/R2R2K1 w - -,e2d3
5r2/1bk2p2/p5pP/Pp1p1pP1/1P1P4/5P2/3K1N2/4R3 w - -,e1e7
8/1R5p/6p1/6k1/P1n1N3/P2r4/8/7K b - -,g5f4
r1b1k2r/3n1ppp/pq2p3/3pP3/Q2N4/8/PP3PPP/R1B2RK1 w kq -,b2b3
r1bq1rk1/p2pp1bp/2p1nppB/4P3/2P4Q/5N2/PP3PPP/RN2R1K1 w - -,h6g7
2r3k1/3b1p2/q2p2p1/p2P1PP1/PpP1P1Qp/2b1B2P/8/2R2BK1 b - -,c8e8
rnb2rk1/pp2ppbp/1q3np1/2pp4/3P1B2/2P1PN1P/PP2BPP1/RN1QK2R w KQ -,d1b3
5rr1/p6k/1pp1q1pn/2p1p3/4P2P/3PN1R1/PPP1Q3/1K4R1 b - -,f8f4
8/3bk1pp/8/1pp2p2/5P2/5P2/BP1RP1KP/1r6 b - -,b1a1
8/5pk1/3R4/3P1p1p/5P1P/3r2P1/5K2/8 w - -,d6d8
r5k1/6p1/b1RNpp1p/8/1P1PP3/p4P1P/6P1/6K1 w - -,c6c3
r1bqk2r/pp1n1ppp/2pb1n2/3pp3/2PP4/1PN1PN2/P1Q2PPP/R1B1KB1R w KQkq -,c4d5
6k1/p5pp/6q1/1pp5/2nrP2Q/P1K2P2/7P/R4R2 b - -,g6b6
2bqrrk1/2p4p/pb1p1pp1/1p1P1PP1/1P3P2/P2Q3P/BB2N2K/3R1R2 b - -,e8e3
5rk1/2p5/bpPp4/3Pn1Pp/2PKP3/4N3/8/2B2R2 b - -,f8f1
r3r1k1/1bq1bppp/pp1ppn2/2n5/2PNPPP1/2N5/PP3BBP/2RQR1K1 b - -,g7g6
r2q2kr/3p1pp1/p1b1p1p1/1p2P3/5Q2/2NB4/PPP4P/2KR2R1 w - -,d1f1
r7/1pk1pp1p/3p2p1/r1nPP3/1p1K1P2/1P3B2/P1RR2PP/8 b - -,c7b6
6k1/7p/4p1p1/3p4/n1r1P3/PNp2KPP/P1R2P2/8 w - -,e4d5
r1bn1q1k/p3b2p/4pp2/1BNp4/1p1P1Q2/5N2/PPP3PP/2Kn1R2 w - -,c1d1
2rr4/p2n1k1p/1p2p1p1/4P3/1B1b1P2/1B6/P3KP1P/1R4R1 b - -,d4c5
4r1k1/p2q1ppp/4rn2/1p3N2/2nPP3/P2Q4/4R1PP/2B2RK1 w - -,f1e1
rn2k2r/pp3ppp/4pn2/3q3b/1b1P4/2N2N1P/PP2BPP1/R1BQ1RK1 b kq -,d5a5
r5k1/3bppb1/3p1npp/2pP4/2P4P/q1B3P1/PRQNPPB1/6K1 b - -,d7f5
r3k2r/1p3p2/3p2pb/pP1Pp2p/P5P1/2qB3P/2P1QP2/1R3K1R b kq g3,h5h4
1r1q1rk1/5pp1/p2p3p/2pPpR2/1p2P3/1P1PP2P/P1R3P1/4Q1K1 b - -,d8b6
r1b2rk1/1pp1bppp/p1nqpn2/8/P1B5/2N2N2/2PPQPPP/1RB1R1K1 w - -,c1b2
2r3k1/p2q1bp1/1r1p3p/3p1p1P/2nPnN2/3BPNP1/5PK1/1R2Q2R b - -,c8b8
1Q6/8/5q1k/5p1p/4p1p1/4P1P1/5PK1/8 b - -,h6g6
rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq e6,g1f3:f2f4:f1c4
4q1k1/2p2p1p/p2p2p1/2nP4/1PRQr3/4B2P/2P2PP1/6K1 w - -,d4c3
4r1k1/1p3pp1/p3q2p/bPR5/P2B1PP1/4nQ1P/4N2K/8 w - -,c5e5
4r1k1/p4p1p/1pqp2p1/4b3/2r1P3/4QNPP/PP1RRPK1/8 w - -,b2b3
1r3rk1/p1q1pp1p/1np1b1p1/2Q5/N7/1B3PP1/PPP4P/2KR3R b - -,b6a4
r4rk1/2qn1ppp/p2p1b2/1p1P4/5B2/2PB4/PP1Q2PP/4RR1K b - -,f6e5
r2qk1nr/ppp2pp1/2npb3/2b1p2p/2P4P/5NP1/PP1PPPB1/RNBQ1RK1 w kq -,d2d3
2r2b1r/5p2/p3p1k1/1p1qPp1p/2pP1R1P/P1B3P1/1P2QP1K/2R5 w - -,g3g4
1k1rr3/ppq4p/5p2/1P2p3/n1Qb4/2P5/P2N2PP/3R1R1K w - -,c4c7
rnbq1rk1/pp2ppbp/5np1/3p4/2PP4/1P1B1N2/PB1N1PPP/R2QK2R b KQ -,b8c6
r1bqr1k1/p1b2p1p/2p1nnp1/1p2p3/3pP2N/PP1P2P1/1BPN1PBP/R2Q1RK1 b - -,a8b8
5rk1/p3N1bp/q2p2p1/2nP1p2/4n3/P3B1P1/4PPBP/3Q1RK1 b - -,g8f7
r3kbnr/2p2pp1/p1pp1q2/7p/4P3/2pQ3P/PP3PP1/RNB2RK1 w kq -,b1c3
2k5/7p/n1p4K/2PpB3/3P4/8/8/8 b - -,c8d7
2b5/R7/3kpp1p/6pP/3PP1P1/3B1P2/1r2K3/8 w - -,e2e3
8/6k1/p6p/2pP4/4Pp2/P6P/6PK/8 w - -,h2g1
r1bqkb1r/1p2npp1/3p3p/1p1Pp3/Q7/2P1B3/PP3PPP/R3KB1R w KQkq -,f1b5
8/8/6p1/7p/3b3P/3kp1P1/7r/3RBK2 b - -,d3e4
2b3k1/1p2Q1Bp/6p1/8/2P1pPP1/P1P4P/6K1/4q3 b - -,e1e2
8/1kqrbp1r/4b3/3pP2p/1ppN2pP/2P1B1P1/1PPK1Q2/3R1R2 b - -,c7e5
rnbqk2r/pp3ppp/4pn2/3p4/1bPP4/2NB4/PP2NPPP/R1BQK2R b KQkq -,d5c4
rr6/5kpp/p1p2p2/5b2/1P1B4/P3P3/3K1PPP/R1R5 b - -,f5d7
5r1k/5rpp/7b/2NQp3/2P4P/2q3P1/R4P2/4R1K1 w - -,d5f7
3r2k1/2p3pp/1p2b2r/2n1p1q1/p1P1P1P1/P1R2N1P/1PB1QPRK/8 b - -,g5f4
2r2rk1/1pqbbp2/p2pp1p1/6Pn/2nBP3/1PN2N1P/P1P2QB1/3R1RK1 b - -,c4e5
2r1k2r/1R1b1ppp/p3p3/2bpP3/3B1P2/q7/P1PQN1PP/1R4K1 b k -,d7b5
r2r2k1/pbpqbppp/1p2p3/8/3PpP2/1P2P3/PBP1B1PP/R2QK2R w KQ -,e1g1
rn1k1r2/pbp1pP2/1p2Bb1p/6p1/2NP4/2P3B1/PP4PP/4RRK1 b - -,b8d7
8/1p4pk/4N3/1P3q2/p1Q5/4b1P1/6KP/8 w - -,e6c7
4k3/2qp1p2/p3pQp1/3pP2r/3R3P/P1P5/1P3P2/2K5 b - -,c7e5
1r1n1rk1/p1q1n1bp/1pbpp3/5p2/3P1P2/4NNP1/PP3BBP/2RQR1K1 b - -,c7d7
8/6N1/8/5p2/2kpp3/6P1/2K2n2/8 w - -,g7f5
r5k1/5p2/4pn2/1q1p4/N2P4/1PQ1PPp1/3K2P1/7R b - -,a8b8
r1b1kb1r/2qp1ppp/p1n1p2n/1pp1P3/6P1/1P3N1P/PBPPQP2/RN2KB1R w KQkq b6,f1g2
8/4kp1Q/p2pb3/8/7P/1Pr5/P1P3P1/7K w - -,h1h2
r1bqr1k1/2p2pp1/2pp1n1p/p3p3/P3P3/2PP1N2/2P2PPP/1RBQR1K1 b - -,c6c5
rnb1kn1r/ppp1qppp/4p3/1N1pP3/3P4/8/PPP2PPP/R2QKBNR w KQkq -,c2c3
8/6p1/P1R5/r4k1p/2p5/7P/2P1K1P1/8 b - -,g7g5
8/8/3q2P1/5K2/4R3/5k2/8/8 w - -,e4e5
3r1Nk1/1p3pp1/p1pbn3/P3p2p/4P3/4B2P/1PP2PP1/R4RK1 b - -,g8f8
