8/3r1k2/3n4/2K2P2/8/3R4/8/8 b - -,d6e4
3r1rk1/1p2Qp1p/2p1pnp1/p3N2q/P2PP2P/5PP1/1PR3K1/2R5 b - -,g8g7
r1b1r1k1/ppq2pbp/2p1n1p1/4p3/2P1P1n1/1PNP1N2/PBQ1B1PP/3R1RK1 w - -,b2c1
r3kbnr/1p3ppp/pqn1p3/3pP3/3P2b1/2N1BN2/PP1Q1PPP/R3KB1R b KQkq -,g4f3
5rk1/3bppbp/3p2p1/2pP4/1pP1PPP1/3QB2P/1q3N2/4R1K1 b - g3,f8a8
6n1/pqr3kp/3R1pp1/3r4/3Q2P1/1P1N3P/P3PPbK/3R4 w - -,d6d5
8/R5p1/4k2p/4p3/P7/5PKP/r5P1/8 b - -,e6f6
r1bq1rk1/ppp2ppp/2B2n2/2bpN3/4P3/2PP4/PP3PPP/RNBQK2R b KQ -,b7c6
8/3R4/p4Bp1/1P4P1/3Pnk2/7r/1P6/2K5 b - -,a6b5
r3kb1r/ppq2p1p/2n1p1p1/8/4Q2P/2P2P2/P2PBP2/1RB1K1R1 b kq h3,f8e7
8/1k3p1r/1pn1pBp1/p2pP2p/4rP1P/1PQ3P1/6K1/8 w - -,c3d3
6k1/pp3pp1/7p/3pP3/3Pb2P/PP2R3/3rN1P1/6K1 w - -,g1f2
3rqr1k/1ppb2pp/p1n5/5p2/2Q5/1B2PN2/PP3PPP/2RR2K1 w - -,f3g5
rn3rk1/p4qp1/1pp1p1p1/8/P2P1B2/2Q3P1/5P1P/4RRK1 b - -,f8e8
r1b2r2/1p2q1kp/p2p1pp1/2pPn3/P1P1PQ2/1P5P/5RP1/1B1N1RK1 b - -,b7b5
r3r3/5pk1/1pp1bqpp/p3N3/Pn1P4/4Q3/1P3PPP/1BR1R1K1 w - -,b1e4
6k1/8/4q3/3pr3/3Q1R1P/1B1P2Pb/1PP5/6K1 w - -,f4e4
r5k1/4pp1p/3p2p1/N2Pn3/nP1RP3/2P3PP/2Q3K1/q1B5 w - -,c1d2
8/8/4kp1p/7P/5B2/4K3/3p4/8 w - -,e3d2
1r3n1r/4R3/5B1k/p2P4/2P2p2/P4Pp1/1PB3P1/5K2 b - -,h8g8
6rr/2nb1p2/p2p1k2/2pP1P2/2P1P3/1P3N1P/2B2K2/R6R b - -,d7c8
4r1k1/pp2rp1p/1b1n1p2/3R4/1P6/1N3PP1/P5BP/R6K w - -,g2f1
2rq1rk1/1p1nbppp/p2pbn2/4p3/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R w - -,c1b1
r2n3r/1k6/2b1pPBp/p2pN1qP/2pP2N1/PpP5/1P2Q1P1/5RK1 w - -,f6f7
1r4k1/1b2rp1Q/8/1p2P1p1/3B4/1P1BP1Pq/R4P1P/2R3K1 b - -,h3h7
4r3/p1k3b1/1pn1p1pp/4p3/8/P1PN3P/1P1N1PP1/2K1R3 b - -,e8f8
1r1q1rk1/1p1b2b1/3pR2p/1PpN4/2P2ppP/3P2P1/5PB1/1RBQ2K1 b - -,d7e6
2b5/p1q3k1/1p4pp/1Pp2p2/Q1PpB3/P2P1PP1/7P/6K1 w - f6,e4d5
5R2/1p2k1p1/3p2Bp/p2P4/8/3P2Pb/PP5P/7K b - -,e7f8
R7/8/6p1/P4k1p/8/2r5/6K1/8 b - -,g6g5
3rr1k1/p3qpp1/2p2n2/n1B1b2p/Pp6/6PP/1PQ1NPB1/R2R2K1 b - -,d8d1
r4rk1/ppbn2p1/2p1pqp1/2Pp1pn1/1P1P4/4PN2/PB2BPPP/R2Q1RK1 w - -,f3g5
5r1k/pp1b3p/5pp1/P1qp4/3N1P2/2P1Q3/1P4PP/R5K1 b - -,f8e8
8/R6p/P5k1/4rpp1/8/5K2/5P1P/8 b - -,e5a5
rn6/pp3pbk/3p2pp/3N4/q1Pr2P1/7Q/3B3P/2RK3R w - -,c1c2
r2qr1k1/1pp1bbpp/p1p1np2/4p3/P3P1P1/1P1PNN1P/1BP2P2/R2Q1RK1 w - -,e3g2
5k2/4bp2/6p1/2p1P3/p3BP2/1r4P1/1PR1K2P/8 b - -,a4a3
1r4k1/pbq2pp1/1p2p2p/3nN3/3P3P/5QPB/PP3P2/4R1K1 b - -,b8e8
6k1/3R3p/6p1/5p2/4p2P/4N1P1/2r2PK1/8 b - -,c2a2
3r2k1/5p2/1p2p1p1/pP2P3/3P4/2P3P1/1P6/3R2K1 b - -,g8f8
rnbqk1nr/pp2ppbp/3p2p1/8/2P1P3/2NB3P/PP3PP1/R1BQK1NR b KQkq -,b8a6
r5k1/1p1b1p1p/3r1p2/5p2/2P1P3/1P6/4B1PP/3R2K1 w - -,d1d6
1r6/3R1pp1/4p1k1/3pP2p/1r6/5P1K/6P1/2R5 b - -,b8b7
r3n1k1/2r3pp/1pP1qp2/pP2p3/P2pPP2/3Q3P/2RB2P1/4R1K1 b - f3,e8d6
r2q2k1/1p6/pr4p1/5n1p/8/2N5/PP2QPPP/R3R1K1 w - h6,a1d1
3r2k1/p4pp1/1p1rp2p/1P1n4/P1Rp4/1R2PB1P/5PP1/6K1 w - -,c4d4
8/5pp1/6k1/Rp5p/p1bB3P/2P3K1/2r2PP1/8 w - -,g3f4
8/7p/p5p1/1p1k1p2/1Pr2B1P/P2K1P2/6P1/8 w - -,f4g5
5rk1/1q1nbppp/rp2pn2/pN1p4/3P4/P2QPN2/1P1B1PPP/2R1K2R w K -,e1g1
2r3k1/p4pp1/bpn2n1p/8/8/PPN3P1/1B3PBP/3R2K1 w - -,c3e4
4r2k/1B4pp/3p1pq1/QP6/P7/4P1PP/2r2P2/R5K1 w - -,a5e1
b1r2r1k/2q3pp/p2b4/1p2pP2/3p1n2/P2B1P1Q/NPPN2PP/1R1R3K w - -,h3g4
1kq4r/pp6/4Q3/4P3/PP1PpRp1/2P4r/4N1KP/8 w - -,f4g4
r3rn2/1b3pkp/ppq1n1p1/2p5/P1B5/2P2NB1/1P3PPP/R2QR1K1 w - -,d1d6
8/3P4/1K6/2P5/4p3/1Q6/p2q1k2/8 w - -,b3a2
rn1qkb1r/pbpp1p1p/1p2pnp1/8/3P1B2/3BPN2/PPP2PPP/RN1Q1RK1 b kq -,f8g7
1r1q1rk1/1b1nbppp/p3pn2/1pp1N3/3P4/2NBP2Q/PP3PPP/R1BR2K1 b - -,b5b4
r4r2/ppq2n1k/1b2pP1p/6PQ/1P6/P2R2P1/1B2RP2/6K1 b - -,f7g5
r5k1/4qppp/2p5/1pPp4/r7/4P1P1/1Q3PP1/R1R3K1 b - -,h7h6
r2qr1k1/pppnbppp/3pb3/8/4PBP1/2N2P2/PPPQ3P/1K1R1B1R w - -,c3d5
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 w - -,e2e3
8/2RR1pk1/4p1p1/1P1p4/3b1P2/4n1P1/4r2P/2K5 w - -,d7f7
2kr3r/p7/1p1pp3/4q1p1/2P5/P2Q3P/P4PP1/2R2RK1 w - -,f1e1
r1b1r1k1/1pp1bp2/p2q1n1p/3PR3/7B/2NB3p/PPP1QPP1/R5K1 w - -,h4g3
1k1r2r1/p7/1qpNbb2/2p1pN1p/Q7/2P3P1/PP5P/1K1R3R b - -,d8d7
4k3/Q7/p7/8/p7/2P2q2/1P6/1K6 w - -,a7d4
