R7/2k2p2/p7/1p1b4/6Pp/2P4P/P7/6K1 w - -,a8a6
8/5p2/2k3p1/p1r5/P4PK1/8/8/1B6 w - -,b1a2
r1b2rk1/1p2qp1p/1np1p1p1/p5N1/PbpP1B2/6P1/1PQ1PPBP/R2R2K1 b - -,b4d6
r2q1rk1/4ppbp/pnnpb1p1/1pp5/4P3/P1NP1N1P/BPPB1PP1/1RQ2RK1 w - -,a2e6
8/2K3k1/1PR3p1/5p1p/4p2P/6P1/1r6/8 b - -,g6g5
3q1r1k/ppr3pp/2p1p3/3pPp1b/1PPP1P2/P2B3P/3Q2P1/2R2RK1 b - -,c7d7
rn1qk2r/ppp2ppp/3B1n2/3p4/3P2b1/5N2/PPP1BPPP/RN1QK2R b KQkq -,d8d6
r3r1k1/pp3bpp/1nnqp3/3pN3/3P1Q2/1P6/PB3PPP/1BR1R1K1 b - -,c6e5
r1nqkb1r/pp1n1ppp/2p5/3pPp2/3P4/8/PPP1BPPP/RNBQ1RK1 w kq -,e2d3
4r2k/p5bp/1p4p1/4p3/2P1P1q1/1PN3P1/P3N2K/3R2B1 w - -,h2g2
2brr1k1/1p3ppp/p1p2nn1/P3p3/3PP3/R1PBBP2/4NKPP/3R4 b - -,f6d7
4q1k1/7p/2Np1ppB/3P1b2/P6Q/5P1P/1b2r1P1/5R1K b - -,g6g5
r1bq1rk1/pp2ppbp/2np1np1/8/3NPP2/2N3PP/PPP3B1/R1BQ1RK1 w - -,d4e2
2r1r1k1/p4p2/1b1p2pp/2nPq3/8/Q1N1P1NP/5PP1/R4RK1 w - -,a1d1
6k1/1p3p1p/1R4p1/r7/8/6NP/5PK1/8 w - -,b6b7
r1b2r2/p3p1k1/2p2pp1/2p1q1P1/1p2P2P/1P1PNR2/P1P2Q2/1K3R2 b - -,c8e6
3r2k1/5p2/bqp2np1/p1b5/Q3PP2/5NP1/1P2N1K1/3R1B2 b - -,d8d1
2kr1b1r/1pqb1pp1/p1npp2p/8/4PP2/1NN2B2/PPPQ2PP/2KRR3 b - -,c8b8
2r2rk1/1pqn1pp1/p1n1p2p/3pPb2/3B4/2P1QN2/PP2BPPP/2R1R1K1 b - -,c6a5
rnbqkbnr/pp1ppp1p/6p1/2p5/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq c3,f8g7:b8c6
r1bq1rk1/pp2bppp/2np1n2/2p1p3/2B1P3/1PN2N2/PBPP1PPP/R2QR1K1 b - -,a8b8
3r2k1/1RR2ppp/1p2p3/p7/3N4/1B2P1P1/Pq3PP1/6K1 w - -,c7f7
r1bqk2r/pp2bpp1/1np5/2N5/3P4/1Q4P1/PP2NPB1/R4RK1 b kq -,d8d6
r4rk1/1p1bq1bp/p1nppnp1/2p3N1/2P1PP2/2NBB3/PP4PP/R2Q1RK1 w - -,d1f3
r1bq1rk1/ppp2ppp/n4b2/8/3NB3/2P1B3/PP3PPP/R2Q1RK1 b - -,g7g6
3r3k/p1q3p1/P3Qp1p/nR2p3/8/2P1B1P1/4PPKP/8 b - -,d8d6
2b2r2/p1p3kp/2p5/5pP1/2P5/1P1N2P1/P3r2P/2RR2K1 w - -,d3f4
r1b2r2/pp2npkp/1q1p2p1/4p3/2pnPP2/2NP2PN/PPPQ2BP/1R3RK1 w - -,g1h1
r1b1k2r/1pq1bppp/p1nppn2/8/2BNP1P1/2N1B3/PPP1QP1P/2KR3R b kq g3,c6d4
r5k1/pp1q1p2/2p1rBnp/6p1/3PP1P1/5QP1/PP5N/2R2RK1 w - -,f3f5
r2q1rk1/1ppnbpp1/2n1b2p/p3p3/N7/P2P1NP1/1P1BPPBP/2RQ1RK1 w - -,d2e3
r1k4r/p1pbbppp/1pp5/4Pn2/8/1PN2N2/PBP2PPP/R2R2K1 w - -,c3e4
r4rk1/3nn1pp/p4q2/1p1p4/P1pPP3/2P1BPN1/2Q4P/R4RK1 w - -,c2b2
8/R5b1/6k1/P1p3P1/2P2p2/3PP3/8/6K1 w - -,e3f4
2r3k1/1p4r1/p2p1q1p/P1nP1pp1/1RP1pP2/1N2Q1P1/2P3KP/5R2 b - -,f6b2
8/3q2pk/7p/Q2P4/p4P2/2P4N/6PK/8 b - -,g7g5
r1b1k2r/2qp1ppp/p1pbp1n1/8/4P3/2NBB2P/PPP2PP1/R2Q1RK1 w kq -,c3e2
8/1pR3pk/7p/p6P/P5P1/6K1/1r3P2/8 b - -,b7b6
3b3k/ppq3p1/4p2p/4Pp2/3N1P2/2P2bP1/P3Q1KP/8 w - -,e2f3
q1r3k1/3npp1p/rn1p2p1/2pP4/P3PB2/1PR2NPP/2Q2PK1/3R4 w - -,f3d2
r2qk2r/pp1bb1pp/2n1p3/3p1p1n/3P4/P1NBPNB1/1PQ2PPP/R3K2R w KQkq -,g3e5
8/1p3k2/2b2r1p/1p6/2p5/P5P1/1P1R2BP/6K1 w - -,g2h3
3q1rk1/2p2pbp/prpp2p1/8/3NPBb1/2P4P/PP1Q1PP1/R3R1K1 b - -,g4d7
1b2k3/1P4B1/6p1/3n1p2/8/3N2P1/6KP/8 b - -,e8d7
