8/p5p1/pr2k2p/R2p3P/5PP1/P3K3/8/8 b - -,b6c6
r4rk1/1pqb2pp/p1n1pp2/3pP3/3N1P2/P2PB3/1P1Q2PP/2R2RK1 w - -,e5f6
3r2k1/5p2/4pn2/p3r1pp/2R5/5B1P/PPP3P1/5RK1 b - -,g8g7
8/5kpp/1r2p3/2B2p2/3n4/3P2P1/5P1P/4R1K1 b - -,d4f3
3rr1k1/4ppb1/p1q2n2/Rp2BPNp/3p2pP/1P6/1PPQ1PP1/4R1K1 w - b6,d2d3
3r1r1k/1ppqb1pn/2n3bp/p2Bpp2/2Pp4/PP1P1NPP/1BQ1PP1K/R3NR2 b - -,e7f6
6k1/5pp1/2N3p1/r7/8/1Pn5/P5PP/6K1 w - -,c6a5
2R5/8/8/4p3/8/1p2K3/1k6/8 w - -,e3d2
r3k2r/1bq1bp2/pp1p1np1/2n1p3/2N1PP1p/3B2P1/PPPNQ2P/1K1R1RB1 w kq -,g1c5
rn3rk1/p4ppp/1qp1bn2/8/Q7/P3P3/1P1N1PPP/R1B1KB1R b KQ -,e6d5
8/pr3kp1/1pR4p/3pPp2/3K4/8/PP4PP/8 b - -,f7e7
r7/p1p4p/N4nk1/3P1p1n/B2P2p1/5Pb1/1PPB4/4R1K1 w - -,f3g4
3r1rk1/p2q1pbp/1pQ3p1/3NP3/5Pn1/3bB1P1/PP4BP/R3R1K1 w - -,a1d1
rr2q1k1/2pnbp1n/bp1p2p1/p2Pp2p/1PP1P3/P1N1BNPP/2R2P2/1Q2RBK1 w - -,c2b2
r1b2rk1/1p2qp2/p3pp1p/2n5/2N5/6P1/PP2PPBP/R2Q1RK1 w - -,c4b6
2rq1rk1/p3bp2/bp2p2p/2n3p1/Q1PBP1n1/2N3P1/P2N1PBP/R2R2K1 w - -,d4c5
2R2n1r/p2r1kp1/1p2p1pp/3pP3/1P1B3P/5N2/3N1PP1/5K2 b - -,h8g8
rq3rk1/3bpp2/3p1npQ/7p/p2NP2P/1PN2P2/PP4P1/2KR3R w - -,b3a4
r1bq1rk1/pppn1ppp/3p1b2/8/8/2P1BN1P/PPPQ1PP1/2KR1B1R b - -,b7b6
r2qk1nr/p4ppp/2pbp3/2pp3b/2P1P3/3P1N1P/PP1N1PP1/R1BQ1RK1 w kq -,d1a4
4r1k1/p3qpp1/7p/2p1P3/2P1R3/5Q2/r5PP/5R1K b - -,e7e6
r5k1/p2p2p1/4pq2/5r1p/1P1PR3/P3QPK1/1B6/2R5 w - -,c1c2
3r1rk1/p2pb1pp/1pq1p3/7n/2P2p2/2NQ1PP1/PP2PBKP/R2R4 w - -,a1c1
r1bqr1k1/1p1n1pb1/p2p1npp/2pP4/P3P2B/2N5/1PQNBPPP/R3K2R b KQ -,g6g5
3k4/8/B2r4/4p2P/5p2/PR3Pn1/2r3P1/4K1R1 w - -,a6d3
r2q1rk1/pp3pb1/1n1p2p1/2nPpb1p/2P5/1P4PP/PB2NPB1/RN1Q1RK1 w - h6,b1d2
q2rn1k1/1b1r1ppp/ppn1p3/2p3P1/2P2P2/2BPPN2/P2RQ1BP/3R2K1 b - -,b6b5
r3kb1r/ppqn1p1p/2n1p1p1/2p1P3/5P2/2PB1Q1P/PP4P1/RNB2RK1 w kq -,b1d2
2r5/4k3/5p2/1p1P4/3KP1p1/2P3Pb/1N6/7R w - -,h1a1
r1bq1rk1/p1p1npbp/2p3p1/3pP3/3P4/5N1P/PP3PP1/RNBQ1RK1 b - -,f7f6
4B1k1/3p2p1/2bPp3/pp3r2/2pP4/P1K1RP2/1P6/8 w - -,e8g6
R7/8/8/1r6/pkp5/8/1K6/8 w - -,a8c8
1r5k/7p/p1p2np1/2P5/2B1pN2/P6R/1r3P2/5K2 b - -,g6g5
4b3/5pk1/2N3pp/8/4B3/2b3PP/P4PK1/8 b - -,f7f5
6k1/5pp1/7p/2nN4/3rp3/6PK/P3R1P1/8 w - -,d5e3
1rbq1rk1/pp3pp1/5n1p/3p4/3PpN2/1QP3P1/P3PPBP/R4RK1 w - -,e2e3
1r3bk1/5p2/pPp1p1pp/P2pP3/n1r2P2/B5P1/7P/R4R1K b - -,f8a3
2Nb1k2/3r1P1p/p5p1/2n5/3p4/3P2BP/P5P1/5R1K w - -,g3d6
1k2q3/ppp5/2brp2Q/5p1p/P2Pp1pP/1PR3P1/1K2PP2/4R3 w - -,h6g7
4Rrk1/3P1p1p/6p1/2Q1Kn2/1pP5/1P4q1/4B3/8 w - -,e5d5
r1bqkbnr/pp3ppp/2n1p3/2pP4/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq -,d8d5:e6d5
rnb1k2r/1pqp1ppp/p2bpn2/8/2PNP3/2NQ4/PP1B1PPP/R3KB1R b KQkq -,d6e7
2n5/8/k3b3/1p3p2/pP1B2p1/3P4/2P3BP/6K1 w - -,g1f2
3rkb1r/pp2pp1p/q4np1/2pPn3/2P5/1PN2B1P/P4PP1/R1BQ1RK1 w k -,c3b5
rnbqk2r/4bppp/p2ppn2/1p6/3NP3/1BN5/PPP1QPPP/R1B1K2R w KQkq -,a2a3
3r4/pp3k1r/4bn2/2p1npp1/2P5/PPB2PP1/2K1N1BP/R6R b - -,e5g6
8/8/2P2k2/3Bb3/5pp1/1R2K3/7r/8 w - -,e3e4
8/pb4k1/3Rp3/2p1n1r1/1p2P2p/1P2R2B/P1P1Nr2/7K b - -,e5f3
rnb2rk1/pp2p1bp/2pp1np1/q4p2/2PP4/1PN2NP1/P3PPBP/1RBQ1RK1 b - -,e7e5
1r3rk1/R5b1/4p3/3b2p1/1pN2P2/1P2B1pP/2P1R2K/8 w - -,h2g3
r1bq1rk1/4bppp/p1ppp1n1/8/N3PP2/4B2P/PPP1B1P1/R2Q1RK1 b - -,a8b8
rnbqkb1r/1p3ppp/p3pn2/8/P1pp4/2N1PNP1/1P3P1P/R1BQKB1R w KQkq -,d1d4
2rqkb1r/1b1p1ppp/p3p3/1p2P3/3QNPn1/4B3/PPP3PP/1K1R1B1R b k -,b7d5
rnbq1rk1/1p2ppbp/2p2np1/8/3PP3/P1N2N1P/P1Q2PP1/R1B1KB1R b KQ -,d8a5
8/5nk1/p2q2n1/P1pP1Bp1/2P1P2p/7P/4Q1P1/6K1 w - -,e2h5
7k/1r3rp1/R6p/2pPpP1q/1pP5/1P4QN/P5K1/8 b - -,h5f5
rn3rk1/1bq1bppp/p2ppn2/1p6/3NPPP1/P1N1BB2/1PPQ3P/R3K2R b KQ -,b8c6
r1bq1rk1/p3ppbp/1p1p1np1/nP6/3PP3/P2B1N2/3N1PPP/R1BQK2R b KQ -,e7e5
4n3/r4p2/3p3R/q3pN1R/1p2PkP1/1br2P2/P7/1KN5 w - -,c1e2
r2qkbnr/pp1npppp/3p4/2p5/4P3/1P3N2/P1PP1PPP/RNBQK2R b KQkq -,g8f6
3r2k1/4npb1/pq1rp1pp/1p2N3/3PQPP1/P2R4/BP4KP/3R4 b - -,d8c8
r2q1rk1/pb1nbp1p/4p1p1/1pPnP3/8/3QNN2/PPB2PPP/R1B2RK1 b - -,d7c5
rq3rk1/1b1n1pbp/pp2pnp1/3pN3/2Pp4/1PNBP3/PB2QPPP/2RR2K1 w - -,e3d4
r4n2/5P1k/p3p1p1/P2n3p/1p2R3/8/1PP3PP/5R1K w - -,c2c4
1K6/8/P7/8/1P2q3/8/6k1/8 b - -,e4b4
6k1/1b1q2pp/pp2pp2/2b5/P2rP3/2N3BP/1PQ2PPK/2R5 w - -,a4a5
br4k1/3nrp1p/3N2p1/1p2Q3/1P2p3/6P1/P3PPBP/2RR2K1 b - -,d7e5
3nr3/1pp1qrk1/p4n1p/2p3p1/Q6P/2P1P1B1/P3NPP1/1R3RK1 w - -,f1d1
rnbqkbnr/1p3ppp/p2pp3/8/2PpP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f3d4
8/5kpp/1R2p3/p1p5/P1r5/7P/2P2PPK/8 w - -,b6b5
r1bqkb1r/ppp2ppp/2n2n2/4p3/2Pp4/3P1NP1/PP2PPBP/RNBQ1RK1 b kq -,f8e7:f6d7:f8d6:a7a5
rnbqkb1r/1p3ppp/p3pn2/2p1N3/8/1P6/PBPP1PPP/RN1QKB1R w KQkq -,f1e2
8/1p5r/p4k2/3B1P2/6p1/8/P3n1KP/5R2 b - -,h7d7
1rb2rk1/p3pp1p/2p3p1/2Nn4/8/1P3P2/P1P3PP/2KR1B1R b - -,d5c3
r2q1rk1/1p1b1pbp/n1pp1np1/p2Pp3/2P1P1P1/2NBBN1P/PP2QP2/R3K2R b KQ -,a5a4
1r2r1k1/1pqbbppp/p2ppn2/8/Pn1NPP2/2N1B1Q1/1PP1B1PP/2R2RK1 b - -,d6d5
r1b1k2r/ppq1bppp/2pp1n2/2n1P3/8/1PN1P1P1/PBPPQ1BP/R3K1NR b KQkq -,d6e5
3k4/4b3/2b5/4B1p1/4p3/4P1P1/4NK2/8 b - -,d8c8
2bqnnk1/1pr3pp/3p1p2/p1pP1P2/P1P3PP/1P4QB/1BN5/4R1K1 w - -,c2e3
3b4/p3rpk1/6p1/8/2B5/1P2P1P1/5PK1/7R w - -,h1d1
2b1r1k1/p1r2pp1/5n1p/2p1R3/N1Pp4/1P1B2PP/P5P1/R5K1 w - -,e5c5
8/6p1/1k3b2/1pR5/1P1p3P/3B1KP1/r4P2/8 b - -,a2a3
8/p1kb1p2/3p2pp/3P4/3N4/2bBK3/P4PPP/8 b - -,c7b6
8/pp1nkp1p/2p3p1/8/2P1P3/3N1nP1/P1P1R2P/2K5 b - -,f3e5
1rbq1rk1/p2np2p/2p2bp1/3p4/5P2/2N1B3/PPPQB1PP/1R2K2R w K -,e1g1
2rr2k1/p3ppbp/2pn2p1/qbP5/1p6/1P2PNPP/PB3PB1/1QR1R1K1 b - -,g7b2
8/4k3/p1R4p/p3r1p1/P4p2/4pB2/6PP/3K4 b - -,h6h5
2k2r2/pp1n4/2pbp2Q/3q3P/3P4/6r1/PPPB4/1K1R2R1 w - -,g1e1
2q2rk1/4bpp1/4p1p1/1pP5/1Pp1P3/1r3PB1/6PP/Q1RR2K1 w - -,a1a7
2r1k2r/1bqn1p1p/3p1b2/p3p3/1pn1P3/1NP2PQ1/PP2N1PP/1KR2BBR b k -,a5a4
r4rk1/pp3pp1/2p1pnp1/3n4/2BP1q2/2P2QN1/PP3PPP/R3R1K1 w - -,f3f4
8/1p1r3p/pR1p2p1/3Pkp2/P1P1n3/1PrB4/6PP/4R1K1 w - -,d3e4
