8/8/r5k1/8/1R4PP/6K1/8/8 w - -,b4d4
4r3/1p6/p5k1/1b2r1p1/3Np1P1/2P1R2P/PP3R2/6K1 w - -,a2a3
5rk1/1b5p/1qrnp1p1/1p2Q3/4P3/1P4P1/P4PBP/3RR1K1 w - -,e1e2
r5k1/5pb1/4np2/4p3/p1r1P1QN/6P1/1PB2P1P/5K2 w - -,c2d3
r2qr1k1/3n1pbp/p2p2p1/1ppP4/2P5/2B2N1P/PPQ2PP1/4RRK1 w - b6,e1e8
r1b1kb1r/pp2nppp/3q4/3pN1B1/Q1B5/2P5/PP4PP/R3K2R b KQkq -,c8d7
8/7p/5nk1/5q2/1pR5/1K2Q3/8/8 w - -,e3g3
r4rk1/p1p1ppbp/1npq2p1/6B1/3PP3/5P2/PPQ1NP1P/3R1RK1 b - -,e7e5
3r1k2/1r4p1/5b2/3nB2K/5p2/P2B4/5P1P/4R1N1 b - -,f6e5
5k2/1p1r4/p2p1p2/P1pPbnp1/2B1N2n/1R6/1P3P2/4RK2 w - -,b3b6
5k2/8/6P1/6KP/8/1b6/1p6/1B6 w - -,g5f6
3rk2r/1b2nppp/p1nqp3/8/1pP1BP2/4BN2/PP4PP/2RQ1RK1 b k -,d6c7
rn3rk1/pbp2ppp/1p1qpn2/8/2PP4/2NB1N2/PP1Q1PPP/3RK2R w K -,d3e2
8/8/2b2kp1/1p3p2/1PpN3p/2P5/7P/4K3 b - -,c6d7
3r4/1Bb2p1p/2P1k1p1/p1K1p3/P7/2P5/1R5P/8 w - -,c3c4
r2q3k/ppp4p/3p1p1B/2b1p3/4P1b1/5N2/PnP2PPP/R2Q1RK1 w - -,d1d5
8/3B4/5p1n/7P/5P2/3k1K2/8/8 w - -,f4f5
r2r2k1/p1q1pp1p/2p3pb/2N5/4B3/6Pb/PPQ1PP1P/R2R2K1 w - -,b2b3
r1r1b2q/1Q3p1k/3pp1p1/1P5p/n1P1P3/4NP2/3RB1PP/1R5K b - -,h8c3
8/2r5/1p6/p2kp2p/2n5/2P3PP/4KB2/R7 b - -,b6b5
2R5/8/8/P7/1p3pP1/3k1K2/r4P2/8 w - -,c8b8
2r2rk1/pp3pbp/4b1p1/n2p4/Pq6/1P2B1PP/R1P1NPB1/3Q1RK1 w - -,e2f4
r1b1r1k1/pp2qppp/3b1n2/3pn3/3N4/1P4P1/PBQNPPBP/R4RK1 b - -,e5g4
2rrb1k1/1p3ppp/p2pp3/6P1/3bPP1P/2NR4/PPP5/1K2R3 w - -,d3d4
1rbq1rk1/2n2pbp/pp4p1/2pPp2n/P1P1P3/2N1BNPP/1P2B2K/R2Q1R2 b - -,d8d6
1r1q1r2/1b2npbk/1pn1p1pp/3p4/NBP5/3PPNP1/5PBP/1R1Q1RK1 b - -,c6b4
1Q6/8/2P1kpp1/8/2q5/5r2/5BK1/8 b - -,c4c6
r5k1/pb2Qqpp/8/8/4pB2/4P3/P4PPP/5RK1 w - -,e7a3
2kq2r1/1p3p2/p3bb2/2pp1p1P/3P1B2/4QB1P/PPP5/1K4R1 w - c6,g1g8
6k1/3R1p2/6r1/7p/4P2P/4P1Q1/1P4PK/2q5 w - -,g3b8
2r5/5k2/2p3p1/p2b1pP1/Pp3N2/1P3PK1/2P5/3R4 w - -,d1d2
2b5/2k2r2/p1p2p1R/1p2p3/4P3/3N1P2/PPPK4/8 b - -,a6a5
8/8/1p6/p1p1bBk1/P1P3p1/3P3r/R3NP2/6K1 b - -,g5f5
r1b1qrk1/p7/1p1p2pp/1PpP1p1n/2P1pPnP/2Q3PN/PB2P1BK/3R1R2 w - -,h2g1
8/4k3/7R/8/8/P1r5/5RKP/2r5 b - -,c3a3
r3k1r1/ppp1b1P1/2n3p1/6N1/2pppP2/8/PPP4P/R1B1R1K1 w q -,e1e4
rnbqkb1r/1p2pppp/p4n2/3P4/8/5N2/PP1P1PPP/RNBQKB1R w KQkq -,b1c3
2r5/2P5/3Bp1kp/3nPpp1/p2R4/5KPP/8/8 b - -,a4a3
r4rk1/p4pbp/bqp3p1/4p3/8/1BP3RP/PP4P1/R1B1Q2K b - -,e5e4
rn1q1rk1/pp2bppb/2p1pn1p/3p4/4P3/3P1NP1/PPPNQPBP/R1B2RK1 w - -,f3e5:a2a4:f3e1:b2b3:e4e5:f1e1
8/8/6Rp/1k6/2r5/5P2/3K4/8 b - -,c4h4
r4rk1/pb2ppbp/1pn3p1/2p5/N1P1nB2/1P3NP1/1P2PPBP/R4RK1 w - -,f3d2
3r4/5pp1/Bkn1p3/4P3/P7/3P4/1P1B2KP/R7 w - -,a6b5
r2qr1k1/7p/2p3p1/p1Bp1p2/4bb2/Q1P2P1P/PP4P1/R3RN1K b - -,e4d3
r1b1kb1r/ppp1pp1p/6p1/2n5/4PB2/2P5/PP1N1PPP/R2K1B1R b kq -,c8d7
8/2R5/1K1k4/p1p5/2P5/1P2q3/8/8 w - -,c7c6
r4rk1/1p3ppn/p2p4/3QpP2/2P4q/3B4/PP3P1P/R5RK b - -,h7f6
5r2/4R3/8/5k2/2P2p1P/2K5/8/8 w - -,c3d3
r4rk1/3pb1pp/bqp1p3/p2nPp2/2P1NP2/P4Q2/1P2B1PP/R1B1K2R w KQ f6,e4f2
1rb3k1/p1p1bp1p/6p1/2prPq2/P1N2P2/1P6/2QB2PP/2R2RK1 w - -,d2a5
1r4k1/5p1p/2p1b1p1/q7/p1PbPP2/PrNB4/1PQ3KP/1R3R2 w - -,f4f5
2r3k1/p4ppp/2Pp4/4p1b1/1P1p4/P5P1/4PPNP/3R2K1 w - -,b4b5
4k1rr/pp5p/3qp3/4QN2/2P3P1/7P/P3P2K/8 w - -,f5d6
1nb2rk1/r1p1ppbp/pp4p1/3NN3/P7/7P/1PP1BPP1/R1B2RK1 b - -,g7e5
r7/5pk1/p2B1np1/1p4N1/2P1p1b1/1R1p2P1/P1B1qPK1/Q7 b - -,g4f3
r2qrbk1/p2b3p/n2PP1p1/2p2p2/2p5/2N2Q2/PP3PBP/R3R1K1 b - -,a8b8
r4k2/2R1p1bp/1P1pPp2/6p1/3B4/5PP1/4P2P/6K1 b - -,f6f5
r1q1rbk1/2pn1pp1/1p2b1np/pP2pN2/4P1P1/2P2P2/P1Q2N1P/R1BR1BK1 w - -,f2d3
8/8/1kqQ4/4p3/3b4/8/1P5P/1K6 w - -,d6b8
8/8/p4pk1/2K5/P1R3P1/5P2/8/3r4 b - -,d1d3
rn1qkbnr/1bpp1ppp/p3p3/8/2BP1B2/4PN2/PP3PPP/RN1QK2R b KQkq -,g8f6
r4r2/1pbnqpkp/pBppn1p1/P3p3/1PN1P3/1QPP1N2/5PPP/R3R1K1 w - -,b6c7
2r5/p1r2pk1/1pP5/5p2/5P2/P7/1PR3P1/4K2R w - -,h1h5
1r1qr1k1/5pbp/p2p1np1/n1pP4/P3P1b1/2B2NP1/R1QN1PBP/5RK1 b - -,g7h6
r7/1pb1qp1k/p3r1p1/3p4/P3NnN1/2P2P2/1PQ2BPP/3R3K w - -,f2c5
r3k3/1p3p2/2p3p1/4p1bp/1Pb1P3/3NBP2/2P1R1PP/4K3 b - -,c4d3
3r4/p6k/5Q1p/8/3p4/1P6/2RB3q/3K4 w - -,f6d8
1rb1k2r/p2qbppp/2n5/1ppnp3/8/2PP1NP1/PPQN1PBP/R1B1K2R b KQk -,e8g8
3b2k1/2qr1p1p/p2p1Bp1/1p1Pp2n/8/P2B3Q/1PP3PP/4RR1K b - -,h5f6
8/1R6/P2b4/6pk/4K3/r2B4/8/8 w - -,e4f5
r1bqk2r/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1N2/PP3PPP/R1BQKB1R w KQkq -,a2a3:f1e2:h2h3:g2g3
r4rk1/ppq2ppp/2n1pn2/8/3P2b1/PQP1BN1P/4BPP1/R4RK1 b - -,g4h5
rn2kbnr/1bq2ppp/p2pp3/1p6/3NP3/2N3P1/PPP2PBP/R1BQR1K1 b kq -,f8e7
2bqR1k1/5pbp/p2p2p1/1p1p4/3P1P2/1P1N1B2/P2Q2PP/6K1 b - -,d8e8
2k3r1/pp3pp1/2p1p2p/3n3P/1qP5/3Q4/PP3P2/1K1R2R1 b - c3,d5f6
1rr1b1k1/pq3pbp/6p1/1p1Np2n/2n1P3/PB3N1P/1PP2QP1/2BRR1K1 w - -,b3c4
8/1p6/p5p1/2pkr3/3p3P/3P2P1/P7/2R3K1 w - -,g1f2
r1b3k1/p2p1rpp/1pnBpp2/2P5/1q6/4P3/1PQ1BPPP/3R1RK1 w - -,e2h5
r1bqr1k1/4bpp1/p2p1n1p/npp1p3/4P3/2PP1NNP/PPB1QPP1/R1B1K2R b KQ -,e7f8
1rb2rk1/pp1p1pbp/n4q2/2pPpp2/2P5/P3PNP1/1PQN1P1P/1R2KB1R b K -,d7d6
r2q1rk1/1b2ppbp/np1p1np1/p1pP4/4PP2/P1NB1N2/1PP1Q1PP/R1B2R1K b - -,a6c7
6R1/8/5k2/5r1p/4p2P/4K1P1/5P2/8 w - -,g8f8
r2qkb1r/pp1nnppp/3Bp3/3pP3/1P6/2PQ1N2/P4PPP/RN3RK1 b kq -,e7c6
2rq2kr/4npp1/pp2p1b1/2BpP1Pp/BPP5/7P/P4P2/R2Q1RK1 w - -,c5e3
8/1R2kp1p/6b1/2P3p1/5r2/3P2KP/4B1P1/8 b - -,e7d8
3NK3/8/5k2/8/8/8/3r4/8 w - -,d8c6
8/4k3/8/3PPKP1/8/8/8/8 b - -,e7f7
3r2k1/Q5pp/4p3/4P3/5p2/Pb5P/5PPK/8 b - -,b3d5
4r3/B1p3pp/2kbr3/1NpR1b2/R1P2p2/1P3P2/P5PP/5K2 w - -,g2g4
r2r1bk1/pp3pp1/4n2p/2pP4/P1N5/2NR4/1P3PPP/5RK1 w - -,d5d6
3r2k1/3bbppp/4p3/3nP3/1p1P4/qNrQ2B1/4NPPP/R4R1K w - -,e2c3
1b2r3/pp4k1/2pq2p1/3p1p1p/3P4/2PB1QP1/PP3P1P/3R1K2 b - -,d6e6
4R3/8/8/6n1/7K/5k2/6r1/8 b - -,g5f7
6k1/1r3pp1/r7/2BPP2p/p3qP2/R6P/3Q2P1/7K w - -,d5d6
r1b1kb1r/pp1n1ppp/2pp1n2/q3p3/P1BPP3/2N1BP2/1PP3PP/R2QK1NR b KQkq -,d6d5
3r2k1/pp1r1pp1/4pn1p/2p5/2PP4/1P3P1P/P2RNP2/3R2K1 w - -,g1f1
r4rk1/p1pbq1pp/4p3/1p1pP3/nPn5/2P1QNN1/P2R1PPP/2K2B1R w - -,f1c4
r1bbqrk1/pp1n2p1/2pp1n1p/P3Pp2/2P5/1PN2NP1/4PPBP/R1BQ1RK1 b - -,d6e5
2rr2k1/1p1n1ppp/p1pbp3/7q/2PPQ3/1P3N1P/PB3PP1/3RR1K1 b - -,d8e8
4R3/8/8/1b6/8/2k5/5r2/3K4 w - -,e8c8
