8/1B6/5kp1/4p2p/Pb3r2/6K1/4R3/8 w - -,b7c6
rnbqkb1r/1p3ppp/p1p1pn2/3p2B1/P1PP4/2N2N2/1P2PPPP/R2QKB1R b KQkq -,b8d7:f8e7:a6a5:h7h6
3r1rk1/1bq2ppp/p2bp3/8/Np4Q1/3B4/PPP2PPP/3RR1K1 b - -,d6h2
2r5/1r3pk1/4p1pp/p3R3/3P2P1/1PP1R2P/P4P2/6K1 b - -,a5a4
r2r1k2/p7/1pnP1Np1/5q1p/3Q4/6P1/P4P1P/1R1R2K1 w - -,d4d5
1n1rnrk1/5pbp/1q1Pp1p1/4B3/RpBP4/1Q6/1P2NPPP/4R1K1 b - -,b8c6
r1b1k2r/p2nqppp/1p2p3/2ppP3/8/2PBP3/PP1N1PPP/R2QK2R w KQkq -,f2f4
5R2/4P1kp/8/6p1/pK4P1/P1n1rP2/8/8 w - -,e7e8q
r4rk1/1q1nbppp/p2ppn2/1p4N1/2P1N3/1P4P1/PB2PPKP/2RQ1R2 w - -,f2f3
3q1rk1/p3npbp/b3p1p1/2p5/1r1pPP2/1P1P1NP1/P4BBP/2RQ1RK1 b - -,d8b6
rnbq1rk1/ppp1bpp1/4pn1p/3p4/3P1B2/3BPN2/PPPN1PPP/R2QK2R b KQ -,b7b6
r1bqr1k1/ppb2pp1/4p2p/5n2/1BNP4/P2Q3P/1P2NPP1/1R1R2K1 b - -,a7a5
2kr1b1r/pbppqppp/1np5/4P3/2P2B2/2N5/PP2QPPP/2KR1B1R b - -,g7g5:e7e6
3r2k1/ppqrbp2/2p4p/2P1p1p1/1PNnPn1P/2N3B1/PQ1R1PP1/3R2K1 w - -,g3f4
rnb2rk1/ppppqppp/4pn2/8/1bPPP3/6P1/PP1B1PBP/RN1QK1NR b KQ e3,d7d5
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,g7g6:b8c6:c8g4:e7e6:g8f6
8/1p6/2bk1p2/p3p2p/P3P1r1/1P1BR1P1/2PK4/8 w - -,e3f3
8/p5k1/8/4q3/1KQn4/7P/PP6/5R2 b - -,e5e7
rqb1k2r/1p3ppp/p1n1p3/3p4/1b3P2/P1nQB3/1PP1N1PP/R3KB1R w KQkq -,a3b4
rnbqk2r/pp3ppp/2pbpn2/3p4/2PP4/5NP1/PP1BPPBP/RN1QK2R w KQkq -,d1c1:e1g1:d1c2:b1c3
r1b2rk1/1pp1q1b1/3p2pp/p1nPpp2/2P1P3/2NN1B2/PPQ2PPP/R4RK1 b - -,c5d7
2r2k2/p4ppB/1p2p3/1q2b3/2N5/1P1Q2P1/P4P1P/6K1 w - -,h7e4
8/p6p/1p2k1p1/2p4n/4BK2/1PP2PP1/P7/8 w - -,f4g4
3r4/pb1q1pk1/1pn3pp/8/P2P4/2N1PBQ1/5PPP/2R3K1 b - -,c6b4
5k2/1p3p2/3p4/2pP2PB/brP5/R5K1/8/8 w - -,a3a2
7k/4p3/p4b1p/1p2p1qP/4B3/2P3P1/PP3P2/3Q2K1 b - -,g5g8
r2q1r1k/1bp1b1pp/p4p2/np1np3/4N3/PB1P1N1P/1PP2PP1/R1BQR1K1 w - -,b3a2
8/p4pkp/6p1/1B6/P5b1/6P1/2r2P1P/3R2K1 w - -,d1e1
8/5k2/R5n1/P5P1/4P3/1P3P2/1KP5/5r2 w - -,a6f6
r1bqr1k1/ppp2pp1/2n2n1p/3p4/1PP1p3/2QPPNP1/P4PBP/R1B2RK1 w - -,f3e1
r4rk1/pppq2pp/2n2pn1/3p4/1P1P2b1/2PB1Nb1/P4PPP/RN1QR1K1 w - -,h2g3
2rq3k/1p2p1bp/p1npprp1/8/2P1PPB1/4B3/PP1Q2PP/2R2RK1 w - -,b2b4
6k1/5p1p/2r3pQ/q2npP2/2bbP3/6P1/P5BP/2R1R2K w - -,e4d5
r7/2pk1rbp/1p1p4/p2Pp3/2P2p2/1P1K1P2/P3R1PP/3RB3 w - -,a2a4
3r2k1/1b2qpp1/p3pb1p/1p1p4/1Pr5/PR1QP1PP/2P1NPB1/5RK1 w - -,c2c3
r2qr1k1/pp3pp1/2n2np1/3p4/8/P4P2/1PP1NBPP/R2Q1RK1 b - -,d8d7
8/8/1p2k3/pb1p1pp1/3P1n2/P4P2/1P1N1P2/2NK4 w - -,d1e1
r2q1rk1/pb3ppp/1pn1pn2/8/2NP4/1P3N2/P3BPPP/2RQ1RK1 w - -,c4e5
1r2r1k1/3n1ppp/5n2/p1bP4/2N5/P5qP/1BQ2PB1/1R3RK1 w - -,c4a5
rn1qk2r/p2nppbp/3p2p1/2pP4/1p2PP2/2N2N2/PPP3PP/R1BQ1RK1 w kq -,c3e2
5nk1/1Q3p2/3P2pp/2rP4/2b2PP1/7P/6BK/8 b - -,c4b5
rnbqkb1r/pp3ppp/2p2n2/3pp3/8/3P1NP1/PPPNPPBP/R1BQK2R b KQkq -,e5e4:f8d6
r1qk1b1r/1b4pp/pn1Ppn2/1pp3BB/7N/2N5/PP4PP/R2Q1RK1 w - -,f1f6
r3r1k1/1p3ppp/2p2n2/5P2/Pp3N2/1P1B4/7P/RKB1n2R b - -,a8d8
3rr3/5pQ1/B2kp3/8/3P1q2/7p/PP3P2/4R1K1 w - -,g7e5
8/8/4k3/6pp/2N1n3/6P1/5PK1/8 w - -,c4e3
2r3k1/1pb3p1/pBpnqnp1/P3pp2/1PN1P2P/6PB/2P1QP2/3R2K1 w - -,c4d6
1Q6/3rr1k1/5p2/5Ppp/2B5/6PK/7P/4n3 b - -,e7f7
n6r/8/4Q1kn/1p1pP3/2pP3P/2P5/1P3PP1/6K1 b - -,g6h7
r3bnk1/6p1/p1p2r1p/2p1Rp1P/5N2/3P2P1/PPP2P2/R1B3K1 b - -,f8d7
7r/8/4P3/1N3k2/1bP5/pR6/P3K3/8 w - -,b3b4
1r3rk1/1Bq2ppp/2Pbp3/3n4/1pRP4/1Q4P1/3B1P1P/4R1K1 b - -,b8e8
8/4k1p1/2n1p2p/3pP3/1pbP2P1/2pBKN2/r1P4P/2R5 w - -,d3g6
8/4k3/8/r4B2/5PP1/5N2/5KP1/8 b - -,a5a4
2r1k2r/ppqnbpp1/2n1p1p1/3p4/Q2P2P1/2N1P2P/PP1BBP2/R3K2R w KQk -,e1f1
2kq2rr/pb1nbp2/1pn1p1Pp/2ppP3/5B2/2PP1NP1/PP1Q1PB1/R3RNK1 b - -,f7g6
2r1kb1r/p4pp1/4p2p/3p4/4PB1P/1p3P2/P1P1R1P1/1K5R w k -,a2b3
8/8/8/1R6/1P1k4/7r/1K6/8 b - -,d4c4
r5k1/pqprBpbp/6p1/1p2P3/3P2n1/1PQ2NP1/P4PKP/R3R3 w - -,e7c5
3r4/1k3p2/2p1bNp1/R3P3/1P4Pp/7K/5PP1/8 b - -,d8d4
8/p7/1b2k1pp/1P1pP3/1PrP1p2/2BQ1P2/3RK3/6q1 w - -,d2d1
rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2N2N1P/PPPP1PP1/R1BQKB1R b KQkq -,f8e7
2r5/2Pknppp/p3p3/BpRbP3/3N1P2/P5K1/5P2/8 w - -,g3g4
r2q1rk1/pppbbppp/2np1n2/6B1/Q7/2P2NP1/PP2PPBP/RN2K2R w KQ -,e1g1
2r2rk1/3n2pp/1p1qp3/p2bNp2/PnBP4/1P2QP2/1B4PP/1KR4R w - -,h1e1
r2q1rk1/p1nnb1pp/1p2p3/2ppPp2/3P1P2/2P1BN2/PP2N1PP/R3QRK1 b - -,a7a5
r1bq1rk1/3n1ppp/pp3n2/2pN4/PbB5/4PN2/1P2QPPP/R1B2RK1 b - -,c8b7
1r1q2k1/p4r1p/1n4n1/2BPp3/2P1Ppb1/8/P2R1QPP/1R3BK1 w - -,c5a3
8/2r3k1/2r3pp/2R2p2/pP1P4/2P1R2P/P2K1P2/8 b - -,g7f6
8/2r5/p2Np1k1/2P3p1/1PK5/R6P/8/2r5 w - -,c4d4
r6r/2pk4/pnQbpq2/3p2pp/3P4/4B3/PP1N1PPP/2R1R1K1 b - -,d7e7
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2PN2/P1P2PPP/RNBQKB1R w KQkq -,f1d3
r1b1r1k1/pp2qpp1/2p2n1p/3p4/1P1P4/2QBPN2/P4PPP/1R3RK1 b - -,c8g4
5rk1/pp4pp/1q2p3/1N1p4/P2Q4/8/1P3PK1/R7 b - -,b6d8
8/8/2R3k1/b5p1/8/4NP2/4KP1P/r7 b - -,g6f7
6k1/1p5p/5ppB/5P2/4p1PP/pP2Pn2/P3R2K/2r5 w - -,h2g3
r3r1k1/1q1n1p1p/pp1bp1p1/7n/2P2P2/1NN5/PP1BQ1PP/4RR1K w - -,c3e4
6k1/2nb4/2p1q3/1pb1p3/pN4PB/P6P/1P1Q2B1/7K b - -,c5d4
r4rk1/1pqb1ppp/p1n1p3/8/6P1/2P2Q1P/P1P2PB1/R1BR2K1 w - -,c1a3
rn1q1rk1/pb2bpp1/4pn1p/2pp4/2P4B/2NBPN2/PP3PPP/R2Q1RK1 w - -,c4d5
7R/8/5r1p/4k1pP/8/6K1/8/8 b - -,e5e6
3k4/1pp4R/4Bp2/2PPn3/1K3r2/8/8/8 w - -,b4a3
