8/4Qr1k/5rp1/7p/8/8/8/6K1 w - -,e7e5
k2rr3/1bpn1pb1/ppn1p1p1/4P2p/1qP2P1P/1NN1BBP1/PP3Q2/1K1RR3 w - -,c4c5
r3r1k1/1ppq1pp1/p3b2p/3pP3/3P1P2/1Q5P/PP4P1/3RRNK1 b - -,c7c5
1k6/1pp3pp/5p2/PP2q3/7P/3Q2P1/5P2/2R1r1K1 w - -,c1e1
3r1qk1/1b1n1p1p/p4npb/3P4/1p1Q4/4NP2/PP4PP/2RNRBK1 b - -,b7d5
rnb1kbnr/ppp1pppp/3q4/8/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq d3,g7g6:g8f6:a7a6:e7e5:c7c6
6k1/1b1n1pbp/p2p2p1/2pP4/4NP2/1r4PP/1P2P1B1/2B1R1K1 b - -,b7d5
5rk1/2qbn1b1/4p1pp/3pP3/2pP1PP1/1rP1B1K1/3Q1NB1/2R4R b - -,g8f7
5rk1/pb1q1rbp/2npp3/p1p3p1/Q1P1PPpN/2NPB1P1/1P3R1P/R5K1 w - -,h4g2
1r3rk1/4R1b1/3p3p/2pP2p1/8/1PNb2P1/P2B1P1P/1R4K1 w - -,b1e1
5rk1/1q4bp/p5p1/4p3/2P1rn2/3p1QP1/P6P/3R1RBK w - -,g3f4
1q4kb/pp1r3p/2bp1npB/4p3/2r1PNP1/2N2P2/PPPQ4/1K1R3R w - e6,f4d5
rnbqkbnr/4pppp/pp1p4/8/3NP3/6P1/PPP2PBP/RNBQK2R b KQkq -,c8b7
r1bqk2r/4bppp/pp1p1n2/2pPp3/P3P3/2N1BN2/1PP1QPPP/R4RK1 w kq -,h2h3
4r1k1/3R2pp/4p3/pr6/1Pp1P3/2P5/P4PPP/1K1R4 w - a6,a2a3
4r1k1/2p5/2p3pb/1b2np2/p5p1/B1R4P/1N3PP1/3R2K1 b - -,g8f7:h6g7
8/8/6k1/1R1B1p2/8/1pr1r3/5RK1/8 w - -,g2h2
r1b2rk1/1pq1p1bp/n1pp1np1/p4p2/2PP4/PP3NP1/1BQ1PPBP/RN3RK1 w - -,b1d2
2rrn1k1/3nq1bp/1p4p1/pPpR1p2/P1P1p3/4P1BP/2Q1BPPN/3R2K1 b - -,d7f6
r7/3n2k1/p2p4/3P1pB1/1pp4Q/8/PPr3PP/7K w - -,h4h6
3b1k2/1r1n1ppp/1p1Pp3/p1p3P1/P1P1NP1P/2B1PK2/3R4/8 w - -,e4g3
r1b2rk1/2qp2pp/p2Q4/1p2pPb1/4N3/4BP2/PPP1B2P/2KR3R b - -,g5e3
r1k1r3/2pn3p/p3p1p1/1pb1n3/4PB2/2N5/PPP3PP/2KBRR2 b - -,c8b7
4r3/p2k1pQ1/1pq1bBp1/3pPp1p/P1nP1N1P/2P5/5PPK/2R5 b - -,d7c8
2r3k1/1p1bq1pp/p1p1p1p1/2PpPr2/PP1P3P/R2Q2P1/5P1N/5RK1 b - -,g6g5
5k2/2p3p1/3p3p/3n4/1pbPN2P/5PP1/1PR2K2/1r2N3 b - -,c4b3
rnbq1rk1/ppp2pbp/5np1/3p4/2PN4/1PN1P3/PB3PPP/R2QKB1R w KQ -,c4d5
k1r5/4qp1p/b3p3/1N2Q3/Pb4P1/8/1PP4P/1K3R2 w - -,e5e4
8/1R3pk1/p1r1p1p1/2N5/P2PP3/2P1K3/6P1/r7 b - -,a1g1
1Q6/Q4p1p/4pk2/8/P1q5/6P1/3p1PKP/8 b - -,c4d5
8/8/5kpp/8/1pB2P2/1Pn4P/P4KP1/1bN5 b - -,c3a2
6k1/4Qp1p/p5p1/P4r2/1p1P2q1/6Pn/1P3P1P/2R1RK2 w - -,c1c8
r3rbk1/1ppq2pp/p1pnbp2/4p3/PP2P2N/2BPN1P1/1QP2P1P/R4RK1 b - -,b7b6
4brn1/1rq3bk/7p/1p1Pp1N1/pP3p1R/3P1B2/3B2QP/6RK b - -,h7h8
1B2k3/p5bp/2b1q1p1/8/2Pp4/P2P2P1/4P2P/3Q1RK1 w - -,b8f4
8/p5k1/1p6/2p5/5P2/1BP2K2/Pn6/8 b - -,g7f6
r2q1rk1/pp1nnpbp/3p2p1/2pP4/2P5/2N2Q1P/PPB2PP1/R1B1K2R w KQ -,e1g1
r1bqnrk1/2p1n1b1/6p1/N1pPp2p/4Pp2/2N2P2/4BBPP/R2Q1RK1 b - -,e8d6
8/8/P5k1/8/1R6/6P1/3qBP2/6K1 w - -,b4b6
8/2b5/8/2P1p1p1/4P1kp/8/5K1B/8 b - -,g4h3
r1b5/1p6/3pp1k1/6p1/p1P5/2N3b1/PPK3P1/6R1 b - -,e6e5
r1bqr1k1/ppp1bppp/2n2n2/3p2B1/3P4/2PB1N2/PP3PPP/RN1QR1K1 b - -,h7h6
3r4/6pp/2B1k3/P3p3/1r3p2/4B1P1/2R2PKP/8 w - -,e3c5
8/5k1p/pp1rq3/2p2p2/P1P2P2/4Q2P/6PK/4R3 b - -,e6e3
r1bq1rk1/1ppnppbp/p4np1/3p4/1P1P1B2/2N1PN1P/P1P2PP1/R2QKB1R w KQ -,a1b1
rnb2rk1/2qpbppp/pp2pn2/8/2PN4/2N1PB2/PP1B1PPP/R2Q1RK1 b - -,c8b7
rnbq1rk1/1pp1ppbp/p2p1np1/8/P2PP3/2N1BN2/1PP1BPPP/R2QK2R b KQ a3,b7b6
r2q1rk1/ppp1ppbp/1nn3p1/4P3/3P2b1/2N1BN2/PP2BPPP/R2QK2R b KQ -,d8d7
r2qkb1r/1p3pp1/1pn1b2p/p3p3/8/P1NP1NP1/1P2PPBP/R2QK2R w KQkq -,d1a4
8/4k3/3p1b2/r1p2pp1/8/1P1N2P1/P1R2P2/5K2 w - -,b3b4
Q7/p4ppk/4p3/4P1qP/2p5/2p5/PPP2P2/1K5R w - -,a8e4
8/5pk1/p3p1n1/2N3b1/3r2P1/P1R1NK2/1P2R3/6r1 w - -,f3f2
2r4r/p2bkpp1/1p2p3/2RpP2p/3P1P1P/3B4/PP1K2P1/7R w - -,c5c8
r1bq1rk1/pp3ppp/2n2b2/3p4/3P1N2/P2BB3/1P3PPP/R2QK2R w KQ -,e1g1
4r1k1/pp2bppp/4n3/q1r1B3/4p3/2N1P2P/PPQ2PP1/1K1R3R w - -,e5d6
3br2r/1p4k1/p2p1p2/P2NpP2/KPP1P2p/7P/1B2B3/5R2 w - -,b4b5
r1q3k1/4Pprp/p3p3/1p2Q3/3N4/5R2/PPP3PP/2K5 b - -,c8e8
2r1k2r/1b1p1p1p/p3pp2/1p2q3/P3P3/2P2B1P/1P3PP1/R2QR1K1 b k a3,e8e7
2r3n1/p3p1k1/1p1p1pp1/6r1/2PPP1q1/PQ4P1/5PB1/2RR2K1 w - -,b3d3:g2f3
1r3k2/2p2ppp/p1p1b3/8/4P3/1P3PP1/PN5P/2r1R1K1 w - -,e1c1
5r1k/8/4RPpP/pp1r4/8/P7/1P2RK1P/8 w - -,f2e3
1r6/1P3R1p/k1p3p1/7r/P7/4P3/4K2P/1R6 w - -,e2d3
