8/1p3R2/p7/P2N4/2K3k1/8/8/7r w - -,f7f4
r1b2rk1/pp3ppp/4p3/4Nnq1/3P4/2PB4/P4PPP/R2Q1RK1 w - -,e5f3
4r1k1/p4pp1/Q1pb2qp/3p4/N5b1/5N1P/PP2rPK1/2R4R w - -,f3h4
r4bk1/p1p2ppp/4n3/3r4/8/P3B3/1P3PPP/RN3RK1 w - -,b1c3
2kr1b1r/pb1n1p2/1q2pP2/1ppP2B1/2p5/2N3P1/PP3PBP/R2Q1RK1 b - -,b5b4
8/1bq2r1k/3pp2p/2p2p1p/1pPbPPP1/rP1P1B2/6Q1/2B1RR1K w - -,g4g5
r7/5k2/8/3N1PN1/6K1/8/8/8 b - -,f7f8
r1bqkb1r/pp1n1ppp/3ppn2/6B1/3P4/3B1N2/PPP2PPP/RN1QK2R w KQkq -,c2c3
1n2kb1r/1brpppp1/p6p/P2qP3/RN6/5N2/1PP1BPPP/3QK2R b Kk -,d5d1
r2qk3/1b1n1p2/p5p1/1pb5/P3P2r/3B2N1/1PPNQ2P/R3K2R b KQq -,d8a5
r2q3k/ppb3pp/2p1Br2/4pPB1/4n2Q/8/PPP3PP/R4R1K b - -,e4g5
r2q1rk1/2nb1pp1/p1pp3p/4pN2/1P2P1P1/2NPP2P/R1P3K1/4QR2 b - -,g7g6
r2qN1k1/p2n1ppp/1p3n2/3p4/3P4/4PN2/PPQ2PPP/R4bK1 w - -,e8f6
8/7p/3K2pk/1p2P3/3Q4/q6P/8/8 w - -,d6d7
r1b1r1k1/1pqn1pbp/p2p2p1/2pP4/P1P1n3/1QN2N1P/1P1BBPP1/R4RK1 w - -,c3e4
8/8/4nk1K/8/8/4B3/7P/8 w - -,e3d2
8/pp3rb1/4R3/4pn1p/4N2p/4kP1P/PP4P1/4R1K1 b - -,e3f4
8/3b4/8/1pP4p/5Kp1/P7/2k2N2/8 w - -,f2e4
8/pp5k/2p5/7p/2P1p1q1/1P3rB1/P2Q1P2/R5K1 b - -,e4e3
8/4k1p1/p1p4p/R2b4/3P2P1/PP3P2/2n1K3/8 w - -,e2d3
2r3k1/5p2/2n1p1q1/4P2p/2P5/4Q1P1/P4P2/1R2R1K1 w - -,e3e4
5rk1/1q3p1p/3bpnp1/1n1p4/2pP1P2/2P1PN1P/1BQN2P1/1R4K1 b - -,f8a8
rn2k2r/ppq2ppp/2pbpn2/5b2/3P4/2N2N2/PPPBBPPP/R2Q1RK1 b kq -,b8d7
2r5/2r1kp1p/p3pp2/2n5/2P2P2/R3P1P1/4B2P/1R4K1 b - -,c8d8
r1bq1rk1/ppp2pbp/2np1np1/8/2PBPP2/2N2N2/PP2B1PP/R2QK2R b KQ -,f8e8
2brrnn1/2q3kp/p1p2pp1/1p2p3/4P3/P1N1QNPP/1PP2P2/3RRBK1 b - -,f8e6
rn1q1rk1/pbpp1pbp/1p3np1/3P4/8/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,c7c6
6k1/1br2pp1/pr1p3p/R3p3/2P1P3/RP1B3P/5PP1/5K2 w - -,f2f3
1r4k1/1q3p1p/p2Rb1p1/3Np3/2Q5/4P1P1/P4P1P/1r1R2K1 w - -,d1b1
5r1k/p5pp/8/P4p2/8/2rB1P2/7P/1R5K w - -,d3e2
8/2pQ1rqp/1pPp2k1/3P2p1/1PP5/4RpKP/5P2/8 w - -,d7e6
1n1r2k1/2r2p1p/p4p2/1pb2P2/8/1P3B1P/P3NKPq/RQ3R2 w - -,f2e1
rn1q1rk1/p2n2pp/bppbpp2/3p4/2PPP3/1P1N2P1/P1QB1PBP/RN1R2K1 b - e3,d5c4
1k1r2r1/1pp1q2p/p3b3/P3p1b1/2Pn2pN/3P4/1P2BBPP/R2Q1R1K w - -,g2g3
rb1q1rk1/1p3ppp/2n1bn2/pNp1p3/P2p4/1P1PP1P1/1BPQNPBP/R4RK1 w - -,e3d4
2rr2k1/1p3pbp/q2Pp1p1/p1p1P3/Q2N4/PP4P1/5PBP/2R1R1K1 b - -,c5d4
2rb1rk1/2q2pp1/7p/2P1pP2/pP1pN3/P3nNP1/4R2P/R3Q1K1 b - -,e3f5
1rb2rk1/5pp1/2pp3p/4p3/1Q2P3/3PP3/4B1PP/R4RK1 b - -,b8b4
3r1rk1/pR1np1b1/q1pp3p/5ppn/2PP4/2NQPN1P/P4PPB/1R4K1 w - -,d3e2
r1bq3k/1p5p/1Pn1p2r/1RNpPpp1/P1n5/2B5/4BPPP/4QRK1 w - -,e2c4
r1b2r1k/1pp3p1/p2P1q1p/4p3/4Pp2/1QPP3P/P2NRPP1/R5K1 b - -,c7d6
rn1qk2r/pp2n1bp/3p4/2pPpb2/2P5/2NBB3/PP3P1P/R2QK1NR w KQkq -,d3f5
8/p2pQ2p/2p1p1pk/4Bq2/2P2P2/P6P/6P1/3r2K1 w - -,g1h2
r1b1kb1r/1pqp1pp1/p1N1pn2/7p/4P3/2NBB3/PPP2PPP/R2Q1RK1 b kq -,f6g4
2rqk2r/pp1nbppp/5n2/3p4/3P4/5PP1/PP4BP/RNBQ1RK1 w k -,b1c3
r3k2r/1p1qnpb1/2b2n1p/p2p1Pp1/3P4/2NBQ1B1/PP2N1PP/R4RK1 w kq -,h2h3
2r1kb1r/pp1qn2p/5p2/4pP2/3pP2P/3P1NN1/bPnB2B1/1R1Q1RK1 b k -,a2b1
7k/ppq1b1p1/1n2p1bp/4Pp2/3r1P2/4NBP1/PP1BQ1KP/5R2 b - -,g6e8
5b2/8/B4k2/2NK1p2/3p1P1p/1P5P/8/8 b - -,f8h6
6k1/p4p2/1pn1p1p1/2b1P3/5B2/6Q1/q4PPK/3B4 w - -,f2f3
r4rk1/1p1n1p2/2p3p1/p6n/PbBPP2q/2N2Q2/1P3PK1/R1B2R2 b - -,h4f6
1q4k1/5p2/4p2p/pNr1P1p1/5P2/1PN4P/P3Q1P1/6K1 w - g6,e2f2
r2q1rk1/pb3ppp/1p2pb2/8/1PPn4/P4N2/2QB1PPP/3RKB1R w K -,f3d4
4r1k1/1p2rpb1/3q2pp/p2B2Q1/2Pp3P/5RP1/PP3P2/2R3K1 w - -,g5d2
r2q1rk1/6pp/B1nbpn2/2pp4/8/2N1PN2/PP3PPP/R1BQ1RK1 b - -,a8a6
rnbq1rk1/pp2p1bp/2p2ppn/3pP3/3P1P2/2NB1N2/PPP3PP/R1BQK2R w KQ -,h2h3
r4rk1/1p1bb1pp/pqn1p3/3pPp2/1P1P4/P3PN2/1B2B1PP/R2Q1RK1 b - -,a8c8
4rrn1/5q1k/1p1p4/p1pPppQp/P1P4P/1PN2PPR/1K3R2/8 w - -,c3b5
r2qk2r/2p1bppp/p1n5/1pnpP3/6b1/2P1BN2/PPB2PPP/RN1Q1RK1 w kq -,b1d2
8/p4k1p/2n1p1p1/2q5/1P6/2N2P2/6PP/6K1 w - -,b4c5
r1bq1rk1/p3npbp/1p1p2p1/3Pp3/1PP5/4BN1P/P2QBPP1/2R2RK1 b - b3,c8b7
r1bq1rk1/p2pppbp/2p3pn/8/3pP3/2P2N2/PP3PPP/RNBQR1K1 w - -,c3d4
3r2n1/3rpk1p/1p1pR1p1/pNpP1p2/P1P2P1B/3BKP2/7P/8 w - -,h4e1
8/5pk1/3q2p1/5p1p/1P1P3P/5RP1/5Q1K/2r5 b - -,d6b4
5r2/7R/1p2k2p/2p5/2P1N1P1/3K4/P6P/2b5 w - -,h7b7
4r2k/1p2r2p/p2p2p1/PbpP4/4pP2/1P1P3P/1R4B1/3R3K w - -,d3e4
rnbq1rk1/4bppp/2p1p3/p2nP3/PpBP4/5N2/NP1B1PPP/R2Q1RK1 w - a6,a2c1
r3rnk1/1pq2pb1/1Bp2npp/p2Ppb2/P1P5/1QN2B1P/1PN2PP1/2RR2K1 b - -,c7c8
8/pp5p/2r1kbp1/4pp2/2b5/P1B1P1NP/1P3PP1/2R3K1 w - -,g3f1
r6r/1p2kp2/p1b1p3/3pPpPp/3P1Q2/2N1R3/P1q2PP1/1R4K1 b - -,c2d2
r2q1rk1/1p3pbp/p1Bpb1p1/5p2/4PN2/2N5/PPPQ1PPP/R4RK1 b - -,b7c6
5qn1/2p3k1/p3Qp1p/1p2P1p1/8/6P1/PP1r2K1/4RR2 w - -,f1f2
2rq1rk1/p2nbppp/2p1p3/1p6/Q2PnB2/5NP1/PP3PBP/R1R3K1 w - -,a4a7
8/5r1p/p2bk3/2p1p3/2K1P1p1/PPB3P1/5P1P/7R w - -,h2h3
4Q3/p2k2p1/6p1/1Pp1Kp2/2P5/6P1/7P/8 b - -,d7e8
3rn1k1/ppq1r1b1/P3ppp1/2pp4/3P2N1/2P1PQPB/1P1R1P1K/R7 b - -,b7b6
1kbr3r/4bp1p/pqnpPp2/1p6/4P3/2N2NPB/PPPQ3P/1K1R3R b - -,f7e6
r1b1k2r/1pq2ppp/p2p4/3nn1B1/4PpP1/2N2Q2/PPP4P/2KR1B1R w kq -,c3d5
r1bqk1nr/pp3pb1/2np2p1/2p1p1P1/2P5/1P2PN2/PB1P1P2/RN1QKBR1 w Qkq -,d2d3
8/1p6/p1b5/6pk/8/1P2K3/P7/1B6 w - -,e3f2
8/8/k7/2r1P3/1p3Pp1/4N1P1/3K4/8 b - -,a6b5
3rrk2/bp3pp1/p1n2q1p/3pnN2/5B1P/1PP2PP1/2BQ2K1/3RR3 b - -,d5d4
8/8/4kp1R/7p/r7/5N2/5K1P/8 b - -,a4a5
1r3bk1/p4pp1/7p/P2PBQ2/1p4r1/5N2/4qPPP/5RK1 b - -,b8e8
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPPN1PPP/R1BQK2R b KQkq -,e8g8
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq d3,f8g7
2kr1b1r/1b2n3/2n1R2p/qN1p2p1/2p5/P4N2/5PPP/1RBQ1BK1 b - -,f8g7
R7/6k1/5p2/6pp/5rP1/6K1/5P2/8 w - -,g4h5
rr4k1/4R1p1/2b1p2p/3pP3/2nP3P/p1P2NN1/6P1/R5K1 w - -,g3h5
2r3k1/4q1Np/3R2p1/p3P3/P1p5/4Q2P/5PP1/6K1 b - -,e7g7
2kr1r2/1pp2Pp1/5b1p/2Pp1P2/1P1N4/5N1P/1K3P2/3RR3 w - -,f3e5
3rr3/p4pkp/6p1/2p5/2N2n2/P7/1P3PPP/3RR1K1 w - -,g1f1
rnbq1rk1/pp2ppbp/2pp2p1/3nP3/3P1P2/3B1N2/PPP3PP/RNBQ1RK1 w - -,d1e1
1k1r1b1r/1p4p1/pq2p2p/Rn2P3/QP1p4/5B2/3B1PPP/4R1K1 w - -,f3e2
1rb3k1/5ppp/p1p1p3/4P3/2B2P2/b7/P1PK2PP/3N3R b - -,c8b7
r1b1r1k1/pp2qp1p/1np3p1/8/3Pp3/1P2P1P1/P1QN1PP1/R1B1R1K1 w - -,a2a4
r4rk1/1p2qp2/2p3p1/p2nP2Q/5P2/8/BP4PP/R4R1K w - -,h5h6
5rk1/2q2pp1/1rnbpnp1/p2p4/3P1P2/2PBBNP1/RP5P/3QK2R w K -,e1g1
6k1/1p4r1/p2p4/3Pp3/2N1q1r1/1PK1R1Bn/P7/3Q3N b - -,e4g2
r3k3/3r2b1/4pB2/4P2p/1p2P3/2p2K2/P1R5/3R4 w - -,d1d7
3k1b2/2n2p2/1BP1p1P1/4P3/2B3K1/8/8/8 b - -,f7g6
1r1r2k1/2q2pp1/5n1p/p2np3/Ppb5/1N2BB1P/1PPR1PP1/3QR1K1 w - -,f3d5
r7/1p2rbkp/2pq1bp1/p2p1p2/3PnN1P/P3PNP1/1PQ2PK1/2R2B1R b - -,h7h6
8/2k5/1p2q1Qp/p2bp2P/P4p2/1PK2P2/3N2P1/8 w - -,g6g7
R3bk2/p3r2p/2p5/2P1N3/3r1p2/P5PP/8/5RK1 w - -,e5c6
1r2r1k1/pn4bp/3P2p1/3Bpp2/PPq5/2P3P1/2Q2B1P/3RR1K1 b - -,c4d5
8/2R4p/6kb/2B5/8/7P/3r1PP1/6K1 w - -,c7c6
2r1kb1r/6p1/p3pqP1/1N1b4/4p3/P3Bn2/1PP2Q2/1K1R1BR1 w k -,f2g3
2r1r1k1/1q1n1pp1/p5bp/1p2p3/4P1P1/1QPPBN1P/1P3P2/R3R1K1 w - -,f3h4
2r5/1r4k1/1p1pp1p1/1PnN1p2/2P2P2/2R1P3/4K1P1/R7 w - -,d5b4
8/6bk/R2p2bp/1p1Bp3/1P6/3P1N1P/Q1r2PPK/2q5 w - -,d5g8
6k1/p4p1p/3pn1p1/6q1/NQ1B4/1P3P1P/P4P2/5K2 b - -,g5c1
5R2/8/8/4r3/8/6k1/3K2p1/8 w - -,f8g8
rn1qrbk1/1bp2ppp/1p2pn2/p2p4/2PP4/PPN2NP1/2QBPPBP/R4RK1 w - d6,d2g5
5r1k/4q1p1/p1PQ4/1r3p2/1p3P1p/5B1P/PPP3P1/1K1R4 b - -,e7d6
r1bqk2r/pp1np1bp/1n4p1/2pP1p2/5P2/2N1PN2/PP1B2PP/R2QKB1R w KQkq f6,d1b3
6k1/3b1pp1/7p/p7/1P1NP3/1Pp2P2/4K1PP/8 b - -,a5b4
8/8/4k2p/R4p2/4pP1P/6K1/6P1/3r4 b - -,d1d3
5rk1/3qp2p/3pp1p1/p1nP4/1p1Q1P2/5B1P/PP4PK/2R5 w - -,f3g4
8/5pk1/4p2p/4N1pP/b3N3/b7/2r2PP1/1B2R1K1 b - -,c2c1
r3rbk1/1p3qp1/2pp4/3Pp1B1/pPPnNpb1/P4N2/4BPPP/1R1QR1K1 b - -,d4e2
2b1r1k1/6b1/rp4pp/p1pPnp2/P1P4P/4B3/3NBPP1/1R3K1R w - -,d2f3
r1r2nk1/5pbp/2p1qnp1/ppP1p3/1P2P3/P1N2NP1/1B1Q1P1P/1R1R2K1 b - -,f6e8
r2q1rk1/ppp2pp1/2nbp3/7p/3P4/P1NB1PB1/1PQ2P1P/R3K2R b KQ -,c6d4
r4rk1/1p3q2/p1pp1p2/2b2B1p/1PPnP1p1/2Q1N1P1/P4PKP/R3R3 b - -,c5a7
r4rk1/3nn1pp/p4q2/1p1p4/P1pPP3/2P1BPN1/1Q5P/R4RK1 b - -,f6c6
6k1/pp4r1/2pq2r1/3p1p1p/3P4/P3PPP1/1P3QRK/2R5 w - -,h2h3
2r3nr/p3pkb1/1p3pp1/2p1p2p/1PP1PN1P/P2P2P1/5P2/1RBR2K1 w - -,f4e2
4r1k1/pp4bp/4p3/5p2/3P4/Pn3N2/1B3PPP/1R3K2 b - -,a7a5
2r2r1k/1q2b1pp/p2p4/1P2p3/1P2R1N1/P2Q1P2/6PP/3R2K1 w - -,g1h1
r2q1rk1/ppp1ppbp/1n3np1/8/3PP1b1/2NQBN2/PP2BPPP/R3K2R b KQ -,f6d7
r1bq1rk1/ppp2pbp/n2p1np1/4p3/2PPP3/2N1BN1P/PP3PP1/R2QKB1R w KQ e6,d4d5:d4e5
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P5/1P1PPN2/PB1NBPPP/R2Q1RK1 b - -,b7b5
r4rk1/1bqn1pbp/pp1ppnp1/8/NPPNP3/3BBP2/P3Q1PP/2R2RK1 b - -,d7e5
2r1k2r/1p1Q1ppp/p2bp3/8/5N2/1P2P3/PBbP1PPP/R3K2R b KQk -,e8d7
8/8/6k1/8/4b1p1/5QPp/5P1K/8 b - -,e4f3
r4k2/pp1b4/2p2p2/4pP1R/2p1Pqr1/P2P1N2/1PP2K2/6R1 b - -,g4g1
r1bqkbnr/pp1p2pp/2n5/2p1pp2/2P5/2NPPN2/PP3PPP/R1BQKB1R b KQkq -,g8f6
r7/6kp/1p2qpp1/p1p1p3/P3P3/1P1PQ3/2P3PP/5R1K w - a6,e3f3
r1b1qrk1/ppp2pbp/n2p1np1/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQ1RK1 b - -,a6c5
1k1r3r/pq3p2/1bp1p1p1/1p1pP1P1/PPnP1B1p/2PB3Q/R4PP1/R5K1 b - -,b7c8
7r/p4kb1/6p1/2P4p/3Pr2P/4BbP1/P4P2/2R1R1K1 w - -,d4d5
1Q6/1p5k/p1q1b1p1/3p3p/5P2/1P3B1P/P5PK/8 b - -,c6d7
1r4k1/1P1q4/3P3p/3QBpp1/4n2P/6P1/4b1BK/1R6 b - -,g8h7
rn1qk2r/pp2pp1p/4b2b/2p1N2Q/3P4/7P/PPP2PP1/RN2K2R w KQkq -,h5h6
r3k2r/5p2/p1bbp3/3p1p2/3P3p/3NP3/1P2BPPP/1K1R3R w - -,d1c1
8/2k5/4p3/2P4p/1pR1p2P/1P2PpP1/r7/4K3 b - -,a2e2
r1b1k2r/pp1nq1pp/2n1p3/3p1p2/3P1P2/2PB1N2/PP1N2PP/R2QK2R w KQkq f6,e1g1
3r1Nk1/2q2p1p/p4n2/2p2P2/1pP3P1/1P3Q1P/P5B1/2B3K1 b - -,g8f8
6k1/6b1/7p/1P3pp1/2R1P3/4BPq1/2P1K3/8 b - -,g5g4
r6k/2qp1prp/pn2p1p1/1pb1P3/5PQ1/PP1B1b1R/1BP3PP/5R1K w - -,f1f3
r3k2r/pbqnb2p/1pn2p2/3p1B1P/1PpPp2N/P1P5/1B1N1PP1/2RQR1K1 b kq -,e8c8
r2qr1k1/pppbbpp1/2np1n1p/1B2p3/P3P2B/2PPNN2/1P3PPP/R2QR1K1 w - -,a4a5
2r2rk1/p1nn1pp1/2p2b1p/2Pp1b2/N2P4/BN4P1/P4P1P/2RR1BK1 b - -,c7e6
r2qr1k1/5pbp/2p2np1/8/N2Pp3/6P1/bR1BPPBP/3Q1RK1 b - -,a2e6
r1b2rk1/pp2n1p1/2nqp2p/3p1p2/2P5/1N1BPN2/PP3PPP/R2QK2R w KQ -,e1g1
4rrk1/1bpq3p/p2p2p1/1p1P1n2/1P2R3/2NQ1N2/1P3PPP/R5K1 w - -,a1e1
8/3R4/4r1p1/5p1p/7P/3p2P1/3k1P2/5K2 b - -,e6c6
3rr1k1/6q1/pp2p3/2p2p2/1nPn4/1PB2pP1/P6P/1B1RRQ1K b - -,b4c6
8/8/3p1qp1/2p3k1/8/P2Q4/1PP2r2/1K5R b - -,f6f5
5rk1/1r2qp1p/2Q1p1p1/1Np1b3/P7/6P1/R3PP1P/2R3K1 b - -,f8b8
5rbk/2p5/p7/2p1R2P/2p2P2/2P5/P5PK/8 b - -,f8f4
1r2qr1k/1bp2ppp/4p3/1pb1P3/1npN2Q1/4P1P1/1P3P1P/R1BR1BK1 w - -,b2b3
2Q5/5k2/1P6/1q4p1/7p/6P1/5PK1/8 w - -,b6b7
6k1/6p1/8/7p/7P/1r1R1PP1/4K3/8 b - -,b3b4
2q2rk1/4rp1p/6p1/2p5/1n1bPP2/5B2/1P2Q1PP/R1BR2K1 w - -,g1h1
r5k1/1p1b1rp1/1qn1p2p/p6Q/2P1B3/1P4P1/PB3b1P/3R1R1K b - -,c6b4
8/8/3p1R2/4r1p1/k4pP1/8/5K2/8 w - -,f6d6
2r4k/5pp1/5nb1/5q1p/1NpB4/2Q3P1/PP5P/2KR4 w - -,d4f6
8/8/p3N3/8/1P6/P3k3/5r2/K7 w - -,e6c5
2b1k2r/3n1p1p/1q3p2/1pb1p3/r2NB3/4B3/PP3PPP/2RQK2R w Kk -,c1c5
2kr2r1/pp1n1p1R/4p3/6q1/8/1BP1Q3/PP3P2/2KR4 w - -,f2f4
r4rk1/ppq1n1bp/2pp2p1/3Pp3/1PP1R3/2NQ4/PB3PPP/4R1K1 b - -,a8d8
1R6/5pk1/6p1/8/r6N/6P1/6K1/r7 w - -,b8b5
r3nqrk/ppp5/n2pP1Bp/4bp2/1PP1p3/6N1/P2B1PP1/1RQ2RK1 w - -,d2h6
rn3rk1/1p2bppp/p1b1p3/8/P1B1N3/1P2P3/5PPP/R1BR2K1 w - -,e4d6
2kr1b1r/pp3ppp/1n2p3/4n3/2PP4/2P2B2/P4PPP/RNB2RK1 b - d3,e5f3
r1b2rk1/5pb1/n2q2p1/p1p1p1Bp/P2PP1nP/2PB1N2/3QN1P1/R4RK1 w - -,d4d5
r3k1nr/pp1q1pbp/2npb1p1/2p1p3/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w kq -,c3d5
8/2pq1pkp/2n1b1p1/2Pp1p2/p2P3P/Pr1NPBP1/3Q1P2/2R3K1 w - -,f3d1
r1bq1rk1/1p1p1pp1/2n1pn1p/p1b5/2P4B/P1N2N2/1PQ1PPPP/2KR1B1R b - -,b7b6
r1r4k/p2q2p1/Pp3p2/3p3p/3P3P/3Q1PP1/1P2R1K1/4R3 w - -,d3g6
r1b2rk1/ppq1bppp/2np4/2p1p1P1/2B1P3/3P1N1P/PPP2P2/R1BQK2R w KQ -,f3h4
r4bk1/pp3p2/4pq1p/3p1p2/P2P4/2PN1Q2/1P3PPP/R5K1 w - -,f3g3
6k1/p5pp/1p6/2p5/3rP1PP/4K3/8/3R4 w - -,d1a1
r7/1p1k4/2p1p3/P4pnp/1P1P2r1/4P3/2R2KPP/2R1B3 b - -,g5e4
3rk2r/1pp1bpp1/p1n4p/4p3/1P2P3/PbB1RN1P/2NP1PP1/R5K1 w k -,c2e1
6k1/pb3p1p/1p2p1p1/4P3/1P6/P1n1P3/2B3PP/2B3K1 w - -,c1b2
r2qkbnr/ppp1pppp/2n5/3p4/3P2b1/1QP2N2/PP2PPPP/RNB1KB1R b KQkq -,a8b8
3r2k1/p1b2pp1/4nqbp/2p1pN2/P1P1PnPP/4BQN1/5P2/1R3BK1 b - -,e6d4
r2qk2r/pp1nbppp/3ppn2/2p5/4P3/3P1N1P/PPP2PP1/RNBQ1RK1 w kq -,c1f4
5bk1/5ppp/3p2n1/2pP3n/2P2P1q/6NP/2QBN1P1/6K1 w - -,g3f5
2rq1rk1/6pp/3p4/p1pPp2n/Pn3p2/1N1B1P2/1P1Q1RPP/2R3K1 b - -,b4d3
5rk1/pp2p2p/1bpr2p1/5p2/2P3n1/1PNRP3/P1Q2PBq/3RBK2 b - -,f5f4
4nr1k/1b5p/p2p2pb/Pp1PpqN1/1P2n2P/6P1/1B3PB1/3QR1K1 w - -,g5e4
2r5/p3kpb1/1pn1b1pp/2p2p2/2P2N2/1P2P1P1/P2R1PBP/4N1K1 b - -,c6b4
8/2R2pk1/7p/8/1P3pP1/5PKP/1r6/8 w - -,g3f4
r4rk1/pb1pb1pp/1p2pn2/5p2/Pn1P4/1P4P1/1B1NPPBP/1R1RN1K1 b - -,b7g2
2r3k1/5p2/p3p3/2B4p/2N1n3/1P4P1/P6P/3R2K1 b - -,c8c5
8/R5p1/2b1kp2/4p3/4P3/2p2KP1/2r2N1P/8 w - -,a7g7
4rr1k/p5bp/1pp3p1/3p4/3P2p1/2P1P1P1/P4qBP/1R1Q1N1K b - -,b6b5
6k1/p2pr1pp/1p2r3/3Qp2q/2P4P/P5P1/1P3PK1/R4R2 w - -,a1e1
8/2Nb2k1/3p4/3Pr2B/5p2/1P1p3P/5KP1/8 w - -,h5f3
3rrk2/pp1n1ppp/2pbbp2/8/3P4/3B4/PPPN1PPP/R1B2RK1 w - -,d2c4
4r1k1/7p/pp2Q1p1/1b1p1pP1/3P3P/2P3B1/P4R1K/8 b - -,e8e6
r1b1k2r/1p1p1ppp/1qn1pn2/p7/1bP5/1N4P1/PP1BPPBP/RN1QK2R w KQkq a6,e1g1
r1bqk2r/5ppp/p1pb1n2/2Pp4/8/P1N1P3/1P3PPP/R1BQKB1R b KQkq -,d6c5
1rr3k1/Q5bp/4bpp1/1n6/P1ppN3/3P2P1/1P2PPBP/2R2RK1 b - -,b5a7
3k4/8/2Pp4/p2P1p1P/P4N1r/1P2K3/2P5/8 w - -,c2c4
r4rk1/1pqnbp1p/3p2p1/3Pp1Pn/pQR5/4BP2/PPP4P/N1KR1B2 b - -,d7c5
4k3/pr2b3/2R2pp1/2p4p/2Np1P2/P2P2P1/1P2K2P/8 w - -,c6f6
r4r2/1bpk2pp/pb6/1p1Pp3/2P5/8/PP3PPP/RNB2RK1 w - -,c1e3
r3b1k1/2r2pp1/1b3q2/p3p1Np/PpB1PnnP/5QB1/1PRN1PP1/R5K1 b - -,a8d8
2b2r2/1r4k1/4pppp/QpP1N1q1/p2P4/P4RPK/BP3P2/3R4 w - -,c5c6
1b3rk1/1p3ppp/r7/pN1pNq2/1nPP4/1P6/3Q1PPP/4RRK1 b - -,h7h5
2r1r1k1/pb2np1p/1p1q1Bp1/3p4/8/P1NQ1N2/1PB2PPP/R5K1 w - -,f6e5
2r1r1k1/5pbp/1Q3np1/8/3R4/5BBP/2q2PP1/3R2K1 b - -,f6h5
r2q1rk1/p2n1pb1/b1p1p1pp/3p4/N2P4/1Q4P1/PP2PPBP/R1BR2K1 w - -,b3c2
8/8/5ppp/2p1p1k1/2PrP1P1/4K3/8/2R5 b - -,h6h5
7k/1r2q1pP/2pp4/1p1n2N1/6PP/PP3Q2/4N2K/8 w - -,e2d4
r1bq1rk1/1p2bppp/p2ppn2/8/3BPP2/2N5/PPPQB1PP/R4RK1 b - -,e6e5
r6r/pp1b1qbk/2n1p1pp/3p4/8/4BNN1/PP1Q1PPP/R2R2K1 w - -,a1b1
8/4R3/5p1p/4k2K/5rP1/8/8/8 b - -,e5d4
5rk1/3q1p1p/p4pp1/P2b4/2pQ2P1/4R3/1P2PP1P/3R2K1 b - -,f8d8
1rbq1rk1/p2nppbp/3p1np1/2p5/Pp1PP3/3BBN1P/1PPQNPP1/R4RK1 w - -,c2c4
rn1qk2r/p3npp1/1ppbp2p/3pNb2/P2P4/1QP2N2/1P2PPPP/R1B1KB1R w KQkq -,g2g3
4r2r/4Pp2/3p1Pp1/k1p5/p1P3K1/1p1P3P/1P2R3/R7 b - -,a5b4
r4rk1/6p1/4p2p/3pP3/pqnP3P/5NP1/1P2QR1K/2R5 b - -,b4b2
6k1/1p2rq2/2nR2p1/7p/8/2Q3PP/5P2/3R2K1 w - -,c3f6
1r3Bb1/2R3P1/8/8/pp3K2/8/1k6/8 w - -,f8e7
3r4/1p1rk1p1/3bb3/1p2pp1p/4B3/P1P3PP/1P3PK1/2RR2N1 w - f6,e4c2
3rrk2/1p3ppp/p1p1p1b1/Pn1n4/2BPP3/5PP1/1P1RNKNP/3R4 b - -,b5d6
3R4/2K5/k1P4r/8/8/8/8/8 b - -,h6h7
3r4/4bkp1/4pn1p/pp6/3BPP2/PPp2K2/2N3PP/5R2 b - -,f6d7
r2qk1nr/1pp3pp/p1np4/8/B1b5/2PN3R/PP3PPP/RNQ3K1 b kq -,g8e7
2rq1r1k/pb1nb1pp/1p2Q3/3p1p2/P2Pn3/1P2PNP1/5P1P/RNBR1BK1 w - -,f1b5
2bq1rk1/3rn1pp/2n2p2/1pPp1P2/p4B1N/6P1/PP2Q1BP/R4RK1 b - -,b5b4
2rr1k2/p3bppp/1p2p3/4P3/2PR4/1P3KP1/1B3P1P/3R4 b - -,f8e8
r6k/7p/2Rrqbn1/1Q1p4/4ppP1/5P1P/1P6/1R2BBK1 w - -,c6d6
2r5/1p4R1/b3p3/P3k2p/5R2/3p2PP/3K4/8 w - -,g7g5
1r6/1p2qr1k/p5n1/2p1p2p/4Qp1b/B2PPP1P/2N3R1/5BK1 b - -,h4g3
3rr1k1/1p3pp1/1q3n1p/p1b1p3/2Pn2P1/PPQ1RP1P/1B1N2B1/5R1K w - -,f1e1
5rk1/pq3rBp/1p2p3/3p1Pp1/2p3P1/2Pn2NP/PP1Q1R2/5RK1 b - -,f7g7
