8/1pr4p/p6R/3pk1P1/7P/1P2K3/P7/8 b - -,c7e7
3r2k1/2p2pp1/1p1b2b1/p1pP3p/P6P/1Q4P1/1PqB1P2/4RNK1 w - -,b3b5
3r3r/1b2qpk1/pp1p4/4pP2/1PP1PRPp/P7/5Q1N/4RBK1 b - -,e5f4
2r3r1/p5bk/1pn1pq1p/5p2/2P2P2/4BRN1/PP1QB2P/3R2K1 b - -,c8d8
1r6/1b1Qnk2/p3p1p1/8/BP2P3/P3K1P1/1P4P1/8 w - -,d7c7
r1bq1rk1/1p4b1/2np1npp/p1p1ppB1/2P5/P1NP1NP1/1PQ1PPBP/1R3RK1 w - -,g5f6
3rr1k1/p2n1pp1/3q1n1p/PPp1p3/2Pp4/3P1PP1/1B1R2BP/R3Q1K1 b - -,f6h7
r1b1k2r/pp2bppp/3qpn2/8/2BP4/3Q4/PP1BNPPP/R4RK1 w kq -,d2f4
r3rnk1/1b2bpp1/pq2p2p/2ppP3/R4P1P/1P3NQ1/1BPPN1P1/5RK1 b - -,b7c6
8/5pkp/b3N1p1/Q2pP3/4nP2/7P/1qP3P1/4R1K1 b - -,f7e6
1nb1rq1k/p4nbp/2p2pp1/1pP5/1N2PP2/PN4PP/2QR1BBK/8 b - -,g6g5
3rr1k1/pp1q1pbp/2n3p1/P1pnp3/8/1QPP2PP/1P3P2/RNB1RBK1 b - -,h7h6
r1bq1rk1/5ppp/p1np1b2/1pp1p3/1PB1P3/P1PP1N2/5PPP/R1BQK2R w KQ -,c4d5
r1r3k1/1p3pp1/1p2pn1p/2bp4/1P1n4/2NPB1PP/P3PPB1/R1R2K2 b - b3,d4b3
2r1r1k1/pb2Rppp/1p1p4/3P4/1P3N2/Pn2BP2/4B1PP/5RK1 w - -,e7e8
2r3k1/5p1p/B1Ppp1p1/6N1/8/P6P/3r1PP1/4R1K1 b - -,c8c6
3r1k1r/pp4p1/1b4p1/3p1p2/1R3P2/8/PPPB2PP/2K4R w - -,h2h3
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq e6,f1e2:d4e5
r1b3k1/pp2q1p1/2p1pr1p/2Pp4/2PP4/3BPR2/P1Q3PP/1R4K1 w - -,f3f6
2r3k1/pbr1n3/1p1q3p/3pNpp1/3Pn3/1P1N4/PQ2PPBP/2R2RK1 b - -,b7a6
8/3b3p/3p1kp1/1p1P4/p2B2PP/6b1/PPK1B3/8 b - -,g3e5
8/2R5/1pp3k1/2p2pp1/6r1/2P4p/PP3P2/5K2 w - -,c7c6
4rrk1/2q2p1p/p2p2p1/1p1Pn3/P4R2/2P5/1P1Q2PP/1B2R2K w - -,a4b5
r1b2rk1/p2n1ppp/1p1Bpn2/6q1/2NP4/2PB3P/P1Q2PP1/R4RK1 w - -,d6f8
4N3/1pp5/6p1/p3k1P1/8/PPP1K3/8/1b6 b - -,c7c6
r1r3k1/pp2ppbp/2np2p1/q7/2P1PPb1/PnN1BN2/1P3QPP/1BR2RK1 w - -,c1d1
r1b2rk1/pp1nqp1p/2p3p1/3p3n/3P4/2NBP3/PPQ1NPPP/1R2K2R w K -,e1g1
3r1qrk/p4p2/1p2bP1p/2p1P1pQ/3pB3/1P5P/P1P4K/3R2R1 b - -,e6d5
4rr2/2q3kp/2bp1pp1/p1p1p3/2PnPP1P/1PN1Q1P1/P4RB1/5RK1 w - -,g3g4
2Q5/P7/8/7q/1K6/4P3/1P4pk/8 w - -,c8c7
r1bk1r2/1p5p/3bp1p1/1B1pN3/P2P1PKP/1PR1P3/8/2R5 b - -,f8f5
5rk1/4nppp/1bp1q3/3np3/1Pb5/R1N1P1P1/1BQ1NPBP/6K1 w - -,c3a4
r5k1/pp2b1pp/2p5/3b2N1/3P4/4Br2/PP3P1P/2K3RR w - -,g5f3
6r1/pp1r3k/2b1n2p/3pP3/3P1P2/1R4N1/P3NR1P/7K b - -,g8f8
r4rk1/1bpR2pp/2qbB3/1p6/1P6/2P2P2/PB2Q1PP/R5K1 b - -,g8h8
5rk1/1b3ppp/ppn1p3/4P3/2Pq3b/5B1Q/P5PP/1NR2R1K b - -,h4g5
8/5k2/4R3/5P2/6P1/p7/5r2/K7 w - -,e6e5
r4k2/p2R1n1p/1p3Pp1/1P2p3/P3P2P/4BK2/8/8 b - -,h7h5
3R4/5q2/2kb1p2/1pp1pB2/4P3/4BP2/1PP2P2/1K6 w - -,d8c8
