8/2n5/2N5/1k4p1/6K1/1p6/1P6/8 w - -,c6d4
r1b1k2r/2p1b1pp/2p1qp2/p1npP3/2P2P2/1P6/P1BNQ1PP/R1B2RK1 b kq -,f6f5
r2q1rk1/ppp1ppbp/1nn3p1/4P3/3P3Q/2PB1R2/PP4PP/RNB3K1 b - -,f7f6
r3q1k1/2p1b1pp/2Pp2r1/1P1bp3/2N5/5NPP/P1Q2PK1/2RR4 b - -,e8f7
2rr2k1/ppN2ppp/3P4/3P4/6Q1/4B3/PP1K2Pq/R4n2 w - -,a1f1
2rr3k/1bqnbp1p/p2p2p1/1p1Np1Pn/1P1NP3/P3BP1Q/2P3BP/3RR1K1 b - -,b7d5
R7/4bk1p/2p5/p3pp2/2b5/P1N4P/1P3PP1/6K1 b - -,f7f6
1k2rb1r/pp1b2p1/1qn1pp2/2p1Pn1p/1PN2P2/2pP1NPB/P3QB1P/R1R3K1 b - -,b6b4
R7/4bk1p/8/3P2p1/2K5/2PB4/3r4/8 w - -,a8h8
r2qnrk1/pp3ppp/4p3/2RpP3/2n3Q1/P1P1B1P1/2P2PBP/5RK1 w - -,c5c4
2r1bk2/1p3p2/p1n1p2p/q3N3/3PpP2/P1N1P2P/1P3KQ1/6R1 b - -,a5b6
8/1p1b1k2/1K1p4/1N1Pb1B1/2P5/1P6/8/8 b - -,d7f5
r3r1k1/5pp1/7p/p2P3q/2pPP1b1/4Q1P1/PP4BP/2R2RK1 b - -,a8b8
8/2p4k/3b3p/3pp1pP/3P2P1/2P1P3/p2K4/NrR5 b - -,d6a3
4n3/3b1rk1/R5pp/2q1p3/ppN1P3/1Pn2P2/P2R2PP/4Q2K w - -,a6a5
6k1/1b1n1ppp/pp1qp3/3p4/Q2P4/2N1P1P1/PP3PBP/6K1 b - -,g8f8
rn1q1rk1/pb3ppp/1p2pn2/2bp4/2P5/3BPN2/PP1NQPPP/R1B2RK1 w - -,e3e4
8/pnrn4/3k1p2/2p1pPp1/2P1P1P1/1N2BK2/P1R5/8 w - -,c2h2
3r1rk1/p6p/1p5q/5B2/8/2NP3P/PPn4Q/R4R1K b - -,f8f5
3r4/1r2kp2/1pbpn1p1/8/2P2P2/B3R2P/2P1B3/2KR4 b - -,f7f5
6k1/1P1nbppp/8/2p1B3/2N5/2P2P2/rP2KP1P/7R b - -,e7f6
5R2/1pr2rp1/p3Rk1p/P4P2/8/1P6/5P1P/6K1 b - -,f6f5
r1bqk2r/1pp1ppbp/p4np1/3Pp3/2P1P3/2N1BP2/PP1QB1PP/R3K2R b KQkq -,e8g8
6k1/p1R1p3/1p4q1/3r2pp/1B6/6P1/PP1N1PP1/6K1 b - -,a7a5
6k1/1p4p1/p6p/Pq3b2/3pQ3/3N3P/6P1/2R4K w - -,e4e7
r2qk3/1ppb1p2/3p1npr/p1nPp2p/2P1P3/2N4P/PPQNBPP1/R3K2R w KQq -,d2b3
6k1/3r1pp1/2bp1n2/7p/3RPP2/r1N1RBPP/5K2/8 b - -,g8f8
r1q1k2r/1b1nbppp/p1p1p3/1p2N3/P1pPnB2/6P1/1PQ1PPBP/R4RK1 w kq -,g2e4
r5k1/4R3/7p/5p1P/5P2/6PK/8/8 w - -,e7e5
8/p3P1k1/1p1p1rp1/1P6/P6p/4r2P/1n2K1P1/8 w - -,e2e3
r2qkb1r/pp1n1ppp/2p1p1b1/4Pn2/2pP4/4BN2/PP1NBPPP/R2Q1RK1 w kq -,d2c4
r3k3/p2q2p1/2b1pr2/1Bp1n3/7P/P1P5/4QPP1/R1B1K2R w KQ -,b5c6
r2qnrk1/p4ppp/bp1pp3/n1p1P3/2PP1P2/P1PB1R2/4N1PP/R1BQ2K1 b - -,a6c4
r2q1rk1/pb1nppbp/5np1/2pp4/2PP4/4PN2/PB1NBPPP/1R1Q1RK1 b - -,d5c4
3r2k1/2p1pp2/N1n3p1/3nP2p/1pB3bP/1P6/P1PB2P1/2K1R3 b - -,g4f5
5n2/p7/1pp4p/5k2/1P6/2PK2PP/P2N1P2/8 w - -,d3e3
6r1/pp2k3/2p1bp1r/3p4/1P1Pn3/P3PB1P/6RK/4R1N1 b - -,e4g5
8/P6R/7p/5kpP/4p3/r7/5P1K/8 b - -,f5g4
