1k6/1p3R1p/p1b5/P3K3/1P6/8/8/8 w - -,f7h7
r1bqr1k1/p1p2pBp/2pp2p1/8/4P1n1/1P1B4/P1PN1PPP/1R1Q1RK1 b - -,g8g7
5nk1/p4p1p/4P1p1/1p3n2/1P2Q3/P5P1/1B3RKP/3q4 b - -,f8e6
5r2/3qp1k1/2n1R3/2Bp1pNp/pp1P1P2/2n4Q/6PP/6K1 b - -,d7e8
r1bq1rk1/pp2bn1p/5p2/3pp3/N2p3P/P2B1PN1/3B1KP1/R2Q3R b - -,f7d6
r1bqr1k1/1p3pp1/p1pb1np1/3p4/3P4/3BP1B1/PPQ1NPPP/R4RK1 w - -,a2a3
5b1r/5k2/1pp1pp1p/2p4R/4PP2/2P5/PP2KP2/6R1 w - -,a2a3
8/5k2/2rb1pp1/3p3p/2rP4/1q2P1P1/1NRRQPKP/8 w - -,b2c4
2b3k1/5q2/3P3p/5p1P/P2Q1P2/6P1/6BK/8 w - -,g2d5
r1b1qrk1/2p1b1pp/1nN5/p1ppP3/P7/1NP3B1/1P3PPP/R2QK2R w KQ -,c6e7
r1b1k1nr/pp1qppbp/2np2p1/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 b kq -,b7b6
r1bq1rk1/ppp1n1bp/3p2p1/3PppNn/1PP1P3/2N5/P3BPPP/R1BQR1K1 b - -,h5f6:h5f4
r4rk1/1b1q2bp/p1npp1p1/1p6/1pP1PP2/P4BP1/4NB1P/1R1QR2K w - -,c4b5
r1b3k1/p5pp/5r2/7q/N3pn2/1PPpQ3/P4PPP/3RNRK1 w - -,e1d3
r1b1r1k1/1pq1bpp1/3p1nnp/p2pp3/P3P3/1PN4P/1BPN1PP1/R2QRBK1 w - -,e4d5
8/8/2p1n3/4kp1P/8/4K3/4N3/8 b - -,c6c5
r1bq1rk1/1ppnnppp/3p4/p1PPp3/8/2N2NP1/PP1QPPBP/R4RK1 w - -,c3e4
r1b1kb1r/1p1n1ppp/p1n1p3/q1ppP3/3P1P2/2N1BN2/PPPQ2PP/2KR1B1R w kq -,c1b1
r1b1r1k1/ppq3bp/2p1n1p1/2Pp1p1n/1P1P4/2N1BN1P/P1Q2PP1/3RRBK1 b - -,g7f6
rn1qkb1r/pp3ppp/2p1pn2/3p4/3P2bN/6P1/PPP1PPBP/RNBQ1RK1 w kq -,h2h3
5rk1/1p1b1p1p/3p1Pp1/4p3/2PBP3/1P1R1Q2/q5PP/1r3BK1 w - e6,f3e3
k1r5/6pp/1R6/2n1N3/8/P5P1/5PP1/6K1 w - -,g1h2
r1b2rk1/1p2ppbp/p1nq2p1/8/3P4/2N2N2/PP3PPP/R1BQR1K1 w - -,d4d5
7k/7p/p1R3p1/1p6/PP1pR3/5q1b/2PQ3P/6K1 b - -,f3e4
r1bqkbnr/pp2pp1p/2np2p1/1Bp5/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,f8g7:c8d7
1r3rk1/1bq1bppp/p2pp3/2n3P1/4PP1P/2NnB2Q/1PP2R2/R1N3K1 w - -,c2d3
5r1k/1p3ppp/p1q1p3/5N2/8/P1P4P/1P3P2/1R2nQ1K w - -,f2f3
r1rn1nk1/Qpp1b2p/4p1pP/p2PPp2/8/PP3NP1/1B3P2/1R1R1BK1 b - -,a8a7
4r3/3q1ppk/p5rp/Bp2bn1Q/4R3/1B1P3P/P4P2/4R2K b - -,g6g5
2rq1rk1/5p2/p2p2p1/1p1Np1bp/P3P3/3Q1BPb/1PP2P1P/R3K2R w KQ -,a4b5
2rq1rk1/1b3pp1/pp1pp2p/8/1P2PP2/2b4P/P2Q2P1/1BRR2K1 w - -,c1c3
4nbk1/1R3p1p/4p3/2p1P1Pp/1pP4B/1P2R3/1rbN1P2/6K1 b - -,e8g7
rnb1k1nR/pp2ppb1/3p4/2q3p1/8/2P3B1/PP2PPP1/RN1QKBN1 b Qkq -,g7h8
2rqk2r/p2b1pQp/2n1p3/1pb5/4n3/5NP1/PP3PBP/RNB2RK1 b k -,d8f6
3rrbk1/pbp1qpp1/2pp3p/4n3/4P3/2N2BB1/PPP2PPP/3RRQK1 w - -,f3e2
r5nk/2p1q1bp/p2p2p1/3Pp1N1/1pr3bP/5B2/PP1Q1P2/1K1NR2R w - -,f3g4
r2qk1nr/pp1bppbp/2np2p1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,g7c3:d8c8
2rr2k1/2q1bppp/ppn1pn2/2P5/b1P5/1N1RPNP1/PB2QPBP/2R3K1 b - -,b6c5
2q1rnk1/1p3pb1/3Q2pp/P2Np3/4P2N/6P1/5PKP/4R3 b - -,g8h7
3q2k1/5pp1/p4n1p/1p2b3/4p3/P3P1P1/1PQ2PBP/1N4K1 b - -,g7g6
r1b2rk1/pp2Bppp/1bp4q/3pp3/B3PP2/2PP2K1/PP1NQ1P1/R4R2 b - -,e5f4
r3k2r/1p3pb1/p3p1p1/1q5p/8/2PRB3/P4PPP/R2Q2K1 w kq -,a1b1
8/p6p/3k2p1/1P1b1p2/1P1K1P2/4P1P1/2B4P/8 b - -,d5e6
5bk1/7p/5p2/1R1P2p1/8/4P1BP/5PPK/r7 b - -,a1d1
r3k2r/pp3p2/2bqp2p/8/6P1/6B1/PPP2P1P/R4RK1 w kq -,g3d6
r1b1k2r/1pqnbppp/p2pp3/6PP/2nNPP2/2N1B3/PPP5/R2QKBR1 w Qkq -,f1c4
1r6/2R2p2/2pN1k1p/1p5P/8/5K2/8/8 b - -,b5b4
r3rQk1/1p1b1p1p/p1n3p1/3p1p2/3P1P2/2PB1R2/PPN3PP/R5K1 b - -,g8f8
3r4/1b3k1p/1p2N1p1/p1p5/4p3/PPPnP2P/5PP1/3R2K1 w - -,a3a4
1qr3k1/2r2pp1/3p1n1p/3P4/1P1PB3/1b4P1/1B3P1P/Q1R1R1K1 w - -,e4f5
r1b1kb1r/ppppnp1p/2n5/4P3/1qB2B2/4PN2/PPPN2PP/R2QK2R b KQkq -,e7g6
8/ppb2kpp/2p2p2/5P1P/1PPr4/P1R2K2/4B3/8 b - -,d4f4
8/1p6/p1p1N1k1/P1p4p/2P1P3/1P1r2p1/6P1/5RK1 b - -,d3b3
rnb1k1nr/1pp2ppp/p2p4/2bNp3/2B1P3/3P1q2/PPP2PPP/R1B1K1NR w KQkq -,g1f3
2r3k1/1p1b2b1/p2pp1pp/7n/P3P3/1NNPB2P/1P1K1rP1/R7 w - -,e3f2
