8/8/8/2p5/2k5/6R1/4r3/3K4 b - -,e2f2
r1bqkb1r/pp1n1pp1/3p1n1p/1B2p3/4P3/2NQ1N2/PPP2PPP/R1B1K2R w KQkq -,c1e3:e1g1:f3d2:b5c4
2b5/1p3p2/p2pPk1p/n5p1/3N1PPP/1P2P3/P4KB1/8 b - -,f7e6
r5k1/pR2ppbp/6p1/4n3/2p1P3/B1P3P1/P2r1P1P/2R2BK1 b - -,e5d3
r4rk1/p2bppbp/2q3p1/2pP4/5B2/2PQP3/4NPPP/R4RK1 b - -,c6c8
r5k1/pp2qp2/2pR1nrb/P3pQ2/4P1p1/1PN3P1/2P2P1N/3R2K1 b - -,g8g7
4R3/pk6/1nn2N2/2p1pPp1/2P1P1P1/P1B4r/2K5/8 b - -,b6c4
8/8/2r2k2/4p1p1/1B4P1/4KP2/4P3/8 b - -,c6c4
4r1k1/p5p1/2p4p/8/P1pRb3/2P1N3/r5PP/4RK2 w - -,e1e2
2b1k2r/1p6/p1p1p2r/2Q1P1pq/1P1P1p2/5P2/P5RP/3B1R1K w - -,a2a4
4r1k1/3n1pbp/2qp1np1/2p1P3/Np3P2/5Q2/1P3BPP/2R1R1K1 b - -,c6a4
r1bqnrk1/p1n2pbp/3p2p1/1ppP4/2N2B2/2N3P1/PP1QPPBP/R3K2R w KQ b6,c4a5
2krnrb1/1pp3p1/p4p1p/P2pP2P/3P3B/3B1P2/1PPK4/4R2R w - -,e5e6
2r3k1/5p2/4p2p/p7/4p3/1Bb5/R1P2PPP/6K1 w - -,a2a4
r3r2k/1p5p/2p1b1p1/p1P1p3/P3R1P1/8/4BP1P/1R4K1 w - -,e4e5
r3k2r/pp3p2/2b1p1pp/2qpP3/5Q2/3B4/RPPK1PPP/7R w kq -,b2b4
r4rk1/4bppp/bqn1pn2/1p1p4/1P6/P1N1P1P1/1BN2PBP/R2Q1RK1 w - -,c3e2
8/5r1k/2p3pp/2Pbb3/1Q2pP1P/4B1q1/3R2B1/6K1 w - -,d2e2
r5k1/p3p2p/4P1p1/2p5/2Pn1q2/4R3/PP3P1P/R2Q2K1 b - -,a8f8
8/1R6/1rB1p1kp/1P3pp1/1n6/4PP2/5P1P/6K1 b - -,b6b7
5bk1/5n2/2Q5/1P4p1/6qP/4BN2/5PK1/8 w - -,g2f1
r1b2rk1/2ppnppp/1pp3q1/8/2B1P3/2P5/PP1N1PPP/R2Q1R1K b - -,d7d5
8/6k1/4R1p1/8/2B1pb1P/6r1/6K1/8 w - -,g2f1
r1n2rk1/1pqbbppp/p1n1p3/1BP5/4Q3/2N1BN2/PP3PPP/R2R2K1 w - -,b5a4
r1b1k2r/1p2qpbp/p1p1nnp1/2Pp4/PP1Pp3/RNN1P3/2Q1BPPP/2B1K2R w Kkq -,b4b5
r4rk1/pb1n1pbp/1p3np1/2p1p1B1/4P3/1BP2N1P/PP1N1PP1/R4RK1 w - -,f1e1
6k1/5pp1/p3p2p/1pr5/4Pn2/1B3PNP/PP1r1P1K/1R6 w - -,b1f1
5r1k/p1r1bp2/4pNpP/1p1pP1p1/q2P4/2P1RQP1/PR3PK1/8 w - -,h6h7
3r1rk1/p2q1ppp/1p1n4/n1pP4/6BQ/P1P1B2P/5PP1/R2R2K1 b - -,f7f5
3r2k1/1pnr1bpp/p1p1pp2/7P/2BP2P1/5NK1/PPR2P2/3R4 b - -,e6e5
4r1kb/pp1bqr2/4n2p/2p3p1/5pP1/3B2NP/PPQN3B/2KR1R2 w - -,g3f5
5r1r/1p1np1bk/3p2p1/p2P2P1/P1P5/1P2B1K1/8/3Q1R2 w - -,e3f4
rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/2P1P3/PP3PPP/RN1QKBNR w KQkq -,f1d3
r3kb1r/1pqnpppp/p1p2n2/2Pp4/1P1P4/2N1PB2/P4PPP/R1BQK2R b KQkq -,e7e5
r4rk1/5pp1/p3pqp1/2p5/4QP2/6P1/PPPR3P/2K4R b - -,g6g5
1rbqr1k1/1pn2pbp/p2p1np1/P1pP4/2P5/2NBBN1P/1P1Q1PP1/R4RK1 b - -,b7b5
2rq1rk1/p2nbppp/bp3n2/2pp4/2PP4/1PNQ1NP1/P4PBP/R1BR2K1 w - -,c3b5
1rbq2k1/1p4bp/p2p2p1/2pPN3/P1P5/3B3P/1P4P1/1RB2QK1 b - -,g7e5
r4rk1/pp2ppbp/1qn2np1/3p1b2/2pP1B2/QPP1PN2/P2NBPPP/R3K2R b KQ -,c4b3
4k2r/pppr1pp1/2p1b3/4P2p/6Pb/P1N1BP1P/1PP3K1/3R1R2 b - -,b7b6
2r3k1/4ppbp/1q1p1np1/1p6/2pP4/2P1P2P/RPQN1PPB/6K1 w - -,h2g3
1rb2rk1/5p2/2B1pqp1/1p5p/p1n5/2PN2P1/PP2QP1P/R2R2K1 b - -,e6e5
6k1/5p2/6pp/p3P3/1pB5/4N2P/PP3K2/r7 b - -,a1b1
8/5p2/r4k1p/7P/3R1KP1/5P2/8/8 b - -,a6b6
2b2rk1/4qp2/4p1p1/3pP3/5Pn1/1N1B1R1Q/6PP/6K1 b - -,e7a7
3r4/4kppp/1R6/1p2P3/3B2P1/2Pb4/7P/6K1 b - -,d8a8
r4rk1/2p1q1p1/1p2P3/p2p1Pp1/3P2Pp/2PQ4/P3R2P/1R4K1 b - -,f8d8
1r1r1b1k/p4Qpp/1q6/1p2pB2/8/P3P1P1/1P3PP1/2R2RK1 b - -,b8b7
8/8/2b5/8/p5kP/K3P1p1/8/6N1 b - -,g4h4
3r1r1k/2p1qpp1/pbn2n1p/1p2pb2/4P3/2P2Q1P/PPB2PPN/R1B1R1K1 w - -,f3f5
8/1p2r2p/p1p3p1/4p1N1/7P/1k4P1/1P1R1K2/5Br1 b - -,g1f1
r2q1rk1/1p2p1b1/p1n1b1pp/2Pp1p2/3Pn3/2N1BN1P/PPB2PP1/R2Q1RK1 w - -,c3e4
r1b2rk1/pp3pbp/5Np1/1qP1n1B1/3p4/6P1/1P3PBP/R2Q1RK1 b - -,g8h8
8/3b1qk1/1pp2p2/pr6/3PpP1p/P3P3/1PQ3PK/2R2N2 b - -,f7g6
3r2k1/pb3pp1/q3p2p/1PPrN3/P7/4Q3/5PPP/R1R3K1 b - -,a6a5
r2qk2r/pp2pp1p/2nnb1pB/2Np4/8/2P2P2/P1P1Q1PP/2KR1B1R b kq -,d8a5
r3qrnk/p3ppbp/bpp3p1/4P3/2P2P2/2N1BN1P/PP1RQ1P1/3R2K1 w - -,b2b4
r1b2rk1/2qn1pbp/pp3np1/2p1p3/P3P3/N1P2N2/1PQ2PPP/R1B1RBK1 b - -,c8b7
8/8/pK6/P1pk4/8/8/8/8 w - -,b6a6
1q3k2/4bp1p/2Q1p3/B1p1P1p1/8/1P4P1/2P2P1P/6K1 w - g6,a5c7
2rb2k1/2r2pp1/1p2p2p/1q1p4/1N1P2n1/P1R1PN2/1Q3KPP/2R5 w - -,f2g1
rq3rk1/1p1b2pp/1b2p1n1/p2pPp1P/3N4/2PB2B1/PP3PP1/R2QR1K1 b - -,g6e7
2b3k1/1p2q2p/2p3p1/8/2P2PPb/1P2r2P/P2RN1BK/5Q2 w - -,f1d1
r1bqk2r/p2p1ppp/1p2n3/2p1PP2/2P5/B1P5/P4QPP/R3KB1R b KQkq -,e6c7
8/1n2k2p/1pp1b1p1/2n2p2/2P1pPP1/rPN1K2P/1R2B3/3R4 w - -,c3b1
6k1/2q4p/p1rpb1pQ/1p2pr2/8/1P1N2RP/P1P3P1/3R2K1 b - -,d6d5
r1bq1rk1/1p1n1pb1/2pp1np1/p3p1Pp/P2PP3/2N1B2P/1PP1NPB1/R2Q1RK1 b - -,f6h7
8/3k4/5R2/1p6/n1p1p3/2P1P3/2K5/8 b - -,d7c7
2rrbk2/pp2npq1/2p1p1p1/4N2p/3P1P2/2PR3P/PPB3P1/4QRK1 w - -,e1f2
r1b2k1r/1p2q1pp/p1n1p3/3p2NQ/5P2/2NR4/PPP3PP/2K4R b - -,g7g6
