k7/8/1K6/8/8/5R2/7b/8 w - -,f3a3:f3f8
8/Rp1rkppp/1p6/2p5/P2p4/1P1K1PP1/5P1P/8 b - a3,e7d6
8/8/p4Pk1/P1K1r3/1PPB4/8/6p1/8 w - -,c5b6
3r2k1/p5p1/5p1p/4b3/2q2N2/P4Q2/6PP/5R1K w - -,f4g6
8/8/1R2bpk1/7p/5p2/5P1P/1Br3P1/6K1 b - -,g6f5
1R6/6pk/3p2p1/3Pp3/P1p1Pp2/2N2P2/2KB2q1/8 w - -,a4a5
6k1/p7/1r1q3p/4R1pP/3Q4/P7/5PP1/6K1 w - -,d4c4
1b6/4Rpk1/7p/6p1/6P1/5P1P/1r2PK2/8 b - -,b8d6
r2qkb1r/6pp/p1p1p3/2p5/Q2pP3/1P1P1R2/P1P3PP/R1B3K1 b kq -,d8b6
5k2/5p2/3np1p1/2p3Pp/2P1PP1P/r2BNK2/1b6/1R6 w - -,f3e2
r4rk1/pp1qpp1p/n1p3p1/3pP3/2P5/1PQ1P1P1/PB3P1P/R4RK1 b - -,d7f5
8/p7/2r1pK2/3pP3/P2Pn2P/4k3/8/R7 w - -,f6e7
2R2b1r/3qkp2/3pnp2/4p2p/2N1P3/4B3/Q4PPP/5RK1 b - -,d7c8
r4rk1/pp4pp/3qNpn1/2p1n3/3pP1P1/1P1P3P/P1P3B1/R1BQ1RK1 b - -,d6e6
rnbq1rk1/ppp2pn1/3p2p1/3Pp2p/2P1P3/2NB1PN1/PPQ3PP/2R2RK1 b - -,d8g5
3r2k1/p5pp/4b3/r4p2/4P2P/1PP2NP1/P1K1B3/R7 b - -,f5e4
r4r1k/bpp3p1/p1npq2p/4p1Bn/2P5/3PNN1P/PP1Q1PP1/2KR3R w - -,g5h4
rnb1k1nr/pp3ppp/4p3/2pq4/3P4/2BB4/PPP2PPP/R2QK1NR b KQkq -,c5d4:d5g2
4r2k/2b1q2b/2p1pp1p/p1Pp4/Pp1PP1P1/1P6/1B2Q1BP/5RK1 w - -,e2f2
8/5k2/1nr4p/1P4p1/3B4/7P/6P1/7K w - -,b5c6
1R6/4r1pk/7p/1p2R3/3n4/1P4BP/3r1PP1/7K b - -,e7d7
