7k/R7/8/3pb3/4p1KP/1P2Pr2/P4P2/5R2 b - -,e5g3
7r/1R3k2/p2p4/2pPp3/2P1Ppb1/2Q2Nq1/P3K1P1/8 b - -,f7f6
r1b3k1/r2nbp2/Nq2p1p1/R2pP2p/5P1P/1N1B2PK/1PP1Q3/R7 b - -,d7f8:g8g7
4q1k1/2pn2pp/1p1brr2/p1p1p3/P1N5/1P1P1P2/2PBRQPP/4R2K b - -,h7h6
5rk1/2R2pb1/6p1/2Q4p/4P2P/4B1P1/5PK1/1q6 w - -,c5c4
7k/3R2B1/8/4p3/P4pK1/1n5P/r4P2/8 b - -,h8g8
r4rk1/pb3ppp/1pq1pnn1/8/2pP3P/P1P1QPB1/2B1N1P1/R4RK1 w - -,e2f4
8/1p6/p3Bk2/5P2/6p1/2n1K3/P6r/6R1 b - -,h2h3
r2r2k1/pp4bp/qn2p1p1/8/2p1P3/2P1B3/P1R1NPPP/R3Q1K1 w - -,a1d1
r6r/1b2bkpp/1p1p1n2/1Np5/4P3/P2N4/1PP2PPP/R1B2RK1 w - -,e4e5
1rb5/ppQ2pkp/6p1/3Ppn2/P7/2PP2qP/1P4B1/5RK1 w - -,c7b8
r4rk1/3n1ppp/2q5/3pP3/pQ3P1P/4B3/PPP3P1/1K1R3R b - -,f8c8
r1bqk2r/ppp1npb1/2n1p2p/3p2p1/2PP4/4PNPP/PP1N1PB1/R1BQK2R b KQkq c3,e8g8
2kr3r/pp1b1n1p/2p2b2/5p2/q7/2P2Q1N/PP1N1PBP/1K1RR3 w - -,d2e4
r2q1rk1/1p1bppbp/p2p1np1/n1pP4/2P1P3/2NQ2P1/PPN2PBP/R1B2RK1 w - -,a1b1
5k2/4p2p/7K/8/5PP1/n2b4/7P/8 w - -,f4f5
2r2qk1/R2b1p1p/3p2p1/Q1nPp3/2P1P3/4NPP1/2B2K1P/8 b - -,f7f5
8/5p1p/1kb1p1pP/2p1P1P1/ppP1PP2/3K4/P1B5/8 b - -,b6a5
rr4k1/5ppp/4p3/p2p4/1q6/2Q1P2P/PPR2PP1/3R2K1 w - -,c3b4
rn2kbnr/1b1p1ppp/pq2p3/1pp3B1/3PP3/2PB1N2/PP1N1PPP/R2QK2R b KQkq -,h7h6
r2q1rk1/pb1n1ppp/1p2pn2/8/2BP1B2/P1P2N2/4QPPP/R4RK1 w - -,f1c1
r1b2rk1/pp3pbp/2pp1np1/q1n5/P2NPP2/2NBB3/1PP3PP/R2Q1R1K w - -,f4f5
2r3k1/p2q1pbp/1p2b1p1/1P1n4/N2p4/3P1BP1/3BPP1P/1QR3K1 b - -,c8c1
r1b3k1/2r3bp/p1p1p1p1/3p4/1P2p3/P3B3/2P2PPP/3RRBK1 b - -,g7c3
rr1b2k1/3b2p1/7p/3P1p2/p1q5/1P5P/RNPB1PP1/R5K1 w - -,b2c4
r3r1k1/bpp2bp1/p2pnpp1/8/4P3/1PP1BN1P/P1B2PP1/3RR1K1 w - -,e3a7
r1b2rk1/p1qn2p1/2p1pp1p/Pp1nP1N1/1PpPN2P/8/5PP1/RQ2KB1R b KQ -,h6g5
r3r1k1/ppp1qpp1/4b1np/4P3/8/1NPB2Q1/P1P3PP/4RRK1 w - -,b3d4
3rr2k/pQpq2pp/8/2P2p2/4P3/P2p1PP1/5R1P/3R2K1 b - -,f5e4
8/7p/p1pbk1p1/6P1/P3K1n1/1P4B1/8/3N4 w - -,g3d6
2r3k1/pb1nppbp/1p1q2p1/3p4/3P4/1P1BPP2/PBN1Q1PP/3R2K1 w - -,b2a3
r1bqkb1r/1p3ppp/p1n1pn2/2p5/P1BP4/2N1PN2/1P3PPP/R1BQ1RK1 b kq -,c5d4:b7b6:f8e7:f8d6:d8c7
8/4k3/4b3/2r5/3K4/p3R3/5R2/7r b - -,c5c4
