8/8/1P2k3/2P5/2K4P/6p1/7r/6R1 b - -,h2c2
r6r/4bk2/2n2p2/1n1p2B1/p1pP3P/P4R2/3NNK2/6R1 w - -,g1g4
3r1bk1/1R3p2/4pP1p/4P3/1p1B4/3KP2P/8/8 b - -,d8c8
r2r1bk1/1p2qp2/2p1nnpp/p3p3/P1Q1P3/4BBPP/1PP1NPK1/R4R2 b - -,e7b4
8/2R5/3pNk2/1P1Pn3/4P2p/5prP/5N2/5K2 w - -,b5b6
6k1/5p2/8/4P3/6QK/5P2/8/1q6 b - -,g8f8
r3k2r/pp1bbp1p/1q2p1p1/3pPn2/1npP1P2/5NPB/PPP1N2P/R1BQ1RK1 b kq -,h7h5
1r2r1k1/p2b1pp1/2p4p/3p4/3NB3/1Pb4P/PBP2PP1/3R1RK1 b - -,c3b2
8/p1r3p1/1p2kb1p/2r5/P7/1RP1R2P/3B2P1/3K4 b - -,e6d7
r1b5/5pk1/6p1/2p1p3/2BpPn1p/1P3P1P/1RPN2PK/8 b - -,c8d7
2rq1rk1/p2p2pp/1p1Pp3/2bnPp2/4R3/3Q1N2/PB3PPP/R5K1 w - f6,e5f6
8/5k2/K7/8/P2P4/1P6/5bN1/8 b - -,f2d4
r2qkb1r/1pp1nppp/p7/n2pp3/4P1b1/1BPP1N2/PP1N1PPP/R1BQK2R b KQkq -,f7f6
8/p5kp/8/8/8/3KP3/Pb3PPP/8 b - -,g7f6
4r3/6kp/2p3p1/1pPbr3/3N4/2P3P1/1P3K1P/1B1R4 w - -,b1d3
1r1q2r1/p4p1k/4p3/5b1P/1p2BQ2/4R3/PP6/R6K b - -,d8g5
r2qk2r/pp1nbppp/2p3n1/4P3/4NB2/6P1/PP3PBP/R2Q1RK1 w kq -,e5e6
6k1/pp1q1ppp/2pn4/3p4/3P4/2P5/PP1NrPPP/4Q1K1 w - -,e1e2
r1bq1rk1/ppp1n1bp/3p1np1/1P3p2/P1PPp3/2N1P1P1/4NPBP/R1BQ1RK1 b - a3,c8e6
2r2rk1/1q2n1bp/p2p2p1/1p1Pp3/1P2B1P1/3QB2P/P4P2/2R2RK1 b - -,g8h8
1B6/8/p7/2p5/3b3K/1P1k4/P7/8 w - -,b8d6
6k1/5pp1/4bn1p/2Q5/3p2P1/r2P3P/qPK5/5R2 w - -,c5a3
rnbq1rk1/ppp2ppp/4p3/3p4/2P1n3/1P2PN2/PQ1PBPPP/RN3RK1 b - -,d8f6
5r2/2pR4/1p2n1k1/p1p3p1/P3P3/2P1NP2/5KP1/8 w - -,e3d5
1rbr2k1/p3pp1p/q1n1n1pb/4P3/2pNB3/2P2NBP/P4PP1/R2QR1K1 b - -,c8b7
r2q1rk1/pp1nbp1p/2p3p1/3p1b2/3PnBP1/2N1PN1P/PP2BP2/R1Q2RK1 b - g3,e4c3
2r5/7p/2p1k1p1/p2pBb2/1b1P4/1PN2PP1/1P5P/2R3K1 b - -,h7h5
r4rk1/6p1/2p1p1Pp/5q2/1P1P4/pP6/P3Q1R1/K2R4 b - -,f5f4
3r2k1/5p2/1pp1r3/p1p1pNb1/P3P1b1/1PNP2P1/2P2RK1/7R b - -,e6g6
r1b2rk1/p2n2p1/1q2p2p/1p3p2/3P3B/1QP1PR2/P2N2PP/R5K1 w - -,a1f1
4r3/8/R6p/1p3pnk/P1bN2pP/4P1P1/8/2R3K1 b - h3,g5h3
k4r1r/1pqbnpp1/p1n1p2p/3pP2P/P1pP2P1/Q1P1B1R1/2PNBPK1/1R6 b - -,d7c8
r4rk1/1bqn1ppp/pp1ppb2/4n3/1PPNPP2/P7/1B1NQ1PP/1BR2RK1 b - f3,e5g6
4rrk1/pp1n2p1/2p1pp1p/P3P1q1/3P1P2/1NR4Q/1P4PP/4R1K1 b - f3,g5f4
8/p7/8/1p2kp1p/6p1/PP2PPP1/5K2/8 w - -,f2e2
