8/8/PK4R1/8/7p/7k/4P3/r7 b - -,h3h2
8/1pkrr1pq/p1pp1p1p/4pP1P/4P3/1P1PP1Q1/1PP2R2/2K3R1 w - -,g3g6
r1bq1rk1/pp1nppb1/3p1np1/2pP2Bp/2P1P2P/2N5/PP1Q1PP1/R3KBNR w KQ h6,f2f3
r2r4/pb3pkp/1p2p3/n6q/1b2P3/5NP1/P4PBP/RQ3RK1 w - -,b1b4
6k1/5p2/3b3p/3P2p1/2R1n3/5N1P/5PP1/6K1 b - -,e4f6
8/3n4/3R4/2p5/P1k2pP1/5B1K/1r6/8 w - -,d6d7
8/5p1k/2p5/3p1b1P/p2P1Q2/P1Pq1P2/1r6/R2B2K1 w - -,d1a4
8/5p2/4p3/P3P3/8/5kp1/2KN4/7q b - -,f3f4
8/3P4/1K6/2P5/4p3/1Q2k3/p2q4/8 b - -,e3f2
8/3r1kp1/r4p2/P2p2p1/1RbN4/7P/1KP2PP1/R7 w - -,b4b6
rnbq1rk1/ppp1ppbp/1n4p1/8/3P1B2/1QN1PN2/PP3PPP/R3KB1R b KQ -,c8e6
2rr2k1/pp3pbp/2bp1pp1/3N4/4P3/1P3B1P/P1PR1PP1/5RK1 b - -,c6d5
3q1rk1/R4ppp/1r2p1bn/1Np1P3/1bB1PB2/1Q3P2/1P4PP/5RK1 w - -,f1d1
1rbqr1k1/2p2pbp/p1np2p1/2p3B1/P3P3/2N4P/1PPQBPP1/1R2R1K1 b - -,g7f6
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/2R1KB1R b K -,e7e5:e7e6:c8d7:f8e8
rnbqk1nr/pppp1ppp/8/2b1p3/4P3/2N3P1/PPPP1P1P/R1BQKBNR b KQkq -,g8f6:d7d6
8/2r1k1p1/6r1/8/2B2R2/KPP5/8/8 b - -,g6g3
r3r2k/pb2qpp1/1p1p1b1p/2pPn3/Q4B2/2N3P1/PP2PP1P/1B1RR1K1 b - -,a7a6
r1q2rk1/pp1np1bp/3pp1p1/7P/4P1P1/2N1BB2/PPPQ4/2KR3R b - -,f8f3
6k1/5p1p/pq2p1p1/1n1p4/Np1P4/1P2PP2/P1Q2KPP/8 b - -,b6c7
2r2rk1/p2q1ppp/1p1p1b2/2nbp3/P3P3/BP3N2/2P1RPPP/R2Q2K1 w - -,d1d5
8/1r6/2pR4/2Bb2pk/1P3p2/5P1K/6P1/8 w - -,c5d4
2r3k1/2qr1pp1/7p/p1p1P3/PpN2nP1/1P1P3P/6Q1/2RR2K1 w - -,g2f3
r4rk1/1b3pp1/p1nqpn1p/1p1p4/1P1P1PP1/P1NB1N1P/3Q1P2/R4RK1 w - -,f1e1
rn2kb1r/pp3ppp/2p1pn2/B7/3P4/3B1N2/PPP2PPP/3RK2R w Kkq -,e1g1
1r1q1rk1/1p2p3/7p/p1p1p1p1/2P1P1n1/P1P3P1/3QPPB1/1R2K2R w K -,d2d8
5r1k/p3Rrb1/1p4pp/2pq1p2/P2n1P2/3QR1PK/1B5P/8 b - -,h8h7
rn1qk2r/pp1bnpbp/6p1/1BpPP3/8/2N2N2/PP4PP/R1BQK2R w KQkq -,e1g1
2r2rk1/1p2pp1p/p1npb1p1/8/2P1P3/1P4PP/P2RNPB1/b4RK1 w - -,f1a1
r3kb1r/pp1n1p2/2p3pp/q2p1p2/2PPn2B/1P1QPN2/P4PPP/RN3RK1 w kq -,c4d5
