4k3/6R1/3P4/1P6/4p1p1/4r3/7P/6K1 w - -,b5b6
1r2r3/1pp2pbk/p4qpp/1b6/2N1pQ2/1P4PP/P3PPB1/3RR1K1 w - -,f4c7
3bB3/5p2/3kp3/2p5/2P2pPp/7P/5K2/8 b - -,f7f6
r1b2rk1/1pppqppp/1bn2n2/p7/P3P3/1NN5/1PP1BPPP/R1BQ1RK1 w - a6,c1g5
6k1/p4r1p/4r1p1/2p2p2/P1Bb1P2/1P6/2R2p1P/2R3K1 w - -,g1f1
8/3B4/3n2k1/4p3/5pKP/8/8/8 w - -,d7c6
6rk/p4r1p/1p2q1pb/3p1P2/2pPp1PP/P1P3B1/1P2QRK1/5R2 b - -,g6f5
8/8/8/2B5/6p1/5p1r/R2nk3/6K1 b - -,g4g3
3q1rk1/1br1nppp/p3pb2/1p1nN3/1P1P1P2/PB1Q4/1B2N1PP/3RR1K1 b - f3,g7g6
1r2q1k1/4r1p1/p1p2p1p/3p1B2/1P5N/n5PP/5P2/B1QR2K1 b - -,a3c4
8/5k1p/B5p1/1pB2n2/2b5/8/1P4P1/6K1 w - -,b2b3
r3nr1k/5ppp/p1pp1b2/q3P3/4P1Q1/1P6/PBP1N1PP/3R1R1K b - -,f6e5
2kr4/ppqnb1rp/2ppb3/4p1p1/P2P2P1/2NQBN1P/1PP2P2/R3K2R w KQ -,d4d5
5rk1/qb3pp1/pb2p3/4p2p/1P2P1nP/P2B2NN/2Q2PP1/5RK1 b - -,g7g6
r3kb1r/1b1q1ppp/p2pp3/2n5/1p1NPP2/2N2Q2/PPP3PP/R1B1R1K1 w kq -,c3d1
8/8/5k2/2pR1Pr1/5K2/8/8/8 b - -,g5g1
1b1rk3/3q1p1p/Q4Rr1/4P3/1P1p4/P2P2PP/3N3K/2B5 w - -,f6g6
2rr2k1/pb3p2/1p2pp1p/2b5/2P5/5N2/PP2BPPP/R2R1K2 b - -,c5d6
4nr1k/1q5p/5p2/3R1P2/2B1PB1P/Pp2R3/8/1K6 b - -,f8g8
r2q2k1/pr3pp1/1p2pn1p/2p5/2PP4/P1N5/1P3PPP/R2QR1K1 w - -,d1f3
1r1rb1k1/2q2pbp/p3p1p1/np6/3N3Q/2P1N1PP/PP1R1PB1/3R2K1 b - -,d8c8
r4rk1/ppqn1pp1/2pbpn1p/4Nb2/2BP4/2P2N2/PP2QPPP/R1B1K2R w KQ -,c1d2
2rq1rk1/3np1bp/2pp4/p1n2p2/2P2P2/1PN1B3/P2QB1PP/1R3RK1 w - -,e2f3
5r1k/pbp4p/3b4/2p3Q1/3p1P2/2P2N1P/PP1B2PK/R4q2 b - -,f1a1
r4qk1/1b2rp1p/3p1npQ/1BpP2N1/4Pp2/1P5P/2P3P1/3R1RK1 w - -,h6f8
4r1k1/8/8/B3p1pp/R1P1Pp2/4bPPK/Pr5P/5R2 w - h6,a5c7
r1q1rbk1/1pp1nppp/p2p4/3Np1Pn/2P1P1N1/P3B2P/1PPQ1P2/2KR3R b - -,e7d5
6k1/pR3pbp/2rNp1p1/3nP3/3P3P/2r1B3/P2K1PP1/7R b - -,c3c2
r1b2rk1/pp2qpp1/2pbpn1p/2P5/3PB3/5N2/PPQ2PPP/R1BR2K1 b - -,f6e4
5rk1/1p3ppp/1qp5/p1brPN2/4Q3/2P3P1/PP2RP1P/4R1K1 b - -,f8e8
6k1/R4p1p/4b1p1/8/4p3/1P2P1P1/1P3PKP/1r3B2 b - -,e6b3
r1r3k1/1p1R1ppp/p4q2/2b1p3/4PB1P/P1N2QP1/1P3PK1/8 w - -,c3d5
2r3k1/pbq2pp1/1p2p2p/5n2/3P1R2/P4N2/1P1Q1PPP/1B4K1 w - -,b1d3
1n6/1Bk4p/2P3p1/4R3/8/2K3P1/7r/8 b - -,b8c6
rn2k2r/pp2ppbp/4b1p1/3q4/3P3B/2PB1Q2/P4PPP/R3K1NR b KQkq -,d5f3
8/7p/4b1p1/1B2k3/4P3/5PP1/3R1K1P/r7 b - -,g6g5
r4r2/p6k/1p4p1/2pN2bp/2P1Pp2/P2P1P2/5P2/1R3RK1 w - -,d5c7
8/8/6B1/4n3/8/1pk1K3/8/8 w - -,g6h7
6k1/5p2/2p1q2p/3p2pP/P7/r3N1P1/1Q3P2/5BK1 b - -,a3a4
r3k2r/4bppp/p1qpb3/1p1Np1PP/n3P3/4B3/PPPQ1PB1/R3K2R w KQkq -,e1c1
R2r4/4Q2k/1b2p1pp/1q2P3/2p5/6P1/2P2P1K/8 b - -,h7h8
r3brk1/1p4p1/1qpp1p1p/2b1pP2/p1PnP1P1/2NPB2P/PP3QBK/2R1R3 w - -,h3h4
r5k1/pp1qnr1p/2ppbbpB/4pp2/2P1PP2/1P1P2P1/P2QN1BP/4RRK1 b - f3,a8d8
4k2r/1p1qb1pp/p4p1n/B7/P5P1/1QP2p2/1P5P/4R1K1 w k -,a5b4
1q1r2k1/3Q1pbp/ppNp2p1/3P4/1P2P1P1/P4P2/4N2P/2B3K1 b - -,d8d7
r2q1rk1/pp2ppbp/2bp1np1/2p5/4PP2/1PN5/PBPPQ1PP/2KR2NR w - -,g1f3
r1r3k1/1b1q1p1p/4pPp1/3nB3/2p1NP2/6QP/2P3PK/2R1R3 b - -,d7d8
1k6/4p2p/P1R2bp1/3P1p2/r7/2P2N2/5P1P/5K2 w - -,c6e6
1rbqkb1r/p4pp1/4p2p/1p1pP3/2p5/2P1PNP1/PPB2PP1/R2QK2R b KQk -,c8b7
3R4/6pk/4p3/1P2Kp2/Pr2n2p/3p1N2/6P1/8 b - -,b4a4
4rrk1/2p1nppp/1p1b1q2/p2Pp2P/4P1B1/P3BPP1/1P2Q3/2RR2K1 b - -,g7g6
6qk/6pp/1p6/1PbB4/5P1P/3Q2P1/5P2/6K1 b - -,g8d8
2r2rk1/pp1nqp1p/2p2np1/5p2/PbBP4/2N1PP2/1PQ3PP/R1BR2K1 w - -,e3e4
rnb2rk1/pp1p1pbp/5np1/q1pP2B1/7P/2N5/PP1QPPP1/R3KBNR w KQ -,e2e4
r2qkbnr/pppnpppp/3p4/7b/3PP3/5N1P/PPP2PP1/RNBQKB1R w KQkq -,b1c3
1r3rk1/p3ppb1/1q1p3p/n1p5/2P2R2/BPN1n1P1/P2QP1BP/1R4K1 b - -,a5c4
r4r1k/1p4qp/p1p2pp1/P2b4/3P4/2PB1R1P/2PQ2P1/1R4K1 w - -,f3e3
r2q1rk1/pbp3pp/1p1p1n2/3P1pB1/3P4/P5P1/4PPBP/2RQ1RK1 b - -,f8f7
rn3rnk/pp4bp/1q1p4/2pPppB1/2P5/2N3P1/PP1QBP1P/R3R1K1 w - -,g5e3
2n2r2/1kqb1p1r/4p3/1p1pPpPp/pPpP1R2/P1P1BNPP/4Q1K1/7R w - -,f4h4
r2qk2r/4bppp/p1p1bn2/2ppN1B1/3P4/2N1P3/PP3PPP/R2Q1RK1 b kq -,a8c8
3r1rk1/2q1bppp/p3p3/4B3/1P3P2/P2n1BP1/3p1Q1P/R2R2K1 b - -,d3e5
1r2r1k1/1p4b1/p2Pb3/2pN3p/P5nq/5QN1/1PB3P1/R4KB1 w - -,g3f5
r4rk1/q4p2/2pnp2p/6P1/1p1PQ1P1/1P3N2/P6R/1K2B1R1 w - -,e4e5
7k/pp4rp/2p2q2/8/2QP4/1B2P2P/PP3P2/5K2 w - -,c4c5
8/p5pp/1q1Np1k1/3pPpP1/P7/1PQ5/1K6/8 w - -,a4a5
2r5/4qpk1/6r1/pp1pPQPp/2pP1n2/2P5/PP3B1R/1K6 w - -,f5c8
2r3k1/1R4bp/p5p1/4Pp2/3p1P2/3P3P/2r2BP1/5RK1 b - -,c2d2
4r1k1/pb3rpp/1pp1p3/8/2P2Pn1/1Pq3P1/P3Q1BP/1RB2RK1 b - -,h7h5
2r1k2r/1bqnbppp/pp1ppn2/8/2P1P3/N1N1BP2/PP1QB1PP/2RR2K1 b k -,e8g8
r1r5/2q1ppk1/pp1p1bp1/3Pn2P/1PP5/R3B3/1P1QBP2/2R3K1 b - -,c8h8
8/1p2b3/1n2p1k1/3pPp2/pP1P1Pp1/P1N3P1/4K3/2B5 b - -,g6f7
r2q1rk1/1p2bppp/p1n1Rn2/2p5/3p4/N2P1NP1/PPP2PBP/R1BQ2K1 b - -,f7e6
2r2rk1/4pp1p/3p2p1/1pqP1b2/3R4/2P2P2/1P3QPP/2N2RK1 w - -,c1a2
r6k/p5p1/1p2b2p/2B1P3/8/8/PP4PP/R5K1 w - -,c5b4
2br1rk1/1p4pp/p1pPq3/4Rp2/1P3P2/6P1/P2QP1BP/3R2K1 b - -,e6f6
r1b1kb1r/1pq2ppp/p1n1pn2/2p5/2BP4/P1N1PN2/1P3PPP/R1BQ1RK1 w kq -,d1e2
r2q1rk1/p2p1ppp/1p6/2pP4/Q7/P1b1N1P1/4PP1P/1R1R2K1 b - -,f8e8
r1brn1k1/1p3pbp/p5p1/2pPp1q1/P1N1P3/2N4P/1PQ1BPP1/R3R1K1 w - -,c2c1
3rr3/1b4bk/p2q2pp/npp1pp2/8/2PPBP2/PPBNQ1PP/3RR1K1 w - -,e2f2
r1r1nbk1/1p3p1p/1pn1p1p1/1N1p4/3P2P1/P3PP2/1PRB2BP/R5K1 b - -,e8d6
rn2r1k1/ppq2pbp/2pp2p1/4pbB1/2PPn3/1QN1PN1P/PP2BPP1/R4RK1 w - -,c3e4
r4rk1/pp2ppbp/2np1np1/2q5/2P5/1PN1PPPb/PBNQ3P/R3R1KB b - -,a8c8
r2qk2r/ppp2pp1/2nbpn1p/3p3P/3P1B2/2NQPN2/PPP2PP1/2KR3R b kq -,d8e7
6k1/1p3pp1/p3p2p/4r2P/8/2PK4/PP3PPR/8 b - -,e5d5
r2q1r1k/1b1n1pbp/3p1np1/p1pPp3/NpP5/PP4P1/R2NPPBP/2BQ1RK1 w - -,e2e4
2r5/3kb2p/PB6/2p1p1p1/3pP3/3K1P2/1P4PP/2R5 w - g6,a6a7
3n4/3n4/2p2p2/2k1p3/2B1P2p/1P3P1P/1K2N3/8 w - -,b2c3
6k1/7p/p2r1rb1/2pPpp2/Pq5P/5BQ1/3B2P1/3R3K b - -,b4b2:b4a4
