4k2R/6r1/p3p3/5q2/2pQ4/6P1/5P1K/8 b - -,e8f7
6k1/2p1r3/p7/1p1Prn2/1PP1p3/2R3P1/P2R1PKP/8 w - b6,c4b5
r1b1kbnr/pp1n1pp1/3p4/1Bp1p1qp/P3P3/1P3NP1/1BPP1P1P/RN1QK2R b KQkq -,g5d8
r1bq1rk1/ppp1bppp/3p4/8/6n1/2P1BN2/PPPQBPPP/2KR3R w - -,e3d4
4k3/Q6p/4b1p1/1P3p2/P7/3NP1P1/3n1P1P/q4BK1 w - -,a7b8
8/Pk3p2/4pb2/1B2n1pp/N3P2P/1P2BP2/r5P1/5K2 b - h3,a2a1
r3kb1r/pp1q1ppp/2n1p3/2ppPn2/8/2PP1N2/PP3PPP/RNBQR1K1 b kq -,f8e7
r3kn1r/1b2bpp1/pp1qp3/2n3Np/3N1P2/3B4/PPPBQ1PP/4RR1K w kq -,d2c3
rnbqk1nr/pp1pppbp/6p1/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq -,c2c3:d2d3:f1c4:b1c3
2q2rk1/5ppp/p2p4/4r3/Q7/P4P2/1P3P1P/R2R2K1 w - -,a4f4
8/6p1/3R2np/3ppk2/8/7P/5PPK/8 b - -,d5d4
3rrbk1/1ppq2pp/2n1bp2/p3p3/8/P2PN1P1/1PP2PBP/R1BQR1K1 w - -,a3a4
2kr2r1/pb1n1p1p/1p2p3/8/3pP3/P1nB2N1/2PB2PP/R4RK1 w - -,f1f7
r1bqkb1r/pp3pp1/4pn1p/2p5/3P1B2/5N2/PPP2PPP/R2QKB1R w KQkq c6,d4c5
2r1r3/p3k1Bp/5pp1/1pp5/4n1PP/1BP5/PP6/R4RK1 b - -,c5c4
r1bq1rk1/p4ppp/1ppb1nn1/8/4P3/2NNBP2/PP4PP/R2QKB1R w KQ -,f1e2
b1r1r1k1/3q3p/pR2p1p1/3P1pQ1/2p1P3/P5PB/P4P1P/2R3K1 w - -,g5f6
1rb1k2r/1pq1bpp1/p1nppn2/6Bp/4P3/1NN2P2/PPPQ2PP/1K1R1B1R b k -,b7b5
r2q1rk1/1b1nppbp/p4np1/1p1pP3/3P4/3BBNNP/PP1Q1PP1/R4RK1 b - -,f6e4
3rr1k1/pp1b1pbp/1qp2np1/8/4P3/BP3PP1/P1Q1N1BP/3R1R1K b - -,d7c8
4rrk1/p1pb1qpp/1p1p1n2/3Pnp2/3B1N2/1QP3P1/P3PPBP/3R1RK1 w - -,e2e3
2r2rk1/pp1nbppp/q3pn2/4Nb2/3P1B2/2N1QB1P/PP3PP1/R2R2K1 b - -,d7b6
4r1k1/pp3ppp/2n1r3/3q1n2/3P4/4B2P/PP3PPQ/R3RNK1 b - -,f5d4
rnbqk2r/pp2ppbp/2pp2p1/6B1/3PP1n1/2N2N2/PPPQ1PPP/R3KB1R b KQkq -,f7f6
r2q1rk1/4ppbp/p1n1bnp1/1pP5/4P3/2N2N2/PPQ1BPPP/R1B1K2R w KQ -,e1g1
3N4/2p3kp/1pB2pb1/p1np4/8/P3QqP1/5P1P/6K1 b - -,g6e4
8/3q2kp/3p2p1/p1b1p3/2B1Pp2/1P3P2/P2BQ1PP/7K b - -,d7a7
1r3r1k/p5bp/1q6/4p3/2P2p2/1P1R1Q1P/4RPPN/6K1 b - -,a7a5
r7/1p1k2pp/8/1p1ppPP1/rPn4P/2PK4/P3R3/R1B5 b - h3,a8f8
5bk1/p4p2/4p1p1/2q4p/2PQB3/1P2rP2/P5PP/1K1R4 b - -,e3e2
r2q1rk1/1p2ppb1/p2p1npp/3P2B1/P1Bp4/3P3P/1PP2PP1/R2QR1K1 w - -,g5d2
5k1r/2b1q3/5pBp/3p1PpQ/b1pPp3/p1P1P1P1/P2R2KP/3N4 b - -,e7g7
2r1rbk1/2n2pp1/6p1/3pP2N/2nP4/3R1N2/6PP/R1B3K1 w - -,h5f4
5brk/p1r2q2/1p2pnpp/1P1p4/2pP1P1N/2P3P1/R1BQ3P/1R4K1 w - -,h4f3
8/p1p5/1p6/1P6/Pk3K2/8/7P/8 w - -,h2h4
2kr4/p5pp/1pn2p2/4pb2/8/1NPrBPP1/PP3K1P/R6R b - -,f5e6
5nk1/4Rp2/r3b3/3p2PP/pppP4/8/PPPK4/5R2 w - -,f1f4
8/4N3/1p4p1/p1k4p/P6P/2K1n1P1/1P6/8 b - -,e3f1
2rq1rk1/4bp1p/b3p3/p2p2p1/PpNP4/4B1P1/QP2PP1P/2RR1BK1 b - -,d5c4
r2q1rk1/1pp1ppbp/1nnp2p1/p3Pb2/P2P4/1B3N1P/1PP1QPP1/RNB2RK1 w - -,b1c3
rnbq1rk1/1pp1bpp1/p3pn1p/3p4/2PP1B2/2N1PN2/PP3PPP/2RQKB1R w K -,c4d5
2r1r1k1/1b2qp1p/p1p1p1p1/1p2P3/4B3/1P2P3/P3QPPP/2RR2K1 w - -,e2f3
rnbqkb1r/ppp2ppp/4p3/3n4/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1f3
2rq1rk1/4bppp/p1b1p3/P1N5/1p2PPP1/3P2N1/1P3Q1P/2RR2K1 b - -,d8a5
r2qk2r/3nbppp/p3p3/1pP5/4Q3/4PN2/PP3PPP/R1B2RK1 b kq -,e7c5
3rk2r/pbq1npb1/1pn1p1p1/2p4p/4PP1P/2PP1RP1/PB1NN1BK/1R2Q3 b k -,e8g8
r3qrk1/2p3b1/1p1pn1p1/5b1p/p4R1P/1QP2P2/P2BB3/5KNR w - -,b3b4
1Q6/5pkp/3p2p1/3P4/3b1PK1/3nq1PB/1P5P/8 b - -,d3f2
r4rk1/ppp3pp/4P3/6B1/1nnN3P/2N4B/PP2Qq1P/2KR3b b - -,f8f3
7r/2qbbkp1/p2ppn2/6Q1/1r1NP3/2N5/1PP1B2P/2KR3R b - -,e6e5
3n4/1pp2pk1/p3q1p1/1n2p3/1P2P2p/2P1N2P/1PQ2PP1/5NK1 w - -,c2d1
1q4k1/1p5p/3NNb2/2P5/1P1pp3/2n2bP1/5Q1P/R5K1 w - -,d6e4
8/8/7R/3n1k2/5p2/5N2/r7/5K2 w - -,f1e1
2r2rk1/p3bppp/1p1np1q1/8/3P2P1/1p2P3/PB2QPNP/R1R3K1 w - -,g2f4
rnb1k2r/pp3pbp/4p1p1/6B1/2NqP3/P7/5PPP/R2QKB1R w KQkq -,c4d6
3q1rk1/1b1n3p/3pprp1/p7/1pR2P2/3PB1Q1/PP2N1PP/4R2K w - -,c4c1
8/2b5/6k1/8/4N1P1/6PK/8/8 b - -,c7d8
4k2r/rb1n1ppp/pp1bpn2/2q5/5B2/2PQ1B2/PP3PPP/RN3RK1 w k -,f4d6
2kr1bnr/ppp3pp/2n2q2/8/1PPp4/P2B1P2/R4PPP/1NBQK2R b K -,f6f7
r3r1k1/pp1n1pbp/n2Pb1p1/2p3B1/1q5Q/2N2N2/PP2BPPP/R2R2K1 w - -,g5e7
1k6/1p1r4/p1n3r1/3qpp2/8/1P2Q1P1/P1R4P/5R1K w - -,h1g1
8/8/1Kp5/3q4/5p2/8/4k3/6Q1 w - -,g1h2
r7/pp1brpkp/2p3p1/8/2P1P3/2N5/PPK3PP/3RR3 w - -,b2b3
q4rk1/1p2bppp/r1b1p3/p1PpN3/P2P1B2/2Q5/1P3PPP/R4RK1 w - -,c3d3
r5k1/p3q1pp/bpp1p3/3pP3/2PP4/1P2Qr2/P3P1BP/5RK1 w - -,g2f3
3n2k1/B3pp1p/2Pb2p1/3B4/8/6P1/P4PKP/8 b - -,d6c7
1r6/5pkp/6p1/4N3/2nN4/4PBP1/5P1P/6K1 b - -,c4e5
r3k2r/1pq1b1pp/p1p1bp2/P3B3/3Q4/2N3P1/1P2PPBP/R4RK1 b kq -,c7e5
5k2/8/8/3K4/3B2R1/8/7r/8 w - -,d5e6
6k1/ppq2pbp/6p1/8/1PP5/5PP1/P2Q3P/2R3K1 w - -,c4c5
rn1q1r2/pb2ppk1/1pp3pp/3P4/2P1P3/Q4N2/P3BPPP/R3K2R b KQ -,d8d7
6k1/3b1p1p/p2p1bp1/2pP4/2B1P1P1/5P2/1r2N1P1/5R1K w - -,c4a6
r1b2rk1/p1pnqpbp/1p1p2pn/4p3/P2P4/2P1PN1P/1P2BPPB/RN1Q1RK1 b - a3,a7a5
3r1k2/8/6pp/1pq5/2p1nP2/P4QPP/7K/2R5 b - -,d8d2
6k1/4pp2/pN1p1bp1/1b1P3p/1P6/4KP2/P5PP/2B5 b - -,e7e5
2rq1rk1/1p1bppbp/p1np1np1/1B4B1/3PP3/2N2N1P/PP3PP1/R2QR1K1 w - -,b5f1
2kr3r/pppb1pp1/1b3nq1/7p/1P1pN3/3P1PPP/P1PB2B1/1R1Q1R1K b - -,f6e4
