8/8/3k4/p4p2/2PN2pn/P2K4/5P1P/8 w - -,d3c3
1rb4r/k1q1pn2/p1pp1ppb/p6p/PP1PPP2/3QB2P/N1PN2P1/1R2R1K1 w - -,d4d5
1R6/8/3p2p1/2k5/P1P5/3b2K1/8/8 b - a3,d3c4
2n5/8/P1k3K1/P2p1p2/3P4/3N4/8/8 b - -,c6b5
r1bqkb1r/ppp1pppp/1n3n2/3P4/3P4/1BN2P2/PPP3PP/R1BQK1NR b KQkq -,f6d5
3r4/p1rPpp1k/1p2P1pp/n5q1/1B5b/8/4QPBP/1R3RK1 b - -,f7e6
8/8/1p6/1q2p3/5k2/1KR4R/8/8 w - -,b3c2
2r1r1k1/pb1qnpbp/1p4p1/3pp3/2Pp4/PP1P2P1/1NQBPPBP/4RRK1 b - -,e7f5
r4rk1/1b1nqpbp/pp4p1/2p1p2n/P3P3/1NNBB2P/1PP1QPP1/3R1RK1 b - a3,f8d8
r1b1k1r1/p1p1bpp1/1pp5/4PnBp/8/5N1P/PPP1NPP1/R2R2K1 b - -,c8b7
1r3rk1/1P5p/5np1/2pq4/3Bp3/6P1/4PNBP/1RQ3K1 b - -,c5d4
5r2/1p3rk1/2p3p1/p3p1n1/P3P1P1/2NR4/1PP1RbBK/8 b - -,f8h8
r3r1k1/1b3pp1/p1np1q2/1pp4p/3PP3/P4N2/1P1Q1PPP/RB2R1K1 w - -,d4d5
5k2/6bp/pp2npp1/2p1p3/PP5P/2PrPNB1/4KPP1/2R5 b - -,c5c4
4r1k1/3q1pp1/1p3nbp/p1b1R3/P1Np1B2/1P1P1B1P/5PP1/3Q2K1 b - -,g6f5
r3kb1r/1b1p1ppp/pqn1pn2/1pp5/2P5/1PN1PNP1/P2P1PBP/R1BQR1K1 b kq -,b5c4
r3nrk1/8/p2p2qp/2pPb3/P3NB2/5B1b/3Q1PP1/1R3RK1 w - -,f4e5
2br4/1pq3bk/2p2npp/Q2np3/P3P3/1P2B1PP/2P1N1BK/3N1R2 w - -,a5c7
5bk1/1p3p1p/p1n1p1p1/3qP3/5P2/P1BN2P1/1P2Q2P/6K1 b - -,d5c4
Qn1b4/2qn1pkp/2p1p1p1/2Pp4/3P1P2/2BBP3/N4P1P/6K1 b - -,f7f5
r1bq1rk1/pp2b2p/2p5/3pP2p/4P3/2N5/PPQ3PP/2KR2NR b - -,c8e6
r2q1rk1/1bp2pp1/p2p1n1p/bp1P4/4P3/PQ2BN1P/1P3PP1/RN2R1K1 w - -,e3d2
8/p1r5/kp6/3pP3/3P3P/4BQK1/1P2q3/8 b - -,e2e1
2r2rk1/pp2nppp/2p1pn2/1P1qN3/P1RP4/6P1/2Q1PPBP/2R3K1 b - -,d5d6
5bk1/5p2/4b1pp/R3P3/5B1P/3r2P1/6B1/7K b - -,g8g7
2rqr1k1/7p/1pP2pp1/p2pPb2/P2Q1B2/5N1P/1P3PP1/2R3K1 b - -,e8e6
4k3/5p1p/p2Bp3/3bP1r1/8/4KP2/P6P/2R5 b - -,g5f5
8/8/5RP1/8/2p5/2P5/2K1p3/4k1r1 b - -,g1g3:g1g2
2rq1rk1/pb1nbppp/1p3n2/2pp4/3P4/BPNBPN2/P4PPP/2RQ1RK1 w - -,d3f5
1r6/1P2Rpk1/4b1p1/pP5p/8/3p4/1P1N2PP/6K1 w - -,g1f2
8/pb6/6pp/1P2k3/8/1P2K3/P3N2P/8 w - -,a2a4
8/5P2/2K1N3/8/3k4/b7/8/8 b - -,d4c4
8/7p/8/2kp4/4p2p/4K1P1/8/8 w - -,g3h4
3r2k1/pQp2p1p/6pP/3R1n2/3P1P2/5Nq1/PP1B4/4K3 w - -,e1e2
r1bqk2r/pppnp1bp/3p2p1/6B1/2BPQ3/5N2/PPP2PPP/R3K2R b KQkq -,d7f6
rb3r2/1p5k/2p1p1pp/5p2/2PP1q2/1P1Q1N2/5P1P/4R1RK b - -,f8e8
r3r3/3b1nkp/1pp2qp1/pNn1pp2/2P2P2/1PN3PP/P4QB1/3RR1K1 w - -,b5c7
3Qq3/K3Bp1k/4p1p1/3pP1Pp/P4P2/1P6/7P/5b2 b - -,e8c6
r3kb1r/3q1p2/p2pb3/Bp2p2p/4P1p1/1N1Q4/PP3PPP/R4RK1 w kq -,b3d2
2r1k2r/1p1b1p2/p2pp3/4nP1p/4PRp1/1NPB4/PP4PP/R5K1 w k -,a1d1
8/8/p7/1p3p2/1P3PPk/4R3/1r6/3BK3 w - -,g4f5
5rk1/3b1ppp/8/p1p5/PpP1P3/1P4bP/3Nn1B1/R4R1K w - -,g2f3
1r5k/R5b1/3pBp1p/1p1P4/1B4P1/1b5P/5P2/6K1 b - g3,h6h5
r1b1r1k1/pp1nqp1p/3p1np1/2pP4/2P1P3/2NB1N1P/PP4P1/R2Q1RK1 w - -,f1f2:d1d2
2rr4/4kp1p/2npp1p1/pp6/4PP2/P1PRK2P/BP4P1/3R4 b - -,b5b4
