8/2Q2bk1/5pp1/7p/7P/6P1/q4PK1/8 b - -,a2c4
6k1/6pp/q2p1p2/p1nPpP2/1pN1P1PP/1P2Q3/P3K3/8 b - -,a5a4
r2q1rk1/3nbppp/p1n1p3/1pppP3/8/2PP1N1P/PP3PP1/R1BQRBK1 w - b6,c1f4
8/R3k3/4p3/4Pr2/4K1p1/P5P1/8/8 b - -,e7e8
2rq1rk1/pb1n1p1p/1p1pp1pb/P7/3P1n2/2P2N1P/1PQN1PPB/R2R1BK1 b - -,d8f6
8/8/2p3p1/pp2k2p/4r3/1PK2RP1/6P1/8 b - -,c6c5
8/3r2kp/p4nr1/2R4p/8/3P1RN1/5PP1/6K1 w - -,c5f5
2r5/p3kpp1/bnn1p2p/1p1pP3/3P1N1P/P1RB1N2/1P3PP1/6K1 b - -,c6a5
4r1k1/p4ppp/3r4/8/2R5/P2p4/5PPP/3R2K1 w - -,g1f1
1q1r4/pp1r1pk1/1np1pbp1/Q6p/2PP3P/1P2BBP1/P2R1PK1/3R4 b - -,g7h7
5k2/4b2b/5p1p/1N5P/1p2PpP1/1B3P2/P4K2/8 b - -,h7g8
5R2/5p2/4rk2/6pp/4PK2/8/8/8 w - -,f4e3
3r2rk/2R1R1bp/6p1/p7/1p1p4/6P1/PP4KP/8 w - -,g2f1
r1b2rk1/ppq1bppp/1n3n2/3Np3/8/1P2PN2/PBQPBPPP/2R1K1R1 b - -,f6d5
8/8/p3K3/Pk6/1p6/8/1PP5/8 b - -,b5a5
7k/1p1r3p/p6P/4p1p1/P7/1P4P1/5P2/2R2K2 w - -,c1c8
8/8/1p1p1k1p/p6P/2Pp1PP1/bP6/P1BK4/8 b - -,a3b4
8/1p3pk1/8/7p/3Rp1PP/1P2Pp2/P4P1K/2r5 w - h6,d4e4
r2qr1k1/1p3pbp/pn3np1/3P2B1/8/N1N2P2/PP1Q2PP/R4RK1 b - -,b6d5
r1b3k1/p3q1bp/1p1p2rn/2pPp2n/1PP1P3/P3B3/2Q1NNBP/2RR2K1 w - -,c2d3
r2qr1k1/pppn1pbp/3p2p1/8/b1P1P3/1N4PP/PP1B1PB1/R2QR1K1 w - -,d1c2
r1bqkb1r/1p1p1ppp/p1n1p3/8/3PP3/5N2/PP3PPP/RNBQ1RK1 b kq -,d7d5
5k2/5p1p/2b1pQ2/8/P4p1B/5q2/1P3PrP/5K2 w - -,f6e7
3q4/r5pk/P1P2p1p/RQ2p3/3pP1PP/5P2/2K5/8 w - -,c2d3
r3k2r/ppbnqpp1/2p1pn2/3p4/2PP2Pp/PP3B1P/1BQNPP2/R4RK1 w kq -,f3g2
6r1/pp4kp/3q2r1/n4R2/4p3/P1P1Q3/2P2RPP/3N2K1 w - -,f2d2
3r4/2p1kp2/4b3/1p2r1pp/4P3/1PP4P/P4RP1/1B3RK1 b - -,c7c5
8/2p4p/P2p1pk1/3n4/6PK/2r4P/8/R7 w - -,a6a7
r1bq1rk1/3nppbp/p2p1np1/2P3B1/2B5/2N1PN2/PPQ2PPP/R2R2K1 b - -,d7c5
rn2r1k1/pp3ppR/2p1qpb1/8/3P4/2PBB1P1/PPQ2PP1/2KR4 b - -,g8h7
q3kb1r/2Nb1p1p/2np4/1p2pp2/1pP1P3/8/PP3PPP/R3KB1R b KQk -,e8e7
1r6/1Pb2p2/2B1k1p1/3R3p/1p5P/3K2P1/P4P2/8 w - -,d3c4
r2r1bk1/1b1n1ppp/pqn5/1pp1P3/4BB2/P3NN1P/1P3PP1/R1Q1R1K1 w - -,e3d5
3k4/R7/8/2P2K2/5P2/8/p7/r7 b - -,d8e8
r3r1k1/ppnn1ppp/2p4q/2P1P3/5pPP/P2B1N2/P6Q/R1B3K1 b - -,c7d5
1n3rk1/4ppbp/2p2np1/3bN3/P1pP4/6P1/1P2PPBP/R3qRK1 w - -,f1e1
4n3/8/p3p3/1r2p3/1P2P1k1/2KNR3/8/8 b - -,e8d6
8/1kn2Q1R/p3p3/2r5/6P1/3q3K/7P/8 w - -,h3h4
r1b2rk1/p2nppbp/2p2np1/qp4B1/2PPN3/P2Q1N2/1P3PPP/2KR1B1R w - b6,d3d2
q1r1r1k1/1bb2ppp/pp1ppn2/4n3/2P1PN2/1PN1BPP1/P2Q2BP/2RR3K b - -,b7c6
4r1k1/pp3pp1/2p3P1/5P1p/1PPq2nP/2r2B1R/P1Q3K1/5R2 w - -,g6f7
8/1b3qbk/pp1Bprpp/4p2n/2P1P3/1P2Q1P1/P1BR1NKP/8 b - -,f6f5
r1bq1rk1/ppppnpbp/2n3p1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQ1RK1 b - -,d7d6
2rq1rk1/1p1nbpp1/p2pbn1p/P3p3/4P3/1PN2B2/2PBNPPP/R2QR1K1 w - -,e2g3
r4qkr/1bp3p1/p1nbp2p/1p2p3/4N3/2P1R3/PP1N1PPP/R1BQ2K1 b - -,f8e7
r3kb1r/p4p2/bpp1p1p1/3pP2p/4P2P/4B1N1/PPP2PP1/2KRR3 w kq -,f2f4
6r1/2p4R/4pR1p/1p2P2k/6p1/1P6/1Pr2PP1/6K1 w - -,h7h6
6k1/1pp2qpp/p7/P2r1RQb/4p3/2B3P1/1P2PP1K/8 w - -,f5d5
8/p7/1ppk4/5PN1/PP2p3/5b2/7K/8 b - -,d6e5
8/5Qpk/1p2pn1p/7P/p2P4/1b3P2/1Pr2KP1/4B3 w - -,f2g1
6bk/pp4qp/4p1p1/3pNr2/7P/6Q1/PP3PP1/2R3K1 w - -,f2f4
1R1b4/1p5p/1P1r1pp1/1k2p3/6P1/4BK2/5PP1/8 b - -,d6d7
3r1k2/5p1p/R5pP/1p1Bb1P1/2p5/7K/8/8 w - -,d5c6
8/6p1/4npk1/2pr2p1/1r3p2/1PR4P/R2N1KP1/8 b - -,e6d4
1k5r/ppqnbppr/2n1p1b1/2ppP3/5BP1/1BPP1NN1/PP2QPK1/R6R b - -,a7a6
8/5pk1/3Q1ppn/8/3n1P1p/7P/4r1PK/8 w - -,d6d4
3q1r2/r2p1pbk/2p3pp/pp2P2P/4R3/1P2nN2/1P1Q1PP1/4R1K1 w - -,e1e3
2rr2k1/p4pp1/bp5p/8/1P1qPN2/P6P/4QPP1/R2R2K1 b - -,a6e2
2r1b1k1/p3r1p1/1pn5/3pPp1p/6P1/P1BB2KP/2P2R2/4R3 w - -,g4f5
4rr2/p1pkn3/1p2Rp2/3p1np1/3P4/2PN2Pp/PPKN1P1P/4R3 w - -,b2b4
r1bq1rk1/ppp2pbp/5np1/8/3P4/1N1pP1P1/P2B1PBP/R2Q1RK1 b - -,f6d5
r2q1rk1/p1p1ppbp/2Q2np1/8/8/2N3P1/PP1PPP1P/R1B1K2R b KQ -,e7e6
2r2rk1/1pqbbppp/p1nppn2/8/3NPP2/2N1B1PP/PPP1Q1B1/3R1RK1 b - -,b7b5
r1b1nr1k/2q1bppp/p1ppp3/6B1/4PP2/1BN3Q1/PPP3PP/R4RK1 b - -,f7f6
1r3rk1/3nppbp/b2p2p1/p1pP4/4PP2/2P1N1PP/Pq1QN1B1/2RR2K1 w - -,c1c2
r3r1k1/2qb1pp1/2pb1n1p/pPn1p3/2PpP3/1P1P1BPP/4QP1K/1RBR1NN1 b - -,c6b5
r2qkb1r/3n1ppp/p3pn2/1p1pNb2/Q2P1P2/2N1P3/PP4PP/R1B1KB1R w KQkq b6,a4d1
2kr1b1r/ppq2ppp/1n2pn2/2p1N3/2PP3P/1B6/PP1BQPP1/1K1R3R w - -,d2f4
r5k1/pp2q1p1/7p/3r4/2p5/2P5/PPP4Q/1K1RR3 w - -,d1c1
8/kpp5/p2q2p1/n2p1p1p/P2P1P2/Q1PPBKPP/8/8 w - -,a3c5
6k1/p5bp/2p3p1/2Pp1pP1/4rN2/1P4P1/P7/3rR1K1 w - -,e1d1
r1b1k2r/5pbp/pqnpp1p1/3pP3/3P1P2/1PBB1N2/P5PP/R3QR1K b kq -,e8g8
2q2k2/2P2p2/4p1pp/pp1NP3/5PP1/P3K3/1P5P/2R5 b - -,e6d5
8/8/p2k2p1/Pp1P1p1p/2nK1P1P/6P1/2B5/8 b - -,c4a5
8/1R6/p1N5/P1Pp4/2b2k2/8/7r/2K5 b - -,f4e3
3B4/6pk/1p6/1P1Bpp1p/4P2P/5PP1/8/3r1K2 w - -,f1e2
3rr1k1/p1p1nppp/1pn2q2/4P3/8/BQP1PP2/P4PBP/3R1RK1 b - -,c6e5
8/8/R1p5/4pk2/8/2P2KP1/3r4/8 w - -,g3g4
8/1p2kp2/1r3n2/p2p3p/5Pp1/P3PPP1/1P1RK3/1B6 w - -,b1a2
r3r1k1/p4ppp/1pq2n2/4p3/1BP5/1Q4P1/P3PP1P/2R2RK1 w - -,c4c5
4k2r/1qrbbpp1/4p2p/pp1pP3/n1nP1B1P/PQP2NP1/R4P2/1N2RBK1 b k -,c4a3
R7/3Bn3/4P1p1/3pkp1p/1r2p2P/4P1P1/5P2/5K2 b - -,d5d4
4q1k1/3r1bpp/2np4/p3pp2/8/P2P1N1P/1rP1QPP1/2BRR2K b - -,b2a2
1r2kb1r/p2n1p1p/bqn1p1p1/2ppP3/1p1P1PP1/2PBBN2/PP2N2P/R2Q1R1K b k g3,b4c3
3r2k1/N3bppp/1p2pn2/8/1Pq5/6P1/P3PPBP/R2Q1RK1 w - -,d1b3
8/8/4B3/5P2/1p3k2/1N2r3/5K2/4b3 w - -,f2f1
8/5pb1/1pkB2pp/8/3P4/2PK4/5PPP/8 w - -,d6b4
6k1/2B3pp/4n3/4Pp2/2R2P2/4r2P/6P1/6K1 w - -,c7d6
8/r1NR4/2n2bpk/2pBp3/4PPK1/6P1/8/8 b - -,c6b8
r2r2k1/1p2q1b1/p1pR1p2/2PnpQp1/4N3/4P1B1/PP3PP1/3R2K1 b - -,d8d6
rn1q1rk1/pp2ppbp/5np1/3p4/3Pb2N/2N3P1/PP2PPBP/R1BQ1RK1 w - -,f2f3
6k1/1r3p2/6p1/4P2p/n6P/1p3P2/1B4PK/1R6 b - -,a4b2
3r1b2/6pp/4k3/2prP2P/P4PR1/PpR1P3/1B2K3/8 w - -,c3b3
r1r5/p2k1pbp/4p1p1/3p4/8/1P3P2/P1P1R1PP/1RB4K w - -,c1a3
2r1kb2/2q2p2/p3p3/1b1p4/3Q1P1p/1NpPBB2/P1K3PP/7R w - -,h1e1
8/7p/3p2pk/1R1Ppb2/P7/6P1/3q3P/5Q1K b - -,d2d4
4r1k1/r4pb1/3p2p1/p1pP2Pn/PpR1PPpP/1P4N1/1B4K1/5R2 w - -,b2g7
4r3/pp6/3b1k2/3Ppp1p/1Pr5/P4KP1/1B2R2P/5R2 w - -,f1e1
r1bq1rk1/ppp1np1p/3p1np1/4p1N1/2P5/PP2P3/2QP1PPP/R1B1KB1R b KQ -,c8f5
2kr1b1r/1b3p2/p2p1P2/1pq3Bn/3R2P1/2N1Q3/PPP4P/2K1R3 b - -,h8g8
r5k1/6bp/4r1p1/2B5/5P2/1R3N1P/P5P1/6K1 b - -,e6e2
5k1r/4pp2/2B3p1/4r2p/1P5P/2P3P1/5P2/R5K1 w - -,c3c4
2rqr1k1/pp3p1p/2b3pB/3Bb3/3P4/P4Q2/1P3PPP/R5K1 w - -,f3f7
2brr1k1/6pp/p4n2/1pp1N1B1/4P3/7P/PPP3P1/R3R1K1 w - -,e5d3
2r2rk1/1bq1bppp/pp1p4/2n1p3/2PQP3/1PN3P1/PB3PBP/2RR2K1 w - -,d4e3
3rb2k/ppq1b1p1/1n2p2p/4Pp2/5P2/2B1NBP1/PP2Q1KP/5R2 w - -,f1d1
7r/p3pp2/1p1p1k2/3P1p1r/P2R1P1P/2P1K3/1P6/7R b - -,h5h4
2br1r1k/pp5p/1q2pp1b/2Nn4/1PBP4/PQ3N2/5KPP/R3R3 w - -,e1e4
r2qk2r/1p3pp1/p1nBp3/P1Pp4/8/6Pp/1PP2P1P/R2Q1RK1 b kq -,d8f6
r5k1/5ppp/2q1p3/1NbbP3/8/5P2/1P1BQ1PP/3R3K w - -,d2c3
8/K2k4/6p1/p1BPp2p/4P3/8/1r6/5R2 w - h6,f1f7
1r2k2r/Q4Rpp/4p3/8/1q6/4nP2/PP4PP/5RK1 b - -,b4d6
4rrk1/pp1nbnp1/2p1p3/3p4/3P2P1/1P1NPPBP/P3N3/R4RK1 b - -,f7g5
r4rk1/ppqb2p1/2p2p1p/2PpP3/3P4/P2BP3/1P2Q1PP/R4RK1 b - -,f6e5
3qrbk1/5p1p/1pr1pnp1/2Pp4/3P4/Pp1B4/1B2QPPP/3RR1K1 b - -,c6c8
5r1k/1p2q1p1/1Qn4p/r3p3/4PpbP/P1P2N2/1P3PP1/2KR3R b - -,f8a8
8/p5pk/bp1p3p/2nP4/2q2N1P/P1B3P1/5P1K/4Q3 w - -,c3g7
1nr2rk1/1p2b1pp/p2p2q1/3Rp3/4P3/2P5/PP1NQBPP/R5K1 b - -,b8d7
2r5/p4ppk/q3p2p/3pP3/r2Nb1Q1/7P/PR3PPK/3R4 w - -,g4f4
8/5ppp/2kP4/4PPP1/7P/n2n4/K7/1q1R4 w - -,d1b1
7r/p2kpp2/bp1p1bn1/2pP3R/4PP2/1P2BNP1/P1P1NK2/8 w - -,h5h8
3r1rk1/1p4pp/1np1b3/n3p3/p1P1N3/P1R1P1PP/2RN1P2/5BK1 b - -,h7h6
8/R7/1p2pkp1/7r/8/2P1P1K1/P6P/8 b - -,h5g5:f6e5
q1rr1nk1/1b3pb1/pp1p2p1/4p1Pp/P2PP2P/1P4N1/1B2Q1P1/RB2R1K1 w - -,d4d5
3r2k1/pp3pb1/2r3pp/2n5/2ppPP2/6PB/PPP4P/2BRR1K1 w - -,e4e5
5rk1/2pbq2n/rp3b1p/p1PPp1p1/4Pp2/P1N2P2/3N1BPP/RQ3RK1 w - -,b1d3
5bk1/p5p1/4p2p/1p1qB3/6PP/1P6/P2N1Q1K/8 b - -,d5e5
8/2n2kp1/4p2p/2pr3q/5P2/P1B1Q3/1PP5/1K2R3 w - -,e1g1
r1r5/1p2kpp1/3pbn1p/p3p3/1n2P3/3BNP2/PPP3PP/R1B1R1K1 w - -,a2a3
r4k2/p4p2/2p2n1p/6p1/N2p2b1/P2B1PP1/1P4P1/4R1K1 b - -,g4e6
2r2k1r/8/1p1pn1p1/p2P1p1p/2P1pPnq/2R4P/PP1QB1P1/5RK1 w - -,d5e6
r1q1k2r/1b1n1ppp/p3p3/B2pP1P1/3N1P2/b2B4/P1P2Q1P/1R2K2R b Kkq -,d7c5
rn1qkb1r/pb1p1pp1/1p2pn1p/2p3B1/3P4/2PBPN2/PP3PPP/RN1QK2R w KQkq -,g5h4
2kr4/ppp1q1p1/4pn2/5p2/2PPpPp1/1P2P1Pr/PBQ4P/1K1R2R1 b - -,h3h6
3R4/2p2k2/1p1p2p1/2rPnpK1/P1P5/2R5/8/8 b - -,f7g7:f7e7
r4qr1/p1p2bpk/5p1p/2p1pP2/2P1NBQ1/7R/PP4PP/R5K1 b - -,e5f4
2b1rrk1/1pq4p/2p2n2/3pNpp1/PQ1P4/4PPP1/6BP/R1R3K1 w - g6,f3f4
