5k1R/6r1/5p2/5B2/4K1PP/8/8/4b3 b - -,g7g8
2k5/5R2/6p1/2p2p1p/P7/5K1P/1P3P2/6r1 w - -,a4a5
3rr1k1/5pp1/p1pp1n1p/8/2N1P3/1P3P1P/P4qP1/3RR1K1 w - -,g1f2
r1bqk2r/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
rnbqk2r/pp3ppp/4pn2/2p5/1bpP4/5NP1/PP1BPPBP/RN1QK2R w KQkq c6,d2b4:d1c1:a2a3:e1g1:d4c5
2r3k1/5pp1/2p2nbp/8/1p4P1/1BN4P/PP3P2/4R1K1 w - -,c3d1
1rb1r1k1/2p2pp1/2pb1n1p/p2p2q1/3P4/1P1Q1P2/P1P1NBPP/1R2RNK1 w - -,e2g3
4r1k1/1br1qpp1/p2p1n1p/1p1P4/1P2pP2/P1N1P3/3QB1PP/2R2RK1 w - -,e2d1
3r1rk1/p1p2p1p/1pn1bbp1/3q4/5PP1/2PB3P/P1P1NB2/1R2QRK1 b - -,e6c8
5nnk/2q4r/bp1p1p2/p2Pp3/P1p1P3/2P1N1N1/1PBQ2P1/5RK1 w - -,g3f5
r4rk1/2p1qpp1/1P1ppn1p/p2b4/Q2P4/5NP1/PP2PPBP/2RR2K1 b - -,c7b6
2bR1nk1/5p2/pNp1qPp1/2p1p3/2P1P1pB/5R1P/P7/7K w - -,f3d3
8/1p4p1/4P1kp/5p2/p3PP2/P5P1/4qK1P/8 w - -,f2e2
rnbqkb1r/pp1ppp1p/5np1/2P5/2P5/4P3/PP3PPP/RNBQKBNR b KQkq -,d8a5
2rqk2r/4bppp/p1b2n2/1Bpp4/8/1P6/PBP1QPPP/RN2R1K1 w k -,b5a6
4r1k1/1R6/pB1p2pb/P2Pprq1/1P2R3/5P2/5QPP/6K1 b - -,g5c1
7k/p3r2p/2Bq1n2/1P6/2Pp1P2/7P/4Q3/2BK2R1 w - -,e2d3
r1b1qrk1/1ppn1pbn/p2p2pp/3Pp3/1PP1P2B/2N5/P2NBPPP/R2Q1RK1 b - b3,h7g5
2q5/3nBp1k/6p1/p2P3p/1pB1P2P/1P3Pb1/1Q4P1/7K b - -,d7e5
1r2k3/7r/6pp/R1P2p2/7P/2K2B2/5PP1/8 w - -,c5c6
6k1/2b3p1/p3p3/1p4Pp/1P2Nq1P/7K/P3Q3/8 w - -,a2a3
5rk1/N2nbp1p/6p1/3pp3/1P6/P3BP1P/5P2/2R3K1 w - -,c1c7
2k1r2r/pppq2pp/3bnp2/1P1p1n2/P2P2b1/2NQ1NP1/2P1BP1P/1RB2RK1 w - -,c1e3
r2q1r1k/1pp3pp/p3P1n1/P1b1p3/8/1Q6/1P3PPP/R1B1RBK1 w - -,c1e3
3r4/p2rn1kb/2p1p2p/qp1PP1pP/2P2pP1/1P3B2/P2RQB1K/2R5 b - -,b5c4
br3rk1/4qpp1/p2R1n1p/2p1pP2/4P1Pb/N1N1BQ2/PP6/3R2K1 w - -,f3h3
R7/6pk/5p2/5P1P/5K2/5P1P/p7/r7 w - -,a8a7
r3n1k1/1p2rpp1/2p4q/p3p3/P1B1P2P/2N1P1Q1/1P6/5RK1 w - -,f1f2
1k3r2/3Qp1r1/R1p3pp/2q1P3/1pB1n3/7P/1PP2PP1/R5K1 b - -,c5f2
6k1/1p1q2pp/p2p1p2/3P1P2/5Q2/1P6/5PP1/6K1 b - -,d7e7
5rk1/p3pp1p/6p1/2p1qP1b/4P1P1/2P1Q2P/Pr6/4RRK1 w - -,f1f2
5k2/8/5r2/6p1/6Bp/1pN2P2/3K4/8 b - -,f8g7
r1bq1rk1/pp2bppp/2n1pn2/8/3P4/P1NBBN2/1P3PPP/R2Q1RK1 b - -,b7b6:f6d5
3rr1k1/ppp1bppp/2n5/2P2b2/3Pq3/PQ2BN2/4BPPP/R3R1K1 b - -,c6a5
2k4r/1p3p1p/2pb4/p3n1p1/P3PN2/1bR1P1K1/1P2B1PP/R7 b - -,g5f4
r4rk1/ppq2pp1/4p2p/2n5/2P5/3Q2P1/PP3PBP/R2R2K1 w - -,d3d6
1r2krb1/1pp5/p1n3pp/4PQN1/8/4B3/P5PP/2R1R1K1 b - -,f8f5
6k1/5p2/6p1/6q1/1p2r3/4NQ2/1PP2K2/8 w - -,f3e4
8/1p5k/p6P/3p1p2/b2P1B2/P7/2PK4/8 b - -,a4b5
2r2rk1/3nbp1p/3p2p1/1N2p3/1P6/P3BP1P/5P2/2R2RK1 w - -,b5a7
4r1k1/1p2rpb1/3p2pp/2qP4/3p4/3Q4/3B1PPP/R1R3K1 w - -,c1c5
r1b2rk1/1p4p1/p1n1pq1p/2b2p2/8/2PB1N1R/PP3PPP/R1BQ2K1 w - -,d3c4
2rq2k1/1p1nppbp/p2p2p1/3P4/4P3/1P2B1P1/P1RQ1PBP/6K1 b - -,d7c5
1k1r3r/pp2n1p1/2pqn3/3p1pPp/3P3P/P2BP3/1P1Q1P2/1KR3NR b - -,c6c5
2rq1rk1/pp2n1bp/2np2p1/2p1pp2/4PP2/2PPBQPP/PP1N2B1/R4RK1 w - -,f3e2
rnbq1rk1/ppp2ppp/3ppn2/8/2PPP3/P1b5/1PQ2PPP/R1B1KBNR w KQ -,b2c3
r4rk1/pppqn1pp/4bp2/8/3pPR2/P2P2NP/1PPN2P1/R2Q2K1 b - -,a8e8
3R2k1/6p1/7p/4p3/2bB1PP1/2P4P/r1PK4/8 b - -,g8f7
3r1rk1/RB3p2/1n2pN1p/1b3p2/8/4P3/1P3PPP/R5K1 b - -,g8h8
8/4k3/pQ6/2P5/p7/3q4/KP6/8 w - -,b6b4
2rqr1k1/pb2ppbp/3p1np1/1p1P4/1PN1P3/5N1P/P1B2PP1/1RBQR1K1 b - -,b5c4
8/1P2pk2/3b1pp1/r7/3PN1P1/5P2/1P2R1K1/8 b - -,a5b5
r1b2rk1/1pqpb1pp/p1n1p3/2P2p2/N2Nn3/4B1P1/PP2BP1P/2RQ1RK1 w - f6,e2f3
rnbq1rk1/2p1bppp/1p3n2/p2p4/3P4/2NB1N1P/PPP2PP1/R1BQR1K1 b - -,c8a6
r3n1r1/2pbnqbk/pp1p3p/3P1p2/2PBpP2/4N1P1/PP1QBN1P/5RRK w - -,b2b3
r1b2rk1/1p4b1/2np1qpp/p1p1pp2/2P5/P1NP1NP1/1PQ1PPBP/1R3RK1 w - -,c3d5
2r5/pr1k1p1q/4p3/3pP2P/3P4/P4QR1/2pK1PP1/2R5 w - -,f3f6
8/1p6/p1pb2k1/6p1/1PPPK1Pp/1P6/8/4B3 w - -,e1d2
8/5pk1/4p1p1/pr5p/3P4/4P1P1/1PR2P1P/6K1 w - h6,h2h4
r2qkb1r/pp1bpppp/2np1n2/1Bp5/P3P3/3P1N2/1PPN1PPP/R1BQK2R b KQkq -,g7g6
q3b1k1/1r3ppp/2p1p3/2PpP3/1P5P/2Q3P1/5PB1/R5K1 b - -,a8b8
r3k2r/1bqnbpp1/p2ppn2/1p5p/4PP2/PNNB1Q1P/1PP3P1/R1B1R2K b kq -,f6g4
3r2k1/p4pp1/7p/2Pq4/1r2pN2/3nB1P1/P2R1P1P/3Q2K1 b - -,d5c4
1rn1b1k1/4qppp/R3p3/1pNp4/1PnP4/1Q2P3/N3BPPP/6K1 w - -,a2c1
1r5k/4p2p/pq1p1r1P/2p2pR1/2B1bP2/P1Q5/1PP3P1/2KR4 b - -,b6b7
R3b2r/1p4k1/1P2p3/1r2Np2/1P1P3p/2P2P2/5K2/6R1 b - -,g7h7
2rR2k1/p3r1pb/npp1pn1p/8/4P3/2N1BPP1/PP4BP/3R2K1 b - -,c8d8
r5k1/p5pp/1p2pn2/8/4q3/2P1Q1B1/P1P3PP/3R3K w - -,e3e4
1r2q2r/b1p3k1/3p2p1/1pnPpbp1/p5N1/P1P3Q1/1PB2PPP/3RR2K w - -,c2f5
