8/R4pkp/8/6Pp/1p3PK1/pr6/8/8 w - -,g4h5
3rk3/2n1bpp1/p5r1/1p1pP3/1P1P4/4KPP1/R1BB4/7R b - -,g6c6
8/p3R1pp/kp6/8/Pr3K1P/6P1/8/8 w - -,f4g5
5rk1/6p1/p4rp1/1p2R2n/3pP3/3n1P1P/PP4N1/R2B2K1 w - -,e5d5
r1bqkb1r/pp3ppp/2n2n2/8/3p4/1PN2N2/PB1P1PPP/R2QKB1R w KQkq -,d1e2
r4rk1/1bq1ppbp/pn6/1pp3Pp/4P2P/1PN1BP2/P1PQ4/2KR2NR w - -,e3f4
5n2/5kp1/p2R1p2/1b2p2p/1B6/4KP2/6PP/8 w - -,d6d8
r2r2k1/1b3p1p/pn2pP2/1pb2P1p/2pp1B1N/P2P3P/1PP2RB1/R5K1 w - -,g2b7
2br1rk1/p1n2ppp/q7/b1p3BQ/2p1P3/P5P1/1P2NPBP/1R3RK1 b - -,f7f6
r5k1/pb1nqpp1/2r4p/1p1p4/2pP1Q1N/4P3/PP2BPPP/2R2RK1 w - -,h4f5
2r4r/1bq1kp2/pn1p1p1b/1p2pP2/P3P2p/1PN2B2/2PQN1PP/R2R3K w - -,d2d3
r3k2r/ppp1qp1p/2np1nb1/4p1p1/4P1P1/1BPPP2P/PP5N/RN1Q1RK1 b kq -,c6a5
1r2rnk1/n1p1qbpp/1p1Ppp2/pP6/P2PP3/B1Q2NPB/5P1P/R3R1K1 b - -,c7d6
r4rk1/1ppbqp2/n2p1np1/3Pp2p/p1P1P2N/P1Q3P1/1P1N1PBP/R4RK1 w - -,f2f4
4b1k1/4r2p/2p1p3/ppPpPpr1/5R1R/PP2PB1P/5KP1/8 w - -,f4d4
1r2r1k1/1p3p1p/p1np2pb/P2Np3/2B1Pn1q/4BP1P/1PPR2P1/R2Q2K1 w - -,d5f4
2r2rk1/5pp1/1q2p1p1/1n1p4/p2P2P1/P6P/1BP2PK1/1R1QR3 b - -,c8c4
8/3b2p1/8/2k4p/r3B2P/6P1/2P5/4R2K b - -,a4e4
2R2b2/5p2/3pnpk1/3NpN1p/4P2P/2P2P2/r5P1/5K2 w - -,g2g3
r3r1k1/1p3ppp/p1n5/8/6R1/2B5/PP3PPP/R5K1 b - -,g7g6
r5k1/6bp/3Q1pp1/1q1p4/1prP4/4P3/P1RR1PPP/4N1K1 b - -,a8a3
r3r1k1/2pn1ppp/p2p1b2/8/N7/8/PPPB1PPP/R3RK2 b - -,e8e6
3r2k1/pp2q1pp/2n1pp2/3r4/3PQ2P/P3B3/1P3PP1/R2R2K1 w - -,d1e1
6r1/8/8/2RN4/1k1K4/8/8/8 b - -,b4a4
r3qrk1/pbp3pp/1p1p1n2/n2Npp2/2P5/2PP2P1/P3PPBP/1RBQ1RK1 b - -,e8f7
r3kbnr/pp1n2pp/4p3/2p1P3/8/PN3N2/1P3PPP/R1B1K2R b KQkq -,h7h6
8/6k1/6pp/1pp1p3/3bP3/1P1N1KP1/P6P/8 w - -,f3e2
1r2r1k1/p2n1pp1/4p2p/1QBqP3/1P1P4/P3R1P1/5P1P/R5K1 w - -,b5a6
2q5/6p1/1k1p3p/8/5PK1/Q5P1/7P/8 w - -,g4f3
r1b1k2r/pppp1ppp/1b6/2q1nP1Q/3pP3/1B1P4/PPPN2PP/R1B2RK1 b kq -,c5e7
k1r4r/p1nQ1p1p/q3pPpP/R2p4/2pP4/2P2N2/2PK1PP1/1R6 b - -,h8d8
1r6/3nk1p1/p2p1p1p/2nPpP2/2r1P3/R3B2P/6PK/RB6 b - -,b8b2
r1bqk1r1/1p1n1p2/p3p3/3pP2p/3N1Pn1/1N4Q1/PPP1B1P1/2R1K2R w Kq -,h1h5
r1bqkbnr/p4ppp/2pp4/2p1p3/4P3/2N2N1P/PPPP1PP1/R1BQ1RK1 b kq -,g8e7
