8/1B6/2p3p1/p3npk1/3R4/6P1/2r3K1/8 w - -,g2f1
2rqkb1r/1p3ppp/p1n1bn2/2pp4/P2P4/BPN1PN2/4BPPP/R2Q1RK1 b k -,c5d4
2r2r1k/ppq2pp1/1np2np1/4b1B1/4P3/1BN2PP1/PPQ4P/4RRK1 b - -,e5d4
2rr2k1/5ppp/1q2b3/pp6/2pbP3/1PN3P1/P3QPBP/2R1R1K1 w - -,c3d5
3nrr1k/1ppqb2p/p5p1/3pPp2/3p1PP1/P2B1Q1P/1PPB4/3RR1K1 b - g3,d8e6
2r4k/6p1/7p/3q4/P5P1/2p2P1P/2Q3K1/2R5 w - -,c1d1
2r1r1k1/2qn2b1/p1pp2pp/P6n/Q1P1P1b1/B4Np1/3NPPBP/1RR3K1 w - -,h2g3
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,g2g3:e2e3:c1e3:d4c5:d1a4:c1f4:c1g5
2k5/8/1pBn2pp/p2PBp2/P1n2PP1/2P4P/8/6K1 b - -,b6b5
r4k2/pp1q1npp/2pp4/8/2P2Pb1/4r1P1/PPNQ2BP/4R1K1 w - -,d2e3
r1bqkb1r/pp1npppp/2p2n2/3p2B1/3P1P2/2N1P3/PPP3PP/R2QKBNR b KQkq f3,d8b6:h7h6
r2q3k/4br1p/pp1pR1p1/2pP1pBn/2P2Pn1/P1NB1P2/1PQ4P/2K3R1 b - -,e7g5
1r1r3k/p1p1q1bp/BpQn2p1/3Pp3/1P2Pp2/5P2/5BPP/R4RK1 w - -,f1c1
r1b2rk1/1p1nqpb1/2p3pp/pP2p3/2BP4/1QN1PN2/P4PPP/2RR2K1 b - -,e5d4
8/4bk2/2p1p1p1/2PbBpP1/3P1P2/4PBK1/5Q2/2q5 w - -,g3h2:f3g2
r3kb1r/1pp1pppp/p1Bq3n/3p4/5Pb1/1P2PN2/PBPP2PP/RN1QK2R b KQkq -,d6c6
6k1/p4p2/6p1/2p2q1p/P7/1PQ2PP1/K1P4P/8 w - -,c3d3
r4rk1/p5bp/1qp2ppn/3p4/3P4/1P3N1P/P4PP1/R1BQR1K1 b - -,f8e8
r2qr1k1/p4ppn/2bp4/2p4P/1pP1P2n/1P2bPN1/P6P/1N1RQRKB w - -,e1e3
r1q1kb1r/pppn1pp1/3ppn1p/5b2/2PP3B/1QN1PN1P/PP3PP1/R3KB1R b KQkq -,f8e7
1rn3kb/3npp1p/3p2p1/1PpP2B1/1q2PP2/rPN5/2Q1N1PP/1R3RK1 w - -,f1f3
6r1/2p1n3/1pp1kp2/p3pN2/4P3/3R1KP1/PPP2P2/8 w - -,f5e7
1B4k1/5Bp1/8/bP6/8/n4RP1/1r3PK1/8 b - -,g8h7
r1bqk2r/ppppbppp/5n2/4p1B1/2P1P3/5N2/PPP2PPP/RN1QK2R w KQkq -,b1c3
8/5pkp/2N1p1p1/p1r5/P1P2P2/6P1/3R3P/6K1 b - -,c5c6
