8/8/1K1k2p1/8/PbP3B1/7P/8/8 w - -,a4a5
2k2b1r/pp2pppp/2p1bP2/q7/5PP1/2NB1Q2/Pr5P/2R1K2R b K -,e7f6
8/4k3/p5pp/1p2K3/r3P1PP/8/2R5/8 b - -,a4c4
2r3k1/3qp2p/1r3bp1/1p1p1b2/1Q1P1B2/2P4P/B4PP1/2R1R1K1 b - -,e7e6
2kr3r/pppq2p1/2n1p3/b2n1p1p/3P4/P1NQP1P1/1P1B1PBP/R3K2R b KQ -,d5f6
2R5/pp6/k3p3/3p1nQB/8/6PK/Pq6/8 b - -,f5d6
rnbqk2r/ppp1p1bp/3p1np1/8/2P1p3/2NP2P1/PP3PBP/R1BQK1NR w KQkq -,d3e4
1Q6/5pkp/4p1p1/3p4/3P4/4P2P/3n1PPK/q1N5 w - -,b8e5
3r1kr1/p1q1np2/1p2p3/1B2P3/2b2P2/P1p5/2P2QPP/1RB1K1R1 w - -,a3a4
8/5R2/8/P1Bp2p1/3P1bk1/5p1r/5P2/6K1 w - -,a5a6
r4rk1/2q2p1p/3bpp2/1Pnp4/P3P3/2p2N2/2QN1PPP/R4RK1 w - -,c2c3
8/5N2/2p4k/q6p/4P3/1P3P2/2P5/1K5R b - -,h6g6
3rr1k1/1q3pb1/p1p1n1p1/P1B1p1n1/1PB1P3/1N3PPp/5Q1P/3RR2K w - -,c5b6
r1b1k2r/pp1npp1p/2p3p1/8/3RP3/2N2P2/PPP3PP/2K2B1R b - -,e7e5
rnbqkbnr/ppp1pppp/8/3p4/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq c3,c7c6
1r2k2r/pp1b1n2/n2p1b2/2pPp1qp/2P1Pp2/1QNN1P2/PP2BBP1/2KR3R w k -,c3b5
rnbqk2r/ppp2p2/7p/3p2p1/1b1Pn3/2N2NB1/PP2PPPP/R2QKB1R w KQkq -,a1c1:f3d2
r7/p1R5/1n5p/5pk1/4p3/2P3PP/PPBK4/8 b - -,h6h5
3k4/1R4pp/2BN4/2p5/7K/3r4/5r2/8 w - -,b7d7
8/4p3/3p4/3P2r1/1p3k1r/1PbRN3/4KP2/3R4 b - -,h4h8
5k2/8/4R3/6P1/4BPK1/r7/3b4/8 w - -,e6d6
b1n1k3/p4p2/2p1p3/Q3p3/4q3/3N4/PPP1BP2/3K4 w - -,a5c7
3q4/1b4k1/3pnpp1/p2N4/3Q1PP1/7p/P3PK1P/7B w - -,d4e3
5r1r/pp1k1pp1/4p2p/q2pPn1P/b1pP1Q2/P1P2R2/2PB1PP1/R2K1B2 w - -,g2g3
8/8/8/5p2/R4Q2/2K2P2/4r1k1/7q b - -,h1b1
1R6/r1k5/8/1Bn5/8/P1K5/8/8 w - -,b8g8
r6r/1p1k1ppp/p2bp3/3p4/1n1P4/1PBBP3/1P3PPP/R4RK1 w - -,d3e2
r2r2k1/pN3p1p/2b1pqn1/8/1Q6/6P1/PP2PPBP/R2R2K1 b - -,d8d1
2q4k/1b1nb2p/pn1ppp2/1p5N/3PP3/1P3Q1P/P2BR1B1/6K1 w - -,d2h6
r2qkb1r/ppp2ppp/2n1pn2/5b2/2pP4/5NP1/PP1NPPBP/R1BQ1RK1 b kq -,f8e7
r1b1nrk1/2q3bp/p2p3B/2pPp3/2B2p2/R1N4P/1PP2PP1/2Q1R1K1 w - -,h6g5
2r5/p2k1pp1/1prpp2p/3n4/2PP4/B3PP1P/P1RK2P1/2R5 b - -,d5e7
r3kb1r/1bqp1ppp/p1n1pn2/1p6/3NP3/P1NBB3/1PP2PPP/R2Q1R1K b kq -,f8e7:h7h5
7k/4b1pp/p2p4/1pn1p3/1P2P3/4Q1BP/2P1B1P1/1q5K w - -,h1h2
4brk1/p5pp/1Bp1p3/3p1p2/N2P1P2/3rP3/PP4PP/2R1R1K1 b - -,a7b6
6r1/3b1p2/3k4/pp1p1p2/3P1N2/1P2R1P1/1P1K4/8 w - -,d2c2
5rk1/4bppp/1pr1p1b1/p1p5/8/1PBP2N1/1PP1RPPP/R5K1 w - -,a1e1
r5k1/pnpq2pp/b1p2p2/3p4/P2P1B2/5P2/1PQN2PP/2R3K1 b - -,b7d8
R6R/2r2k2/4n1p1/4N2p/3rP2P/6P1/5PK1/8 b - -,f7f6
8/7b/8/1p4PP/p4K2/B1Pk1P2/1P6/8 b - -,h7g8
r1bq1rk1/pp2ppbp/2n3p1/2p1P3/4BP2/2P2N2/PP2Q1PP/R1B1K2R b KQ -,d8c7
1rb1r1k1/1pq2p1p/p2b1np1/P1p1n3/8/1NN1P2P/1PQBBPP1/R2R3K b - -,e5c6
2r3k1/1br2p1p/pq2p1p1/2p1P3/Pn1p1P2/1P1B2Q1/1P2N1PP/2R1R2K b - -,b4d3
r4rk1/pp3pbp/2bpn1p1/4p1q1/2P1Pn2/2N1BP2/PPBQN1PP/R4RK1 w - -,g2g3
8/R4pkp/6p1/1p6/5N2/4q1PP/R4n1K/8 w - -,f4g2
r2q1rk1/1p3pb1/pp1p2pp/3Pp3/4N1n1/B2P2Pb/P3PP1P/1R1QR1KB b - -,f7f5
8/p4k1p/4pq2/1PQ2pp1/8/1P2PPP1/P2r3P/5RK1 w - -,c5a7
r1bqk2r/ppp3b1/4p3/3n1pp1/3Pp1P1/2P1P1B1/PP1NBP2/R2QK2R w KQkq -,h1h8
8/4bkpr/p2p1n2/4pQ1B/3rP3/2N1K3/1qP4P/5RR1 b - -,f7g8
6k1/1bq2p1p/p3p1pb/1P1P3n/P1N5/5P1P/B3N1P1/1Q5K b - -,e6d5
2r3k1/5pp1/3r4/1Bn1p2p/2P1P2P/4BP2/6P1/5RK1 w - -,f1b1
6k1/4b1pp/p4p2/4pP2/Pp2N1Q1/1P4P1/2q4P/6K1 w - -,g4f3
4k3/4r1pp/1p1Bpp2/8/P1PP4/5P2/5P1P/6K1 w - -,d6e7
2r3k1/1p1r1pbp/p1npp1p1/q7/P1P1P3/1PN2P2/3Q1BPP/1R3R1K w - -,f2e1
r2r1bk1/1q6/2bBp2p/1p2Ppp1/p2p4/P1PP4/1PN1Q1PP/4RR1K b - -,d4c3
2r2k2/1pr1p3/p2p1b1p/P1nP1Pp1/6R1/2P1B3/1P2B2P/5R1K w - -,g4g2
8/8/1p2kpp1/2p4p/P4KPP/n1P2P2/8/4B3 b - -,a3c4
r1nqk2r/1p1n1pbp/p2pp1p1/2p5/2PPP3/2N1BN2/PP3PPP/R2Q1RK1 b kq -,e8g8
r4rk1/2q1bp1p/p1R5/3pN1p1/3P4/6P1/P3bPBP/3Q1RK1 b - -,c7e5
1r4k1/p4ppp/4p3/3q4/8/2p1P1PP/PbQ2P2/1R4K1 b - -,g7g6
7k/4Pp2/p5p1/3p3p/5pP1/2P4R/P4K1P/3q4 b - -,d1c2
8/8/8/8/4p3/4k1R1/4P1K1/4r3 b - -,e3e2
r2n1rk1/1bpp1pp1/1p5p/p7/3PPR1N/2PB4/P1P3PP/5RK1 b - -,b7a6
r3r3/1p3pkp/1np1q1p1/8/8/1P2P1P1/R3QPBP/4R1K1 b - -,a8a2
1rRn1k2/1P4pp/3p2b1/3B4/5P2/6P1/1B3K1P/8 b - -,b8b7
5rk1/Qpr2q2/5p2/6pP/P2R4/6P1/5P2/3R2K1 w - -,a7b6
r4rk1/1p2qpp1/2p1p2p/5b2/p1BPn3/P1P2N1P/1P2QPP1/3RR1K1 w - -,c4d3
r4rk1/pp4pp/2pp1p2/q3n3/2P1P1PQ/1P3N2/P2R3P/2K2R2 w - -,h4g3
3r2k1/q5np/p3b1p1/2Rp4/3Pp3/1B4B1/PP4PP/5QK1 w - -,g3e5
2rr4/p2nkppp/3bpn2/1B6/P4N2/4PP2/1B3P1P/2RR2K1 w - -,f4e2
r1b1k2r/1p1p1ppp/p4n2/4q3/3bPBn1/3B4/PPP1N1PP/R2Q1RK1 w kq -,g1h1
5rk1/p4pp1/3p1b1p/q1r1p3/1p2P3/1Q3N2/PPP2PPP/1K1RR3 b - -,f8c8
rn1qkb1r/ppp1pppp/5n2/3p4/2P3b1/1Q2PN2/PP1P1PPP/RNB1KB1R b KQkq -,g4f3
3r1bk1/1q3ppp/p3p3/1p1P4/8/5RPQ/nB3P1P/3R2K1 b - -,d8d5
r7/5k2/1Qpq2p1/p1Npp2p/P3P1bP/1P1N2P1/2P5/1K6 w - -,b6b7
