8/8/1k6/3K4/8/3N3R/8/3r4 w - -,h3h6
rn1q1rk1/pbpp1p2/1p2p2p/6p1/2PPn3/2bBPNB1/PPQ2PPP/R3K2R w KQ -,b2c3
r2q1Nk1/ppp1bpp1/2np3p/P1n1pb2/2B5/2PP4/QP3PPP/RNB2RK1 b - -,e7f8
8/5k2/4p3/pr1bPp1p/2p1pP2/2P3P1/RPN2K1P/8 w - -,f2e3
7r/1p3r2/p5k1/5n2/5R2/BP6/P5P1/4R1K1 b - -,f7h7
8/2rB4/2P2kp1/4p2p/1r2Pp2/5P2/2R1K1PP/8 b - -,f6e7
r1bq1rk1/1p4bn/p2p2p1/2pPnp1p/P3P3/2N1BP1P/1P1QB1P1/R1N1K2R w KQ f6,f3f4
8/2R2k2/r7/5K2/5P2/8/8/8 b - -,f7f8
4b1nR/k1q2rr1/1p1p2p1/p1pP1pP1/P1P1pP2/1PN1P2R/3K2B1/7Q b - -,e8d7
1r3rk1/p1qnbpp1/2bppn1p/2p5/Q1PP4/P2BPN2/1B1N1PPP/1R1R2K1 w - -,a4c2
1r4k1/4ppbp/r2p1np1/q1pPn1B1/4P3/2N5/PPQ1NPPP/R4RK1 w - -,a1b1
r7/1p1Nrpk1/p5n1/n7/P1p1p3/3P4/BPP4P/R4R1K w - -,d7b6
1q6/1p6/4p1k1/PBQpPb2/5Pp1/2K3P1/8/8 b - -,b8d8
2r5/1kP5/p1R1Q3/1q6/8/P7/1P6/K7 w - -,c6c4
4rrk1/2qn2bp/pp1p4/2pPpp2/PPP5/4BP2/3QN1PP/1RR3K1 w - -,b1b3
2r1bR2/1p4r1/p4Nk1/P1pPp1p1/8/8/1P4P1/4R1K1 w - -,f6e8
2r4r/pp3k2/3Bpp2/2Pn2p1/1nB3P1/PP3P2/5K2/R6R b - -,b4c2
1q1r3k/3r1pp1/2b1pn1p/1p2b3/4P3/1P1B3Q/P3RNPP/4R1BK w - -,d3b1
r4rk1/3qn1p1/2p1ppp1/1p6/2QPP3/2P2PP1/3B3P/RR4K1 w - -,c4c5
r2q1rk1/pp3ppp/2n1bn2/1B1p4/8/4RN1P/PPP2PP1/RN1Q2K1 b - -,d8b6
r1bqr1k1/p1n3bp/1p1nppp1/8/3P2PP/1QN5/PP1B1PBN/2R1R1K1 b - -,c8b7
r1bq1rk1/1p3pp1/1np4p/p1NnN3/P2P4/1Q6/1P3PPP/2R1RBK1 w - -,f1d3
6k1/5p1p/b2Np1p1/p3P3/P1r2P2/7P/6P1/1R5K b - -,c4a4
8/8/6pk/5p2/p1q4p/K6P/1RR3P1/8 b - -,c4a6
2kr3r/p2b1p1p/1pn1p2R/q2pP3/2pP4/P1P2N2/1QP2PP1/1R2KB2 b - -,d8g8
r1br1bk1/1pR2pnp/1q4p1/p3P1P1/3pBP2/3N3P/1P1Q1B2/2R3K1 w - -,d2c2
r2bq1k1/1p1n1p1r/p3p1p1/3pP2p/bP1B1P2/P1RBQN2/6PP/4R1K1 b - -,d7b8
8/p3kpp1/1p2p2p/2rn4/3N4/2P4P/PP3PP1/3R1K2 w - -,f1e2
6k1/pp3qbp/b1p1n3/2n2p2/8/B1N2NPP/P2Q1PBK/8 w - -,f3g5
5rk1/p1p5/3p3p/3P1bpB/QnP1q3/4BN2/PrNK1P2/7R w - -,d2c3
r5k1/6p1/P3p2p/3p4/4p3/3Nb1P1/R3P1KP/8 w - -,d3b4
2rqr1k1/pb1nbppp/2p1p3/1p6/3PnB2/3BPN1P/PP3PP1/2RQ1RK1 w - -,d3e4
3q1rk1/3b1ppp/1p2pn2/1P1p4/1Q6/P5P1/3NPPBP/2rR2K1 w - -,d1c1
r4rk1/pp1qpp1p/2p2npQ/6N1/6bP/3P2P1/PP2PPB1/2R1K2R b K -,d7d4
3r4/1p3pk1/p3b3/6rp/2P1B3/1P1N2P1/P6P/2KRb3 w - -,d1e1
6k1/4qpn1/1pp5/2b1p1pp/p1N1P3/P1P3P1/1P1Q1PNP/5K2 w - -,c4e3
8/3k4/2p5/1pRr3p/pP1PK2P/6P1/1P6/8 b - -,d5d6
8/8/8/8/6K1/1r3p2/5k2/R7 b - -,f2g2
4r1k1/5p1p/3p2p1/3P1q2/1P6/1KP2P2/3R3P/5Q2 w - -,f1d3
q7/r3n1k1/1n1p1p2/1BpPp1pr/p1P1P1N1/R4PP1/1PQ3K1/R7 w - -,b5a4
k1r5/3N3R/8/3n2p1/PnNp4/1Pp3P1/2P2K1P/8 b - -,d4d3
2kr4/pp2bp1p/2p5/4Pp2/P4rP1/2Q5/4K1P1/1R5R w - -,g4f5
2r2nk1/2q2rp1/4p3/pp1pP1pP/2nP1P2/5N2/2P4Q/R1BK3R w - -,f3g5
rk2r3/1p5p/p1nQ1pq1/3R1p2/5R1P/4P3/PPP3P1/2K5 b - -,b8a7
4rr1k/ppq3p1/1bp1b2p/8/5P2/P1QB2N1/1P4PP/4RR1K b - -,e6d5
2rr2k1/p3bpp1/1pq1p2p/8/4QB2/2P3P1/PP3P1P/3R1RK1 w - -,d1d8
r5kr/p3n1pp/b3pp2/3pP3/2pn4/P1P1B3/1RP1BPPP/4K2R w K -,e3d4
2rq1rk1/1p1bbppp/pnn1p3/4P3/5B2/1BN2N2/PP2QPPP/3R1RK1 w - -,c3e4
1R6/P4pk1/6p1/4p1P1/6Np/5PbP/r3K3/8 w - -,e2d1
rnb1k2r/pp2bppp/4pn2/2pq4/3P4/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,c1e3
8/1p6/5k2/2P1r3/1P3pp1/2KB2Pn/8/5R2 w - -,c3d4
1k1r3r/pp2q3/1np2pp1/3nb3/4N2P/P3PB2/1PQB1P2/1K1R3R b - -,f6f5
8/4R3/1P1K2k1/8/8/3r4/8/8 w - -,d6c7
5rk1/1p2b1pp/p1q1bn2/5p2/2P1pP2/PPQ1N3/1B2B1PP/2K4R b - -,f8c8
2rq1rk1/1p1b2pp/p3pn2/2bp1p2/5B2/P2PPN2/1P1QNPPP/2R2RK1 w - -,c1c5
8/8/8/7K/R4P2/P2k4/1r6/8 w - -,f4f5
r1q2r1k/p1p2p1p/np4p1/3Nb1B1/4P3/1Q6/PP3PPP/R4RK1 w - -,g5f6
r3qrk1/2pb2bn/np1p2pB/p2Ppp2/2P1P3/1NN2PPp/PP1QB2P/R4RK1 w - f6,h6g7
2rr2k1/p4pp1/bp2pn1p/1q1nB3/3P4/P6P/1P1QNPP1/RB2R1K1 b - -,b5c6
1r6/3bkpp1/2n1p2p/3pPP1P/2pP2P1/R7/2PKN1B1/8 b - -,b8b1
r3kbnr/1pq1pppp/p1n5/1Bp1Pb2/5N2/2PP4/P3QPPP/RNB1K2R w KQkq -,f4d5
r1r3k1/p2N1pbp/4n1p1/3pN3/P2p4/R7/1P2bPPP/2B1R1K1 b - -,c8c2
3rr3/1kp2pp1/1pb4p/p1pNP3/2P2BPb/7P/PP1R1PK1/4R3 w - -,f4g3
r2q1n1r/4bQR1/bp1kp3/p7/1B6/4P3/PP3P1P/R3KB2 b Q -,a5b4
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2NBP3/PP3PPP/R1BQK1NR b KQkq -,d5c4:b8d7:f8b4
3Q3R/kb2r3/p7/2q1P3/Ppp5/7P/5PP1/2R3K1 w - -,d8d6
1r1q1rk1/p3p1b1/3p3p/2pN1p2/2b5/6P1/PP3P1P/R1BQR1K1 b - -,e7e5
r3k2r/pp1n1ppp/1qpb1n2/3p1b2/3P4/1P1N2P1/PB2PPBP/RN1Q1RK1 b kq -,a7a5
1r1qr1k1/4pp1p/6pB/1pPPbb2/2n5/1R4PP/4NPB1/2Q2RK1 w - -,f1d1
1r5r/1q2b1k1/2p2np1/p1p1p1Bp/4P3/PPN2BPb/2P1Q3/1R1R2K1 w - -,c3a4
5r2/2p3p1/1p1bk2p/p3p3/P1R5/2BP1P2/1P2P1KP/8 b - -,f8f5
3r1rk1/p1p1nppp/1p1qbb2/3nN3/2BP4/PNB3QP/1P3PP1/R3R1K1 b - -,a7a5
r1bqkb1r/ppnppppp/2B5/2p1P3/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,d7c6
5k2/p4p1p/6pb/3B1n2/8/1P3rP1/N2K3P/4R3 w - -,d2e2
8/3k1p2/1p2pPp1/1N1pP1Pp/KP5P/3bP3/8/8 b - -,d3b5
5rk1/1Rp2ppp/3p4/2pPp3/2P1P3/q5P1/2Q2P1P/6K1 b - -,a3f3
1r2r1k1/p1b2ppp/5q2/8/1P1P2Q1/4B1P1/5P2/1R3R1K b - -,f6c6
5r1k/1p1q2b1/3pr2p/PN4p1/2P2pP1/B2P1P2/3Q1K2/4R3 b - -,f8e8
5k2/1p3pp1/1p2r3/3p4/5n1p/1PP2P1P/P4KP1/4RB2 w - -,e1d1
5k2/N7/1R2bbpp/5p2/4p3/1P2P1P1/r4P1P/5BK1 b - -,f8f7
8/1p6/p5k1/4P1P1/1P3B2/1b5K/8/8 w - -,h3g4
1r2n2k/1q4bp/p1np2p1/2p2rB1/4Q3/4NN2/PP3PPP/3RR1K1 b - -,f5f7
r1b2rk1/2q3bp/3p2p1/p1p1n1BP/P1Pp1N2/1P2pP2/4Q1P1/RN2K2R b KQ -,c7b7
rnbqr1k1/pp2p1bp/2pp1np1/5p2/2PP4/2N2NP1/PP2PPBP/1RBQ1RK1 w - -,d4d5
5r2/2n3k1/p3qr1p/Ppp2R2/3pP1N1/3P2P1/1PPQ2KR/8 b - -,f6f5
6k1/p5p1/1p2q3/3n1pBp/3P4/P4P2/R1Q2NKP/4r3 b - -,e6g6
r1b1k2r/pp2ppbp/n5pn/3q4/Q2N4/2P2N2/PP3PPP/R1B1KB1R b KQkq -,c8d7
4k3/p1p3p1/6r1/1p2Ppb1/2p2B2/2P2K2/PP3P2/3R4 w - -,d1g1
r1bq1rk1/pppnn1bp/3p2p1/3Pp1P1/2P1Pp1P/2N2P2/PP2NB2/R2QKB1R b KQ -,g8f7
8/p7/5pp1/3k4/1p3PP1/1P1K4/P7/5Nb1 b - -,g1b6
