8/p5pk/7p/4Q2P/2p3P1/P7/1Pq2PK1/8 b - -,c2c1
r1bq1rk1/pp2bppp/2npp3/3nP3/2BP4/P4N2/1P1N1PPP/R1BQ1RK1 b - -,d8c7
8/1r1k3p/1P1b1pp1/2p5/3N2P1/7P/3R1PK1/8 w - -,d4b3
2rq1rk1/pp2bppp/3npn2/3p4/3P4/2N1PBP1/PP2QP1P/R2RB1K1 w - -,f3g2
2q2rk1/R7/3p1bn1/3P1pp1/3Bp3/1QP5/1P4PP/R5K1 b - -,f6d4
r2q2k1/ppp2ppp/4b3/r7/PQn2R2/4P1P1/3P2BP/R1B3K1 b - -,c7c5
1n5k/p3q2P/2n3QP/3pp3/2bb2P1/5B2/P5K1/1R2R3 b - -,e7h7
3r4/1kp5/2n3p1/1p2pp2/1P2P1P1/2PP4/2B4P/5RK1 b - -,f5f4
6k1/r4p1p/6p1/8/8/r5P1/P2R1P1P/R4K2 b - -,h7h5
2r2rk1/1b1q1pbp/p2p1np1/1pn5/4Pp1B/PNNB3Q/1PP3PP/4RR1K w - -,h3d7
8/8/8/4k1p1/3p4/3B1PPP/r3K3/8 w - -,e2f1
r1b2rk1/pp1p1p2/3B1qpp/2p5/2p4P/2P1R3/P1Q2PP1/2KR4 b - -,b7b6
rn1qk1nr/1b1pbpp1/p3p3/7p/Pp1NP3/2P3P1/1P3PBP/RNBQ1RK1 w kq h6,h2h4
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/B3P3/2P2N1P/PP1P1PP1/RNBQR1K1 b - -,b7b5
r3rbk1/1bq2ppp/pp1p4/4nPP1/P2B4/2N4Q/1PP3BP/3R1R1K b - -,b7g2
8/ppk4p/8/PP3B2/3b4/4p3/5PKP/8 w - -,f2e3
r2q2k1/1p2n2p/p4rp1/3p4/8/2N5/PPP2PPP/R2QR1K1 b - -,d5d4
rnbqkb1r/pp1p1ppp/4pn2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -,c1g5:b1c3:c2c4
8/8/P1p2k2/1nbp3B/1p3N1P/6P1/P4PK1/8 b - -,f6e7
r4rk1/2q2p1p/p1n2npQ/2Bp1B2/8/1N6/1PP3PP/5RK1 b - -,f8e8
3R2k1/1bp1bppp/ppq1p3/4P3/2P1p2P/1P2B1P1/P1Q1PPB1/6K1 b - -,e7d8
r1b1k2r/pp2ppbp/1q1p1np1/P7/4P3/2PB4/3PNPPP/R1BQK2R b KQkq -,b6c7
r2q1rk1/pp2ppb1/4bnp1/2Pp3p/1P1P4/2N5/PB2BPPP/R2Q1RK1 b - -,e6g4
6k1/1p4pp/p3p3/4b1P1/P4q2/1N6/2r1Q2P/5R1K w - -,f1f4
8/p7/1pp4P/6Pk/2P5/6R1/8/4r1K1 w - -,g1f2
r3r1k1/pp2qbpp/1n2p3/3pP3/5Q2/1PR5/PB3PPP/1B2R1K1 b - -,e8f8
6k1/p4pn1/2B2Bp1/3P1nPp/P3p3/4P3/5K2/8 b - -,g8f8
2r3k1/2qbb2p/p3p1p1/1p1pPpP1/1PnP1P2/P1NB1N1P/2R5/2Q4K b - -,a6a5
rn1r2k1/1bq1bppp/p2ppn2/1p6/3NPP2/2N3P1/PPP3BP/R1BQR1K1 w - -,a2a3
2r2rk1/1p1b3p/pB1p1qp1/P2Pb3/2R1Pn2/2N2P2/KP3P2/3B1Q1R w - -,d1a4
8/1p4K1/8/p7/P2p1kp1/1P6/8/6R1 b - -,d4d3
r1bqkb1r/pp4pp/1nn1p3/3pPp2/3P1P2/3B1N2/PP4PP/R1BQK1NR w KQkq -,g1e2
4r1k1/1pp2pp1/p7/4pP2/4P2p/2P1R2P/1Pqr1PQK/5R2 w - -,h2h1
r2bnrk1/1b1pqppp/pp2p3/4P3/1P1PN3/P3B3/2Q1BPPP/R4RK1 w - -,e2f3
1k1rr3/1pq3p1/p3pb1p/P1pp4/4P3/RBPn4/1P2NPPP/Q4RK1 w - -,a1a2
1r3rk1/pbq2pbp/3np1p1/2p1N3/2N1BP2/2PP2P1/P4Q1P/2R2RK1 w - -,e4b7
r1b2rkn/1pp1qpp1/p2b3p/3Pp3/P3Pn2/2N1B1PP/1P1N1P1K/R2QRB2 b - -,g7g5
3qr1k1/3bp2p/4n1p1/pr1pN3/8/Q3P1P1/P5BP/R4RK1 b - -,d8c7
