8/6k1/7p/8/pR4KP/P7/1P5r/8 b - -,h2f2
r1r3k1/3np1bp/p4pp1/1p1n4/3B4/2P2N2/PPN2PPP/3R1RK1 w - -,f1e1
5rk1/p5pp/2b4r/P1bpP3/2p2P2/1pP1PN1P/1P2K3/RB3R2 b - -,h6h3
8/pr1k1Npp/8/7n/3p4/1P1K4/P2b1PPP/7R w - -,d3d2
r2qrbk1/1b1n1p2/p1pp1npp/1p2p1B1/P2PP3/1QPB1NN1/1P3PPP/R3R1K1 w - -,g5d2
r4rk1/5ppp/pqnpb3/1p2p3/4P3/3BNP2/PPPQ2PP/R3K2R b KQ -,c6b4
2r3k1/1p2q1pp/p1B1pp2/4Q3/1P6/P5P1/4PP1P/R5K1 w - -,e5f4
2kr3r/1b1n1p1p/p3p3/q1Pp2P1/Np4R1/4P3/1PPQBP2/R3K3 b Q -,d7c5
r1b1k2b/5p2/p1p1p1P1/q2pPnp1/5QP1/2N2N2/PPP2P2/R3K3 w Qq -,g6f7
3rkb2/5p2/1qn1p2p/pp1pPn2/2pP1P2/P1N1BN2/1P3K2/3Q2R1 w - a6,c3e2
3q1rk1/1p1b1pbp/r2p2p1/1N2p3/N1Pn2n1/1B2B3/PP2QPPP/2RR2K1 w - -,b5d4
3b4/1p6/p1pBK3/P1P5/1P6/5k1p/8/8 w - -,e6d7
r1bqkbnr/pp2pppp/2n5/3N4/3pP2Q/8/PPP2PPP/R1B1KBNR b KQkq -,g8f6
r4rk1/pp2ppbp/1n4p1/2pPq3/2P2Q2/N3P1P1/P1R2PBP/5RK1 b - -,e5f4
2r2rk1/1pb1n1p1/5q1p/pPPpp3/5P1P/P1NQ2P1/2P1N3/R3K2R w KQ -,e1g1
1n4k1/2r5/p1pbr1pp/Pp1p4/1P1P2P1/2RNPB2/2R2PK1/8 w - -,f3d5
6k1/2p1b1r1/1p1p2q1/3P4/1PP1pR1p/P2r3P/1RQ3P1/5N1K w - -,c2f2
1r3rk1/pp2ppb1/1q1p2p1/3Qn2p/2P5/1P4P1/PB2PPBP/1R3RK1 w - -,e2e3
8/R5p1/3p4/3Pp3/4Pq2/3KN1pk/8/8 b - -,f4g5
